state,district,year,moong_rabi_yield_tonne_per_hectare
,,2022 - 2023,1.72
,Kadapa,2000 - 2001,0.33
,,2001 - 2002,0.28
,,2002 - 2003,0.26
,,2003 - 2004,
,,2004 - 2005,0.33
,,2005 - 2006,
,,2006 - 2007,0.38
,,2008 - 2009,0.33
,,2009 - 2010,0.4
,,2010 - 2011,0.35
,,2011 - 2012,0.6
,,2012 - 2013,0.0
,,2013 - 2014,0.63
,,2014 - 2015,0.82
,,2015 - 2016,0.84
,,2016 - 2017,0.41
,,2017 - 2018,0.94
,,2018 - 2019,0.63
,,2019 - 2020,0.98
,,2020 - 2021,0.5
,,2021 - 2022,0.68
,,2022 - 2023,1.06
,Kakinada,2022 - 2023,0.67
,Konaseema,2022 - 2023,0.58
,Krishna,2000 - 2001,0.49
,,2001 - 2002,0.33
,,2002 - 2003,0.76
,,2003 - 2004,0.32
,,2004 - 2005,0.61
,,2005 - 2006,0.31
,,2006 - 2007,0.63
,,2007 - 2008,0.5
,,2008 - 2009,0.59
,,2009 - 2010,0.81
,,2010 - 2011,0.57
,,2011 - 2012,0.68
,,2012 - 2013,0.88
,,2013 - 2014,0.82
,,2014 - 2015,0.79
,,2015 - 2016,0.96
,,2016 - 2017,0.38
,,2017 - 2018,0.67
,,2018 - 2019,1.0
,,2019 - 2020,1.06
,,2020 - 2021,1.08
,,2021 - 2022,1.16
,,2022 - 2023,1.45
,Kurnool,2000 - 2001,0.34
,,2001 - 2002,0.3
,,2002 - 2003,0.26
,,2003 - 2004,0.34
,,2004 - 2005,0.33
,,2005 - 2006,0.3
,,2006 - 2007,0.37
,,2007 - 2008,
,,2008 - 2009,0.33
,,2009 - 2010,0.4
,,2010 - 2011,0.35
,,2011 - 2012,0.6
,,2012 - 2013,1.0
,,2013 - 2014,0.63
,,2014 - 2015,0.82
,,2015 - 2016,0.84
,,2016 - 2017,0.41
,,2017 - 2018,0.94
,,2018 - 2019,0.63
,,2019 - 2020,0.98
,,2020 - 2021,1.08
,,2021 - 2022,1.04
,,2022 - 2023,0.95
,Nandyal,2022 - 2023,1.29
,Ntr,2022 - 2023,1.05
,Palnadu,2022 - 2023,0.82
,Parvathipuram manyam,2022 - 2023,0.53
,Prakasam,2000 - 2001,0.79
,,2001 - 2002,0.76
,,2002 - 2003,0.11
,,2003 - 2004,0.52
,,2004 - 2005,0.41
,,2005 - 2006,0.64
,,2006 - 2007,0.44
,,2007 - 2008,0.5
,,2008 - 2009,0.76
,,2009 - 2010,0.61
,,2010 - 2011,0.64
,,2011 - 2012,0.47
,,2012 - 2013,
,,2013 - 2014,0.85
,,2014 - 2015,0.81
,,2015 - 2016,0.73
,,2016 - 2017,0.38
,,2017 - 2018,0.15
,,2018 - 2019,0.36
,,2019 - 2020,0.91
,,2020 - 2021,1.01
,,2021 - 2022,1.39
,,2022 - 2023,0.47
,Spsr nellore,2000 - 2001,0.33
,,2001 - 2002,0.69
,,2002 - 2003,0.68
,,2003 - 2004,0.4
,,2004 - 2005,0.53
,,2005 - 2006,0.64
,,2006 - 2007,0.43
,,2007 - 2008,0.33
,,2008 - 2009,0.34
,,2009 - 2010,0.53
,,2010 - 2011,0.45
,,2011 - 2012,0.48
,,2012 - 2013,0.67
,,2013 - 2014,0.9
,,2014 - 2015,0.82
,,2015 - 2016,0.52
,,2016 - 2017,0.53
,,2017 - 2018,0.51
,,2018 - 2019,0.8
,,2019 - 2020,0.68
,,2020 - 2021,0.31
,,2021 - 2022,0.73
,,2022 - 2023,0.83
,Sri sathya sai,2022 - 2023,0.92
,Srikakulam,2000 - 2001,0.47
,,2001 - 2002,0.45
,,2002 - 2003,0.26
,,2003 - 2004,0.48
,,2004 - 2005,0.36
,,2005 - 2006,0.34
,,2006 - 2007,0.47
,,2007 - 2008,0.5
,,2008 - 2009,0.39
,,2009 - 2010,0.4
,,2010 - 2011,0.55
,,2011 - 2012,0.61
,,2012 - 2013,0.5
,,2013 - 2014,0.58
,,2014 - 2015,0.53
,,2015 - 2016,0.58
,,2016 - 2017,0.44
,,2017 - 2018,0.5
,,2018 - 2019,0.51
,,2019 - 2020,0.53
,,2020 - 2021,0.47
,,2021 - 2022,0.57
,,2022 - 2023,0.63
,Tirupati,2022 - 2023,0.94
,Visakhapatanam,2000 - 2001,0.33
,,2001 - 2002,0.3
,,2002 - 2003,0.26
,,2003 - 2004,0.34
,,2004 - 2005,0.33
,,2005 - 2006,0.3
,,2006 - 2007,0.37
,,2007 - 2008,0.25
,,2008 - 2009,0.34
,,2009 - 2010,0.4
,,2010 - 2011,0.35
,,2011 - 2012,0.6
,,2012 - 2013,0.75
,,2013 - 2014,0.62
,,2014 - 2015,0.82
,,2015 - 2016,0.51
,,2016 - 2017,0.7
,,2017 - 2018,0.43
,,2018 - 2019,0.38
,,2019 - 2020,0.38
,,2020 - 2021,0.38
,,2021 - 2022,0.43
,,2022 - 2023,1.04
,Vizianagaram,2000 - 2001,0.44
,,2001 - 2002,0.35
,,2002 - 2003,0.19
,,2003 - 2004,0.33
,,2004 - 2005,0.23
,,2005 - 2006,0.34
,,2006 - 2007,0.48
,,2007 - 2008,0.32
,,2008 - 2009,0.31
,,2009 - 2010,0.41
,,2010 - 2011,0.36
,,2011 - 2012,0.5
,,2012 - 2013,0.36
,,2013 - 2014,0.43
,,2014 - 2015,0.55
,,2015 - 2016,0.56
,,2016 - 2017,0.46
,,2017 - 2018,0.6
,,2018 - 2019,0.47
,,2019 - 2020,0.73
,,2020 - 2021,0.5
,,2021 - 2022,0.44
,,2022 - 2023,0.56
,West godavari,2000 - 2001,0.34
,,2001 - 2002,0.3
,,2002 - 2003,0.26
,,2003 - 2004,0.34
,,2004 - 2005,0.61
,,2005 - 2006,0.49
,,2006 - 2007,0.53
,,2007 - 2008,0.25
,,2008 - 2009,0.47
,,2009 - 2010,0.66
,,2010 - 2011,0.57
,,2011 - 2012,0.88
,,2012 - 2013,1.0
,,2013 - 2014,0.82
,,2014 - 2015,0.73
,,2015 - 2016,0.95
,,2016 - 2017,0.23
,,2017 - 2018,0.7
,,2018 - 2019,1.02
,,2019 - 2020,1.21
,,2020 - 2021,1.31
,,2021 - 2022,1.24
,,2022 - 2023,1.25
Arunachal Pradesh,Anjaw,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Changlang,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Dibang valley,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,East kameng,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,East siang,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kamle,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Leparada,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Lohit,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Longding,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Lower dibang valley,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Lower siang,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Lower subansiri,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Namsai,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Pakke kessang,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Papum pare,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Siang,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tawang,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tirap,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Upper siang,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Upper subansiri,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,West kameng,2017 - 2018,
,West siang,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Assam,Baksa,2005 - 2006,0.43
,,2006 - 2007,0.43
,,2007 - 2008,0.42
,,2008 - 2009,0.42
,,2009 - 2010,0.42
,,2010 - 2011,0.42
,,2011 - 2012,0.48
,,2012 - 2013,0.54
,,2013 - 2014,0.73
,,2014 - 2015,0.6
,,2015 - 2016,0.77
,,2016 - 2017,0.56
,,2017 - 2018,0.77
,,2018 - 2019,0.59
,,2019 - 2020,0.89
,,2020 - 2021,0.89
,,2021 - 2022,0.89
,,2022 - 2023,0.89
,Barpeta,2001 - 2002,0.48
,,2002 - 2003,0.48
,,2003 - 2004,0.48
,,2004 - 2005,0.48
,,2005 - 2006,0.48
,,2006 - 2007,0.48
,,2007 - 2008,0.48
,,2008 - 2009,0.47
,,2009 - 2010,0.48
,,2010 - 2011,0.48
,,2011 - 2012,0.54
,,2012 - 2013,0.6
,,2013 - 2014,0.52
,,2014 - 2015,0.66
,,2015 - 2016,0.72
,,2016 - 2017,0.63
,,2017 - 2018,0.63
,,2018 - 2019,0.61
,,2019 - 2020,0.61
,,2020 - 2021,0.61
,,2021 - 2022,0.68
,,2022 - 2023,0.69
,Biswanath,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Bongaigaon,2001 - 2002,0.43
,,2002 - 2003,0.44
,,2003 - 2004,0.44
,,2004 - 2005,0.43
,,2005 - 2006,0.42
,,2006 - 2007,0.41
,,2007 - 2008,0.41
,,2008 - 2009,0.4
,,2009 - 2010,0.41
,,2010 - 2011,0.4
,,2011 - 2012,0.47
,,2012 - 2013,0.54
,,2013 - 2014,0.66
,,2014 - 2015,0.59
,,2015 - 2016,0.46
,,2016 - 2017,0.66
,,2017 - 2018,0.72
,,2018 - 2019,0.42
,,2019 - 2020,0.42
,,2020 - 2021,0.56
,,2021 - 2022,0.56
,,2022 - 2023,0.41
,Cachar,2001 - 2002,0.42
,,2002 - 2003,0.48
,,2003 - 2004,0.48
,,2004 - 2005,0.55
,,2005 - 2006,0.54
,,2006 - 2007,0.5
,,2007 - 2008,0.49
,,2008 - 2009,0.5
,,2009 - 2010,0.51
,,2010 - 2011,0.5
,,2011 - 2012,0.56
,,2012 - 2013,0.58
,,2013 - 2014,0.6
,,2014 - 2015,0.64
,,2015 - 2016,0.65
,,2016 - 2017,0.66
,,2017 - 2018,0.67
,,2018 - 2019,0.78
,,2019 - 2020,0.78
,,2020 - 2021,0.79
,,2021 - 2022,0.78
,,2022 - 2023,0.45
,Charaideo,2020 - 2021,0.65
,,2021 - 2022,0.68
,,2022 - 2023,0.67
,Chirang,2005 - 2006,0.41
,,2006 - 2007,0.41
,,2007 - 2008,0.41
,,2008 - 2009,0.41
,,2009 - 2010,0.41
,,2010 - 2011,0.41
,,2011 - 2012,0.48
,,2012 - 2013,0.53
,,2013 - 2014,0.46
,,2014 - 2015,0.6
,,2015 - 2016,0.48
,,2016 - 2017,0.62
,,2017 - 2018,0.49
,,2018 - 2019,0.8
,,2019 - 2020,0.62
,,2020 - 2021,0.61
,,2021 - 2022,0.9
,,2022 - 2023,0.56
,Darrang,2001 - 2002,0.51
,,2002 - 2003,0.51
,,2003 - 2004,0.52
,,2004 - 2005,0.52
,,2005 - 2006,0.51
,,2006 - 2007,0.51
,,2007 - 2008,0.51
,,2008 - 2009,0.51
,,2009 - 2010,0.51
,,2010 - 2011,0.51
,,2011 - 2012,0.57
,,2012 - 2013,0.57
,,2013 - 2014,0.9
,,2014 - 2015,0.63
,,2015 - 2016,0.65
,,2016 - 2017,0.65
,,2017 - 2018,0.9
,,2018 - 2019,0.9
,,2019 - 2020,0.9
,,2020 - 2021,0.75
,,2021 - 2022,0.78
,,2022 - 2023,0.84
,Dhemaji,2001 - 2002,0.51
,,2002 - 2003,0.53
,,2003 - 2004,0.53
,,2004 - 2005,0.53
,,2005 - 2006,0.53
,,2006 - 2007,0.52
,,2007 - 2008,0.53
,,2008 - 2009,0.53
,,2009 - 2010,0.52
,,2010 - 2011,0.56
,,2011 - 2012,0.59
,,2012 - 2013,0.63
,,2013 - 2014,0.64
,,2014 - 2015,0.67
,,2015 - 2016,0.71
,,2016 - 2017,0.7
,,2017 - 2018,0.7
,,2018 - 2019,0.64
,,2019 - 2020,0.94
,,2020 - 2021,0.77
,,2021 - 2022,0.63
,,2022 - 2023,0.56
,Dhubri,2001 - 2002,0.54
,,2002 - 2003,0.54
,,2003 - 2004,0.54
,,2004 - 2005,0.54
,,2005 - 2006,0.53
,,2006 - 2007,0.54
,,2007 - 2008,0.54
,,2008 - 2009,0.52
,,2009 - 2010,0.54
,,2010 - 2011,0.54
,,2011 - 2012,0.62
,,2012 - 2013,0.69
,,2013 - 2014,0.78
,,2014 - 2015,0.77
,,2015 - 2016,1.11
,,2016 - 2017,0.89
,,2017 - 2018,1.0
,,2018 - 2019,1.04
,,2019 - 2020,1.03
,,2020 - 2021,1.06
,,2021 - 2022,1.06
,,2022 - 2023,1.05
,Dibrugarh,2001 - 2002,0.46
,,2002 - 2003,0.45
,,2003 - 2004,0.46
,,2004 - 2005,0.46
,,2005 - 2006,0.46
,,2006 - 2007,0.45
,,2007 - 2008,0.45
,,2008 - 2009,0.45
,,2009 - 2010,0.46
,,2010 - 2011,0.46
,,2011 - 2012,0.52
,,2012 - 2013,0.58
,,2013 - 2014,0.5
,,2014 - 2015,0.64
,,2015 - 2016,0.73
,,2016 - 2017,0.74
,,2017 - 2018,0.74
,,2018 - 2019,0.59
,,2019 - 2020,0.59
,,2020 - 2021,0.6
,,2021 - 2022,0.36
,,2022 - 2023,0.71
,Dima hasao,2001 - 2002,0.47
,,2002 - 2003,0.46
,,2003 - 2004,0.46
,,2004 - 2005,0.47
,,2005 - 2006,0.47
,,2006 - 2007,0.47
,,2007 - 2008,0.47
,,2008 - 2009,0.48
,,2009 - 2010,0.47
,,2010 - 2011,0.47
,,2011 - 2012,0.53
,,2012 - 2013,0.59
,,2013 - 2014,0.6
,,2014 - 2015,0.65
,,2015 - 2016,0.47
,,2016 - 2017,0.47
,,2017 - 2018,0.47
,,2018 - 2019,0.47
,,2019 - 2020,0.47
,,2020 - 2021,0.47
,,2021 - 2022,0.47
,,2022 - 2023,0.47
,Goalpara,2001 - 2002,0.42
,,2002 - 2003,0.43
,,2003 - 2004,0.42
,,2004 - 2005,0.42
,,2005 - 2006,0.43
,,2006 - 2007,0.42
,,2007 - 2008,0.43
,,2008 - 2009,0.42
,,2009 - 2010,0.42
,,2010 - 2011,0.42
,,2011 - 2012,0.48
,,2012 - 2013,0.47
,,2013 - 2014,0.93
,,2014 - 2015,0.52
,,2015 - 2016,0.5
,,2016 - 2017,0.6
,,2017 - 2018,0.7
,,2018 - 2019,0.7
,,2019 - 2020,0.7
,,2020 - 2021,0.69
,,2021 - 2022,0.69
,,2022 - 2023,0.71
,Golaghat,2001 - 2002,0.46
,,2002 - 2003,0.42
,,2003 - 2004,0.42
,,2004 - 2005,0.43
,,2005 - 2006,0.37
,,2006 - 2007,0.42
,,2007 - 2008,0.43
,,2008 - 2009,0.4
,,2009 - 2010,0.43
,,2010 - 2011,0.43
,,2011 - 2012,0.47
,,2012 - 2013,0.46
,,2013 - 2014,0.54
,,2014 - 2015,0.52
,,2015 - 2016,0.49
,,2016 - 2017,0.5
,,2017 - 2018,0.52
,,2018 - 2019,0.51
,,2019 - 2020,0.53
,,2020 - 2021,0.53
,,2021 - 2022,0.53
,,2022 - 2023,0.56
,Hailakandi,2001 - 2002,0.5
,,2002 - 2003,0.5
,,2003 - 2004,0.4
,,2004 - 2005,0.4
,,2005 - 2006,0.33
,,2006 - 2007,0.33
,,2007 - 2008,0.33
,,2008 - 2009,0.5
,,2009 - 2010,0.45
,,2010 - 2011,0.47
,,2011 - 2012,0.78
,,2012 - 2013,0.76
,,2013 - 2014,0.74
,,2014 - 2015,0.84
,,2015 - 2016,0.45
,,2016 - 2017,0.45
,,2017 - 2018,0.44
,,2018 - 2019,0.63
,,2019 - 2020,0.61
,,2020 - 2021,0.59
,,2021 - 2022,0.63
,,2022 - 2023,0.47
,Hojai,2020 - 2021,5.84
,,2021 - 2022,0.65
,,2022 - 2023,0.58
,Jorhat,2001 - 2002,0.48
,,2002 - 2003,0.48
,,2003 - 2004,0.48
,,2004 - 2005,0.48
,,2005 - 2006,0.48
,,2006 - 2007,0.49
,,2007 - 2008,0.48
,,2008 - 2009,0.47
,,2009 - 2010,0.48
,,2010 - 2011,0.48
,,2011 - 2012,0.54
,,2012 - 2013,0.61
,,2013 - 2014,0.62
,,2014 - 2015,0.67
,,2015 - 2016,0.67
,,2016 - 2017,0.67
,,2017 - 2018,0.62
,,2018 - 2019,0.46
,,2019 - 2020,0.69
,,2020 - 2021,0.67
,,2021 - 2022,0.67
,,2022 - 2023,0.67
,Kamrup,2001 - 2002,0.35
,,2002 - 2003,0.35
,,2003 - 2004,0.35
,,2004 - 2005,0.36
,,2005 - 2006,0.35
,,2006 - 2007,0.35
,,2007 - 2008,0.35
,,2008 - 2009,0.33
,,2009 - 2010,0.35
,,2010 - 2011,0.35
,,2011 - 2012,0.45
,,2012 - 2013,0.51
,,2013 - 2014,0.45
,,2014 - 2015,0.56
,,2015 - 2016,0.46
,,2016 - 2017,0.46
,,2017 - 2018,0.46
,,2018 - 2019,0.46
,,2019 - 2020,0.46
,,2020 - 2021,0.46
,,2021 - 2022,0.58
,,2022 - 2023,0.9
,Kamrup metro,2005 - 2006,0.33
,,2006 - 2007,0.36
,,2007 - 2008,0.35
,,2008 - 2009,0.36
,,2009 - 2010,0.35
,,2010 - 2011,0.36
,,2011 - 2012,0.42
,,2012 - 2013,0.47
,,2013 - 2014,0.45
,,2014 - 2015,0.53
,,2015 - 2016,0.45
,,2016 - 2017,0.45
,,2017 - 2018,0.45
,,2018 - 2019,0.58
,,2019 - 2020,0.58
,,2020 - 2021,0.58
,,2021 - 2022,0.63
,,2022 - 2023,1.2
,Karbi anglong,2001 - 2002,0.47
,,2002 - 2003,0.56
,,2003 - 2004,0.53
,,2004 - 2005,0.62
,,2005 - 2006,0.58
,,2006 - 2007,0.57
,,2007 - 2008,0.58
,,2008 - 2009,0.57
,,2009 - 2010,0.63
,,2010 - 2011,0.76
,,2011 - 2012,0.72
,,2012 - 2013,0.81
,,2013 - 2014,0.69
,,2014 - 2015,0.89
,,2015 - 2016,0.78
,,2016 - 2017,0.7
,,2017 - 2018,0.69
,,2018 - 2019,0.78
,,2019 - 2020,0.78
,,2020 - 2021,0.78
,,2021 - 2022,0.78
,,2022 - 2023,0.78
,Karimganj,2001 - 2002,0.33
,,2002 - 2003,0.43
,,2003 - 2004,0.38
,,2004 - 2005,0.33
,,2005 - 2006,0.33
,,2006 - 2007,0.5
,,2007 - 2008,0.33
,,2008 - 2009,0.33
,,2009 - 2010,0.33
,,2010 - 2011,0.39
,,2011 - 2012,0.45
,,2012 - 2013,0.5
,,2013 - 2014,0.55
,,2014 - 2015,0.55
,,2015 - 2016,0.68
,,2016 - 2017,0.68
,,2017 - 2018,0.29
,,2018 - 2019,0.35
,,2019 - 2020,0.35
,,2020 - 2021,0.68
,,2021 - 2022,0.8
,,2022 - 2023,0.9
,Kokrajhar,2001 - 2002,0.5
,,2002 - 2003,0.49
,,2003 - 2004,0.5
,,2004 - 2005,0.49
,,2005 - 2006,0.55
,,2006 - 2007,0.5
,,2007 - 2008,0.53
,,2008 - 2009,0.51
,,2009 - 2010,0.55
,,2010 - 2011,0.53
,,2011 - 2012,0.6
,,2012 - 2013,0.64
,,2013 - 2014,0.61
,,2014 - 2015,0.7
,,2015 - 2016,0.78
,,2016 - 2017,0.69
,,2017 - 2018,0.7
,,2018 - 2019,0.69
,,2019 - 2020,0.69
,,2020 - 2021,0.69
,,2021 - 2022,0.68
,,2022 - 2023,1.14
,Lakhimpur,2001 - 2002,0.45
,,2002 - 2003,0.45
,,2003 - 2004,0.45
,,2004 - 2005,0.45
,,2005 - 2006,0.45
,,2006 - 2007,0.45
,,2007 - 2008,0.45
,,2008 - 2009,0.44
,,2009 - 2010,0.45
,,2010 - 2011,0.44
,,2011 - 2012,0.51
,,2012 - 2013,0.57
,,2013 - 2014,0.57
,,2014 - 2015,1.0
,,2015 - 2016,0.94
,,2016 - 2017,0.92
,,2017 - 2018,0.92
,,2018 - 2019,0.87
,,2019 - 2020,1.01
,,2020 - 2021,1.03
,,2021 - 2022,0.94
,,2022 - 2023,0.87
,Majuli,2020 - 2021,0.69
,,2021 - 2022,0.69
,,2022 - 2023,0.69
,Marigaon,2001 - 2002,0.19
,,2002 - 2003,0.19
,,2003 - 2004,0.19
,,2004 - 2005,0.19
,,2005 - 2006,0.19
,,2006 - 2007,0.19
,,2007 - 2008,0.19
,,2008 - 2009,0.18
,,2009 - 2010,0.19
,,2010 - 2011,0.19
,,2011 - 2012,0.3
,,2012 - 2013,0.34
,,2013 - 2014,0.35
,,2014 - 2015,0.38
,,2015 - 2016,0.58
,,2016 - 2017,0.58
,,2017 - 2018,0.59
,,2018 - 2019,0.59
,,2019 - 2020,0.72
,,2020 - 2021,0.72
,,2021 - 2022,0.72
,,2022 - 2023,1.2
,Nagaon,2001 - 2002,0.4
,,2002 - 2003,0.4
,,2003 - 2004,0.4
,,2004 - 2005,0.4
,,2005 - 2006,0.41
,,2006 - 2007,0.4
,,2007 - 2008,0.41
,,2008 - 2009,0.4
,,2009 - 2010,0.4
,,2010 - 2011,0.4
,,2011 - 2012,0.47
,,2012 - 2013,0.52
,,2013 - 2014,0.55
,,2014 - 2015,0.58
,,2015 - 2016,0.7
,,2016 - 2017,0.71
,,2017 - 2018,0.63
,,2018 - 2019,0.68
,,2019 - 2020,0.63
,,2020 - 2021,0.6
,,2021 - 2022,0.6
,,2022 - 2023,0.55
,Nalbari,2001 - 2002,0.43
,,2002 - 2003,0.43
,,2003 - 2004,0.43
,,2004 - 2005,0.43
,,2005 - 2006,0.43
,,2006 - 2007,0.42
,,2007 - 2008,0.43
,,2008 - 2009,0.42
,,2009 - 2010,0.42
,,2010 - 2011,0.42
,,2011 - 2012,0.48
,,2012 - 2013,0.53
,,2013 - 2014,0.53
,,2014 - 2015,0.59
,,2015 - 2016,0.53
,,2016 - 2017,0.86
,,2017 - 2018,0.85
,,2018 - 2019,0.8
,,2019 - 2020,0.8
,,2020 - 2021,0.8
,,2021 - 2022,0.93
,,2022 - 2023,0.93
,Sivasagar,2001 - 2002,0.39
,,2002 - 2003,0.37
,,2003 - 2004,0.37
,,2004 - 2005,0.38
,,2005 - 2006,0.37
,,2006 - 2007,0.36
,,2007 - 2008,0.36
,,2008 - 2009,0.35
,,2009 - 2010,0.38
,,2010 - 2011,0.31
,,2011 - 2012,0.44
