state,district,year,bajra_kharif_yield_tonne_per_hectare
,Bangalore rural,2005 - 2006,0.58
,,2006 - 2007,0.5
,,2007 - 2008,0.75
,,2008 - 2009,0.5
,,2009 - 2010,0.5
,,2010 - 2011,1.0
,,2011 - 2012,0.75
,,2012 - 2013,1.0
,,2015 - 2016,0.71
,,2016 - 2017,1.0
,,2017 - 2018,2.0
,,2018 - 2019,0.91
,,2019 - 2020,1.13
,,2020 - 2021,1.44
,,2021 - 2022,1.11
,,2022 - 2023,1.45
,Belgaum,2000 - 2001,0.43
,,2001 - 2002,0.28
,,2002 - 2003,0.13
,,2003 - 2004,0.18
,,2004 - 2005,0.5
,,2005 - 2006,0.39
,,2006 - 2007,0.32
,,2007 - 2008,0.48
,,2008 - 2009,0.41
,,2009 - 2010,0.26
,,2010 - 2011,0.61
,,2011 - 2012,0.53
,,2012 - 2013,0.35
,,2013 - 2014,0.66
,,2014 - 2015,0.66
,,2015 - 2016,0.36
,,2016 - 2017,0.6
,,2017 - 2018,1.21
,,2018 - 2019,1.1
,,2019 - 2020,1.09
,,2020 - 2021,1.34
,,2021 - 2022,1.15
,,2022 - 2023,1.23
,Bellary,2000 - 2001,0.82
,,2001 - 2002,0.76
,,2002 - 2003,0.48
,,2003 - 2004,0.67
,,2004 - 2005,0.71
,,2005 - 2006,0.8
,,2006 - 2007,0.47
,,2007 - 2008,0.85
,,2008 - 2009,0.61
,,2009 - 2010,0.61
,,2010 - 2011,0.84
,,2011 - 2012,0.66
,,2012 - 2013,0.81
,,2013 - 2014,1.01
,,2014 - 2015,1.07
,,2015 - 2016,0.92
,,2016 - 2017,1.26
,,2017 - 2018,1.84
,,2018 - 2019,1.14
,,2019 - 2020,1.5
,,2020 - 2021,1.8
,,2021 - 2022,1.58
,,2022 - 2023,1.71
,Bengaluru urban,2012 - 2013,1.0
,,2013 - 2014,1.14
,,2017 - 2018,1.67
,,2018 - 2019,0.89
,,2019 - 2020,1.06
,,2020 - 2021,1.43
,,2021 - 2022,1.0
,,2022 - 2023,1.45
,Bidar,2000 - 2001,0.76
,,2001 - 2002,0.58
,,2002 - 2003,0.75
,,2003 - 2004,0.98
,,2004 - 2005,0.87
,,2005 - 2006,0.63
,,2006 - 2007,0.83
,,2007 - 2008,1.05
,,2008 - 2009,0.98
,,2009 - 2010,0.55
,,2010 - 2011,0.76
,,2011 - 2012,0.91
,,2012 - 2013,1.13
,,2013 - 2014,1.14
,,2014 - 2015,1.01
,,2015 - 2016,0.7
,,2016 - 2017,0.67
,,2017 - 2018,1.45
,,2018 - 2019,0.76
,,2019 - 2020,0.98
,,2020 - 2021,0.95
,,2021 - 2022,0.86
,,2022 - 2023,0.8
,Bijapur,2000 - 2001,0.8
,,2001 - 2002,0.53
,,2002 - 2003,0.41
,,2003 - 2004,0.58
,,2004 - 2005,0.66
,,2005 - 2006,0.63
,,2006 - 2007,0.46
,,2007 - 2008,0.64
,,2008 - 2009,0.56
,,2009 - 2010,0.46
,,2010 - 2011,0.7
,,2011 - 2012,0.75
,,2012 - 2013,0.94
,,2013 - 2014,1.08
,,2014 - 2015,0.76
,,2015 - 2016,0.28
,,2016 - 2017,1.14
,,2017 - 2018,0.9
,,2018 - 2019,0.75
,,2019 - 2020,0.63
,,2020 - 2021,1.0
,,2021 - 2022,0.96
,,2022 - 2023,1.15
,Chamarajanagar,2000 - 2001,0.75
,,2001 - 2002,0.5
,,2002 - 2003,0.66
,,2003 - 2004,0.66
,,2004 - 2005,0.81
,,2005 - 2006,0.99
,,2006 - 2007,0.63
,,2007 - 2008,1.24
,,2008 - 2009,0.71
,,2009 - 2010,0.56
,,2010 - 2011,0.98
,,2011 - 2012,0.83
,,2012 - 2013,1.97
,,2013 - 2014,1.54
,,2014 - 2015,1.24
,,2015 - 2016,1.27
,,2016 - 2017,0.68
,,2017 - 2018,1.75
,,2018 - 2019,2.04
,,2019 - 2020,2.31
,,2020 - 2021,2.05
,,2021 - 2022,1.28
,,2022 - 2023,1.12
,Chikballapur,2010 - 2011,0.91
,,2011 - 2012,1.19
,,2013 - 2014,1.0
,,2015 - 2016,0.66
,,2016 - 2017,1.05
,,2017 - 2018,1.59
,,2018 - 2019,0.91
,,2019 - 2020,1.09
,,2020 - 2021,1.44
,,2021 - 2022,1.15
,,2022 - 2023,1.44
,Chikmagalur,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2018 - 2019,0.91
,,2019 - 2020,1.09
,,2020 - 2021,1.45
,,2021 - 2022,1.14
,,2022 - 2023,1.42
,Chitradurga,2000 - 2001,0.76
,,2001 - 2002,0.47
,,2002 - 2003,0.63
,,2003 - 2004,0.39
,,2004 - 2005,0.56
,,2005 - 2006,0.85
,,2006 - 2007,0.51
,,2007 - 2008,0.96
,,2008 - 2009,0.38
,,2009 - 2010,0.54
,,2010 - 2011,0.55
,,2011 - 2012,0.56
,,2012 - 2013,0.53
,,2013 - 2014,0.54
,,2014 - 2015,0.62
,,2015 - 2016,0.65
,,2016 - 2017,0.28
,,2017 - 2018,1.04
,,2018 - 2019,0.41
,,2019 - 2020,0.62
,,2020 - 2021,0.89
,,2021 - 2022,0.66
,,2022 - 2023,0.53
,Dakshin kannad,2018 - 2019,1.0
,,2019 - 2020,1.13
,Davangere,2000 - 2001,0.58
,,2001 - 2002,0.43
,,2002 - 2003,0.35
,,2003 - 2004,0.6
,,2004 - 2005,0.55
,,2005 - 2006,0.61
,,2006 - 2007,0.74
,,2007 - 2008,1.0
,,2008 - 2009,0.63
,,2009 - 2010,0.67
,,2010 - 2011,1.5
,,2011 - 2012,0.65
,,2012 - 2013,0.73
,,2013 - 2014,1.01
,,2014 - 2015,0.99
,,2015 - 2016,0.84
,,2016 - 2017,0.66
,,2017 - 2018,1.49
,,2018 - 2019,0.59
,,2019 - 2020,0.75
,,2020 - 2021,1.1
,,2021 - 2022,1.03
,,2022 - 2023,0.99
,Dharwad,2000 - 2001,0.44
,,2012 - 2013,1.07
,,2013 - 2014,1.13
,,2014 - 2015,1.0
,,2018 - 2019,0.89
,,2019 - 2020,1.1
,,2020 - 2021,1.44
,,2021 - 2022,1.17
,,2022 - 2023,1.4
,Gadag,2000 - 2001,0.51
,,2001 - 2002,0.53
,,2002 - 2003,0.58
,,2003 - 2004,0.46
,,2004 - 2005,0.59
,,2005 - 2006,0.89
,,2006 - 2007,0.44
,,2007 - 2008,1.64
,,2008 - 2009,0.57
,,2009 - 2010,0.51
,,2010 - 2011,0.64
,,2011 - 2012,0.57
,,2012 - 2013,0.78
,,2013 - 2014,0.78
,,2014 - 2015,0.59
,,2015 - 2016,0.38
,,2016 - 2017,0.68
,,2017 - 2018,1.33
,,2018 - 2019,0.46
,,2019 - 2020,0.66
,,2020 - 2021,0.77
,,2021 - 2022,0.84
,,2022 - 2023,0.88
,Gulbarga,2000 - 2001,0.9
,,2001 - 2002,0.7
,,2002 - 2003,0.76
,,2003 - 2004,0.72
,,2004 - 2005,0.79
,,2005 - 2006,0.97
,,2006 - 2007,0.66
,,2007 - 2008,0.78
,,2008 - 2009,0.8
,,2009 - 2010,0.57
,,2010 - 2011,0.73
,,2011 - 2012,0.8
,,2012 - 2013,1.09
,,2013 - 2014,1.33
,,2014 - 2015,1.16
,,2015 - 2016,0.65
,,2016 - 2017,1.46
,,2017 - 2018,2.65
,,2018 - 2019,1.76
,,2019 - 2020,1.69
,,2020 - 2021,1.43
,,2021 - 2022,1.52
,,2022 - 2023,1.51
,Hassan,2012 - 2013,1.05
,,2013 - 2014,1.19
,,2018 - 2019,0.91
,,2019 - 2020,1.08
,,2020 - 2021,1.47
,,2021 - 2022,1.14
,,2022 - 2023,1.38
,Haveri,2000 - 2001,0.75
,,2001 - 2002,0.5
,,2002 - 2003,0.36
,,2003 - 2004,0.58
,,2004 - 2005,0.54
,,2005 - 2006,0.85
,,2006 - 2007,0.41
,,2007 - 2008,0.72
,,2008 - 2009,0.53
,,2009 - 2010,0.0
,,2011 - 2012,0.86
,,2012 - 2013,1.03
,,2016 - 2017,1.0
,,2018 - 2019,0.83
,,2019 - 2020,1.1
,,2020 - 2021,1.44
,,2021 - 2022,1.14
,,2022 - 2023,1.44
,Kodagu,2019 - 2020,1.0
,,2020 - 2021,1.5
,Kolar,2000 - 2001,0.43
,,2002 - 2003,0.37
,,2003 - 2004,0.29
,,2004 - 2005,0.38
,,2005 - 2006,0.58
,,2006 - 2007,0.45
,,2007 - 2008,0.69
,,2018 - 2019,0.91
,,2019 - 2020,1.09
,,2020 - 2021,1.44
,,2021 - 2022,1.16
,,2022 - 2023,1.47
,Koppal,2000 - 2001,0.6
,,2001 - 2002,0.41
,,2002 - 2003,0.12
,,2003 - 2004,0.64
,,2004 - 2005,0.46
,,2005 - 2006,1.07
,,2006 - 2007,0.24
,,2007 - 2008,0.85
,,2008 - 2009,0.55
,,2009 - 2010,0.33
,,2010 - 2011,1.23
,,2011 - 2012,1.15
,,2012 - 2013,1.36
,,2013 - 2014,1.67
,,2014 - 2015,1.73
,,2015 - 2016,0.71
,,2016 - 2017,0.67
,,2017 - 2018,1.82
,,2018 - 2019,0.67
,,2019 - 2020,0.85
,,2020 - 2021,1.26
,,2021 - 2022,1.03
,,2022 - 2023,1.09
,Mandya,2014 - 2015,1.06
,,2018 - 2019,0.92
,,2019 - 2020,1.1
,,2020 - 2021,1.4
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Mysore,2000 - 2001,0.71
,,2013 - 2014,1.25
,,2018 - 2019,0.89
,,2019 - 2020,1.07
,,2020 - 2021,1.45
,,2021 - 2022,1.1
,,2022 - 2023,1.38
,Raichur,2000 - 2001,0.58
,,2001 - 2002,0.31
,,2002 - 2003,0.29
,,2003 - 2004,0.43
,,2004 - 2005,0.44
,,2005 - 2006,1.02
,,2006 - 2007,0.31
,,2007 - 2008,0.7
,,2008 - 2009,0.68
,,2009 - 2010,0.43
,,2010 - 2011,0.89
,,2011 - 2012,0.89
,,2012 - 2013,0.98
,,2013 - 2014,1.12
,,2014 - 2015,0.73
,,2015 - 2016,0.76
,,2016 - 2017,1.44
,,2017 - 2018,1.33
,,2018 - 2019,0.92
,,2019 - 2020,1.14
,,2020 - 2021,1.6
,,2021 - 2022,1.09
,,2022 - 2023,2.12
,Ramanagara,2012 - 2013,1.0
,,2013 - 2014,1.18
,,2014 - 2015,1.0
,,2015 - 2016,0.67
,,2016 - 2017,1.0
,,2017 - 2018,1.5
,,2018 - 2019,0.86
,,2019 - 2020,1.0
,,2020 - 2021,1.44
,,2021 - 2022,1.0
,,2022 - 2023,1.5
,Shimoga,2001 - 2002,0.5
,,2002 - 2003,0.35
,,2013 - 2014,1.25
,,2014 - 2015,1.0
,,2017 - 2018,1.57
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.33
,,2021 - 2022,1.11
,,2022 - 2023,1.0
,Tumkur,2000 - 2001,0.44
,,2001 - 2002,0.4
,,2002 - 2003,0.36
,,2003 - 2004,0.28
,,2004 - 2005,0.37
,,2005 - 2006,0.85
,,2006 - 2007,0.45
,,2007 - 2008,0.7
,,2008 - 2009,0.49
,,2009 - 2010,0.31
,,2010 - 2011,0.55
,,2011 - 2012,0.71
,,2012 - 2013,1.04
,,2013 - 2014,1.18
,,2014 - 2015,1.06
,,2015 - 2016,0.66
,,2016 - 2017,1.05
,,2017 - 2018,1.58
,,2018 - 2019,0.91
,,2019 - 2020,0.5
,,2020 - 2021,1.44
,,2021 - 2022,0.75
,,2022 - 2023,1.45
,Udupi,2019 - 2020,1.0
,,2020 - 2021,1.0
,Uttar kannad,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.33
,,2021 - 2022,1.0
,Vijayanagar,2022 - 2023,1.52
,Yadgir,2010 - 2011,0.78
,,2011 - 2012,0.55
,,2012 - 2013,0.9
,,2013 - 2014,1.04
,,2014 - 2015,0.96
,,2015 - 2016,0.7
,,2016 - 2017,0.78
,,2017 - 2018,1.99
,,2018 - 2019,1.22
,,2019 - 2020,1.78
,,2020 - 2021,1.64
,,2021 - 2022,1.58
,,2022 - 2023,2.35
Kerala,Palakkad,2022 - 2023,1.5
Madhya Pradesh,Agar malwa,2013 - 2014,0.8
,,2014 - 2015,1.5
,,2018 - 2019,1.08
,,2019 - 2020,1.0
,,2022 - 2023,1.0
,Alirajpur,2008 - 2009,0.69
,,2009 - 2010,
,,2010 - 2011,0.72
,,2011 - 2012,0.71
,,2012 - 2013,1.27
,,2013 - 2014,1.35
,,2014 - 2015,0.82
,,2015 - 2016,1.14
,,2016 - 2017,1.06
,,2017 - 2018,2.29
,,2018 - 2019,1.27
,,2019 - 2020,1.02
,,2020 - 2021,0.42
,,2021 - 2022,0.73
,,2022 - 2023,1.15
,Anuppur,2003 - 2004,2.0
,,2018 - 2019,1.67
,,2019 - 2020,2.0
,,2022 - 2023,1.5
,Ashoknagar,2005 - 2006,1.56
,,2006 - 2007,1.5
,,2008 - 2009,1.0
,,2017 - 2018,0.86
,,2018 - 2019,2.17
,,2019 - 2020,1.83
,,2020 - 2021,1.33
,,2022 - 2023,1.6
,Balaghat,2000 - 2001,1.0
,,2001 - 2002,0.5
,,2002 - 2003,0.4
,,2003 - 2004,0.6
,,2004 - 2005,0.75
,,2005 - 2006,0.75
,,2006 - 2007,0.73
,,2007 - 2008,0.55
,,2008 - 2009,0.63
,,2018 - 2019,0.5
,Barwani,2000 - 2001,0.3
,,2001 - 2002,0.34
,,2002 - 2003,0.25
,,2003 - 2004,0.41
,,2004 - 2005,0.36
,,2005 - 2006,0.34
,,2006 - 2007,0.42
,,2007 - 2008,0.4
,,2008 - 2009,0.48
,,2009 - 2010,
,,2010 - 2011,0.6
,,2011 - 2012,0.92
,,2012 - 2013,1.74
,,2013 - 2014,1.19
,,2014 - 2015,1.33
,,2015 - 2016,1.71
,,2016 - 2017,1.22
,,2017 - 2018,1.67
,,2018 - 2019,1.23
,,2019 - 2020,1.03
,,2020 - 2021,0.8
,,2021 - 2022,0.9
,,2022 - 2023,1.14
,Betul,2000 - 2001,0.53
,,2001 - 2002,0.56
,,2002 - 2003,0.5
,,2003 - 2004,0.65
,,2004 - 2005,0.5
,,2012 - 2013,2.31
,,2013 - 2014,1.91
,,2018 - 2019,2.94
,,2019 - 2020,2.1
,,2020 - 2021,1.5
,,2022 - 2023,2.5
,Bhind,2000 - 2001,1.08
,,2001 - 2002,1.19
,,2002 - 2003,1.04
,,2003 - 2004,1.38
,,2004 - 2005,1.39
,,2005 - 2006,1.28
,,2006 - 2007,1.08
,,2007 - 2008,1.15
,,2008 - 2009,1.06
,,2009 - 2010,
,,2010 - 2011,1.42
,,2011 - 2012,1.55
,,2012 - 2013,1.65
,,2013 - 2014,2.85
,,2014 - 2015,2.24
,,2015 - 2016,2.83
,,2016 - 2017,3.67
,,2017 - 2018,2.75
,,2018 - 2019,2.76
,,2019 - 2020,3.22
,,2020 - 2021,3.1
,,2021 - 2022,3.18
,,2022 - 2023,2.74
,Bhopal,2018 - 2019,2.4
,,2019 - 2020,2.14
,,2022 - 2023,1.5
,Burhanpur,2003 - 2004,1.04
,,2004 - 2005,0.61
,,2005 - 2006,0.71
,,2006 - 2007,0.77
,,2007 - 2008,0.65
,,2008 - 2009,0.71
,,2009 - 2010,
,,2010 - 2011,1.08
,,2011 - 2012,1.03
,,2012 - 2013,1.19
,,2013 - 2014,1.07
,,2017 - 2018,1.0
,,2018 - 2019,1.42
,,2019 - 2020,0.82
,,2020 - 2021,1.39
,,2021 - 2022,0.8
,,2022 - 2023,1.2
,Chhatarpur,2000 - 2001,0.5
,,2001 - 2002,0.37
,,2002 - 2003,0.26
,,2003 - 2004,0.53
,,2004 - 2005,0.55
,,2005 - 2006,0.48
,,2006 - 2007,0.51
,,2007 - 2008,0.44
,,2008 - 2009,0.53
,,2009 - 2010,
,,2010 - 2011,0.54
,,2011 - 2012,0.42
,,2013 - 2014,0.62
,,2014 - 2015,1.5
,,2017 - 2018,3.0
,,2018 - 2019,0.57
,,2019 - 2020,0.57
,,2021 - 2022,0.5
,,2022 - 2023,0.67
,Chhindwara,2000 - 2001,0.73
,,2001 - 2002,0.67
,,2002 - 2003,0.4
,,2003 - 2004,0.77
,,2004 - 2005,0.88
,,2005 - 2006,0.69
,,2006 - 2007,0.87
,,2007 - 2008,0.92
,,2008 - 2009,0.89
,,2009 - 2010,
,,2010 - 2011,0.96
,,2011 - 2012,1.22
,,2013 - 2014,0.5
,,2014 - 2015,1.5
,,2018 - 2019,1.17
,,2019 - 2020,1.14
,,2020 - 2021,1.0
,,2022 - 2023,1.0
,Damoh,2000 - 2001,1.0
,,2001 - 2002,1.0
,,2002 - 2003,0.45
,,2003 - 2004,1.29
,,2004 - 2005,1.32
,,2005 - 2006,1.23
,,2006 - 2007,1.16
,,2007 - 2008,1.04
,,2008 - 2009,1.41
,,2009 - 2010,
,,2010 - 2011,2.0
,,2011 - 2012,1.92
,,2012 - 2013,1.5
,,2013 - 2014,1.0
,,2014 - 2015,2.5
,,2019 - 2020,2.0
,Datia,2000 - 2001,1.54
,,2001 - 2002,1.16
,,2002 - 2003,0.56
,,2003 - 2004,1.06
,,2004 - 2005,0.79
,,2005 - 2006,1.29
,,2006 - 2007,1.16
,,2007 - 2008,0.64
,,2008 - 2009,1.95
,,2009 - 2010,
,,2010 - 2011,1.17
,,2011 - 2012,1.3
,,2012 - 2013,1.72
,,2013 - 2014,1.1
,,2014 - 2015,1.67
,,2015 - 2016,2.0
,,2016 - 2017,1.4
,,2018 - 2019,1.67
,,2019 - 2020,1.34
,,2020 - 2021,1.84
,,2021 - 2022,0.96
,,2022 - 2023,1.14
,Dewas,2000 - 2001,0.79
,,2001 - 2002,0.8
,,2002 - 2003,0.65
,,2003 - 2004,0.94
,,2004 - 2005,1.0
,,2005 - 2006,0.66
,,2006 - 2007,1.0
,,2007 - 2008,0.73
,,2008 - 2009,1.3
,,2018 - 2019,1.5
,,2021 - 2022,1.0
,Dhar,2000 - 2001,0.3
,,2001 - 2002,0.41
,,2002 - 2003,0.37
,,2003 - 2004,0.52
,,2004 - 2005,0.48
,,2005 - 2006,0.44
,,2006 - 2007,0.47
,,2007 - 2008,0.44
,,2008 - 2009,0.5
,,2009 - 2010,
,,2010 - 2011,0.62
,,2011 - 2012,0.53
,,2012 - 2013,1.04
,,2013 - 2014,1.32
,,2014 - 2015,1.5
,,2015 - 2016,1.33
,,2016 - 2017,0.5
,,2017 - 2018,1.0
,,2018 - 2019,1.54
,,2019 - 2020,1.5
,,2020 - 2021,1.05
,,2021 - 2022,1.0
,,2022 - 2023,1.09
,Dindori,2008 - 2009,1.0
,,2019 - 2020,1.0
,Guna,2000 - 2001,1.55
,,2001 - 2002,1.12
,,2002 - 2003,0.44
,,2003 - 2004,1.4
,,2004 - 2005,1.37
,,2005 - 2006,1.56
,,2006 - 2007,1.6
,,2007 - 2008,0.83
,,2008 - 2009,1.27
,,2009 - 2010,
,,2010 - 2011,1.87
,,2011 - 2012,1.61
,,2012 - 2013,1.56
,,2013 - 2014,1.29
,,2018 - 2019,2.0
,,2019 - 2020,1.75
,,2020 - 2021,1.45
,,2021 - 2022,1.29
,,2022 - 2023,1.67
,Gwalior,2000 - 2001,2.16
,,2001 - 2002,2.21
,,2002 - 2003,0.53
,,2003 - 2004,2.0
,,2004 - 2005,1.96
,,2005 - 2006,2.35
,,2006 - 2007,2.23
,,2007 - 2008,1.19
,,2008 - 2009,2.18
,,2009 - 2010,
,,2010 - 2011,2.57
,,2011 - 2012,2.66
,,2012 - 2013,2.49
,,2013 - 2014,1.94
,,2014 - 2015,1.75
,,2015 - 2016,2.0
,,2016 - 2017,2.8
,,2017 - 2018,1.6
,,2018 - 2019,2.41
,,2019 - 2020,1.97
,,2020 - 2021,1.53
,,2021 - 2022,1.39
,,2022 - 2023,1.59
,Harda,2000 - 2001,0.67
,,2001 - 2002,0.86
,,2002 - 2003,0.78
,,2003 - 2004,0.97
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.11
,,2007 - 2008,0.5
,,2008 - 2009,1.5
,,2009 - 2010,
,,2010 - 2011,1.5
,,2014 - 2015,1.0
,,2018 - 2019,1.0
,,2019 - 2020,0.5
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Hoshangabad,2000 - 2001,0.86
,,2001 - 2002,1.0
,,2002 - 2003,0.82
,,2003 - 2004,1.05
,,2004 - 2005,1.0
,,2005 - 2006,1.14
,,2006 - 2007,1.13
,,2007 - 2008,1.0
,,2008 - 2009,1.1
,,2009 - 2010,
,,2010 - 2011,1.65
,,2011 - 2012,1.48
,,2012 - 2013,1.76
,,2013 - 2014,1.22
,,2014 - 2015,1.0
,,2018 - 2019,1.64
,,2019 - 2020,1.0
,,2021 - 2022,1.2
,Indore,2000 - 2001,0.77
,,2002 - 2003,1.0
,,2003 - 2004,2.0
,,2018 - 2019,2.89
,,2019 - 2020,2.71
,,2022 - 2023,2.67
,Jabalpur,2000 - 2001,0.78
,,2001 - 2002,1.21
,,2005 - 2006,1.2
,,2006 - 2007,1.33
,,2007 - 2008,0.88
,,2008 - 2009,1.48
,,2009 - 2010,
,,2013 - 2014,1.0
,,2018 - 2019,1.32
,,2019 - 2020,1.73
,,2020 - 2021,1.2
,Jhabua,2000 - 2001,0.24
,,2001 - 2002,0.43
,,2002 - 2003,0.33
,,2003 - 2004,0.6
,,2004 - 2005,0.56
,,2005 - 2006,0.62
,,2006 - 2007,0.58
,,2007 - 2008,0.6
,,2008 - 2009,0.83
,,2009 - 2010,
,,2010 - 2011,0.63
,,2011 - 2012,0.6
,,2012 - 2013,0.5
,,2013 - 2014,1.33
,,2015 - 2016,0.0
,,2017 - 2018,0.75
,,2018 - 2019,0.8
,,2019 - 2020,0.6
,,2020 - 2021,0.9
,,2021 - 2022,0.53
,,2022 - 2023,0.57
,Katni,2005 - 2006,0.5
,,2011 - 2012,0.0
,,2012 - 2013,3.0
,,2019 - 2020,0.5
,Khandwa,2000 - 2001,0.5
,,2001 - 2002,0.46
,,2002 - 2003,0.46
,,2003 - 2004,0.73
,,2004 - 2005,0.62
,,2005 - 2006,0.55
,,2006 - 2007,0.58
,,2007 - 2008,0.78
,,2008 - 2009,0.78
,,2009 - 2010,
,,2010 - 2011,0.84
,,2011 - 2012,0.59
,,2012 - 2013,1.11
,,2013 - 2014,0.75
,,2017 - 2018,0.8
,,2018 - 2019,1.12
,,2019 - 2020,0.53
,,2020 - 2021,0.83
,,2021 - 2022,0.4
,,2022 - 2023,0.56
,Khargone,2000 - 2001,0.28
,,2001 - 2002,0.3
,,2002 - 2003,0.27
,,2003 - 2004,0.4
,,2004 - 2005,0.35
,,2005 - 2006,0.36
,,2006 - 2007,0.52
,,2007 - 2008,0.49
,,2008 - 2009,0.44
,,2009 - 2010,
,,2010 - 2011,0.57
,,2011 - 2012,0.41
,,2012 - 2013,0.58
,,2013 - 2014,0.5
,,2014 - 2015,1.5
,,2015 - 2016,0.0
,,2017 - 2018,1.2
,,2018 - 2019,0.69
,,2019 - 2020,0.53
,,2020 - 2021,0.77
,,2021 - 2022,0.41
,,2022 - 2023,0.76
,Mandla,2018 - 2019,0.67
,Mandsaur,2000 - 2001,0.77
,,2001 - 2002,0.69
,,2002 - 2003,0.43
,,2003 - 2004,0.97
,,2004 - 2005,0.78
,,2005 - 2006,0.64
,,2006 - 2007,1.0
,,2007 - 2008,0.89
,,2008 - 2009,1.06
,,2009 - 2010,
,,2010 - 2011,1.18
,,2011 - 2012,1.0
,,2012 - 2013,1.66
,,2013 - 2014,1.12
,,2017 - 2018,0.65
,,2018 - 2019,1.63
,,2019 - 2020,1.01
,,2020 - 2021,0.95
,,2021 - 2022,0.94
,,2022 - 2023,1.11
,Morena,2000 - 2001,1.68
,,2001 - 2002,1.74
,,2002 - 2003,0.94
,,2003 - 2004,1.71
,,2004 - 2005,1.76
,,2005 - 2006,1.96
,,2006 - 2007,1.76
,,2007 - 2008,1.89
,,2008 - 2009,1.64
,,2009 - 2010,
,,2010 - 2011,2.47
,,2011 - 2012,2.42
,,2012 - 2013,2.36
,,2013 - 2014,2.14
,,2014 - 2015,2.25
,,2015 - 2016,2.89
,,2016 - 2017,2.94
,,2017 - 2018,2.97
,,2018 - 2019,1.71
,,2019 - 2020,2.2
,,2020 - 2021,2.49
,,2021 - 2022,2.78
,,2022 - 2023,3.19
,Narsinghpur,2000 - 2001,1.23
,,2001 - 2002,1.28
,,2002 - 2003,0.7
,,2003 - 2004,1.46
,,2004 - 2005,1.55
,,2005 - 2006,1.64
,,2006 - 2007,1.5
,,2007 - 2008,1.42
,,2008 - 2009,1.5
,,2009 - 2010,
,,2011 - 2012,1.95
,,2013 - 2014,0.89
,,2014 - 2015,1.33
,,2017 - 2018,2.54
,,2018 - 2019,1.43
,,2019 - 2020,1.5
,,2020 - 2021,1.57
,,2022 - 2023,2.0
,Neemuch,2000 - 2001,0.52
,,2001 - 2002,0.9
,,2002 - 2003,0.42
,,2003 - 2004,1.05
,,2004 - 2005,0.86
,,2005 - 2006,0.65
,,2006 - 2007,0.86
,,2007 - 2008,0.85
,,2008 - 2009,0.93
,,2009 - 2010,
,,2010 - 2011,1.22
,,2011 - 2012,1.09
,,2012 - 2013,1.5
,,2013 - 2014,1.0
,,2018 - 2019,1.69
,,2019 - 2020,0.63
,,2020 - 2021,0.4
,,2021 - 2022,0.72
,,2022 - 2023,0.84
,Niwari,2021 - 2022,0.75
,,2022 - 2023,1.0
,Panna,2000 - 2001,1.03
,,2001 - 2002,0.97
,,2002 - 2003,0.88
,,2003 - 2004,1.1
,,2004 - 2005,0.84
,,2005 - 2006,1.03
,,2006 - 2007,0.8
,,2007 - 2008,0.76
,,2008 - 2009,1.42
,,2009 - 2010,
,,2010 - 2011,1.47
,,2011 - 2012,1.15
,,2012 - 2013,1.0
,,2013 - 2014,1.33
,,2014 - 2015,1.5
,,2018 - 2019,1.25
,,2019 - 2020,1.3
,,2020 - 2021,1.25
,,2022 - 2023,1.5
,Raisen,2001 - 2002,1.5
,,2003 - 2004,1.69
,,2005 - 2006,1.5
,,2006 - 2007,1.86
,,2007 - 2008,1.63
,,2010 - 2011,2.0
,,2012 - 2013,2.8
,,2013 - 2014,1.71
,,2014 - 2015,2.0
,,2018 - 2019,3.0
,,2019 - 2020,1.54
,,2020 - 2021,1.5
,,2022 - 2023,1.5
,Rajgarh,2003 - 2004,1.0
,,2013 - 2014,0.92
,,2018 - 2019,1.25
,,2019 - 2020,0.92
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Ratlam,2000 - 2001,1.11
,,2001 - 2002,0.8
,,2002 - 2003,0.47
,,2003 - 2004,1.38
,,2004 - 2005,1.38
,,2005 - 2006,1.62
,,2006 - 2007,1.6
,,2007 - 2008,1.46
,,2008 - 2009,1.7
,,2009 - 2010,
,,2010 - 2011,1.67
,,2011 - 2012,2.25
,,2018 - 2019,2.41
,,2019 - 2020,1.09
,,2020 - 2021,1.21
,,2022 - 2023,1.67
,Rewa,2000 - 2001,0.62
,,2001 - 2002,0.46
,,2002 - 2003,0.4
,,2003 - 2004,0.53
,,2004 - 2005,0.53
,,2005 - 2006,0.49
,,2006 - 2007,0.35
,,2007 - 2008,0.42
,,2008 - 2009,0.56
,,2009 - 2010,
,,2010 - 2011,0.56
,,2011 - 2012,0.52
,,2012 - 2013,0.37
,,2013 - 2014,0.41
,,2014 - 2015,1.5
,,2015 - 2016,1.0
,,2017 - 2018,1.66
,,2018 - 2019,0.58
,,2019 - 2020,0.47
,,2020 - 2021,0.28
,,2021 - 2022,0.42
,,2022 - 2023,0.68
,Sagar,2000 - 2001,1.0
,,2001 - 2002,1.0
,,2002 - 2003,0.1
,,2003 - 2004,0.91
