state,district,year,bajra_kharif_yield_tonne_per_hectare
,Sitamarhi,2007 - 2008,1.04
,,2008 - 2009,1.08
,,2010 - 2011,1.12
,Siwan,2000 - 2001,0.46
,,2001 - 2002,0.74
,,2002 - 2003,0.75
,,2003 - 2004,1.05
,,2004 - 2005,1.08
,,2005 - 2006,1.08
,,2006 - 2007,1.07
,,2007 - 2008,1.13
,,2008 - 2009,1.2
,,2009 - 2010,1.1
,,2010 - 2011,1.12
,,2011 - 2012,1.13
,,2012 - 2013,1.14
,,2013 - 2014,1.14
,,2014 - 2015,1.14
,,2015 - 2016,1.13
,,2016 - 2017,1.14
,,2017 - 2018,1.14
,,2018 - 2019,1.14
,,2019 - 2020,1.13
,,2020 - 2021,1.14
,,2021 - 2022,1.14
,,2022 - 2023,1.14
,Vaishali,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
Chhattisgarh,Baloda bazar,2014 - 2015,0.71
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Balrampur,2019 - 2020,0.5
,,2020 - 2021,0.5
,,2021 - 2022,0.06
,,2022 - 2023,0.36
,Bastar,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Bemetara,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,0.5
,Bijapur,2017 - 2018,0.0
,Bilaspur,2009 - 2010,0.0
,,2010 - 2011,0.43
,,2011 - 2012,0.43
,,2012 - 2013,0.5
,,2013 - 2014,
,,2014 - 2015,0.4
,,2015 - 2016,0.33
,,2016 - 2017,0.4
,,2017 - 2018,0.44
,,2018 - 2019,0.42
,Dantewada,2022 - 2023,1.4
,Durg,2000 - 2001,0.35
,,2001 - 2002,0.5
,,2017 - 2018,0.33
,,2019 - 2020,1.0
,,2021 - 2022,1.0
,,2022 - 2023,0.75
,Gariyaband,2011 - 2012,0.83
,,2012 - 2013,0.83
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Gaurella-pendra-marwahi,2019 - 2020,0.5
,,2020 - 2021,0.71
,,2021 - 2022,0.6
,,2022 - 2023,1.0
,Jashpur,2000 - 2001,0.36
,,2001 - 2002,0.39
,,2002 - 2003,0.43
,,2003 - 2004,0.36
,,2004 - 2005,0.33
,,2005 - 2006,0.35
,,2006 - 2007,0.32
,,2007 - 2008,0.43
,,2008 - 2009,0.4
,,2009 - 2010,0.38
,,2010 - 2011,0.33
,,2011 - 2012,0.42
,,2012 - 2013,0.4
,,2013 - 2014,
,,2014 - 2015,0.41
,,2015 - 2016,0.32
,,2016 - 2017,0.41
,,2017 - 2018,0.43
,,2018 - 2019,0.38
,,2019 - 2020,0.5
,,2020 - 2021,0.36
,,2021 - 2022,0.43
,,2022 - 2023,0.33
,Kabirdham,2000 - 2001,0.78
