state,district,year,khesari_rabi_yield_tonne_per_hectare
,,2017 - 2018,1.13
,,2018 - 2019,0.89
,,2019 - 2020,0.76
,,2020 - 2021,1.08
,,2021 - 2022,1.04
,,2022 - 2023,1.11
,Saran,2000 - 2001,0.92
,,2001 - 2002,0.82
,,2002 - 2003,0.81
,,2003 - 2004,0.92
,,2004 - 2005,0.67
,,2005 - 2006,0.79
,,2006 - 2007,0.79
,,2007 - 2008,0.84
,,2008 - 2009,0.82
,,2009 - 2010,1.04
,,2010 - 2011,0.99
,,2011 - 2012,1.27
,,2012 - 2013,1.17
,,2013 - 2014,1.12
,,2014 - 2015,0.99
,,2015 - 2016,0.94
,,2016 - 2017,1.1
,,2017 - 2018,1.06
,,2018 - 2019,1.0
,,2019 - 2020,0.77
,,2020 - 2021,1.0
,,2022 - 2023,1.17
,Sheikhpura,2000 - 2001,0.95
,,2001 - 2002,0.75
,,2002 - 2003,0.88
,,2003 - 2004,1.0
,,2004 - 2005,0.51
,,2005 - 2006,1.2
,,2006 - 2007,1.11
,,2007 - 2008,1.0
,,2008 - 2009,1.23
,,2009 - 2010,1.43
,,2010 - 2011,0.84
,,2011 - 2012,1.34
,,2012 - 2013,1.22
,,2013 - 2014,1.16
,,2014 - 2015,0.95
,,2015 - 2016,1.28
,,2016 - 2017,1.21
,,2017 - 2018,0.99
,,2018 - 2019,1.18
,,2019 - 2020,1.0
,,2020 - 2021,0.7
,,2021 - 2022,0.73
,,2022 - 2023,0.83
,Sheohar,2000 - 2001,0.61
,,2001 - 2002,0.82
,,2002 - 2003,0.61
,,2003 - 2004,0.84
,,2004 - 2005,0.52
,,2005 - 2006,0.48
,,2006 - 2007,0.79
,,2007 - 2008,0.84
,,2008 - 2009,0.82
,,2009 - 2010,1.03
,,2010 - 2011,0.98
,,2011 - 2012,0.76
,,2012 - 2013,0.79
,,2013 - 2014,1.12
,,2014 - 2015,0.99
,,2015 - 2016,0.94
,,2016 - 2017,0.54
,,2017 - 2018,0.44
,,2018 - 2019,0.63
,,2019 - 2020,0.83
,,2020 - 2021,0.85
,,2021 - 2022,1.29
,,2022 - 2023,0.76
,Sitamarhi,2000 - 2001,0.61
,,2001 - 2002,0.82
,,2002 - 2003,0.61
,,2003 - 2004,0.84
,,2004 - 2005,0.52
,,2005 - 2006,0.48
,,2006 - 2007,0.79
,,2007 - 2008,0.84
,,2008 - 2009,0.82
,,2009 - 2010,1.04
,,2010 - 2011,0.98
,,2011 - 2012,0.76
,,2012 - 2013,0.79
,,2013 - 2014,1.12
,,2014 - 2015,0.99
,,2015 - 2016,0.94
,,2016 - 2017,0.54
,,2017 - 2018,0.44
,,2018 - 2019,0.64
,,2019 - 2020,0.83
,,2020 - 2021,0.86
,,2021 - 2022,1.3
,,2022 - 2023,0.76
,Siwan,2004 - 2005,0.69
,,2005 - 2006,0.8
,,2006 - 2007,0.8
,,2007 - 2008,0.81
,,2009 - 2010,1.06
,Supaul,2000 - 2001,0.57
,,2001 - 2002,0.59
,,2002 - 2003,0.58
,,2003 - 2004,0.64
,,2004 - 2005,0.35
,,2005 - 2006,0.47
,,2006 - 2007,0.72
,,2007 - 2008,0.64
,,2008 - 2009,0.95
,,2009 - 2010,0.33
,,2010 - 2011,0.58
,,2011 - 2012,0.59
,,2012 - 2013,0.68
,,2013 - 2014,0.83
,,2014 - 2015,0.66
,,2015 - 2016,0.89
,,2016 - 2017,1.06
,,2017 - 2018,0.2
,,2018 - 2019,0.54
,,2019 - 2020,1.03
,,2020 - 2021,0.85
,,2021 - 2022,1.37
,,2022 - 2023,1.1
,Vaishali,2000 - 2001,0.61
,,2001 - 2002,0.82
,,2002 - 2003,0.61
,,2003 - 2004,0.85
,,2004 - 2005,0.51
,,2005 - 2006,0.48
,,2006 - 2007,0.78
,,2007 - 2008,0.84
,,2008 - 2009,0.82
,,2009 - 2010,1.03
,,2010 - 2011,0.98
,,2011 - 2012,0.76
,,2012 - 2013,0.78
,,2013 - 2014,1.11
,,2014 - 2015,1.0
,,2015 - 2016,0.93
,,2016 - 2017,0.55
,,2017 - 2018,0.42
,,2018 - 2019,0.63
,,2019 - 2020,0.83
,,2020 - 2021,0.86
,,2021 - 2022,1.31
,,2022 - 2023,0.76
Chhattisgarh,Balod,2011 - 2012,0.53
,,2012 - 2013,0.42
,,2013 - 2014,0.42
,,2014 - 2015,0.73
,,2015 - 2016,0.4
,,2016 - 2017,1.64
,,2017 - 2018,0.42
,,2018 - 2019,0.57
,,2019 - 2020,0.24
,,2020 - 2021,0.53
,,2021 - 2022,0.45
,,2022 - 2023,0.59
,Baloda bazar,2011 - 2012,0.46
,,2012 - 2013,0.49
,,2013 - 2014,0.54
,,2014 - 2015,1.07
,,2015 - 2016,0.41
,,2016 - 2017,2.35
,,2017 - 2018,0.41
,,2018 - 2019,0.49
,,2019 - 2020,0.24
,,2020 - 2021,0.47
,,2021 - 2022,0.39
,,2022 - 2023,0.57
,Balrampur,2016 - 2017,3.0
,,2017 - 2018,0.4
,,2018 - 2019,0.44
,,2019 - 2020,0.24
,,2020 - 2021,0.5
,,2021 - 2022,0.67
,Bastar,2000 - 2001,0.55
,,2001 - 2002,0.75
,,2002 - 2003,0.67
,,2003 - 2004,0.77
,,2004 - 2005,0.58
,,2005 - 2006,0.62
,,2006 - 2007,0.67
,,2007 - 2008,0.8
,,2008 - 2009,0.33
,,2009 - 2010,0.73
,,2010 - 2011,0.83
,,2012 - 2013,0.57
,,2013 - 2014,0.63
,,2014 - 2015,1.25
,,2015 - 2016,0.4
,,2016 - 2017,2.5
,,2017 - 2018,0.6
,,2018 - 2019,1.0
,,2019 - 2020,0.5
,,2021 - 2022,0.8
,,2022 - 2023,1.0
,Bemetara,2011 - 2012,0.53
,,2012 - 2013,0.39
,,2013 - 2014,0.44
,,2014 - 2015,0.76
,,2015 - 2016,0.37
,,2016 - 2017,1.86
,,2017 - 2018,0.38
,,2018 - 2019,0.49
,,2019 - 2020,0.21
,,2020 - 2021,0.5
,,2021 - 2022,0.45
,,2022 - 2023,0.58
,Bilaspur,2000 - 2001,0.53
,,2001 - 2002,0.61
,,2002 - 2003,0.6
,,2003 - 2004,0.74
,,2004 - 2005,0.58
,,2005 - 2006,0.53
,,2006 - 2007,0.64
,,2007 - 2008,0.72
,,2008 - 2009,0.32
,,2009 - 2010,0.77
,,2010 - 2011,0.79
,,2011 - 2012,0.77
,,2012 - 2013,0.65
,,2013 - 2014,0.73
,,2014 - 2015,1.24
,,2015 - 2016,0.63
,,2016 - 2017,1.08
,,2017 - 2018,0.66
,,2018 - 2019,0.76
,,2019 - 2020,0.34
,,2020 - 2021,0.67
,,2021 - 2022,0.67
,,2022 - 2023,0.78
,Dhamtari,2000 - 2001,0.52
,,2001 - 2002,0.57
,,2002 - 2003,0.61
,,2003 - 2004,0.62
,,2004 - 2005,0.44
,,2005 - 2006,0.47
,,2006 - 2007,0.56
,,2007 - 2008,1.25
,,2008 - 2009,0.55
,,2009 - 2010,0.66
,,2010 - 2011,0.65
,,2011 - 2012,0.64
,,2012 - 2013,0.5
,,2013 - 2014,0.6
,,2014 - 2015,1.01
,,2015 - 2016,0.63
,,2016 - 2017,1.17
,,2017 - 2018,0.66
,,2018 - 2019,0.62
,,2019 - 2020,0.36
,,2020 - 2021,0.75
,,2021 - 2022,0.62
,,2022 - 2023,0.79
,Durg,2000 - 2001,0.37
,,2001 - 2002,0.53
,,2002 - 2003,0.47
,,2003 - 2004,0.56
,,2004 - 2005,0.28
,,2005 - 2006,0.46
,,2006 - 2007,0.51
,,2007 - 2008,2.61
,,2008 - 2009,1.15
,,2009 - 2010,0.49
,,2010 - 2011,0.54
,,2011 - 2012,0.53
,,2012 - 2013,0.42
,,2013 - 2014,0.42
,,2014 - 2015,0.83
,,2015 - 2016,0.51
,,2016 - 2017,1.03
,,2017 - 2018,0.58
,,2018 - 2019,0.76
,,2019 - 2020,0.08
,,2020 - 2021,0.58
,,2021 - 2022,0.48
,,2022 - 2023,0.68
,Gariyaband,2011 - 2012,0.46
,,2012 - 2013,0.42
,,2013 - 2014,0.5
,,2014 - 2015,0.77
,,2015 - 2016,0.47
,,2016 - 2017,1.57
,,2017 - 2018,0.45
,,2018 - 2019,0.62
,,2019 - 2020,0.27
,,2020 - 2021,0.63
,,2021 - 2022,0.52
,,2022 - 2023,0.58
,Gaurella-pendra-marwahi,2019 - 2020,0.34
,,2020 - 2021,0.83
,,2021 - 2022,0.69
,,2022 - 2023,0.8
,Janjgir-champa,2000 - 2001,0.56
,,2001 - 2002,0.7
,,2002 - 2003,0.6
,,2003 - 2004,0.73
,,2004 - 2005,0.51
,,2005 - 2006,0.55
,,2006 - 2007,0.67
,,2007 - 2008,0.72
,,2008 - 2009,0.32
,,2009 - 2010,0.77
,,2010 - 2011,0.79
,,2011 - 2012,0.77
,,2012 - 2013,0.58
