state,district,year,ragi_kharif_yield_tonne_per_hectare
,,2001 - 2002,0.75
,,2002 - 2003,0.85
,,2003 - 2004,0.24
,,2004 - 2005,0.86
,,2005 - 2006,0.77
,,2006 - 2007,0.6
,,2007 - 2008,0.82
,,2008 - 2009,0.81
,,2009 - 2010,0.59
,,2010 - 2011,0.94
,,2011 - 2012,1.53
,,2012 - 2013,1.18
,,2013 - 2014,1.01
,,2014 - 2015,1.47
,,2015 - 2016,1.43
,,2016 - 2017,0.72
,,2017 - 2018,0.99
,,2018 - 2019,1.07
,,2019 - 2020,0.8
,,2020 - 2021,0.93
,,2021 - 2022,0.98
,,2022 - 2023,1.0
,Lakhisarai,2003 - 2004,0.69
,Madhepura,2000 - 2001,1.09
,,2001 - 2002,0.61
,,2002 - 2003,0.54
,,2003 - 2004,0.8
,,2004 - 2005,1.25
,,2005 - 2006,0.56
,,2006 - 2007,0.81
,,2007 - 2008,1.09
,,2008 - 2009,0.96
,,2009 - 2010,0.83
,,2010 - 2011,0.56
,,2011 - 2012,0.88
,,2012 - 2013,0.92
,,2013 - 2014,0.93
,,2014 - 2015,1.45
,,2015 - 2016,1.0
,,2016 - 2017,0.51
,,2017 - 2018,0.73
,,2018 - 2019,2.5
,,2019 - 2020,0.63
,,2020 - 2021,0.95
,,2022 - 2023,1.14
,Madhubani,2000 - 2001,0.9
,,2001 - 2002,1.03
,,2002 - 2003,0.81
,,2003 - 2004,0.55
,,2004 - 2005,0.9
,,2005 - 2006,1.06
,,2006 - 2007,1.3
,,2007 - 2008,0.45
,,2008 - 2009,0.61
,,2009 - 2010,0.9
,,2010 - 2011,0.78
,,2011 - 2012,1.05
,,2012 - 2013,1.23
,,2013 - 2014,1.18
,,2014 - 2015,0.8
,,2015 - 2016,2.72
,,2016 - 2017,0.68
,,2017 - 2018,1.86
,,2018 - 2019,1.54
,,2019 - 2020,1.15
,,2020 - 2021,1.09
,,2021 - 2022,1.18
,,2022 - 2023,1.11
,Munger,2000 - 2001,1.0
,,2011 - 2012,1.21
,,2012 - 2013,1.2
,Muzaffarpur,2000 - 2001,1.18
,,2001 - 2002,0.78
,,2002 - 2003,0.86
,,2003 - 2004,0.53
,,2004 - 2005,0.35
,,2005 - 2006,0.4
,,2006 - 2007,0.88
,,2007 - 2008,0.6
,,2008 - 2009,0.81
,,2009 - 2010,0.69
,,2010 - 2011,1.56
,,2011 - 2012,1.74
,,2012 - 2013,1.9
,,2013 - 2014,0.94
,,2014 - 2015,0.47
,,2015 - 2016,1.03
,,2016 - 2017,0.73
,,2017 - 2018,1.0
,Nalanda,2000 - 2001,1.1
,,2001 - 2002,0.88
,,2002 - 2003,0.69
,,2003 - 2004,0.67
,,2004 - 2005,0.67
,,2005 - 2006,0.89
,,2006 - 2007,0.87
,,2007 - 2008,0.6
,,2008 - 2009,0.81
,,2009 - 2010,0.82
,,2010 - 2011,1.0
,,2011 - 2012,1.21
,,2012 - 2013,1.18
,,2013 - 2014,1.0
,,2014 - 2015,1.5
,,2015 - 2016,1.43
,,2016 - 2017,0.8
,,2017 - 2018,1.0
,,2019 - 2020,0.83
,,2020 - 2021,1.0
,Nawada,2000 - 2001,1.1
,,2001 - 2002,0.88
,,2002 - 2003,0.69
,,2003 - 2004,0.68
,,2004 - 2005,0.67
,,2005 - 2006,0.9
,,2006 - 2007,0.88
,,2007 - 2008,0.6
,,2008 - 2009,0.81
,,2009 - 2010,0.8
,,2010 - 2011,0.98
,,2011 - 2012,1.21
,,2012 - 2013,1.18
,,2013 - 2014,1.02
,,2014 - 2015,1.48
,,2015 - 2016,1.43
,,2016 - 2017,0.73
,,2017 - 2018,0.99
,,2018 - 2019,1.07
,,2019 - 2020,0.8
,,2020 - 2021,0.94
,,2021 - 2022,0.98
,,2022 - 2023,1.0
,Pashchim champaran,2000 - 2001,0.9
,,2001 - 2002,0.92
,,2002 - 2003,0.81
,,2003 - 2004,0.73
,,2004 - 2005,0.29
,,2005 - 2006,0.4
,,2006 - 2007,0.87
,,2007 - 2008,0.62
,,2008 - 2009,0.81
,,2009 - 2010,0.71
,,2010 - 2011,1.56
,,2011 - 2012,1.78
,,2012 - 2013,1.88
,,2013 - 2014,1.0
,,2014 - 2015,1.29
,,2015 - 2016,1.0
,,2016 - 2017,0.5
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,Patna,2000 - 2001,1.1
,,2001 - 2002,0.86
,,2002 - 2003,0.69
,,2003 - 2004,0.65
,,2004 - 2005,0.6
,,2012 - 2013,1.18
,,2013 - 2014,1.0
,,2014 - 2015,1.48
,,2015 - 2016,1.44
,,2016 - 2017,0.72
,,2018 - 2019,1.0
,,2019 - 2020,0.8
,Purbi champaran,2000 - 2001,0.9
,,2001 - 2002,0.94
,,2002 - 2003,0.8
,,2003 - 2004,0.74
,,2004 - 2005,0.27
,,2005 - 2006,0.38
,,2006 - 2007,0.89
,,2007 - 2008,0.61
,,2008 - 2009,0.83
,,2009 - 2010,0.69
,,2010 - 2011,1.55
,,2011 - 2012,1.72
,,2012 - 2013,1.92
,Purnia,2000 - 2001,2.59
,,2001 - 2002,0.75
,,2002 - 2003,0.84
,,2003 - 2004,0.23
,,2004 - 2005,0.86
,,2005 - 2006,0.78
,,2006 - 2007,0.6
,Rohtas,2000 - 2001,1.09
,,2001 - 2002,1.0
,,2002 - 2003,0.69
,,2003 - 2004,0.68
,,2004 - 2005,0.67
,,2005 - 2006,0.91
,,2006 - 2007,0.88
,,2010 - 2011,1.0
,,2012 - 2013,1.0
,Saharsa,2000 - 2001,0.82
