state,district,year,ragi_kharif_yield_tonne_per_hectare
,,2008 - 2009,0.6
,,2009 - 2010,1.09
,,2011 - 2012,1.09
,,2012 - 2013,1.56
,,2013 - 2014,2.0
,,2014 - 2015,1.8
,,2015 - 2016,2.0
,,2016 - 2017,0.81
,,2018 - 2019,1.2
,,2019 - 2020,1.75
,,2020 - 2021,1.76
,,2021 - 2022,1.32
,,2022 - 2023,1.39
,Gulbarga,2000 - 2001,1.17
,,2005 - 2006,1.17
,,2018 - 2019,1.2
,,2019 - 2020,1.75
,,2020 - 2021,1.77
,,2021 - 2022,1.33
,,2022 - 2023,1.43
,Hassan,2000 - 2001,1.76
,,2001 - 2002,1.7
,,2002 - 2003,1.09
,,2003 - 2004,0.9
,,2004 - 2005,1.78
,,2005 - 2006,1.57
,,2006 - 2007,1.33
,,2007 - 2008,1.35
,,2008 - 2009,1.46
,,2009 - 2010,1.55
,,2010 - 2011,2.0
,,2011 - 2012,1.3
,,2012 - 2013,1.02
,,2013 - 2014,1.84
,,2014 - 2015,2.24
,,2015 - 2016,1.61
,,2016 - 2017,0.73
,,2017 - 2018,2.6
,,2018 - 2019,0.84
,,2019 - 2020,1.61
,,2020 - 2021,1.06
,,2021 - 2022,0.73
,,2022 - 2023,1.14
,Haveri,2000 - 2001,1.6
,,2001 - 2002,0.64
,,2002 - 2003,0.52
,,2003 - 2004,0.31
,,2004 - 2005,1.25
,,2005 - 2006,1.4
,,2006 - 2007,1.04
,,2007 - 2008,1.04
,,2008 - 2009,1.27
,,2009 - 2010,0.66
,,2010 - 2011,0.57
,,2011 - 2012,0.87
,,2012 - 2013,0.39
,,2013 - 2014,0.55
,,2014 - 2015,0.71
,,2015 - 2016,0.75
,,2016 - 2017,0.62
,,2017 - 2018,1.25
,,2018 - 2019,1.13
,,2019 - 2020,0.79
,,2020 - 2021,0.92
,,2021 - 2022,0.87
,,2022 - 2023,0.36
,Kodagu,2000 - 2001,1.69
,,2001 - 2002,1.51
,,2002 - 2003,0.84
,,2003 - 2004,1.14
,,2004 - 2005,1.7
,,2005 - 2006,1.7
,,2006 - 2007,1.03
,,2007 - 2008,1.58
,,2008 - 2009,1.23
,,2009 - 2010,1.11
,,2010 - 2011,1.9
,,2011 - 2012,1.68
,,2012 - 2013,0.83
,,2018 - 2019,1.21
,,2019 - 2020,1.76
,,2020 - 2021,1.78
,,2021 - 2022,1.28
,,2022 - 2023,1.0
,Kolar,2000 - 2001,1.84
,,2001 - 2002,1.65
,,2002 - 2003,0.59
,,2003 - 2004,1.46
,,2004 - 2005,1.4
,,2005 - 2006,1.82
,,2006 - 2007,1.17
,,2007 - 2008,1.2
,,2008 - 2009,1.62
,,2009 - 2010,1.35
,,2010 - 2011,1.9
,,2011 - 2012,1.97
,,2012 - 2013,2.41
,,2013 - 2014,2.25
,,2014 - 2015,1.35
,,2015 - 2016,1.13
,,2016 - 2017,0.43
,,2017 - 2018,2.74
,,2018 - 2019,0.98
,,2019 - 2020,1.97
,,2020 - 2021,2.21
,,2021 - 2022,1.78
,,2022 - 2023,1.72
,Koppal,2018 - 2019,1.2
,,2019 - 2020,1.74
,,2020 - 2021,1.76
,,2021 - 2022,1.31
,,2022 - 2023,1.38
,Mandya,2000 - 2001,2.04
,,2001 - 2002,1.88
,,2002 - 2003,1.06
,,2003 - 2004,1.14
,,2004 - 2005,2.03
,,2005 - 2006,1.96
,,2006 - 2007,1.09
,,2007 - 2008,1.85
,,2008 - 2009,1.29
,,2009 - 2010,1.45
,,2010 - 2011,2.26
,,2011 - 2012,1.68
,,2012 - 2013,1.6
,,2013 - 2014,1.94
,,2014 - 2015,1.76
,,2015 - 2016,1.84
,,2016 - 2017,1.19
,,2017 - 2018,1.65
,,2018 - 2019,1.4
,,2019 - 2020,1.5
,,2020 - 2021,1.6
,,2021 - 2022,1.3
,,2022 - 2023,1.34
,Mysore,2000 - 2001,1.62
,,2001 - 2002,1.66
,,2002 - 2003,0.95
,,2003 - 2004,1.21
,,2004 - 2005,1.84
,,2005 - 2006,2.19
,,2006 - 2007,1.61
,,2007 - 2008,1.7
,,2008 - 2009,1.96
,,2009 - 2010,1.92
,,2010 - 2011,1.57
,,2011 - 2012,1.73
,,2012 - 2013,0.89
,,2013 - 2014,1.74
,,2014 - 2015,2.24
,,2015 - 2016,1.94
,,2016 - 2017,0.9
,,2017 - 2018,1.6
,,2018 - 2019,1.53
,,2019 - 2020,1.45
,,2020 - 2021,1.69
,,2021 - 2022,1.58
,,2022 - 2023,1.65
,Raichur,2018 - 2019,1.2
,,2019 - 2020,1.74
,,2020 - 2021,1.75
,,2021 - 2022,1.32
,,2022 - 2023,1.43
,Ramanagara,2007 - 2008,2.22
,,2008 - 2009,1.76
,,2009 - 2010,1.82
,,2010 - 2011,2.26
,,2011 - 2012,2.34
,,2012 - 2013,2.06
,,2013 - 2014,2.51
,,2014 - 2015,1.97
,,2015 - 2016,1.85
,,2016 - 2017,0.7
,,2017 - 2018,2.47
,,2018 - 2019,1.68
,,2019 - 2020,2.33
,,2020 - 2021,2.24
,,2021 - 2022,1.77
,,2022 - 2023,1.93
,Shimoga,2000 - 2001,1.4
,,2001 - 2002,1.2
,,2002 - 2003,1.08
,,2003 - 2004,1.34
,,2004 - 2005,1.79
,,2005 - 2006,1.43
,,2006 - 2007,1.43
,,2007 - 2008,1.33
,,2008 - 2009,1.26
,,2009 - 2010,1.34
,,2010 - 2011,1.44
,,2011 - 2012,1.51
,,2012 - 2013,1.67
,,2013 - 2014,1.68
,,2014 - 2015,1.84
,,2015 - 2016,1.69
,,2016 - 2017,1.29
,,2017 - 2018,1.84
,,2018 - 2019,1.19
,,2019 - 2020,1.58
,,2020 - 2021,1.64
,,2021 - 2022,1.48
,,2022 - 2023,1.17
,Tumkur,2000 - 2001,1.55
,,2001 - 2002,1.26
,,2002 - 2003,0.83
,,2003 - 2004,1.01
,,2004 - 2005,1.69
,,2005 - 2006,1.5
,,2006 - 2007,0.66
,,2007 - 2008,1.57
,,2008 - 2009,1.06
,,2009 - 2010,1.4
,,2010 - 2011,1.7
,,2011 - 2012,1.51
,,2012 - 2013,1.06
,,2013 - 2014,1.51
,,2014 - 2015,1.89
,,2015 - 2016,1.68
,,2016 - 2017,0.96
,,2017 - 2018,1.57
,,2018 - 2019,1.09
,,2019 - 2020,1.62
,,2020 - 2021,1.63
,,2021 - 2022,1.18
,,2022 - 2023,1.21
,Udupi,2020 - 2021,2.0
,,2021 - 2022,1.0
,,2022 - 2023,
,Uttar kannad,2000 - 2001,1.2
,,2001 - 2002,1.05
,,2002 - 2003,0.48
,,2003 - 2004,1.1
,,2004 - 2005,1.1
,,2005 - 2006,1.24
,,2006 - 2007,0.88
,,2007 - 2008,1.37
,,2008 - 2009,0.64
,,2009 - 2010,1.13
,,2010 - 2011,1.0
,,2011 - 2012,1.17
,,2012 - 2013,1.5
,,2013 - 2014,1.88
,,2014 - 2015,1.88
,,2015 - 2016,1.6
,,2018 - 2019,1.33
,,2019 - 2020,1.67
,,2020 - 2021,1.67
,,2021 - 2022,1.25
,,2022 - 2023,1.33
,Vijayanagar,2022 - 2023,1.16
,Yadgir,2018 - 2019,1.2
,,2019 - 2020,1.75
,,2020 - 2021,1.78
,,2021 - 2022,1.33
,,2022 - 2023,1.33
Kerala,Alappuzha,2007 - 2008,1.0
,,2020 - 2021,
,Ernakulam,2004 - 2005,1.0
,,2006 - 2007,0.75
,Idukki,2000 - 2001,0.88
,,2001 - 2002,0.82
,,2002 - 2003,0.8
,,2003 - 2004,0.8
,,2004 - 2005,0.8
,,2006 - 2007,0.83
,,2007 - 2008,1.0
,,2008 - 2009,0.8
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kannur,2022 - 2023,
,Kasaragod,2008 - 2009,1.0
,,2009 - 2010,0.0
,,2020 - 2021,
,Kollam,2008 - 2009,1.0
,Malappuram,2000 - 2001,0.75
,,2001 - 2002,0.67
,,2002 - 2003,1.0
,,2004 - 2005,0.8
,,2007 - 2008,1.0
,,2012 - 2013,
,Palakkad,2000 - 2001,0.81
,,2001 - 2002,0.81
,,2002 - 2003,0.81
,,2003 - 2004,0.81
,,2004 - 2005,0.81
,,2005 - 2006,0.81
,,2006 - 2007,0.81
,,2007 - 2008,0.81
,,2008 - 2009,0.81
,,2009 - 2010,0.81
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Thiruvananthapuram,2007 - 2008,1.0
,,2022 - 2023,
,Wayanad,2003 - 2004,0.67
,,2004 - 2005,0.5
,,2006 - 2007,0.5
,,2007 - 2008,1.0
,,2008 - 2009,0.67
,,2021 - 2022,
Madhya Pradesh,Balaghat,2000 - 2001,0.27
,,2001 - 2002,0.27
,,2002 - 2003,0.27
,,2003 - 2004,0.27
,,2004 - 2005,0.27
,,2005 - 2006,0.27
,,2007 - 2008,0.31
,,2008 - 2009,0.31
,,2009 - 2010,
,,2010 - 2011,0.31
,,2011 - 2012,0.26
,,2012 - 2013,0.29
,,2013 - 2014,0.3
,Betul,2000 - 2001,0.19
,,2001 - 2002,0.26
,,2002 - 2003,0.24
,,2003 - 2004,0.24
,Chhatarpur,2001 - 2002,0.33
,,2002 - 2003,0.2
,Chhindwara,2000 - 2001,0.33
,,2003 - 2004,0.33
,,2005 - 2006,0.5
,,2009 - 2010,
,,2010 - 2011,0.0
,,2012 - 2013,0.39
,Dhar,2002 - 2003,0.05
,,2004 - 2005,0.3
,,2008 - 2009,0.31
,Dindori,2000 - 2001,0.1
,,2001 - 2002,0.2
,,2002 - 2003,0.1
,,2003 - 2004,0.1
,Hoshangabad,2000 - 2001,0.29
,,2001 - 2002,0.25
,,2002 - 2003,0.24
,,2003 - 2004,0.25
,,2012 - 2013,0.0
,Jabalpur,2004 - 2005,0.34
,Jhabua,2008 - 2009,0.0
,Katni,2012 - 2013,0.29
,,2013 - 2014,1.09
,Khandwa,2000 - 2001,0.17
,,2002 - 2003,0.33
,Mandla,2003 - 2004,0.2
,,2004 - 2005,0.33
,,2005 - 2006,0.0
,Narsinghpur,2007 - 2008,0.28
,Panna,2002 - 2003,0.17
,Sagar,2002 - 2003,0.16
,,2004 - 2005,0.27
,,2007 - 2008,0.25
,,2008 - 2009,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.0
,,2013 - 2014,0.0
,Satna,2001 - 2002,0.17
,,2010 - 2011,0.0
,Seoni,2000 - 2001,0.03
,,2001 - 2002,0.33
,,2002 - 2003,0.03
,,2003 - 2004,0.27
,Shivpuri,2001 - 2002,0.25
,Sidhi,2002 - 2003,0.25
,,2005 - 2006,0.5
,,2007 - 2008,0.0
,Singrauli,2008 - 2009,0.5
,Tikamgarh,2000 - 2001,0.41
,,2001 - 2002,0.26
Maharashtra,Ahilyanagar,2000 - 2001,0.9
,,2001 - 2002,1.52
,,2002 - 2003,0.85
,,2003 - 2004,0.8
,,2004 - 2005,0.8
,,2005 - 2006,0.79
,,2006 - 2007,0.68
,,2007 - 2008,0.88
,,2008 - 2009,1.0
,,2009 - 2010,0.65
,,2010 - 2011,0.93
,,2011 - 2012,1.14
,,2012 - 2013,1.11
,,2013 - 2014,1.29
,,2014 - 2015,1.1
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,0.71
,,2019 - 2020,1.15
,,2020 - 2021,0.79
,,2021 - 2022,1.18
,,2022 - 2023,0.95
,Beed,2019 - 2020,1.05
,Buldhana,2016 - 2017,0.6
,,2019 - 2020,1.0
,Chhatrapati Sambhajinagar,2019 - 2020,1.04
,Dharashiv,2019 - 2020,1.0
,,2020 - 2021,0.79
,,2021 - 2022,1.18
,Dhule,2000 - 2001,0.46
,,2001 - 2002,1.37
,,2002 - 2003,0.72
,,2003 - 2004,1.09
,,2004 - 2005,1.17
,,2005 - 2006,0.72
,,2006 - 2007,0.63
,,2007 - 2008,0.97
,,2008 - 2009,0.57
,,2009 - 2010,0.62
,,2010 - 2011,1.2
,,2011 - 2012,0.75
,,2012 - 2013,1.38
,,2013 - 2014,1.63
,,2014 - 2015,1.3
,,2015 - 2016,0.45
,,2016 - 2017,1.11
,,2017 - 2018,1.38
,,2018 - 2019,0.66
,,2019 - 2020,0.65
,,2020 - 2021,0.97
,,2021 - 2022,0.62
,,2022 - 2023,1.07
,Kolhapur,2000 - 2001,1.4
,,2001 - 2002,1.91
,,2002 - 2003,1.41
,,2003 - 2004,1.58
,,2004 - 2005,1.28
,,2005 - 2006,1.33
,,2006 - 2007,1.32
,,2007 - 2008,1.49
,,2008 - 2009,1.32
,,2009 - 2010,1.54
,,2010 - 2011,1.86
,,2011 - 2012,1.45
,,2012 - 2013,1.62
,,2013 - 2014,1.5
,,2014 - 2015,1.6
,,2015 - 2016,1.31
,,2016 - 2017,1.66
,,2017 - 2018,1.6
,,2018 - 2019,1.61
,,2019 - 2020,1.67
,,2020 - 2021,1.85
,,2021 - 2022,1.97
,,2022 - 2023,2.37
,Nandurbar,2000 - 2001,0.5
,,2001 - 2002,1.0
,,2002 - 2003,0.67
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2008 - 2009,0.75
,,2009 - 2010,0.5
,,2010 - 2011,0.5
,,2015 - 2016,0.0
,,2016 - 2017,1.0
,,2017 - 2018,0.59
,,2018 - 2019,0.85
,,2019 - 2020,0.58
,,2020 - 2021,0.72
,,2021 - 2022,0.78
,,2022 - 2023,1.25
,Nashik,2000 - 2001,0.48
,,2001 - 2002,1.04
,,2002 - 2003,0.61
,,2003 - 2004,0.94
,,2004 - 2005,0.97
,,2005 - 2006,0.9
,,2006 - 2007,0.76
,,2007 - 2008,0.79
,,2008 - 2009,0.89
,,2009 - 2010,0.47
,,2010 - 2011,0.45
,,2011 - 2012,0.91
,,2012 - 2013,0.99
,,2013 - 2014,0.94
,,2014 - 2015,0.67
,,2015 - 2016,0.76
,,2016 - 2017,0.92
,,2017 - 2018,0.73
,,2018 - 2019,0.87
,,2019 - 2020,0.64
,,2020 - 2021,0.7
,,2021 - 2022,0.79
,,2022 - 2023,1.18
,Palghar,2014 - 2015,0.69
,,2015 - 2016,0.79
,,2016 - 2017,0.93
,,2017 - 2018,0.93
,,2018 - 2019,0.71
,,2019 - 2020,0.77
,,2020 - 2021,0.69
,,2021 - 2022,0.74
,,2022 - 2023,0.88
,Pune,2000 - 2001,0.9
,,2001 - 2002,0.83
,,2002 - 2003,0.86
,,2003 - 2004,0.8
,,2004 - 2005,0.81
,,2005 - 2006,0.8
,,2006 - 2007,0.69
,,2007 - 2008,0.89
,,2008 - 2009,1.01
,,2009 - 2010,0.67
,,2010 - 2011,0.91
,,2011 - 2012,1.16
,,2012 - 2013,1.1
,,2013 - 2014,1.28
,,2014 - 2015,1.09
,,2015 - 2016,0.84
,,2016 - 2017,0.83
,,2017 - 2018,0.81
,,2018 - 2019,0.71
,,2019 - 2020,0.72
,,2020 - 2021,0.79
,,2021 - 2022,1.18
,,2022 - 2023,0.95
,Raigad,2000 - 2001,0.66
,,2001 - 2002,0.9
,,2002 - 2003,0.65
,,2003 - 2004,0.87
,,2004 - 2005,0.76
,,2005 - 2006,0.77
,,2006 - 2007,0.73
,,2007 - 2008,0.74
,,2008 - 2009,0.85
,,2009 - 2010,0.82
,,2010 - 2011,0.77
,,2011 - 2012,0.86
,,2012 - 2013,0.82
,,2013 - 2014,0.85
,,2014 - 2015,0.95
,,2015 - 2016,1.0
,,2016 - 2017,0.82
,,2017 - 2018,0.79
,,2018 - 2019,0.92
,,2019 - 2020,0.82
,,2020 - 2021,0.95
,,2021 - 2022,1.21
,,2022 - 2023,1.01
,Ratnagiri,2000 - 2001,1.23
,,2001 - 2002,1.26
,,2002 - 2003,1.12
,,2003 - 2004,1.57
,,2004 - 2005,1.18
,,2005 - 2006,1.22
,,2006 - 2007,1.15
,,2007 - 2008,1.12
,,2008 - 2009,1.3
,,2009 - 2010,1.3
,,2010 - 2011,1.22
,,2011 - 2012,1.36
,,2012 - 2013,1.32
,,2013 - 2014,1.36
,,2014 - 2015,1.33
,,2015 - 2016,1.19
,,2016 - 2017,1.41
,,2017 - 2018,1.51
,,2018 - 2019,1.45
,,2019 - 2020,1.4
,,2020 - 2021,1.45
,,2021 - 2022,1.7
,,2022 - 2023,1.41
,Sangli,2000 - 2001,1.33
,,2001 - 2002,1.56
,,2002 - 2003,1.4
,,2003 - 2004,1.75
,,2004 - 2005,1.25
,,2005 - 2006,1.25
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,2.0
,,2011 - 2012,1.0
,,2020 - 2021,1.75
,,2021 - 2022,1.81
,,2022 - 2023,2.09
,Satara,2000 - 2001,1.09
,,2001 - 2002,1.37
,,2002 - 2003,1.08
,,2003 - 2004,1.78
,,2004 - 2005,0.82
,,2005 - 2006,0.55
,,2006 - 2007,0.72
,,2007 - 2008,0.65
,,2008 - 2009,0.45
,,2009 - 2010,0.79
,,2010 - 2011,1.09
,,2011 - 2012,1.07
,,2012 - 2013,0.88
,,2013 - 2014,1.15
,,2014 - 2015,1.02
,,2015 - 2016,1.06
,,2016 - 2017,0.98
,,2017 - 2018,1.13
,,2018 - 2019,1.06
,,2019 - 2020,1.07
,,2020 - 2021,1.32
,,2021 - 2022,1.2
,,2022 - 2023,1.13
,Sindhudurg,2000 - 2001,1.19
,,2001 - 2002,1.1
,,2002 - 2003,0.78
,,2003 - 2004,1.71
,,2004 - 2005,1.11
,,2005 - 2006,1.03
,,2006 - 2007,1.2
,,2007 - 2008,1.1
,,2008 - 2009,1.1
,,2009 - 2010,1.23
,,2010 - 2011,1.09
,,2011 - 2012,1.06
,,2012 - 2013,1.16
,,2013 - 2014,1.63
,,2014 - 2015,1.58
,,2015 - 2016,1.67
,,2016 - 2017,1.78
,,2017 - 2018,1.44
,,2018 - 2019,1.57
,,2019 - 2020,2.04
,,2020 - 2021,1.78
,,2021 - 2022,1.93
,,2022 - 2023,1.83
,Solapur,2016 - 2017,0.5
,,2019 - 2020,0.84
,,2020 - 2021,0.79
,,2021 - 2022,1.18
,Thane,2000 - 2001,0.44
,,2001 - 2002,0.82
,,2002 - 2003,0.41
,,2003 - 2004,0.78
,,2004 - 2005,1.01
,,2005 - 2006,0.91
,,2006 - 2007,0.8
,,2007 - 2008,0.73
,,2008 - 2009,0.82
,,2009 - 2010,0.61
,,2010 - 2011,0.51
,,2011 - 2012,0.65
,,2012 - 2013,0.79
,,2013 - 2014,0.81
,,2014 - 2015,0.68
,,2015 - 2016,0.67
,,2016 - 2017,1.71
,,2017 - 2018,1.54
,,2018 - 2019,0.89
,,2019 - 2020,0.72
,,2020 - 2021,0.87
,,2021 - 2022,1.01
,,2022 - 2023,1.03
Nagaland,Chumoukedima,2022 - 2023,0.97
,Dimapur,2009 - 2010,0.75
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.25
,,2016 - 2017,1.25
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,0.63
,,2022 - 2023,1.0
,Kiphire,2009 - 2010,0.67
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,0.67
,,2022 - 2023,0.97
,Longleng,2009 - 2010,0.5
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,0.64
,,2022 - 2023,0.97
,Mokokchung,2009 - 2010,0.71
,,2010 - 2011,0.83
,,2011 - 2012,0.86
,,2012 - 2013,0.86
,,2013 - 2014,0.88
,,2014 - 2015,0.88
,,2015 - 2016,0.88
,,2016 - 2017,0.88
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,0.64
,,2022 - 2023,0.97
,Mon,2009 - 2010,0.67
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2022 - 2023,0.95
,Noklak,2021 - 2022,0.65
,,2022 - 2023,0.97
,Nuiland,2022 - 2023,1.0
,Peren,2021 - 2022,0.63
,,2022 - 2023,0.97
,Shamator,2022 - 2023,1.0
,Tuensang,2009 - 2010,0.75
,,2010 - 2011,0.86
,,2011 - 2012,0.88
,,2012 - 2013,0.88
,,2013 - 2014,0.88
,,2014 - 2015,0.88
,,2015 - 2016,0.88
,,2016 - 2017,0.88
,,2017 - 2018,0.88
,,2018 - 2019,0.88
,,2019 - 2020,0.88
,,2020 - 2021,0.88
,,2021 - 2022,0.65
,,2022 - 2023,0.96
,Wokha,2009 - 2010,0.6
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2022 - 2023,0.95
Odisha,Anugul,2000 - 2001,0.36
,,2001 - 2002,0.33
,,2002 - 2003,0.32
,,2003 - 2004,0.42
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,,2021 - 2022,
,,2022 - 2023,
,Balangir,2000 - 2001,0.31
,,2001 - 2002,0.39
,,2002 - 2003,0.25
,,2003 - 2004,0.38
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2016 - 2017,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bargarh,2000 - 2001,0.12
,,2001 - 2002,0.5
,,2002 - 2003,0.47
,,2003 - 2004,0.15
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2012 - 2013,
,,2014 - 2015,
,,2016 - 2017,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Boudh,2000 - 2001,0.18
,,2001 - 2002,0.33
,,2002 - 2003,0.3
,,2003 - 2004,0.53
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2022 - 2023,
,Cuttack,2000 - 2001,0.7
,,2001 - 2002,0.52
,,2002 - 2003,0.48
,,2003 - 2004,0.38
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2021 - 2022,
,Deogarh,2000 - 2001,0.3
,,2001 - 2002,0.44
,,2002 - 2003,0.3
,,2003 - 2004,0.2
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,,2010 - 2011,
,,2016 - 2017,
,Dhenkanal,2000 - 2001,0.31
,,2001 - 2002,0.46
,,2002 - 2003,0.42
,,2003 - 2004,0.52
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Gajapati,2000 - 2001,0.86
,,2001 - 2002,0.85
,,2002 - 2003,0.76
,,2003 - 2004,0.71
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ganjam,2000 - 2001,0.87
,,2001 - 2002,0.88
,,2002 - 2003,0.79
,,2003 - 2004,0.85
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jagatsinghapur,2003 - 2004,0.5
,,2004 - 2005,
,,2007 - 2008,
,,2008 - 2009,
,,2014 - 2015,
,Jharsuguda,2000 - 2001,0.25
,,2001 - 2002,0.25
,,2002 - 2003,0.0
,,2003 - 2004,0.2
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2012 - 2013,
,,2017 - 2018,
,,2021 - 2022,
,,2022 - 2023,
,Kalahandi,2000 - 2001,0.43
,,2001 - 2002,0.41
,,2002 - 2003,0.29
,,2003 - 2004,0.41
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kandhamal,2000 - 2001,0.44
,,2001 - 2002,0.39
,,2002 - 2003,0.35
,,2003 - 2004,0.31
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kendrapara,2000 - 2001,0.4
,,2002 - 2003,0.4
,,2022 - 2023,
,Kendujhar,2000 - 2001,0.28
,,2001 - 2002,0.95
,,2002 - 2003,0.79
,,2003 - 2004,0.8
,,2005 - 2006,
,,2006 - 2007,
,,2016 - 2017,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
