state,district,year,banana_whole_year_yield_tonne_per_hectare
,,2006 - 2007,22.65
,,2007 - 2008,20.01
,,2008 - 2009,17.22
,,2009 - 2010,23.72
,,2010 - 2011,25.85
,,2011 - 2012,27.13
,Hassan,2000 - 2001,17.42
,,2002 - 2003,16.84
,,2003 - 2004,5.7
,,2004 - 2005,5.37
,,2005 - 2006,17.29
,,2006 - 2007,21.04
,,2007 - 2008,15.74
,,2008 - 2009,12.4
,,2009 - 2010,13.58
,,2010 - 2011,15.58
,,2011 - 2012,17.32
,Haveri,2000 - 2001,18.38
,,2002 - 2003,25.52
,,2003 - 2004,40.87
,,2004 - 2005,38.8
,,2005 - 2006,34.9
,,2006 - 2007,32.25
,,2007 - 2008,59.39
,,2008 - 2009,38.58
,,2009 - 2010,25.91
,,2010 - 2011,27.81
,,2011 - 2012,28.89
,Kodagu,2000 - 2001,18.38
,,2002 - 2003,13.36
,,2003 - 2004,3.11
,,2004 - 2005,17.86
,,2005 - 2006,13.21
,,2006 - 2007,4.76
,,2007 - 2008,5.72
,,2008 - 2009,6.47
,,2009 - 2010,3.11
,,2010 - 2011,5.13
,,2011 - 2012,7.09
,Kolar,2000 - 2001,18.38
,,2002 - 2003,13.41
,,2003 - 2004,30.84
,,2004 - 2005,6.81
,,2005 - 2006,16.76
,,2006 - 2007,30.48
,,2007 - 2008,10.25
,,2008 - 2009,32.6
,,2009 - 2010,14.34
,,2010 - 2011,12.79
,,2011 - 2012,13.65
,Koppal,2000 - 2001,18.38
,,2002 - 2003,17.12
,,2003 - 2004,0.75
,,2004 - 2005,3.4
,,2005 - 2006,10.95
,,2006 - 2007,41.41
,,2007 - 2008,42.92
,,2008 - 2009,18.41
,,2009 - 2010,42.61
,,2010 - 2011,58.77
,,2011 - 2012,68.42
,Mandya,2000 - 2001,19.3
,,2002 - 2003,16.16
,,2003 - 2004,12.72
,,2004 - 2005,12.18
,,2005 - 2006,20.14
,,2006 - 2007,20.1
,,2007 - 2008,31.87
,,2008 - 2009,14.95
,,2009 - 2010,24.93
,,2010 - 2011,28.86
,,2011 - 2012,29.43
,Mysore,2000 - 2001,21.59
,,2002 - 2003,20.29
,,2003 - 2004,13.4
,,2004 - 2005,21.96
,,2005 - 2006,19.11
,,2006 - 2007,21.99
,,2007 - 2008,23.53
,,2008 - 2009,16.27
,,2009 - 2010,29.42
,,2010 - 2011,26.06
,,2011 - 2012,27.57
,Raichur,2000 - 2001,18.39
,,2002 - 2003,17.11
,,2003 - 2004,13.0
,,2004 - 2005,12.55
,,2005 - 2006,11.88
,,2006 - 2007,20.0
,,2007 - 2008,17.69
,,2008 - 2009,17.37
,,2009 - 2010,22.18
,,2010 - 2011,23.48
,,2011 - 2012,24.99
,Ramanagara,2007 - 2008,24.99
,,2008 - 2009,37.39
,,2009 - 2010,29.88
,,2010 - 2011,30.11
,,2011 - 2012,32.86
,Shimoga,2000 - 2001,15.25
,,2002 - 2003,13.07
,,2003 - 2004,3.72
,,2004 - 2005,6.07
,,2005 - 2006,5.92
,,2006 - 2007,6.3
,,2007 - 2008,12.37
,,2008 - 2009,10.85
,,2009 - 2010,17.79
,,2010 - 2011,18.12
,,2011 - 2012,19.43
,Tumkur,2000 - 2001,18.19
,,2002 - 2003,12.63
,,2003 - 2004,13.34
,,2004 - 2005,6.79
,,2005 - 2006,8.78
,,2006 - 2007,7.93
,,2007 - 2008,11.61
,,2008 - 2009,8.42
,,2009 - 2010,19.19
,,2010 - 2011,19.88
,,2011 - 2012,20.48
,Udupi,2000 - 2001,18.61
,,2002 - 2003,16.5
,,2003 - 2004,2.5
,,2004 - 2005,0.9
,,2005 - 2006,0.58
,,2006 - 2007,1.11
,,2007 - 2008,4.95
,,2008 - 2009,8.39
,,2009 - 2010,18.26
,,2010 - 2011,19.46
,,2011 - 2012,21.02
,Uttar kannad,2000 - 2001,18.37
,,2002 - 2003,15.24
,,2003 - 2004,1.0
,,2004 - 2005,3.75
,,2005 - 2006,1.2
,,2006 - 2007,2.13
,,2007 - 2008,2.75
,,2008 - 2009,4.83
,,2009 - 2010,10.21
,,2010 - 2011,11.25
,,2011 - 2012,12.2
Kerala,Alappuzha,2000 - 2001,6.95
,,2001 - 2002,6.1
,,2002 - 2003,8.12
,,2003 - 2004,6.72
,,2004 - 2005,6.6
,,2005 - 2006,6.79
,,2006 - 2007,7.17
,,2007 - 2008,6.41
,,2008 - 2009,6.73
,,2009 - 2010,8.03
,,2010 - 2011,7.88
,,2011 - 2012,7.92
,,2012 - 2013,7.93
,,2013 - 2014,9.49
,,2014 - 2015,8.3
,,2015 - 2016,8.69
,,2016 - 2017,7.21
,,2017 - 2018,7.6
,,2018 - 2019,6.09
,,2019 - 2020,6.22
,,2020 - 2021,7.08
,,2021 - 2022,6.9
,,2022 - 2023,8.23
,Ernakulam,2000 - 2001,6.73
,,2001 - 2002,7.1
,,2002 - 2003,7.3
,,2003 - 2004,9.43
,,2004 - 2005,8.49
,,2005 - 2006,7.59
,,2006 - 2007,8.74
,,2007 - 2008,8.1
,,2008 - 2009,9.52
,,2009 - 2010,9.04
,,2010 - 2011,9.49
,,2011 - 2012,9.6
,,2012 - 2013,9.08
,,2013 - 2014,9.59
,,2014 - 2015,9.17
,,2015 - 2016,9.36
,,2016 - 2017,9.26
,,2017 - 2018,9.38
,,2018 - 2019,7.05
,,2019 - 2020,8.67
,,2020 - 2021,9.64
,,2021 - 2022,9.43
,,2022 - 2023,10.03
,Idukki,2000 - 2001,9.47
,,2001 - 2002,8.46
,,2002 - 2003,8.49
,,2003 - 2004,8.78
,,2004 - 2005,6.55
,,2005 - 2006,7.59
,,2006 - 2007,7.43
,,2007 - 2008,7.32
,,2008 - 2009,8.75
,,2009 - 2010,7.68
,,2010 - 2011,8.73
,,2011 - 2012,8.74
,,2012 - 2013,9.36
,,2013 - 2014,9.24
,,2014 - 2015,9.19
,,2015 - 2016,8.64
,,2016 - 2017,8.4
,,2017 - 2018,9.7
,,2018 - 2019,8.92
,,2019 - 2020,9.92
,,2020 - 2021,9.39
,,2021 - 2022,10.73
,,2022 - 2023,10.9
,Kannur,2000 - 2001,8.08
,,2001 - 2002,7.15
,,2002 - 2003,8.29
,,2003 - 2004,8.73
,,2004 - 2005,8.86
,,2005 - 2006,10.78
,,2006 - 2007,9.21
,,2007 - 2008,6.58
,,2008 - 2009,7.77
,,2009 - 2010,7.26
,,2010 - 2011,8.13
,,2011 - 2012,8.69
,,2012 - 2013,8.6
,,2013 - 2014,8.89
,,2014 - 2015,8.53
,,2015 - 2016,9.66
,,2016 - 2017,9.07
,,2017 - 2018,8.46
,,2018 - 2019,9.18
,,2019 - 2020,10.33
,,2020 - 2021,9.91
,,2021 - 2022,10.03
,,2022 - 2023,9.78
,Kasaragod,2000 - 2001,8.64
,,2001 - 2002,8.59
,,2002 - 2003,10.07
,,2003 - 2004,10.14
,,2004 - 2005,8.34
,,2005 - 2006,9.04
,,2006 - 2007,9.62
,,2007 - 2008,11.25
,,2008 - 2009,8.06
,,2009 - 2010,7.82
,,2010 - 2011,11.39
,,2011 - 2012,6.26
,,2012 - 2013,8.83
,,2013 - 2014,7.02
,,2014 - 2015,7.35
,,2015 - 2016,10.87
,,2016 - 2017,10.54
,,2017 - 2018,9.87
,,2018 - 2019,8.7
,,2019 - 2020,11.05
,,2020 - 2021,9.6
,,2021 - 2022,10.86
,,2022 - 2023,10.1
,Kollam,2000 - 2001,5.88
,,2001 - 2002,7.69
,,2002 - 2003,8.11
,,2003 - 2004,7.61
,,2004 - 2005,6.94
,,2005 - 2006,7.25
,,2006 - 2007,6.14
,,2007 - 2008,6.41
,,2008 - 2009,6.89
,,2009 - 2010,6.59
,,2010 - 2011,7.74
,,2011 - 2012,7.28
,,2012 - 2013,6.98
,,2013 - 2014,6.93
,,2014 - 2015,6.97
,,2015 - 2016,7.07
,,2016 - 2017,7.1
,,2017 - 2018,6.95
,,2018 - 2019,7.52
,,2019 - 2020,6.83
,,2020 - 2021,6.42
,,2021 - 2022,6.96
,,2022 - 2023,7.29
,Kottayam,2000 - 2001,8.78
,,2001 - 2002,7.92
,,2002 - 2003,9.54
,,2003 - 2004,9.76
,,2004 - 2005,9.33
,,2005 - 2006,8.62
,,2006 - 2007,9.09
,,2007 - 2008,9.31
,,2008 - 2009,9.44
,,2009 - 2010,9.05
,,2010 - 2011,8.86
,,2011 - 2012,8.78
,,2012 - 2013,8.37
,,2013 - 2014,9.05
,,2014 - 2015,8.47
,,2015 - 2016,8.01
,,2016 - 2017,7.91
,,2017 - 2018,8.4
,,2018 - 2019,8.97
,,2019 - 2020,9.8
,,2020 - 2021,9.33
,,2021 - 2022,9.98
,,2022 - 2023,9.47
,Kozhikode,2000 - 2001,8.43
,,2001 - 2002,7.65
,,2002 - 2003,8.48
,,2003 - 2004,8.63
,,2004 - 2005,8.95
,,2005 - 2006,7.21
,,2006 - 2007,8.2
,,2007 - 2008,7.55
,,2008 - 2009,7.46
,,2009 - 2010,7.52
,,2010 - 2011,7.39
,,2011 - 2012,8.14
,,2012 - 2013,8.01
,,2013 - 2014,7.13
,,2014 - 2015,7.93
,,2015 - 2016,9.14
,,2016 - 2017,9.26
,,2017 - 2018,8.39
,,2018 - 2019,8.92
,,2019 - 2020,7.86
,,2020 - 2021,11.44
,,2021 - 2022,11.62
,,2022 - 2023,12.79
,Malappuram,2000 - 2001,6.79
,,2001 - 2002,6.63
,,2002 - 2003,6.93
,,2003 - 2004,7.94
,,2004 - 2005,7.55
,,2005 - 2006,7.07
,,2006 - 2007,7.71
,,2007 - 2008,7.1
,,2008 - 2009,7.48
,,2009 - 2010,7.0
,,2010 - 2011,7.29
,,2011 - 2012,9.03
,,2012 - 2013,8.3
,,2013 - 2014,8.68
,,2014 - 2015,8.33
,,2015 - 2016,8.37
,,2016 - 2017,8.23
,,2017 - 2018,8.04
,,2018 - 2019,7.13
,,2019 - 2020,8.75
,,2020 - 2021,6.02
,,2021 - 2022,9.03
,,2022 - 2023,9.29
,Palakkad,2000 - 2001,6.81
,,2001 - 2002,8.91
,,2002 - 2003,7.97
,,2003 - 2004,7.39
,,2004 - 2005,8.04
,,2005 - 2006,7.35
,,2006 - 2007,7.29
,,2007 - 2008,7.2
,,2008 - 2009,8.97
,,2009 - 2010,7.56
,,2010 - 2011,8.64
,,2011 - 2012,8.86
,,2012 - 2013,9.19
,,2013 - 2014,8.45
,,2014 - 2015,9.4
,,2015 - 2016,9.67
,,2016 - 2017,9.16
,,2017 - 2018,11.16
,,2018 - 2019,8.57
,,2019 - 2020,8.97
,,2020 - 2021,11.2
,,2021 - 2022,9.84
,,2022 - 2023,10.63
,Pathanamthitta,2000 - 2001,6.76
,,2001 - 2002,7.28
,,2002 - 2003,8.95
,,2003 - 2004,7.71
,,2004 - 2005,7.11
,,2005 - 2006,9.02
,,2006 - 2007,8.25
,,2007 - 2008,8.07
,,2008 - 2009,7.88
,,2009 - 2010,8.3
,,2010 - 2011,7.92
,,2011 - 2012,7.95
,,2012 - 2013,7.53
,,2013 - 2014,7.28
,,2014 - 2015,7.83
,,2015 - 2016,7.95
,,2016 - 2017,7.96
,,2017 - 2018,7.5
,,2018 - 2019,7.82
,,2019 - 2020,8.05
,,2020 - 2021,8.57
,,2021 - 2022,7.69
,,2022 - 2023,7.91
,Thiruvananthapuram,2000 - 2001,6.36
,,2001 - 2002,5.85
,,2002 - 2003,6.71
,,2003 - 2004,8.02
,,2004 - 2005,6.34
,,2005 - 2006,6.91
,,2006 - 2007,6.71
,,2007 - 2008,6.33
,,2008 - 2009,7.01
,,2009 - 2010,7.34
,,2010 - 2011,5.62
,,2011 - 2012,6.05
,,2012 - 2013,6.81
,,2013 - 2014,8.0
,,2014 - 2015,6.87
,,2015 - 2016,6.85
,,2016 - 2017,7.14
,,2017 - 2018,7.28
,,2018 - 2019,8.93
,,2019 - 2020,9.13
,,2020 - 2021,8.86
,,2021 - 2022,7.46
,,2022 - 2023,8.3
,Thrissur,2000 - 2001,7.17
,,2001 - 2002,6.14
,,2002 - 2003,7.02
,,2003 - 2004,7.37
,,2004 - 2005,7.35
,,2005 - 2006,8.66
,,2006 - 2007,8.87
,,2007 - 2008,6.39
,,2008 - 2009,9.05
,,2009 - 2010,7.9
,,2010 - 2011,7.87
,,2011 - 2012,9.23
,,2012 - 2013,9.64
,,2013 - 2014,9.03
,,2014 - 2015,8.26
,,2015 - 2016,9.15
,,2016 - 2017,8.62
,,2017 - 2018,8.91
,,2018 - 2019,4.82
,,2019 - 2020,8.1
,,2020 - 2021,9.99
,,2021 - 2022,10.05
,,2022 - 2023,11.05
,Wayanad,2000 - 2001,7.56
,,2001 - 2002,7.4
,,2002 - 2003,6.8
,,2003 - 2004,6.78
,,2004 - 2005,8.8
,,2005 - 2006,8.97
,,2006 - 2007,7.41
,,2007 - 2008,7.46
,,2008 - 2009,6.01
,,2009 - 2010,8.61
,,2010 - 2011,8.4
,,2011 - 2012,8.68
,,2012 - 2013,7.86
,,2013 - 2014,8.51
,,2014 - 2015,9.36
,,2015 - 2016,9.48
,,2016 - 2017,8.34
,,2017 - 2018,8.35
,,2018 - 2019,8.41
,,2019 - 2020,9.73
,,2020 - 2021,9.91
,,2021 - 2022,9.49
,,2022 - 2023,9.85
Madhya Pradesh,Anuppur,2003 - 2004,17.5
,,2006 - 2007,0.0
,,2007 - 2008,20.0
,,2009 - 2010,22.5
,,2012 - 2013,0.0
,,2013 - 2014,0.0
,,2019 - 2020,30.0
,Balaghat,2001 - 2002,10.5
,,2002 - 2003,33.43
,,2003 - 2004,19.16
,,2006 - 2007,34.52
,,2007 - 2008,47.91
,,2008 - 2009,38.46
,,2009 - 2010,59.6
,,2010 - 2011,47.5
,,2011 - 2012,47.5
,,2012 - 2013,12.82
,,2013 - 2014,108.88
,,2015 - 2016,31.96
,,2016 - 2017,27.39
,,2017 - 2018,38.32
,,2018 - 2019,38.5
,,2019 - 2020,38.5
,Barwani,2001 - 2002,19.2
,,2002 - 2003,20.53
,,2003 - 2004,20.04
,,2006 - 2007,12.73
,,2007 - 2008,30.42
,,2008 - 2009,25.32
,,2009 - 2010,33.01
,,2010 - 2011,25.52
,,2011 - 2012,20.47
,,2012 - 2013,34.25
,,2013 - 2014,55.53
,,2015 - 2016,72.0
,,2016 - 2017,75.0
,,2017 - 2018,75.0
,,2018 - 2019,75.0
,,2019 - 2020,75.0
,Betul,2001 - 2002,13.0
,,2002 - 2003,18.5
,,2003 - 2004,19.0
,,2012 - 2013,0.0
,,2015 - 2016,12.0
,,2016 - 2017,12.0
,,2017 - 2018,12.0
,,2018 - 2019,12.0
,,2019 - 2020,11.43
,Burhanpur,2003 - 2004,29.53
,,2006 - 2007,32.57
,,2007 - 2008,64.13
,,2008 - 2009,51.49
,,2009 - 2010,63.79
,,2010 - 2011,54.6
,,2011 - 2012,35.83
,,2012 - 2013,36.61
,,2013 - 2014,83.21
,,2015 - 2016,70.0
,,2016 - 2017,70.0
,,2017 - 2018,70.0
,,2018 - 2019,70.0
,,2019 - 2020,70.0
,Chhatarpur,2001 - 2002,28.17
,,2002 - 2003,27.67
,,2003 - 2004,0.0
,,2006 - 2007,0.0
,,2010 - 2011,27.0
,,2011 - 2012,0.0
,,2012 - 2013,0.0
,,2013 - 2014,0.0
,,2015 - 2016,67.0
,,2016 - 2017,67.0
,,2017 - 2018,62.0
,,2018 - 2019,63.56
,,2019 - 2020,62.44
,Chhindwara,2001 - 2002,88.5
,,2002 - 2003,0.0
,,2003 - 2004,84.0
,,2006 - 2007,73.6
,,2007 - 2008,66.0
,,2011 - 2012,50.33
,,2012 - 2013,0.0
,,2015 - 2016,5.0
,,2016 - 2017,30.0
,,2017 - 2018,30.0
,,2018 - 2019,25.0
,,2019 - 2020,25.0
,Damoh,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2007 - 2008,32.0
,,2009 - 2010,46.33
,,2010 - 2011,18.0
,,2011 - 2012,26.0
,,2012 - 2013,32.0
,,2016 - 2017,20.0
,,2017 - 2018,35.0
,,2018 - 2019,35.0
,,2019 - 2020,35.0
,Dewas,2003 - 2004,0.0
,,2006 - 2007,30.5
,,2015 - 2016,30.0
,,2016 - 2017,32.53
,,2017 - 2018,32.5
,,2018 - 2019,32.5
,,2019 - 2020,32.6
,Dhar,2001 - 2002,26.19
,,2002 - 2003,22.79
,,2003 - 2004,25.57
,,2006 - 2007,30.05
,,2007 - 2008,57.64
,,2008 - 2009,46.28
,,2009 - 2010,57.33
,,2010 - 2011,44.48
,,2011 - 2012,37.5
,,2012 - 2013,12.58
,,2013 - 2014,81.13
,,2015 - 2016,58.0
,,2016 - 2017,70.8
,,2017 - 2018,70.8
,,2018 - 2019,72.41
,,2019 - 2020,71.45
,Dindori,2019 - 2020,33.0
,Harda,2002 - 2003,42.67
,,2003 - 2004,0.0
,,2006 - 2007,20.6
,,2007 - 2008,49.0
,,2010 - 2011,46.5
,,2011 - 2012,0.0
,,2012 - 2013,27.15
,,2013 - 2014,6.14
,,2015 - 2016,60.17
,,2016 - 2017,60.18
,,2017 - 2018,60.18
,,2018 - 2019,60.2
,,2019 - 2020,60.5
,Hoshangabad,2001 - 2002,27.55
,,2002 - 2003,25.84
,,2003 - 2004,26.88
,,2006 - 2007,24.8
,,2007 - 2008,59.4
,,2008 - 2009,47.67
,,2009 - 2010,59.0
,,2010 - 2011,42.0
,,2015 - 2016,40.0
,,2016 - 2017,40.0
,,2017 - 2018,40.0
,,2018 - 2019,39.62
,,2019 - 2020,39.62
,Jabalpur,2013 - 2014,0.0
,,2015 - 2016,41.41
,,2016 - 2017,41.41
,,2017 - 2018,41.42
,,2018 - 2019,36.0
,,2019 - 2020,41.42
,Jhabua,2001 - 2002,40.0
,,2002 - 2003,0.0
,,2006 - 2007,0.0
,Katni,2012 - 2013,0.0
,,2013 - 2014,138.42
,,2015 - 2016,34.48
,,2016 - 2017,62.01
,,2017 - 2018,62.01
,,2018 - 2019,62.01
,,2019 - 2020,62.01
,Khandwa,2001 - 2002,32.02
,,2002 - 2003,22.67
,,2003 - 2004,18.59
,,2006 - 2007,21.94
,,2007 - 2008,64.1
,,2008 - 2009,35.43
,,2009 - 2010,63.8
,,2010 - 2011,44.24
,,2011 - 2012,2.96
,,2012 - 2013,33.82
,,2013 - 2014,40.53
,,2015 - 2016,80.0
,,2016 - 2017,81.03
,,2017 - 2018,86.08
,,2018 - 2019,85.6
,,2019 - 2020,85.6
,Khargone,2001 - 2002,27.5
,,2002 - 2003,21.02
,,2003 - 2004,24.7
,,2006 - 2007,21.25
,,2007 - 2008,49.87
,,2008 - 2009,38.19
,,2009 - 2010,45.78
,,2010 - 2011,37.19
,,2011 - 2012,26.69
,,2012 - 2013,24.71
,,2013 - 2014,19.5
,,2015 - 2016,65.0
,,2016 - 2017,74.0
,,2017 - 2018,74.0
,,2018 - 2019,74.0
,,2019 - 2020,74.0
,Mandla,2012 - 2013,0.0
,,2015 - 2016,44.56
,,2016 - 2017,43.39
,,2017 - 2018,43.45
,,2018 - 2019,43.71
,,2019 - 2020,45.94
,Mandsaur,2003 - 2004,0.0
,Narsinghpur,2006 - 2007,0.0
,,2015 - 2016,25.0
,,2016 - 2017,25.0
,,2017 - 2018,25.0
,,2018 - 2019,40.04
,,2019 - 2020,43.87
,Panna,2001 - 2002,32.27
,,2002 - 2003,0.0
,,2003 - 2004,25.5
,,2008 - 2009,24.0
,,2015 - 2016,1.72
,,2016 - 2017,2.0
,,2017 - 2018,50.0
,,2018 - 2019,50.0
,,2019 - 2020,50.0
,Raisen,2002 - 2003,0.0
,,2003 - 2004,0.0
,Rajgarh,2002 - 2003,0.0
,Ratlam,2001 - 2002,42.5
,,2002 - 2003,38.71
,,2006 - 2007,46.83
,,2007 - 2008,45.0
,,2008 - 2009,36.0
,,2009 - 2010,45.0
,,2011 - 2012,0.0
,,2012 - 2013,0.0
,Rewa,2001 - 2002,29.0
,,2002 - 2003,28.0
,,2003 - 2004,13.5
,,2006 - 2007,30.0
,,2009 - 2010,28.0
,,2010 - 2011,19.0
,,2011 - 2012,9.5
,,2012 - 2013,12.0
,,2013 - 2014,0.0
,,2015 - 2016,32.21
,,2016 - 2017,35.3
,,2017 - 2018,35.3
,,2018 - 2019,35.3
,,2019 - 2020,35.3
,Sagar,2001 - 2002,13.33
,,2002 - 2003,19.25
,,2003 - 2004,37.33
,,2006 - 2007,0.0
,,2007 - 2008,33.0
,,2008 - 2009,26.0
,,2011 - 2012,21.25
,,2012 - 2013,22.0
,,2013 - 2014,57.5
,Satna,2001 - 2002,11.0
,,2002 - 2003,25.0
,Sehore,2001 - 2002,39.33
,Seoni,2010 - 2011,46.0
,,2011 - 2012,53.0
,,2012 - 2013,0.0
,,2013 - 2014,0.0
,,2015 - 2016,53.0
,,2016 - 2017,54.3
,,2017 - 2018,54.0
,,2018 - 2019,54.5
,,2019 - 2020,54.4
,Shahdol,2001 - 2002,13.5
,,2002 - 2003,7.17
,,2003 - 2004,10.5
,,2006 - 2007,5.0
,,2007 - 2008,19.0
,,2010 - 2011,10.33
,,2011 - 2012,14.0
,,2012 - 2013,0.0
,,2013 - 2014,0.0
,,2015 - 2016,108.44
,,2016 - 2017,49.55
,,2017 - 2018,50.01
,,2018 - 2019,49.21
,,2019 - 2020,49.21
,Shivpuri,2003 - 2004,0.0
,Sidhi,2001 - 2002,1.5
,,2002 - 2003,18.44
,,2003 - 2004,12.2
,,2006 - 2007,18.67
,,2007 - 2008,22.0
,,2008 - 2009,18.0
,,2009 - 2010,22.0
,,2011 - 2012,7.0
,,2012 - 2013,0.0
,,2013 - 2014,80.0
,,2015 - 2016,55.0
,,2016 - 2017,32.7
,,2017 - 2018,33.0
,,2018 - 2019,33.0
,,2019 - 2020,33.0
,Singrauli,2008 - 2009,17.75
,,2009 - 2010,30.5
,,2010 - 2011,17.67
,,2011 - 2012,11.75
,,2012 - 2013,7.25
,,2013 - 2014,29.0
,,2015 - 2016,30.0
,,2016 - 2017,30.15
,,2017 - 2018,30.5
,,2018 - 2019,31.0
,,2019 - 2020,32.0
,Tikamgarh,2001 - 2002,6.33
,,2002 - 2003,36.0
,,2003 - 2004,29.0
,,2006 - 2007,31.33
,,2007 - 2008,30.33
,,2008 - 2009,27.0
,,2010 - 2011,17.0
,,2011 - 2012,0.0
,,2012 - 2013,14.0
,Ujjain,2002 - 2003,0.0
,,2010 - 2011,50.0
,,2012 - 2013,47.0
,Umaria,2001 - 2002,22.0
,,2011 - 2012,0.0
,,2015 - 2016,5.75
,,2016 - 2017,35.0
,,2017 - 2018,35.0
,,2018 - 2019,35.0
,,2019 - 2020,35.0
Maharashtra,Ahilyanagar,2003 - 2004,111.7
,Akola,2003 - 2004,52.5
,Amravati,2003 - 2004,69.98
,Beed,2003 - 2004,65.65
,Bhandara,2003 - 2004,24.2
,Buldhana,2003 - 2004,48.28
,Chhatrapati Sambhajinagar,2003 - 2004,42.95
,Dharashiv,2003 - 2004,75.1
,Dhule,2003 - 2004,97.4
,Hingoli,2003 - 2004,53.05
,Jalgaon,2003 - 2004,66.6
,Jalna,2003 - 2004,59.87
,Kolhapur,2003 - 2004,47.06
,Latur,2003 - 2004,64.3
,Nanded,2003 - 2004,53.3
,Nandurbar,2003 - 2004,70.38
,Parbhani,2003 - 2004,53.15
,Pune,2003 - 2004,84.83
,Raigad,2003 - 2004,17.3
,Ratnagiri,2003 - 2004,23.3
,Sangli,2003 - 2004,50.6
,Satara,2003 - 2004,42.93
,Sindhudurg,2003 - 2004,25.2
,Solapur,2003 - 2004,39.55
,Thane,2003 - 2004,23.34
,Wardha,2003 - 2004,55.7
,Washim,2003 - 2004,137.4
,Yavatmal,2003 - 2004,56.3
Manipur,Bishnupur,2000 - 2001,12.9
,,2001 - 2002,12.86
,,2002 - 2003,7.18
,,2003 - 2004,7.85
,,2004 - 2005,13.0
,,2005 - 2006,13.0
,,2006 - 2007,13.0
,,2007 - 2008,12.85
,,2008 - 2009,12.89
,,2009 - 2010,9.92
,,2010 - 2011,12.96
,,2011 - 2012,12.96
,,2012 - 2013,13.4
,,2013 - 2014,13.5
,,2014 - 2015,13.7
,,2015 - 2016,13.61
,,2016 - 2017,13.6
,,2017 - 2018,13.63
,,2018 - 2019,13.59
,,2019 - 2020,133.6
,Chandel,2000 - 2001,12.87
,,2001 - 2002,12.86
,,2002 - 2003,7.34
,,2003 - 2004,7.85
,,2004 - 2005,12.86
,,2005 - 2006,12.87
,,2006 - 2007,12.85
,,2007 - 2008,12.82
,,2008 - 2009,12.89
,,2009 - 2010,13.0
,,2010 - 2011,12.93
,,2011 - 2012,13.7
,,2012 - 2013,13.4
,,2013 - 2014,13.5
,,2014 - 2015,13.7
,,2015 - 2016,13.0
,,2016 - 2017,12.83
,,2017 - 2018,13.0
,,2018 - 2019,13.0
,,2019 - 2020,10.85
,Churachandpur,2000 - 2001,12.87
,,2001 - 2002,12.85
,,2002 - 2003,0.69
,,2003 - 2004,7.85
,,2004 - 2005,12.86
,,2005 - 2006,12.83
,,2006 - 2007,12.86
,,2007 - 2008,12.86
,,2008 - 2009,12.98
,,2009 - 2010,13.0
,,2010 - 2011,13.01
,,2011 - 2012,13.0
,,2012 - 2013,13.4
,,2013 - 2014,13.5
,,2014 - 2015,12.0
,,2015 - 2016,13.17
,,2016 - 2017,13.08
,,2017 - 2018,12.99
,,2018 - 2019,12.96
,,2019 - 2020,13.06
,Imphal east,2000 - 2001,12.86
,,2001 - 2002,12.85
,,2002 - 2003,7.0
,,2003 - 2004,7.86
,,2004 - 2005,12.88
,,2005 - 2006,12.85
,,2006 - 2007,12.85
,,2007 - 2008,12.86
,,2008 - 2009,12.89
,,2009 - 2010,8.59
,,2010 - 2011,12.98
,,2011 - 2012,13.0
,,2012 - 2013,13.4
,,2013 - 2014,13.5
,,2014 - 2015,13.99
,,2015 - 2016,14.0
,,2016 - 2017,14.01
,,2017 - 2018,13.47
,,2018 - 2019,13.7
,,2019 - 2020,133.48
,Imphal west,2000 - 2001,12.67
,,2001 - 2002,13.0
,,2002 - 2003,7.0
,,2003 - 2004,7.85
,,2004 - 2005,12.75
,,2005 - 2006,12.88
,,2006 - 2007,12.83
,,2007 - 2008,13.0
,,2008 - 2009,12.89
,,2009 - 2010,8.56
,,2010 - 2011,12.9
,,2011 - 2012,12.99
,,2012 - 2013,13.4
,,2013 - 2014,13.5
,,2014 - 2015,13.6
,,2015 - 2016,13.5
,,2016 - 2017,13.5
,,2017 - 2018,13.49
,,2018 - 2019,14.23
,,2019 - 2020,14.2
,Senapati,2000 - 2001,12.86
,,2001 - 2002,12.86
,,2002 - 2003,8.24
,,2003 - 2004,7.85
,,2004 - 2005,12.85
,,2005 - 2006,12.87
,,2006 - 2007,12.87
,,2007 - 2008,12.85
,,2008 - 2009,12.89
,,2009 - 2010,13.0
,,2010 - 2011,12.88
,,2011 - 2012,12.96
,,2012 - 2013,13.4
,,2013 - 2014,13.5
,,2014 - 2015,13.6
,,2015 - 2016,13.58
,,2016 - 2017,13.64
,,2017 - 2018,13.64
,,2018 - 2019,13.64
,,2019 - 2020,13.1
,Tamenglong,2000 - 2001,12.84
,,2001 - 2002,12.85
,,2002 - 2003,8.78
,,2003 - 2004,7.85
,,2004 - 2005,12.86
,,2005 - 2006,12.86
,,2006 - 2007,12.86
,,2007 - 2008,12.86
,,2008 - 2009,12.89
,,2009 - 2010,7.42
,,2010 - 2011,13.0
,,2011 - 2012,12.9
,,2012 - 2013,13.4
,,2013 - 2014,13.5
,,2014 - 2015,13.6
,,2015 - 2016,13.46
,,2016 - 2017,13.46
,,2017 - 2018,13.43
,,2018 - 2019,15.91
,,2019 - 2020,19.1
,Thoubal,2002 - 2003,8.32
,,2003 - 2004,7.85
,,2004 - 2005,13.0
,,2007 - 2008,13.0
