state,district,year,banana_whole_year_yield_tonne_per_hectare
,,2015 - 2016,19.52
,,2016 - 2017,19.7
,,2017 - 2018,19.76
,,2018 - 2019,20.1
,,2019 - 2020,20.15
,,2020 - 2021,22.15
,,2021 - 2022,22.72
,,2022 - 2023,24.76
,Hailakandi,2000 - 2001,12.41
,,2001 - 2002,12.41
,,2002 - 2003,12.41
,,2003 - 2004,12.42
,,2005 - 2006,12.41
,,2006 - 2007,12.41
,,2007 - 2008,12.41
,,2008 - 2009,12.6
,,2009 - 2010,12.47
,,2010 - 2011,12.5
,,2011 - 2012,19.85
,,2012 - 2013,11.42
,,2013 - 2014,11.42
,,2014 - 2015,11.42
,,2015 - 2016,11.44
,,2016 - 2017,11.87
,,2017 - 2018,11.87
,,2018 - 2019,13.22
,,2019 - 2020,13.4
,,2020 - 2021,13.2
,,2021 - 2022,14.47
,,2022 - 2023,14.48
,Hojai,2020 - 2021,22.05
,,2021 - 2022,21.5
,,2022 - 2023,12.63
,Jorhat,2000 - 2001,13.46
,,2001 - 2002,13.46
,,2002 - 2003,13.46
,,2003 - 2004,13.46
,,2005 - 2006,13.46
,,2006 - 2007,13.46
,,2007 - 2008,13.46
,,2008 - 2009,14.29
,,2009 - 2010,13.73
,,2010 - 2011,13.81
,,2011 - 2012,14.5
,,2012 - 2013,15.49
,,2013 - 2014,15.49
,,2014 - 2015,15.49
,,2015 - 2016,15.58
,,2016 - 2017,15.85
,,2017 - 2018,15.88
,,2018 - 2019,16.53
,,2019 - 2020,16.62
,,2020 - 2021,19.26
,,2021 - 2022,19.45
,,2022 - 2023,19.45
,Kamrup,2000 - 2001,12.92
,,2001 - 2002,12.92
,,2002 - 2003,12.92
,,2003 - 2004,12.92
,,2005 - 2006,12.91
,,2006 - 2007,12.92
,,2007 - 2008,12.92
,,2008 - 2009,13.45
,,2009 - 2010,13.08
,,2010 - 2011,13.16
,,2011 - 2012,14.43
,,2012 - 2013,14.54
,,2013 - 2014,14.54
,,2014 - 2015,14.54
,,2015 - 2016,14.54
,,2016 - 2017,14.75
,,2017 - 2018,14.76
,,2018 - 2019,15.45
,,2019 - 2020,21.04
,,2020 - 2021,13.84
,,2021 - 2022,14.45
,,2022 - 2023,14.47
,Kamrup metro,2005 - 2006,12.91
,,2006 - 2007,12.92
,,2007 - 2008,12.92
,,2008 - 2009,13.92
,,2009 - 2010,13.26
,,2010 - 2011,13.37
,,2011 - 2012,14.36
,,2012 - 2013,15.63
,,2013 - 2014,15.63
,,2014 - 2015,15.63
,,2015 - 2016,15.64
,,2016 - 2017,16.48
,,2017 - 2018,16.49
,,2018 - 2019,15.5
,,2019 - 2020,18.73
,,2020 - 2021,18.25
,,2021 - 2022,19.27
,,2022 - 2023,19.28
,Karbi anglong,2000 - 2001,13.42
,,2001 - 2002,13.43
,,2002 - 2003,13.91
,,2003 - 2004,13.98
,,2005 - 2006,13.92
,,2006 - 2007,14.2
,,2007 - 2008,14.0
,,2008 - 2009,14.04
,,2009 - 2010,14.11
,,2010 - 2011,14.09
,,2011 - 2012,15.72
,,2012 - 2013,16.31
,,2013 - 2014,16.31
,,2014 - 2015,16.31
,,2015 - 2016,18.54
,,2016 - 2017,18.83
,,2017 - 2018,17.5
,,2018 - 2019,18.2
,,2019 - 2020,20.03
,,2020 - 2021,19.75
,,2021 - 2022,19.92
,,2022 - 2023,19.97
,Karimganj,2000 - 2001,12.68
,,2001 - 2002,12.68
,,2002 - 2003,12.68
,,2003 - 2004,12.68
,,2005 - 2006,12.68
,,2006 - 2007,12.68
,,2007 - 2008,12.68
,,2008 - 2009,12.8
,,2009 - 2010,12.72
,,2010 - 2011,12.74
,,2011 - 2012,12.96
,,2012 - 2013,13.63
,,2013 - 2014,13.63
,,2014 - 2015,13.64
,,2015 - 2016,13.73
,,2016 - 2017,14.2
,,2017 - 2018,14.21
,,2018 - 2019,15.52
,,2019 - 2020,15.69
,,2020 - 2021,15.46
,,2021 - 2022,16.38
,,2022 - 2023,16.48
,Kokrajhar,2000 - 2001,16.44
,,2001 - 2002,16.49
,,2002 - 2003,16.41
,,2003 - 2004,16.14
,,2005 - 2006,17.07
,,2006 - 2007,16.17
,,2007 - 2008,15.87
,,2008 - 2009,14.81
,,2009 - 2010,15.45
,,2010 - 2011,14.96
,,2011 - 2012,16.98
,,2012 - 2013,17.98
,,2013 - 2014,17.98
,,2014 - 2015,17.98
,,2015 - 2016,17.79
,,2016 - 2017,18.18
,,2017 - 2018,18.19
,,2018 - 2019,19.13
,,2019 - 2020,18.13
,,2020 - 2021,17.88
,,2021 - 2022,18.38
,,2022 - 2023,18.39
,Lakhimpur,2000 - 2001,13.0
,,2001 - 2002,13.0
,,2002 - 2003,13.0
,,2003 - 2004,13.0
,,2005 - 2006,13.0
,,2006 - 2007,13.0
,,2007 - 2008,13.0
,,2008 - 2009,13.8
,,2009 - 2010,13.27
,,2010 - 2011,13.35
,,2011 - 2012,14.44
,,2012 - 2013,16.45
,,2013 - 2014,16.44
,,2014 - 2015,16.44
,,2015 - 2016,16.45
,,2016 - 2017,16.65
,,2017 - 2018,17.79
,,2018 - 2019,18.41
,,2019 - 2020,18.73
,,2020 - 2021,26.99
,,2021 - 2022,25.91
,,2022 - 2023,25.96
,Majuli,2020 - 2021,19.26
,,2021 - 2022,19.94
,,2022 - 2023,19.98
,Marigaon,2000 - 2001,12.0
,,2001 - 2002,12.0
,,2002 - 2003,12.1
,,2003 - 2004,12.1
,,2005 - 2006,12.1
,,2006 - 2007,12.1
,,2007 - 2008,12.1
,,2008 - 2009,13.3
,,2009 - 2010,12.5
,,2010 - 2011,12.64
,,2011 - 2012,15.32
,,2012 - 2013,16.32
,,2013 - 2014,19.83
,,2014 - 2015,19.83
,,2015 - 2016,19.83
,,2016 - 2017,20.12
,,2017 - 2018,20.13
,,2018 - 2019,20.7
,,2019 - 2020,19.58
,,2020 - 2021,19.38
,,2021 - 2022,19.58
,,2022 - 2023,19.58
,Nagaon,2000 - 2001,14.93
,,2001 - 2002,14.93
,,2002 - 2003,14.94
,,2003 - 2004,14.93
,,2005 - 2006,14.83
,,2006 - 2007,14.83
,,2007 - 2008,14.85
,,2008 - 2009,13.75
,,2009 - 2010,14.48
,,2010 - 2011,14.37
,,2011 - 2012,13.26
,,2012 - 2013,17.87
,,2013 - 2014,17.87
