state,district,year,sweet_potato_kharif_yield_tonne_per_hectare
,,2009 - 2010,13.6
,,2010 - 2011,12.32
,,2011 - 2012,12.99
,,2012 - 2013,12.95
,,2013 - 2014,13.21
,,2014 - 2015,12.39
,,2015 - 2016,12.06
,,2016 - 2017,11.17
,,2017 - 2018,11.17
,,2018 - 2019,11.49
,,2019 - 2020,11.74
,,2020 - 2021,12.49
,,2021 - 2022,11.55
,,2022 - 2023,11.58
,Rampur,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,13.65
,,2007 - 2008,13.46
,,2008 - 2009,12.28
,,2009 - 2010,13.59
,,2010 - 2011,12.0
,,2011 - 2012,13.0
,,2012 - 2013,12.96
,,2013 - 2014,13.21
,,2014 - 2015,12.39
,,2015 - 2016,12.06
,,2016 - 2017,11.16
,,2017 - 2018,11.14
,,2018 - 2019,11.5
,,2019 - 2020,11.74
,,2020 - 2021,12.5
,,2021 - 2022,11.54
,,2022 - 2023,11.57
,Saharanpur,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,13.64
,,2007 - 2008,13.45
,,2008 - 2009,12.26
,,2009 - 2010,13.6
,,2010 - 2011,12.33
,,2011 - 2012,13.0
,,2012 - 2013,12.96
,,2013 - 2014,13.2
,,2016 - 2017,11.13
,,2017 - 2018,11.18
,,2018 - 2019,11.47
,,2019 - 2020,11.75
,,2020 - 2021,12.5
,,2021 - 2022,11.55
,,2022 - 2023,11.59
,Sambhal,2012 - 2013,12.94
,,2013 - 2014,13.21
,,2014 - 2015,12.38
,,2015 - 2016,12.05
,,2016 - 2017,11.16
,,2017 - 2018,11.17
,,2018 - 2019,11.49
,,2019 - 2020,11.75
,,2020 - 2021,12.49
,,2021 - 2022,11.56
,,2022 - 2023,11.58
,Sant kabeer nagar,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,13.65
,,2007 - 2008,13.46
,,2008 - 2009,12.28
,,2009 - 2010,13.59
,,2010 - 2011,12.32
,,2011 - 2012,12.99
,,2013 - 2014,13.21
,,2014 - 2015,12.38
,,2015 - 2016,12.04
,,2016 - 2017,11.17
,,2017 - 2018,11.17
,,2018 - 2019,11.49
,,2019 - 2020,11.74
,,2020 - 2021,12.48
,,2021 - 2022,11.55
,,2022 - 2023,11.58
,Sant ravidas nagar,2006 - 2007,13.64
,,2009 - 2010,13.63
,,2010 - 2011,12.33
,,2011 - 2012,13.0
,,2013 - 2014,13.5
,,2014 - 2015,12.5
,,2016 - 2017,11.0
,,2017 - 2018,11.0
,,2018 - 2019,11.5
,,2019 - 2020,11.75
,,2020 - 2021,12.5
,,2021 - 2022,11.5
,,2022 - 2023,11.5
,Shahjahanpur,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,13.65
,,2007 - 2008,13.46
,,2008 - 2009,12.28
,,2009 - 2010,13.6
,,2010 - 2011,12.32
,,2011 - 2012,12.99
,,2012 - 2013,12.95
,,2013 - 2014,13.22
,,2014 - 2015,12.39
,,2015 - 2016,12.05
,,2016 - 2017,11.17
,,2017 - 2018,11.17
,,2018 - 2019,11.49
,,2019 - 2020,11.74
,,2020 - 2021,12.49
,,2021 - 2022,11.55
,,2022 - 2023,11.58
,Shamli,2012 - 2013,12.94
,,2015 - 2016,12.0
,,2016 - 2017,11.25
,,2017 - 2018,11.17
,,2018 - 2019,11.5
,,2019 - 2020,11.67
,,2020 - 2021,12.5
,,2021 - 2022,11.5
,,2022 - 2023,11.5
,Shravasti,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,13.65
,,2007 - 2008,13.44
,,2008 - 2009,12.4
,,2009 - 2010,13.6
,,2010 - 2011,12.33
,,2011 - 2012,13.0
,,2012 - 2013,12.96
,,2013 - 2014,13.23
,,2015 - 2016,12.05
,,2016 - 2017,11.17
,,2017 - 2018,11.17
,,2018 - 2019,11.5
,,2019 - 2020,11.76
,,2020 - 2021,12.48
,,2021 - 2022,11.58
,,2022 - 2023,11.58
,Siddharth nagar,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,13.65
,,2007 - 2008,13.45
,,2008 - 2009,12.28
,,2009 - 2010,13.6
,,2010 - 2011,12.31
,,2011 - 2012,13.0
,,2012 - 2013,12.94
,,2013 - 2014,13.23
,,2014 - 2015,12.39
,,2015 - 2016,12.06
,,2016 - 2017,11.16
,,2017 - 2018,11.17
,,2018 - 2019,11.49
,,2019 - 2020,11.74
,,2020 - 2021,12.49
,,2021 - 2022,11.55
,,2022 - 2023,11.58
,Sitapur,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,13.65
,,2007 - 2008,13.46
,,2008 - 2009,12.28
,,2009 - 2010,13.6
,,2010 - 2011,12.31
,,2011 - 2012,13.0
,,2012 - 2013,12.95
,,2013 - 2014,13.21
,,2014 - 2015,12.39
,,2015 - 2016,12.05
,,2016 - 2017,11.16
,,2017 - 2018,11.17
,,2018 - 2019,11.49
,,2019 - 2020,11.74
,,2020 - 2021,12.49
,,2021 - 2022,11.55
,,2022 - 2023,11.58
,Sonbhadra,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,13.65
,,2007 - 2008,13.47
,,2008 - 2009,12.29
,,2009 - 2010,13.59
,,2011 - 2012,13.0
,,2012 - 2013,13.0
,,2013 - 2014,13.21
,,2015 - 2016,12.0
,,2016 - 2017,11.19
,,2017 - 2018,11.11
,,2018 - 2019,11.4
,,2019 - 2020,11.8
,,2020 - 2021,12.4
,,2021 - 2022,11.5
,,2022 - 2023,11.67
,Sultanpur,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,13.65
,,2007 - 2008,13.46
,,2008 - 2009,12.28
,,2009 - 2010,13.6
,,2010 - 2011,12.31
,,2011 - 2012,12.99
,,2012 - 2013,12.95
,,2013 - 2014,13.22
,,2014 - 2015,12.39
,,2015 - 2016,12.05
,,2016 - 2017,11.17
,,2017 - 2018,11.17
,,2018 - 2019,11.49
,,2019 - 2020,11.74
,,2020 - 2021,12.49
,,2021 - 2022,11.55
,,2022 - 2023,11.58
,Unnao,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,13.65
,,2007 - 2008,13.46
,,2008 - 2009,12.28
,,2009 - 2010,13.6
,,2010 - 2011,12.31
,,2011 - 2012,12.99
,,2012 - 2013,12.95
,,2013 - 2014,13.22
,,2014 - 2015,12.39
,,2015 - 2016,12.05
,,2016 - 2017,11.17
,,2017 - 2018,11.17
,,2018 - 2019,11.48
,,2019 - 2020,11.74
,,2020 - 2021,12.49
,,2021 - 2022,11.55
,,2022 - 2023,11.58
,Varanasi,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,13.67
,,2007 - 2008,13.46
,,2008 - 2009,12.31
,,2009 - 2010,13.6
,,2010 - 2011,12.33
,,2011 - 2012,13.0
,,2012 - 2013,12.95
,,2013 - 2014,13.21
,,2014 - 2015,12.4
,,2015 - 2016,12.08
,,2016 - 2017,11.18
,,2017 - 2018,11.17
,,2018 - 2019,11.5
,,2019 - 2020,11.73
,,2020 - 2021,12.5
,,2021 - 2022,11.56
,,2022 - 2023,11.59
