state,district,year,sweet_potato_whole_year_yield_tonne_per_hectare
,,2001 - 2002,2.5
,,2002 - 2003,2.5
,,2003 - 2004,2.5
,,2004 - 2005,2.5
,,2005 - 2006,2.5
,,2006 - 2007,2.5
,,2007 - 2008,2.5
,,2008 - 2009,2.5
,,2009 - 2010,2.5
,,2010 - 2011,2.5
,,2011 - 2012,2.57
,,2012 - 2013,3.57
,,2013 - 2014,3.57
,,2014 - 2015,3.58
,,2015 - 2016,3.58
,,2016 - 2017,3.98
,,2017 - 2018,3.99
,,2018 - 2019,3.23
,,2019 - 2020,3.6
,,2020 - 2021,4.15
,,2021 - 2022,4.16
,,2022 - 2023,4.17
,Biswanath,2020 - 2021,7.34
,,2021 - 2022,7.35
,,2022 - 2023,7.37
,Bongaigaon,2000 - 2001,3.0
,,2001 - 2002,3.0
,,2002 - 2003,3.0
,,2003 - 2004,3.0
,,2004 - 2005,3.0
,,2005 - 2006,3.0
,,2006 - 2007,3.0
,,2007 - 2008,3.0
,,2008 - 2009,3.0
,,2009 - 2010,3.0
,,2010 - 2011,3.0
,,2011 - 2012,3.04
,,2012 - 2013,3.24
,,2013 - 2014,3.24
,,2014 - 2015,3.25
,,2015 - 2016,3.25
,,2016 - 2017,3.37
,,2017 - 2018,3.38
,,2018 - 2019,4.26
,,2019 - 2020,4.37
,,2020 - 2021,4.38
,,2021 - 2022,4.37
,,2022 - 2023,4.43
,Cachar,2000 - 2001,5.25
,,2001 - 2002,5.25
,,2002 - 2003,5.25
,,2003 - 2004,5.25
,,2004 - 2005,5.25
,,2005 - 2006,5.25
,,2006 - 2007,5.25
,,2007 - 2008,5.25
,,2008 - 2009,5.25
,,2009 - 2010,5.25
,,2010 - 2011,5.25
,,2011 - 2012,9.68
,,2012 - 2013,9.86
,,2013 - 2014,9.87
,,2014 - 2015,9.66
,,2015 - 2016,9.88
,,2016 - 2017,10.0
,,2017 - 2018,10.01
,,2018 - 2019,9.83
,,2019 - 2020,6.8
,,2020 - 2021,4.12
,,2021 - 2022,4.12
,,2022 - 2023,4.19
,Charaideo,2020 - 2021,4.6
,,2021 - 2022,4.62
,,2022 - 2023,4.97
,Chirang,2005 - 2006,3.0
,,2006 - 2007,3.0
,,2007 - 2008,3.0
,,2008 - 2009,3.0
,,2009 - 2010,3.0
,,2010 - 2011,3.0
,,2011 - 2012,3.4
,,2012 - 2013,3.54
,,2013 - 2014,3.54
,,2014 - 2015,3.54
,,2015 - 2016,3.55
,,2016 - 2017,4.02
,,2017 - 2018,4.03
,,2018 - 2019,4.59
,,2019 - 2020,4.69
,,2020 - 2021,4.7
,,2021 - 2022,4.7
,,2022 - 2023,4.76
,Darrang,2000 - 2001,2.5
,,2001 - 2002,2.5
