state,district,year,sweet_potato_whole_year_yield_tonne_per_hectare
,,2011 - 2012,14.57
,,2012 - 2013,15.53
,,2013 - 2014,14.69
,,2014 - 2015,16.96
,,2015 - 2016,15.89
,,2016 - 2017,12.0
,,2017 - 2018,12.97
,,2018 - 2019,14.52
,,2019 - 2020,12.39
,,2020 - 2021,13.02
,,2021 - 2022,13.09
,,2022 - 2023,12.02
,Kolar,2018 - 2019,14.53
,,2019 - 2020,19.28
,,2020 - 2021,19.5
,,2021 - 2022,18.14
,,2022 - 2023,12.06
,Koppal,2019 - 2020,19.0
,,2020 - 2021,20.0
,,2021 - 2022,17.5
,Mandya,2002 - 2003,6.25
,,2003 - 2004,6.2
,,2004 - 2005,6.29
,,2005 - 2006,6.25
,,2006 - 2007,6.26
,,2007 - 2008,6.26
,,2008 - 2009,10.13
,,2009 - 2010,6.58
,,2010 - 2011,8.24
,,2011 - 2012,14.57
,,2012 - 2013,15.51
,,2013 - 2014,14.68
,,2014 - 2015,13.42
,,2015 - 2016,15.73
,,2017 - 2018,13.0
,,2018 - 2019,14.54
,,2019 - 2020,19.33
,,2020 - 2021,19.92
,,2021 - 2022,17.8
,,2022 - 2023,14.5
,Mysore,2007 - 2008,8.33
,,2008 - 2009,10.13
,,2009 - 2010,6.56
,,2011 - 2012,14.5
,,2012 - 2013,15.5
,,2013 - 2014,14.5
,,2014 - 2015,16.96
,,2015 - 2016,15.92
,,2016 - 2017,12.0
,,2017 - 2018,12.96
,,2018 - 2019,14.5
,,2019 - 2020,19.3
,,2020 - 2021,19.95
,,2021 - 2022,20.27
,,2022 - 2023,12.01
,Raichur,2000 - 2001,7.4
,,2018 - 2019,14.5
,,2020 - 2021,20.0
,,2022 - 2023,14.0
,Ramanagara,2007 - 2008,6.25
,,2008 - 2009,10.1
,,2009 - 2010,6.63
,,2010 - 2011,12.24
,,2011 - 2012,14.6
,,2012 - 2013,15.5
,,2013 - 2014,14.68
,,2014 - 2015,16.94
,,2015 - 2016,15.89
,,2016 - 2017,12.0
,,2017 - 2018,12.97
,,2018 - 2019,14.5
,,2019 - 2020,19.29
,,2020 - 2021,19.96
,,2021 - 2022,10.96
,,2022 - 2023,9.88
,Shimoga,2018 - 2019,14.6
,,2021 - 2022,17.5
,,2022 - 2023,12.0
,Tumkur,2000 - 2001,6.32
,,2002 - 2003,6.32
,,2003 - 2004,6.35
,,2004 - 2005,6.33
,,2005 - 2006,6.33
,,2006 - 2007,6.33
,,2007 - 2008,6.35
,,2008 - 2009,10.13
,,2009 - 2010,6.57
,,2010 - 2011,8.25
,,2011 - 2012,14.56
,,2012 - 2013,15.52
,,2013 - 2014,14.75
,,2014 - 2015,16.96
,,2015 - 2016,15.9
,,2016 - 2017,12.0
,,2017 - 2018,12.95
,,2018 - 2019,14.51
,,2019 - 2020,19.29
,,2020 - 2021,20.0
,,2021 - 2022,17.69
,,2022 - 2023,11.75
,Udupi,2000 - 2001,6.19
,,2002 - 2003,6.19
,,2003 - 2004,6.19
,,2004 - 2005,6.19
,,2005 - 2006,6.19
,,2006 - 2007,6.19
,,2007 - 2008,6.19
,,2008 - 2009,10.12
,,2009 - 2010,6.57
,,2010 - 2011,6.85
,,2011 - 2012,6.33
,,2012 - 2013,6.33
,,2013 - 2014,6.23
,,2014 - 2015,16.96
,,2015 - 2016,15.9
,,2016 - 2017,11.99
,,2017 - 2018,12.98
,,2018 - 2019,14.51
,,2019 - 2020,19.25
,,2020 - 2021,19.94
,,2021 - 2022,18.06
,,2022 - 2023,14.95
,Uttar kannad,2000 - 2001,6.34
,,2002 - 2003,6.33
,,2003 - 2004,6.33
,,2004 - 2005,6.36
,,2005 - 2006,6.33
,,2006 - 2007,6.35
,,2007 - 2008,6.35
,,2008 - 2009,10.11
,,2009 - 2010,6.56
,,2010 - 2011,8.24
,,2011 - 2012,14.56
,,2012 - 2013,15.5
,,2013 - 2014,14.7
,,2014 - 2015,16.95
,,2015 - 2016,15.88
,,2016 - 2017,12.0
,,2017 - 2018,13.0
,,2018 - 2019,14.5
,,2019 - 2020,19.0
,,2020 - 2021,19.92
,,2021 - 2022,17.5
,,2022 - 2023,15.0
,Yadgir,2010 - 2011,8.26
,,2018 - 2019,14.5
,,2019 - 2020,19.2
Kerala,Alappuzha,2000 - 2001,12.0
,,2001 - 2002,12.0
,,2002 - 2003,12.0
,,2003 - 2004,12.0
,,2004 - 2005,12.0
,,2005 - 2006,12.0
,,2006 - 2007,12.0
,,2007 - 2008,12.0
,,2008 - 2009,12.0
,,2009 - 2010,12.0
,,2012 - 2013,10.5
,,2013 - 2014,11.0
,,2014 - 2015,10.71
,,2015 - 2016,10.75
,,2016 - 2017,10.8
,,2017 - 2018,10.75
,,2018 - 2019,10.75
,,2019 - 2020,10.57
,,2020 - 2021,10.57
,,2021 - 2022,10.5
,,2022 - 2023,10.5
,Ernakulam,2000 - 2001,11.25
,,2001 - 2002,11.23
,,2002 - 2003,11.27
,,2003 - 2004,11.5
,,2004 - 2005,11.6
,,2006 - 2007,11.6
,,2007 - 2008,11.5
,,2008 - 2009,11.5
,,2009 - 2010,11.57
,,2012 - 2013,11.5
,,2013 - 2014,12.0
,,2014 - 2015,12.0
,,2015 - 2016,12.0
,,2016 - 2017,12.0
,,2017 - 2018,12.0
,,2018 - 2019,12.0
,,2019 - 2020,10.33
,,2020 - 2021,10.33
,,2021 - 2022,10.4
,,2022 - 2023,10.4
,Idukki,2000 - 2001,11.4
,,2001 - 2002,11.43
,,2002 - 2003,11.5
,,2003 - 2004,11.5
,,2004 - 2005,11.5
,,2005 - 2006,11.5
,,2006 - 2007,11.53
,,2007 - 2008,11.57
,,2008 - 2009,11.67
,,2009 - 2010,11.5
,,2012 - 2013,27.0
,,2013 - 2014,27.0
,,2014 - 2015,22.0
,,2015 - 2016,22.0
,,2016 - 2017,22.0
,,2017 - 2018,22.0
,,2018 - 2019,22.0
,,2019 - 2020,21.67
,,2020 - 2021,21.67
,,2021 - 2022,21.75
,,2022 - 2023,21.75
,Kannur,2000 - 2001,11.36
,,2001 - 2002,11.35
,,2002 - 2003,11.36
,,2003 - 2004,11.38
,,2004 - 2005,11.37
,,2005 - 2006,11.37
,,2006 - 2007,11.38
,,2007 - 2008,11.37
,,2008 - 2009,11.38
,,2009 - 2010,11.36
,,2012 - 2013,10.58
,,2013 - 2014,11.0
,,2014 - 2015,11.03
,,2015 - 2016,11.03
,,2016 - 2017,11.04
,,2017 - 2018,11.05
,,2018 - 2019,11.04
,,2019 - 2020,11.0
,,2020 - 2021,11.0
,,2021 - 2022,11.0
,,2022 - 2023,11.0
,Kasaragod,2000 - 2001,18.24
,,2001 - 2002,18.24
,,2002 - 2003,18.25
,,2003 - 2004,18.24
,,2004 - 2005,18.24
,,2005 - 2006,18.24
,,2006 - 2007,18.25
,,2007 - 2008,18.25
,,2008 - 2009,18.24
,,2009 - 2010,18.26
,,2012 - 2013,28.92
,,2013 - 2014,29.0
,,2014 - 2015,18.66
,,2015 - 2016,18.66
,,2016 - 2017,18.67
,,2017 - 2018,18.67
,,2018 - 2019,18.67
,,2019 - 2020,18.82
,,2020 - 2021,18.82
,,2021 - 2022,18.81
,,2022 - 2023,18.81
,Kollam,2000 - 2001,11.0
,,2001 - 2002,11.0
,,2002 - 2003,11.0
,,2003 - 2004,11.0
,,2004 - 2005,11.0
,,2005 - 2006,11.0
,,2006 - 2007,11.0
,,2007 - 2008,11.0
,,2008 - 2009,11.0
,,2009 - 2010,11.0
,,2012 - 2013,11.0
,,2013 - 2014,11.0
,,2014 - 2015,11.0
,,2015 - 2016,11.0
,,2016 - 2017,11.0
,,2017 - 2018,11.0
,,2018 - 2019,11.0
,,2019 - 2020,10.0
,,2020 - 2021,10.0
,,2021 - 2022,10.0
,,2022 - 2023,10.0
,Kottayam,2000 - 2001,8.0
,,2001 - 2002,8.0
,,2002 - 2003,8.0
,,2003 - 2004,8.0
,,2004 - 2005,8.0
,,2005 - 2006,8.0
,,2006 - 2007,8.0
,,2007 - 2008,8.0
,,2008 - 2009,8.0
,,2009 - 2010,8.0
,,2012 - 2013,3.0
,,2013 - 2014,10.0
,,2014 - 2015,11.0
,,2015 - 2016,11.0
,,2017 - 2018,11.0
,,2018 - 2019,11.0
,,2020 - 2021,11.0
,,2021 - 2022,11.0
,,2022 - 2023,11.0
,Kozhikode,2000 - 2001,11.4
,,2001 - 2002,11.4
,,2002 - 2003,11.44
,,2003 - 2004,11.43
,,2004 - 2005,11.42
,,2005 - 2006,11.44
,,2006 - 2007,11.42
,,2007 - 2008,11.42
,,2008 - 2009,11.41
,,2009 - 2010,11.41
,,2012 - 2013,16.07
,,2013 - 2014,16.0
,,2014 - 2015,15.33
,,2015 - 2016,15.31
,,2016 - 2017,15.3
,,2017 - 2018,15.27
,,2018 - 2019,15.27
,,2019 - 2020,15.1
,,2020 - 2021,15.1
,,2021 - 2022,15.17
,,2022 - 2023,15.17
,Malappuram,2000 - 2001,11.51
,,2001 - 2002,11.51
,,2002 - 2003,11.5
,,2003 - 2004,11.5
,,2004 - 2005,11.5
,,2005 - 2006,11.5
,,2006 - 2007,11.5
,,2007 - 2008,11.5
,,2008 - 2009,11.5
,,2009 - 2010,11.5
,,2012 - 2013,12.25
,,2013 - 2014,12.0
,,2014 - 2015,12.0
,,2015 - 2016,12.0
,,2016 - 2017,12.0
,,2017 - 2018,12.0
,,2018 - 2019,12.0
,,2019 - 2020,12.06
,,2020 - 2021,12.06
,,2021 - 2022,12.07
,,2022 - 2023,11.49
,Palakkad,2000 - 2001,9.22
,,2001 - 2002,9.22
,,2002 - 2003,9.22
,,2003 - 2004,9.22
,,2004 - 2005,9.22
,,2005 - 2006,9.22
,,2006 - 2007,9.23
,,2007 - 2008,9.23
,,2008 - 2009,9.22
,,2009 - 2010,9.23
,,2012 - 2013,16.84
,,2013 - 2014,17.0
,,2014 - 2015,15.0
,,2015 - 2016,15.0
,,2016 - 2017,15.0
,,2017 - 2018,15.0
,,2018 - 2019,15.0
,,2019 - 2020,15.14
,,2020 - 2021,15.14
,,2021 - 2022,15.14
,,2022 - 2023,14.51
,Pathanamthitta,2002 - 2003,11.0
,,2005 - 2006,11.0
,,2006 - 2007,11.0
,,2007 - 2008,11.0
,,2008 - 2009,11.0
,,2009 - 2010,11.0
,,2013 - 2014,11.0
,,2014 - 2015,12.0
,,2015 - 2016,12.0
,,2016 - 2017,12.0
,,2017 - 2018,12.0
,,2018 - 2019,12.0
,,2020 - 2021,12.0
,,2021 - 2022,12.0
,,2022 - 2023,12.0
,Thiruvananthapuram,2000 - 2001,11.34
,,2001 - 2002,11.34
,,2002 - 2003,11.34
,,2003 - 2004,11.32
,,2004 - 2005,11.32
,,2005 - 2006,11.33
,,2006 - 2007,11.35
,,2007 - 2008,11.38
,,2008 - 2009,11.33
,,2009 - 2010,11.37
,,2012 - 2013,11.31
,,2013 - 2014,11.0
,,2014 - 2015,11.0
,,2015 - 2016,11.0
,,2016 - 2017,11.0
,,2017 - 2018,11.0
,,2018 - 2019,11.0
,,2019 - 2020,11.0
,,2020 - 2021,11.0
,,2021 - 2022,11.0
,,2022 - 2023,11.0
,Thrissur,2000 - 2001,10.67
,,2001 - 2002,11.0
,,2002 - 2003,11.0
,,2003 - 2004,11.0
,,2004 - 2005,11.0
,,2005 - 2006,11.0
,,2006 - 2007,11.0
,,2007 - 2008,11.0
,,2008 - 2009,11.0
,,2009 - 2010,11.0
,,2012 - 2013,3.75
,,2013 - 2014,4.0
,,2014 - 2015,7.0
,,2015 - 2016,7.0
,,2016 - 2017,7.0
,,2017 - 2018,7.0
,,2018 - 2019,7.0
,,2019 - 2020,6.33
,,2020 - 2021,6.33
,,2021 - 2022,6.33
,,2022 - 2023,6.33
,Wayanad,2000 - 2001,11.67
,,2001 - 2002,11.67
,,2002 - 2003,11.69
,,2003 - 2004,11.71
,,2004 - 2005,11.69
,,2005 - 2006,11.73
,,2006 - 2007,11.75
,,2007 - 2008,11.75
,,2008 - 2009,11.75
,,2009 - 2010,11.78
,,2012 - 2013,15.67
,,2013 - 2014,16.0
,,2014 - 2015,15.88
,,2015 - 2016,15.86
,,2016 - 2017,15.86
,,2017 - 2018,15.75
,,2018 - 2019,15.75
,,2019 - 2020,15.33
,,2020 - 2021,15.33
,,2021 - 2022,15.25
,,2022 - 2023,15.25
Madhya Pradesh,Agar malwa,2013 - 2014,6.56
,,2015 - 2016,14.95
,,2016 - 2017,14.95
,,2017 - 2018,14.95
,,2018 - 2019,9.77
,,2019 - 2020,9.77
,Alirajpur,2008 - 2009,6.33
,,2009 - 2010,5.33
,,2010 - 2011,4.3
,,2011 - 2012,5.07
,,2012 - 2013,6.27
,,2013 - 2014,4.56
,,2015 - 2016,16.0
,,2016 - 2017,16.0
,,2017 - 2018,16.07
,,2018 - 2019,16.1
,,2019 - 2020,16.12
,Anuppur,2003 - 2004,5.34
,,2004 - 2005,5.78
,,2005 - 2006,5.87
,,2006 - 2007,5.88
,,2007 - 2008,5.87
,,2008 - 2009,5.87
,,2009 - 2010,4.98
,,2010 - 2011,3.59
,,2011 - 2012,4.81
,,2012 - 2013,5.61
,,2013 - 2014,6.55
,,2019 - 2020,25.0
,Ashoknagar,2003 - 2004,5.39
,,2004 - 2005,5.5
,,2005 - 2006,6.0
,,2006 - 2007,6.09
,,2007 - 2008,5.0
,,2009 - 2010,6.0
,,2010 - 2011,4.25
,,2011 - 2012,5.6
,,2012 - 2013,5.0
,,2013 - 2014,6.0
,,2015 - 2016,13.0
,,2016 - 2017,13.0
,,2017 - 2018,13.0
,,2018 - 2019,13.75
,,2019 - 2020,13.75
,Balaghat,2001 - 2002,6.58
,,2002 - 2003,6.58
,,2003 - 2004,6.58
,,2004 - 2005,6.58
,,2005 - 2006,6.58
,,2006 - 2007,6.57
,,2007 - 2008,6.58
,,2008 - 2009,6.58
,,2009 - 2010,6.57
,,2010 - 2011,5.55
,,2011 - 2012,5.94
,,2012 - 2013,5.95
,,2013 - 2014,7.14
,,2015 - 2016,11.78
,,2016 - 2017,10.96
,,2017 - 2018,21.15
,,2018 - 2019,21.31
,,2019 - 2020,21.31
,Barwani,2001 - 2002,4.18
,,2002 - 2003,6.18
,,2003 - 2004,5.45
,,2004 - 2005,5.46
,,2005 - 2006,2.84
,,2006 - 2007,3.96
,,2007 - 2008,3.2
,,2008 - 2009,3.19
,,2009 - 2010,3.25
,,2010 - 2011,2.06
,,2011 - 2012,1.98
,,2012 - 2013,4.3
,,2013 - 2014,4.77
,,2015 - 2016,15.0
,,2016 - 2017,15.5
,,2017 - 2018,15.5
,,2018 - 2019,15.5
,,2019 - 2020,15.51
,Betul,2001 - 2002,6.37
,,2002 - 2003,6.36
,,2003 - 2004,6.27
,,2004 - 2005,6.27
,,2005 - 2006,6.26
,,2006 - 2007,6.36
,,2007 - 2008,6.26
,,2008 - 2009,6.09
,,2009 - 2010,5.81
,,2010 - 2011,5.05
,,2011 - 2012,5.12
,,2012 - 2013,7.07
,,2013 - 2014,8.51
,,2015 - 2016,8.0
,,2016 - 2017,8.25
,,2017 - 2018,8.0
,,2018 - 2019,8.37
,,2019 - 2020,8.49
,Bhind,2001 - 2002,5.0
,,2002 - 2003,5.2
,,2003 - 2004,4.59
,,2004 - 2005,5.17
,,2005 - 2006,4.76
,,2006 - 2007,5.29
,,2007 - 2008,4.0
,,2008 - 2009,6.2
,,2009 - 2010,6.0
,,2010 - 2011,4.0
,,2011 - 2012,4.14
,,2012 - 2013,4.43
,,2013 - 2014,4.5
,Bhopal,2001 - 2002,5.0
,,2002 - 2003,5.5
,,2003 - 2004,5.0
,,2004 - 2005,5.5
,,2006 - 2007,5.5
,,2007 - 2008,5.5
,,2008 - 2009,5.33
,,2009 - 2010,5.0
,,2010 - 2011,4.0
,,2011 - 2012,6.0
,,2012 - 2013,8.5
,Burhanpur,2005 - 2006,5.5
,,2006 - 2007,5.33
,,2008 - 2009,5.0
,,2009 - 2010,5.0
,,2010 - 2011,3.0
,,2012 - 2013,3.5
,,2013 - 2014,4.14
,Chhatarpur,2001 - 2002,5.26
,,2002 - 2003,5.45
,,2003 - 2004,5.54
,,2004 - 2005,5.64
,,2005 - 2006,4.73
,,2006 - 2007,4.73
,,2007 - 2008,4.73
,,2008 - 2009,4.63
,,2009 - 2010,4.63
,,2010 - 2011,2.83
,,2011 - 2012,2.83
,,2012 - 2013,5.58
,,2013 - 2014,4.92
,,2015 - 2016,12.46
,,2016 - 2017,12.5
,,2017 - 2018,12.05
,,2018 - 2019,11.23
,,2019 - 2020,11.24
,Chhindwara,2001 - 2002,4.11
,,2002 - 2003,4.19
,,2003 - 2004,5.07
,,2004 - 2005,5.16
,,2005 - 2006,5.68
,,2006 - 2007,6.11
,,2007 - 2008,6.11
,,2008 - 2009,6.11
,,2009 - 2010,6.55
,,2010 - 2011,5.53
,,2011 - 2012,5.53
,,2012 - 2013,5.16
,,2013 - 2014,6.64
,,2015 - 2016,25.0
,,2016 - 2017,25.0
,,2017 - 2018,25.0
,,2018 - 2019,18.0
,,2019 - 2020,18.0
,Damoh,2001 - 2002,5.73
,,2002 - 2003,5.81
,,2003 - 2004,5.9
,,2004 - 2005,5.9
,,2005 - 2006,5.81
,,2006 - 2007,5.03
,,2007 - 2008,5.64
,,2008 - 2009,6.94
,,2009 - 2010,7.2
,,2010 - 2011,2.96
,,2011 - 2012,5.91
,,2012 - 2013,6.1
,,2013 - 2014,6.94
,Datia,2001 - 2002,5.0
,,2002 - 2003,5.0
,,2003 - 2004,5.0
,,2004 - 2005,4.38
,,2005 - 2006,4.75
,,2007 - 2008,5.6
,,2008 - 2009,6.0
,,2010 - 2011,4.0
,,2012 - 2013,5.96
,,2013 - 2014,7.33
,,2015 - 2016,15.0
,,2016 - 2017,15.0
,,2017 - 2018,15.0
,,2018 - 2019,15.0
,,2019 - 2020,15.0
,Dewas,2001 - 2002,7.33
,,2002 - 2003,6.05
,,2003 - 2004,8.45
,,2004 - 2005,6.63
,,2005 - 2006,7.2
,,2006 - 2007,8.86
,,2007 - 2008,7.24
,,2008 - 2009,9.03
,,2010 - 2011,7.81
,,2016 - 2017,29.87
,,2017 - 2018,29.87
,,2018 - 2019,29.88
,,2019 - 2020,29.88
,Dhar,2001 - 2002,5.74
,,2002 - 2003,5.75
,,2003 - 2004,6.51
,,2004 - 2005,7.05
,,2005 - 2006,6.5
,,2006 - 2007,7.58
,,2007 - 2008,7.58
,,2008 - 2009,7.69
,,2009 - 2010,7.69
,,2010 - 2011,6.35
,,2011 - 2012,6.24
,,2012 - 2013,7.59
,,2013 - 2014,7.05
,,2016 - 2017,16.0
,,2017 - 2018,14.57
,,2018 - 2019,15.45
,,2019 - 2020,18.62
,Dindori,2001 - 2002,5.4
,,2002 - 2003,4.53
,,2003 - 2004,5.59
,,2004 - 2005,4.81
,,2005 - 2006,3.05
,,2006 - 2007,3.11
,,2007 - 2008,2.89
,,2008 - 2009,3.0
,,2009 - 2010,3.38
,,2010 - 2011,2.09
,,2011 - 2012,2.07
,,2012 - 2013,3.78
,,2013 - 2014,5.63
,Guna,2001 - 2002,6.24
,,2002 - 2003,4.0
,,2003 - 2004,6.06
,,2004 - 2005,6.11
,,2005 - 2006,6.0
,,2006 - 2007,6.1
,,2007 - 2008,5.22
,,2008 - 2009,6.05
,,2009 - 2010,6.08
,,2010 - 2011,4.33
,,2011 - 2012,4.69
,,2012 - 2013,5.38
,,2013 - 2014,5.67
,,2015 - 2016,25.0
,,2016 - 2017,25.0
,,2017 - 2018,25.0
,,2018 - 2019,25.0
,,2019 - 2020,25.0
,Gwalior,2001 - 2002,6.85
,,2002 - 2003,5.25
,,2003 - 2004,6.29
,,2004 - 2005,5.93
,,2005 - 2006,6.38
,,2006 - 2007,7.08
,,2007 - 2008,5.44
,,2008 - 2009,8.27
,,2009 - 2010,8.26
,,2010 - 2011,5.13
,,2011 - 2012,5.55
,,2012 - 2013,5.98
,,2013 - 2014,6.07
,,2016 - 2017,22.0
,,2017 - 2018,22.0
,,2018 - 2019,22.0
,,2019 - 2020,22.0
,Harda,2001 - 2002,5.28
,,2002 - 2003,4.61
,,2003 - 2004,4.76
,,2004 - 2005,4.77
,,2005 - 2006,3.76
,,2006 - 2007,3.17
,,2007 - 2008,3.76
,,2008 - 2009,3.4
,,2009 - 2010,4.67
,,2010 - 2011,3.07
,,2011 - 2012,3.3
,,2012 - 2013,3.67
,,2013 - 2014,3.0
,Hoshangabad,2001 - 2002,5.29
,,2002 - 2003,4.6
,,2003 - 2004,4.77
,,2004 - 2005,5.38
,,2005 - 2006,5.46
,,2006 - 2007,5.12
,,2007 - 2008,5.46
,,2008 - 2009,5.46
,,2009 - 2010,5.47
,,2010 - 2011,4.43
,,2011 - 2012,4.62
,,2012 - 2013,5.17
,,2013 - 2014,5.17
,,2017 - 2018,12.0
,,2018 - 2019,12.01
,,2019 - 2020,12.01
,Indore,2001 - 2002,5.5
,,2002 - 2003,5.75
,,2003 - 2004,7.06
,,2004 - 2005,6.5
,,2005 - 2006,6.5
,,2006 - 2007,6.71
,,2007 - 2008,6.67
,,2011 - 2012,5.55
,,2013 - 2014,5.33
,,2016 - 2017,22.0
,,2017 - 2018,22.0
,,2018 - 2019,22.0
,,2019 - 2020,22.0
,Jabalpur,2001 - 2002,7.28
,,2002 - 2003,7.03
,,2003 - 2004,8.16
,,2004 - 2005,8.16
,,2005 - 2006,8.68
,,2006 - 2007,8.64
,,2007 - 2008,6.08
,,2008 - 2009,6.54
,,2009 - 2010,6.56
,,2010 - 2011,6.0
,,2011 - 2012,7.05
,,2012 - 2013,7.62
,,2013 - 2014,8.0
,,2015 - 2016,10.0
,,2016 - 2017,10.0
,,2017 - 2018,10.1
,,2018 - 2019,10.1
,,2019 - 2020,10.1
,Jhabua,2001 - 2002,3.83
,,2002 - 2003,4.44
,,2003 - 2004,4.91
,,2004 - 2005,4.92
,,2005 - 2006,5.35
,,2006 - 2007,5.35
,,2007 - 2008,5.35
,,2008 - 2009,6.36
,,2009 - 2010,5.31
,,2010 - 2011,4.05
,,2011 - 2012,4.65
,,2012 - 2013,6.29
,,2013 - 2014,8.94
,Katni,2001 - 2002,4.43
,,2002 - 2003,7.03
,,2003 - 2004,4.42
,,2004 - 2005,5.21
,,2005 - 2006,3.44
,,2006 - 2007,4.09
,,2007 - 2008,2.8
,,2008 - 2009,3.03
,,2009 - 2010,2.91
,,2010 - 2011,1.73
,,2011 - 2012,10.21
,,2012 - 2013,3.93
,,2013 - 2014,5.85
,,2015 - 2016,10.34
,,2016 - 2017,10.14
,,2017 - 2018,10.14
,,2018 - 2019,10.14
,,2019 - 2020,10.14
,Khandwa,2001 - 2002,4.44
,,2002 - 2003,6.07
,,2003 - 2004,5.19
,,2004 - 2005,4.91
,,2005 - 2006,5.36
,,2006 - 2007,5.34
,,2007 - 2008,4.81
,,2008 - 2009,4.81
,,2009 - 2010,4.9
,,2010 - 2011,3.05
,,2011 - 2012,3.05
,,2012 - 2013,3.35
,,2013 - 2014,3.95
,,2015 - 2016,18.0
,,2016 - 2017,18.0
,,2017 - 2018,18.0
,,2018 - 2019,18.0
,,2019 - 2020,18.24
,Khargone,2001 - 2002,5.85
,,2002 - 2003,6.18
,,2003 - 2004,5.46
,,2004 - 2005,4.36
,,2005 - 2006,4.36
,,2006 - 2007,6.1
,,2007 - 2008,4.91
,,2008 - 2009,4.71
,,2009 - 2010,5.0
,,2010 - 2011,4.54
,,2011 - 2012,4.38
,,2012 - 2013,5.18
,,2013 - 2014,3.66
,Mandla,2001 - 2002,4.45
,,2002 - 2003,4.37
,,2003 - 2004,4.63
,,2004 - 2005,4.8
,,2005 - 2006,4.8
,,2006 - 2007,4.8
,,2007 - 2008,4.81
,,2008 - 2009,4.8
,,2009 - 2010,4.8
,,2010 - 2011,3.47
,,2011 - 2012,3.48
,,2012 - 2013,5.67
,,2013 - 2014,8.72
,,2015 - 2016,17.2
,,2016 - 2017,17.51
,,2017 - 2018,17.53
,,2018 - 2019,17.69
,,2019 - 2020,17.73
,Mandsaur,2001 - 2002,6.26
,,2002 - 2003,5.67
,,2003 - 2004,6.95
,,2004 - 2005,6.7
,,2005 - 2006,6.47
,,2006 - 2007,7.53
,,2007 - 2008,6.94
,,2008 - 2009,7.53
,,2009 - 2010,8.08
,,2010 - 2011,6.11
,,2011 - 2012,8.9
,,2012 - 2013,9.42
,,2013 - 2014,9.69
,,2015 - 2016,18.0
,,2016 - 2017,18.0
,,2017 - 2018,18.0
,,2018 - 2019,16.42
,,2019 - 2020,16.42
,Morena,2001 - 2002,6.0
,,2002 - 2003,4.57
,,2003 - 2004,5.48
,,2004 - 2005,6.23
,,2005 - 2006,5.6
,,2006 - 2007,6.25
,,2007 - 2008,4.79
,,2008 - 2009,7.28
,,2009 - 2010,7.27
,,2010 - 2011,4.51
,,2011 - 2012,4.92
,,2013 - 2014,5.55
,,2015 - 2016,20.87
,,2016 - 2017,20.94
,,2017 - 2018,21.0
,,2018 - 2019,21.14
,,2019 - 2020,21.71
,Narsinghpur,2001 - 2002,9.25
,,2002 - 2003,8.24
,,2003 - 2004,9.0
,,2004 - 2005,9.12
,,2005 - 2006,8.87
,,2006 - 2007,8.87
,,2007 - 2008,8.62
,,2008 - 2009,8.63
,,2009 - 2010,8.62
,,2010 - 2011,7.15
,,2011 - 2012,7.16
,,2012 - 2013,0.9
,,2013 - 2014,9.21
,,2015 - 2016,11.76
,,2016 - 2017,13.6
,,2017 - 2018,13.6
,,2018 - 2019,13.44
,,2019 - 2020,13.44
,Neemuch,2001 - 2002,8.0
,,2002 - 2003,8.22
,,2003 - 2004,8.6
,,2004 - 2005,8.57
,,2005 - 2006,6.4
,,2006 - 2007,7.6
,,2007 - 2008,7.0
,,2008 - 2009,8.0
,,2009 - 2010,8.0
,,2010 - 2011,6.14
,,2011 - 2012,6.0
,,2012 - 2013,12.67
,,2013 - 2014,12.8
,Panna,2001 - 2002,4.68
,,2002 - 2003,4.45
,,2003 - 2004,5.23
,,2004 - 2005,4.43
,,2005 - 2006,4.43
,,2006 - 2007,4.43
,,2007 - 2008,4.43
,,2008 - 2009,4.43
,,2009 - 2010,4.43
,,2010 - 2011,2.68
,,2011 - 2012,2.67
,,2012 - 2013,6.58
,,2013 - 2014,8.81
,Raisen,2001 - 2002,4.97
,,2002 - 2003,4.96
,,2003 - 2004,5.41
,,2004 - 2005,5.42
,,2005 - 2006,5.41
,,2006 - 2007,5.43
,,2007 - 2008,5.41
,,2008 - 2009,5.41
,,2009 - 2010,5.43
,,2010 - 2011,3.89
,,2011 - 2012,6.47
,,2012 - 2013,4.56
,,2013 - 2014,5.88
,Rajgarh,2001 - 2002,5.33
,,2002 - 2003,4.61
,,2003 - 2004,5.69
,,2004 - 2005,6.14
,,2005 - 2006,5.88
,,2006 - 2007,6.41
,,2007 - 2008,6.78
,,2008 - 2009,6.87
,,2009 - 2010,6.86
,,2010 - 2011,5.93
,,2011 - 2012,6.32
,,2012 - 2013,9.48
,,2013 - 2014,8.53
,,2015 - 2016,9.04
,,2016 - 2017,26.2
,,2017 - 2018,25.0
,,2018 - 2019,25.0
,,2019 - 2020,25.0
,Ratlam,2001 - 2002,7.24
,,2002 - 2003,8.26
,,2003 - 2004,8.27
,,2004 - 2005,8.26
,,2005 - 2006,5.79
,,2006 - 2007,6.71
,,2007 - 2008,7.44
,,2008 - 2009,8.28
,,2009 - 2010,7.23
,,2010 - 2011,5.9
,,2011 - 2012,6.0
,,2012 - 2013,9.19
,,2013 - 2014,9.44
,,2015 - 2016,8.55
,,2016 - 2017,6.5
,,2017 - 2018,6.69
,,2018 - 2019,8.92
,,2019 - 2020,7.41
,Rewa,2001 - 2002,5.33
,,2002 - 2003,5.31
,,2003 - 2004,5.33
,,2004 - 2005,5.33
