state,district,year,sunflower_kharif_yield_tonne_per_hectare
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,1.67
,,2020 - 2021,
,,2021 - 2022,
,West godavari,2000 - 2001,1.42
,,2001 - 2002,1.13
,,2002 - 2003,1.09
,,2003 - 2004,1.17
,,2004 - 2005,0.89
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,1.0
,,2021 - 2022,
Arunachal Pradesh,Changlang,2016 - 2017,0.57
,,2017 - 2018,1.8
,,2018 - 2019,1.43
,,2019 - 2020,1.43
,,2020 - 2021,1.43
,,2021 - 2022,1.16
,,2022 - 2023,0.97
,Dibang valley,2016 - 2017,0.83
,,2017 - 2018,0.84
,,2018 - 2019,0.84
,,2019 - 2020,0.84
,,2020 - 2021,0.84
,,2021 - 2022,0.65
,,2022 - 2023,0.68
,East siang,2016 - 2017,0.78
,,2017 - 2018,0.79
,,2018 - 2019,0.8
,,2019 - 2020,0.8
,,2020 - 2021,0.8
,,2021 - 2022,0.77
,,2022 - 2023,0.76
,Leparada,2019 - 2020,0.85
,,2020 - 2021,0.85
,,2021 - 2022,0.93
,,2022 - 2023,0.87
,Lohit,2016 - 2017,0.88
,,2017 - 2018,0.89
,,2018 - 2019,0.89
,,2019 - 2020,0.89
,,2020 - 2021,0.89
,,2021 - 2022,0.83
,,2022 - 2023,0.81
,Lower dibang valley,2016 - 2017,0.93
,,2017 - 2018,0.28
,,2018 - 2019,0.28
,,2019 - 2020,0.27
,,2020 - 2021,0.36
,,2021 - 2022,0.71
,,2022 - 2023,0.88
,Lower siang,2018 - 2019,1.92
,,2019 - 2020,1.96
,,2020 - 2021,1.96
,,2021 - 2022,0.97
,,2022 - 2023,0.97
,Lower subansiri,2016 - 2017,0.9
,,2017 - 2018,1.05
,,2018 - 2019,1.05
,,2019 - 2020,1.05
,,2020 - 2021,1.11
,,2021 - 2022,1.02
,,2022 - 2023,0.96
,Namsai,2016 - 2017,0.81
,,2017 - 2018,0.64
,,2018 - 2019,0.64
,,2019 - 2020,0.64
,,2020 - 2021,0.64
,,2021 - 2022,0.64
,,2022 - 2023,0.63
,Papum pare,2016 - 2017,0.86
,,2017 - 2018,0.42
,,2018 - 2019,0.42
,,2019 - 2020,0.45
,,2020 - 2021,0.48
,,2021 - 2022,0.74
,,2022 - 2023,0.82
,Shi yomi,2019 - 2020,0.58
,,2020 - 2021,0.58
,,2021 - 2022,0.62
,,2022 - 2023,0.63
,Siang,2016 - 2017,0.84
,,2017 - 2018,0.5
,,2018 - 2019,0.5
,,2019 - 2020,0.5
,,2020 - 2021,0.5
,,2021 - 2022,0.98
,,2022 - 2023,0.97
,West siang,2016 - 2017,0.78
,,2017 - 2018,0.6
,,2018 - 2019,0.6
,,2019 - 2020,0.61
,,2020 - 2021,0.61
,,2021 - 2022,0.79
,,2022 - 2023,0.75
Bihar,Araria,2000 - 2001,1.74
,,2001 - 2002,1.23
,,2002 - 2003,1.37
,,2003 - 2004,1.47
,,2004 - 2005,1.42
,,2005 - 2006,1.46
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,,2022 - 2023,
,Arwal,2003 - 2004,1.38
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,Aurangabad,2000 - 2001,1.47
,,2001 - 2002,1.47
,,2002 - 2003,1.33
,,2003 - 2004,1.5
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,Begusarai,2000 - 2001,1.66
,,2001 - 2002,1.14
,,2002 - 2003,1.3
,,2003 - 2004,1.33
,,2004 - 2005,1.38
,,2005 - 2006,1.35
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Bhagalpur,2000 - 2001,1.48
,,2001 - 2002,1.4
,,2002 - 2003,1.35
,,2003 - 2004,1.39
,,2004 - 2005,1.47
,,2005 - 2006,1.45
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Buxar,2000 - 2001,1.55
,,2001 - 2002,1.14
,,2002 - 2003,1.32
,,2003 - 2004,1.24
,,2004 - 2005,1.46
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,Darbhanga,2002 - 2003,1.39
,,2003 - 2004,1.46
,,2004 - 2005,1.47
,,2005 - 2006,1.46
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Gaya,2000 - 2001,1.51
,,2001 - 2002,1.14
,,2002 - 2003,1.35
,,2003 - 2004,1.38
,,2004 - 2005,1.36
,,2005 - 2006,1.32
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,Gopalganj,2000 - 2001,1.38
,,2001 - 2002,1.13
,,2002 - 2003,1.19
,,2003 - 2004,1.32
,,2004 - 2005,1.43
,,2022 - 2023,
,Jamui,2000 - 2001,1.33
,,2003 - 2004,1.5
,,2006 - 2007,
,Jehanabad,2000 - 2001,1.67
,,2001 - 2002,1.16
,,2002 - 2003,1.27
,,2003 - 2004,1.37
,,2004 - 2005,1.48
,,2005 - 2006,1.4
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Kaimur (bhabua),2001 - 2002,1.43
,,2016 - 2017,
,,2019 - 2020,
,Katihar,2000 - 2001,1.51
,,2001 - 2002,1.11
,,2002 - 2003,1.42
,,2003 - 2004,1.47
,,2004 - 2005,1.31
,,2005 - 2006,1.41
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Khagaria,2000 - 2001,1.13
,,2001 - 2002,1.37
,,2002 - 2003,1.38
,,2003 - 2004,1.43
,,2004 - 2005,1.43
,,2005 - 2006,1.44
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kishanganj,2001 - 2002,1.49
,,2013 - 2014,
,Madhepura,2000 - 2001,1.6
,,2001 - 2002,1.2
,,2002 - 2003,1.22
,,2003 - 2004,1.35
,,2004 - 2005,1.42
,,2005 - 2006,1.29
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Madhubani,2000 - 2001,1.0
,,2001 - 2002,1.14
,,2002 - 2003,1.0
,,2003 - 2004,1.06
,,2004 - 2005,1.5
,,2005 - 2006,1.33
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Munger,2000 - 2001,1.0
,,2001 - 2002,1.2
,,2003 - 2004,1.44
,,2004 - 2005,1.35
,,2005 - 2006,1.25
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,Muzaffarpur,2000 - 2001,1.65
,,2001 - 2002,1.26
,,2002 - 2003,1.28
,,2003 - 2004,1.25
,,2004 - 2005,1.45
,,2005 - 2006,1.45
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Nalanda,2000 - 2001,1.6
,,2001 - 2002,1.14
,,2002 - 2003,1.28
,,2003 - 2004,1.36
,,2004 - 2005,1.46
,,2005 - 2006,1.31
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nawada,2000 - 2001,1.46
,,2001 - 2002,1.16
,,2002 - 2003,1.21
,,2003 - 2004,1.33
,,2004 - 2005,1.47
,,2005 - 2006,1.28
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Pashchim champaran,2000 - 2001,1.39
,,2001 - 2002,1.31
,,2002 - 2003,1.28
,,2003 - 2004,1.47
,,2004 - 2005,1.38
,,2005 - 2006,1.39
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Patna,2000 - 2001,1.45
,,2001 - 2002,1.46
,,2002 - 2003,1.44
,,2003 - 2004,1.33
,,2004 - 2005,1.31
,,2005 - 2006,1.33
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Purbi champaran,2000 - 2001,1.4
,,2001 - 2002,1.31
,,2002 - 2003,1.03
,,2003 - 2004,1.39
,,2004 - 2005,1.34
,,2005 - 2006,1.33
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Purnia,2000 - 2001,1.44
,,2001 - 2002,1.17
,,2002 - 2003,1.32
,,2003 - 2004,1.49
,,2004 - 2005,1.39
,,2005 - 2006,1.35
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Rohtas,2000 - 2001,1.0
,,2002 - 2003,1.11
,,2003 - 2004,1.61
,,2004 - 2005,1.0
,,2005 - 2006,1.11
,,2006 - 2007,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Saharsa,2000 - 2001,1.83
,,2001 - 2002,1.45
,,2002 - 2003,1.27
,,2003 - 2004,1.37
,,2004 - 2005,1.45
,,2005 - 2006,1.41
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Samastipur,2000 - 2001,0.67
,,2001 - 2002,1.11
,,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2004 - 2005,1.47
,,2005 - 2006,1.31
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,Saran,2002 - 2003,1.2
,,2004 - 2005,1.33
,,2005 - 2006,1.5
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2010 - 2011,
,,2011 - 2012,
,,2014 - 2015,
,,2015 - 2016,
,Sheikhpura,2000 - 2001,1.0
,,2015 - 2016,
,,2016 - 2017,
,Sheohar,2005 - 2006,1.0
,,2006 - 2007,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Sitamarhi,2000 - 2001,1.58
,,2001 - 2002,1.13
,,2002 - 2003,1.25
,,2003 - 2004,1.33
,,2007 - 2008,
,,2008 - 2009,
,,2011 - 2012,
,Siwan,2000 - 2001,1.64
,,2001 - 2002,1.17
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,Supaul,2000 - 2001,1.68
,,2001 - 2002,1.12
,,2002 - 2003,1.28
,,2003 - 2004,1.21
,,2004 - 2005,1.47
,,2005 - 2006,1.25
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Vaishali,2000 - 2001,1.0
,,2001 - 2002,1.13
,,2002 - 2003,1.13
,,2004 - 2005,1.33
,,2005 - 2006,1.5
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
Chandigarh,Chandigarh,2001 - 2002,
,,2002 - 2003,
Chhattisgarh,Balod,2011 - 2012,0.97
,,2012 - 2013,0.59
,,2013 - 2014,0.57
,,2014 - 2015,0.49
,,2015 - 2016,1.0
,,2017 - 2018,0.0
,,2022 - 2023,
,Baloda bazar,2011 - 2012,0.47
,,2012 - 2013,0.47
,,2013 - 2014,0.0
,,2014 - 2015,0.37
,,2015 - 2016,0.41
,,2016 - 2017,0.0
,,2017 - 2018,0.0
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Balrampur,2011 - 2012,0.29
,,2012 - 2013,0.25
,,2013 - 2014,0.25
,,2015 - 2016,0.5
,,2016 - 2017,0.5
,,2017 - 2018,0.0
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bastar,2000 - 2001,0.2
,,2001 - 2002,0.23
,,2002 - 2003,0.21
,,2003 - 2004,0.29
,,2004 - 2005,0.2
,,2005 - 2006,0.21
,,2006 - 2007,0.23
,,2007 - 2008,0.23
,,2008 - 2009,0.2
,,2009 - 2010,0.2
,,2010 - 2011,0.2
,,2011 - 2012,0.29
,,2012 - 2013,0.33
,,2015 - 2016,0.15
,,2016 - 2017,0.0
,,2017 - 2018,0.0
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bemetara,2011 - 2012,0.57
,,2012 - 2013,0.75
,,2013 - 2014,0.58
,,2014 - 2015,0.49
,,2015 - 2016,0.6
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bijapur,2008 - 2009,0.0
,Bilaspur,2000 - 2001,0.33
,,2001 - 2002,0.45
,,2002 - 2003,0.33
,,2003 - 2004,0.41
,,2004 - 2005,0.45
,,2005 - 2006,0.39
,,2006 - 2007,0.43
,,2007 - 2008,0.44
,,2008 - 2009,0.44
,,2009 - 2010,0.45
,,2010 - 2011,0.44
,,2011 - 2012,0.43
,,2012 - 2013,0.42
,,2013 - 2014,0.0
,,2014 - 2015,0.46
,,2015 - 2016,0.5
,,2016 - 2017,0.0
,,2017 - 2018,0.0
,,2018 - 2019,
,,2020 - 2021,
,,2021 - 2022,
,Dantewada,2000 - 2001,0.25
,,2001 - 2002,0.24
,,2002 - 2003,0.17
,,2003 - 2004,0.33
,,2004 - 2005,0.2
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.25
,,2008 - 2009,0.0
,,2014 - 2015,0.22
,,2019 - 2020,
,Dhamtari,2000 - 2001,0.36
,,2001 - 2002,0.43
,,2002 - 2003,0.36
,,2003 - 2004,0.44
,,2004 - 2005,0.43
,,2005 - 2006,0.43
,,2006 - 2007,0.44
,,2007 - 2008,0.42
,,2008 - 2009,0.4
,,2009 - 2010,0.61
,,2010 - 2011,0.59
,,2011 - 2012,0.67
,,2012 - 2013,0.64
,,2013 - 2014,0.0
,,2014 - 2015,0.28
,,2015 - 2016,0.75
,,2016 - 2017,0.0
,,2017 - 2018,0.0
,,2018 - 2019,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Durg,2000 - 2001,0.42
,,2001 - 2002,0.57
,,2002 - 2003,0.54
,,2003 - 2004,0.61
,,2004 - 2005,0.59
,,2005 - 2006,0.61
,,2006 - 2007,0.67
,,2007 - 2008,0.67
,,2008 - 2009,0.57
,,2009 - 2010,0.58
,,2010 - 2011,0.54
,,2011 - 2012,0.66
,,2012 - 2013,0.75
,,2013 - 2014,0.0
,,2014 - 2015,0.1
,,2015 - 2016,0.67
,,2016 - 2017,0.0
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Gariyaband,2011 - 2012,0.67
,,2012 - 2013,0.33
,,2013 - 2014,0.0
,,2014 - 2015,0.33
,,2015 - 2016,0.0
,,2016 - 2017,0.0
,,2020 - 2021,
,Gaurella-pendra-marwahi,2020 - 2021,
,Janjgir-champa,2000 - 2001,0.4
,,2001 - 2002,0.44
,,2002 - 2003,0.34
,,2003 - 2004,0.4
,,2004 - 2005,0.47
,,2005 - 2006,0.5
,,2006 - 2007,0.47
,,2007 - 2008,0.4
,,2008 - 2009,0.46
,,2009 - 2010,0.43
,,2010 - 2011,0.45
,,2011 - 2012,0.43
,,2012 - 2013,0.44
,,2013 - 2014,0.0
,,2014 - 2015,0.47
,,2015 - 2016,0.49
,,2016 - 2017,0.0
,,2017 - 2018,0.0
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
