state,district,year,sunflower_rabi_yield_tonne_per_hectare
,,2016 - 2017,1.0
,Hoshangabad,2003 - 2004,
,,2006 - 2007,
,,2007 - 2008,
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,Indore,2000 - 2001,
,,2001 - 2002,
,Jabalpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,Jhabua,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2007 - 2008,
,Katni,2010 - 2011,
,,2016 - 2017,1.0
,Khandwa,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,Khargone,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2008 - 2009,
,,2009 - 2010,
,Mandla,2016 - 2017,1.0
,Mandsaur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2009 - 2010,
,Narsinghpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2016 - 2017,1.0
,Neemuch,2000 - 2001,
,,2002 - 2003,
,,2004 - 2005,
,,2005 - 2006,
,Raisen,2002 - 2003,
,Rajgarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,Ratlam,2001 - 2002,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,Rewa,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2017 - 2018,
,Sagar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2016 - 2017,1.0
,,2017 - 2018,
,Satna,2009 - 2010,
,Seoni,2000 - 2001,
,,2001 - 2002,
,,2003 - 2004,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2013 - 2014,
,,2016 - 2017,1.0
,Shahdol,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,Shajapur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,Shivpuri,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2004 - 2005,
,,2016 - 2017,1.0
,Sidhi,2001 - 2002,
,,2002 - 2003,
,,2004 - 2005,
,,2016 - 2017,1.0
,Tikamgarh,2016 - 2017,1.0
,Ujjain,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,Umaria,2005 - 2006,
,,2008 - 2009,
,,2010 - 2011,
,Vidisha,2000 - 2001,
,,2002 - 2003,
Maharashtra,Ahilyanagar,2000 - 2001,0.51
,,2001 - 2002,1.3
,,2002 - 2003,0.43
,,2003 - 2004,0.33
,,2004 - 2005,0.58
,,2005 - 2006,0.4
,,2006 - 2007,0.39
,,2007 - 2008,1.16
,,2008 - 2009,0.68
,,2009 - 2010,0.55
,,2010 - 2011,0.8
,,2011 - 2012,0.5
,,2012 - 2013,0.25
,,2013 - 2014,0.0
,,2014 - 2015,0.0
,,2015 - 2016,0.25
,,2016 - 2017,0.8
,,2017 - 2018,0.5
,,2018 - 2019,
,,2019 - 2020,0.31
,,2020 - 2021,0.39
,,2021 - 2022,1.32
,,2022 - 2023,0.6
,Akola,2000 - 2001,0.58
,,2001 - 2002,0.5
,,2002 - 2003,0.5
,,2003 - 2004,0.4
,,2004 - 2005,0.55
,,2005 - 2006,0.65
,,2006 - 2007,0.55
,,2007 - 2008,0.77
,,2008 - 2009,0.65
,,2009 - 2010,0.62
,,2010 - 2011,0.7
,,2011 - 2012,0.67
,,2012 - 2013,0.5
,,2013 - 2014,0.0
,,2014 - 2015,0.0
,,2015 - 2016,0.29
,,2016 - 2017,0.85
,,2017 - 2018,
,,2019 - 2020,
,,2020 - 2021,
,Amravati,2000 - 2001,0.56
,,2001 - 2002,0.56
,,2002 - 2003,0.56
,,2003 - 2004,0.4
,,2004 - 2005,0.59
,,2005 - 2006,0.65
,,2006 - 2007,0.58
,,2007 - 2008,0.78
,,2008 - 2009,0.64
,,2009 - 2010,0.61
,,2010 - 2011,0.68
,,2011 - 2012,0.69
,,2012 - 2013,0.5
,,2013 - 2014,0.0
,,2014 - 2015,0.0
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,
,,2020 - 2021,
,Beed,2000 - 2001,0.48
,,2001 - 2002,0.43
,,2002 - 2003,0.42
,,2003 - 2004,0.32
,,2004 - 2005,0.47
,,2005 - 2006,0.48
,,2006 - 2007,0.47
,,2007 - 2008,0.61
,,2008 - 2009,0.55
,,2009 - 2010,0.6
,,2010 - 2011,0.44
,,2011 - 2012,0.42
,,2012 - 2013,0.29
,,2013 - 2014,0.6
,,2014 - 2015,0.2
,,2015 - 2016,0.16
,,2016 - 2017,1.0
,,2017 - 2018,0.52
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,0.81
,,2022 - 2023,0.41
,Bhandara,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2016 - 2017,0.25
,,2019 - 2020,
,Buldhana,2000 - 2001,0.57
,,2001 - 2002,0.52
,,2002 - 2003,0.5
,,2003 - 2004,0.36
,,2004 - 2005,0.6
,,2005 - 2006,0.67
,,2006 - 2007,0.57
,,2007 - 2008,0.76
,,2008 - 2009,0.61
,,2009 - 2010,0.61
,,2010 - 2011,0.68
,,2011 - 2012,0.71
,,2012 - 2013,0.5
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,0.2
,,2016 - 2017,1.0
,,2017 - 2018,0.51
,,2018 - 2019,
,,2019 - 2020,0.47
,,2020 - 2021,0.6
,,2021 - 2022,0.75
,,2022 - 2023,0.46
,Chandrapur,2003 - 2004,0.5
,,2004 - 2005,0.5
,,2005 - 2006,0.64
,,2006 - 2007,0.57
,,2007 - 2008,0.75
,,2008 - 2009,0.5
,,2016 - 2017,
,,2017 - 2018,0.5
,Chhatrapati Sambhajinagar,2000 - 2001,0.47
,,2001 - 2002,0.43
,,2002 - 2003,0.41
,,2003 - 2004,0.32
,,2004 - 2005,0.47
,,2005 - 2006,0.48
,,2006 - 2007,0.47
,,2007 - 2008,0.6
,,2008 - 2009,0.55
,,2009 - 2010,0.59
,,2010 - 2011,0.47
,,2011 - 2012,0.33
,,2012 - 2013,0.25
,,2013 - 2014,0.4
,,2014 - 2015,
,,2015 - 2016,0.17
,,2016 - 2017,0.95
,,2017 - 2018,0.36
,,2019 - 2020,
,,2020 - 2021,0.6
,,2021 - 2022,0.81
,,2022 - 2023,0.41
,Dharashiv,2000 - 2001,0.53
,,2001 - 2002,0.45
,,2002 - 2003,0.48
,,2003 - 2004,0.14
,,2004 - 2005,0.59
,,2005 - 2006,0.74
,,2006 - 2007,0.58
,,2007 - 2008,0.76
,,2008 - 2009,0.68
,,2009 - 2010,0.61
,,2010 - 2011,0.69
,,2011 - 2012,0.72
,,2012 - 2013,0.36
,,2013 - 2014,0.58
,,2014 - 2015,0.31
,,2015 - 2016,0.22
,,2016 - 2017,1.34
,,2017 - 2018,0.48
,,2018 - 2019,
,,2019 - 2020,0.35
,,2020 - 2021,0.6
,,2021 - 2022,0.75
,,2022 - 2023,0.46
,Dhule,2000 - 2001,1.0
,,2001 - 2002,1.0
,,2002 - 2003,1.0
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2013 - 2014,
,,2015 - 2016,0.2
,,2016 - 2017,
,,2017 - 2018,0.5
,,2019 - 2020,
,,2021 - 2022,1.32
,,2022 - 2023,1.17
,Gadchiroli,2000 - 2001,1.0
,,2001 - 2002,1.0
,,2017 - 2018,
,,2022 - 2023,0.46
,Gondia,2020 - 2021,0.6
,,2022 - 2023,
,Hingoli,2000 - 2001,0.5
,,2001 - 2002,0.58
,,2002 - 2003,0.59
,,2003 - 2004,0.61
,,2004 - 2005,0.47
,,2005 - 2006,0.54
,,2006 - 2007,0.61
,,2007 - 2008,0.74
,,2008 - 2009,0.65
,,2009 - 2010,0.39
,,2010 - 2011,0.54
,,2011 - 2012,0.65
,,2012 - 2013,
,,2016 - 2017,1.1
,,2019 - 2020,
,,2021 - 2022,
,,2022 - 2023,
,Jalgaon,2000 - 2001,0.33
,,2001 - 2002,0.5
,,2002 - 2003,0.33
,,2003 - 2004,0.33
,,2004 - 2005,0.67
,,2005 - 2006,0.5
,,2006 - 2007,0.5
,,2007 - 2008,0.69
,,2008 - 2009,0.63
,,2009 - 2010,0.5
,,2010 - 2011,0.58
,,2011 - 2012,0.5
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,0.2
,,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,0.47
,,2020 - 2021,0.39
,,2021 - 2022,1.32
,,2022 - 2023,1.17
,Jalna,2000 - 2001,0.48
,,2001 - 2002,0.43
,,2002 - 2003,0.42
,,2003 - 2004,0.32
,,2004 - 2005,0.47
,,2005 - 2006,0.48
,,2006 - 2007,0.46
,,2007 - 2008,0.61
,,2008 - 2009,0.56
,,2009 - 2010,0.6
,,2010 - 2011,0.46
,,2011 - 2012,0.5
,,2012 - 2013,0.4
,,2013 - 2014,0.4
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,0.57
,,2020 - 2021,0.6
,,2021 - 2022,0.81
,,2022 - 2023,0.41
,Kolhapur,2000 - 2001,1.0
,,2001 - 2002,1.0
,,2002 - 2003,0.5
,,2003 - 2004,0.33
,,2004 - 2005,0.5
,,2005 - 2006,1.0
,,2006 - 2007,0.5
,,2007 - 2008,0.5
,,2008 - 2009,0.67
,,2009 - 2010,0.6
,,2010 - 2011,0.6
,,2011 - 2012,0.4
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,0.0
,,2015 - 2016,0.2
,,2016 - 2017,0.8
,,2017 - 2018,0.5
,,2018 - 2019,
,,2019 - 2020,0.57
,,2020 - 2021,0.39
,,2021 - 2022,1.32
,,2022 - 2023,1.17
,Latur,2000 - 2001,0.56
,,2001 - 2002,0.52
,,2002 - 2003,0.44
,,2003 - 2004,0.44
,,2004 - 2005,0.57
,,2005 - 2006,0.66
,,2006 - 2007,0.53
,,2007 - 2008,0.7
,,2008 - 2009,0.57
,,2009 - 2010,0.54
,,2010 - 2011,0.68
,,2011 - 2012,0.57
,,2012 - 2013,0.71
,,2013 - 2014,0.75
,,2014 - 2015,0.33
,,2015 - 2016,0.31
,,2016 - 2017,0.9
,,2017 - 2018,0.6
,,2018 - 2019,
,,2019 - 2020,0.71
,,2020 - 2021,0.6
,,2021 - 2022,0.75
,,2022 - 2023,0.46
,Nagpur,2000 - 2001,0.56
,,2001 - 2002,0.5
,,2002 - 2003,0.5
,,2003 - 2004,0.33
,,2004 - 2005,0.63
,,2005 - 2006,0.64
,,2006 - 2007,0.57
,,2007 - 2008,0.76
,,2008 - 2009,0.67
,,2009 - 2010,0.5
,,2010 - 2011,0.67
,,2011 - 2012,0.71
,,2012 - 2013,0.44
,,2013 - 2014,0.45
,,2014 - 2015,0.32
,,2015 - 2016,0.25
,,2016 - 2017,
,,2017 - 2018,0.55
,,2018 - 2019,
,Nanded,2000 - 2001,0.4
,,2001 - 2002,0.53
,,2002 - 2003,0.84
,,2003 - 2004,0.88
,,2004 - 2005,0.43
,,2005 - 2006,0.47
,,2006 - 2007,0.61
,,2007 - 2008,0.99
,,2008 - 2009,0.63
,,2009 - 2010,0.62
,,2010 - 2011,0.68
,,2011 - 2012,0.68
,,2012 - 2013,0.5
,,2013 - 2014,0.5
,,2014 - 2015,
,,2015 - 2016,0.33
,,2016 - 2017,0.56
,,2017 - 2018,0.5
,,2018 - 2019,
,,2019 - 2020,0.68
,,2020 - 2021,0.6
,,2021 - 2022,0.75
,,2022 - 2023,
,Nandurbar,2000 - 2001,0.5
,,2001 - 2002,1.0
,,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2004 - 2005,0.5
,,2005 - 2006,0.5
,,2006 - 2007,0.5
,,2007 - 2008,0.5
,,2008 - 2009,0.67
,,2009 - 2010,0.5
,,2010 - 2011,0.5
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,0.33
,,2016 - 2017,0.5
,,2017 - 2018,1.0
,,2018 - 2019,
,,2019 - 2020,0.4
,,2020 - 2021,0.39
,,2021 - 2022,1.32
,,2022 - 2023,1.17
,Nashik,2000 - 2001,1.0
,,2001 - 2002,0.5
,,2002 - 2003,0.5
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,0.5
,,2006 - 2007,0.5
,,2007 - 2008,0.5
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,0.27
,,2016 - 2017,0.7
,,2017 - 2018,0.5
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Palghar,2014 - 2015,0.67
,,2015 - 2016,0.33
,,2016 - 2017,0.65
,,2017 - 2018,0.51
,,2018 - 2019,
,,2020 - 2021,0.39
,,2021 - 2022,1.32
,Parbhani,2000 - 2001,0.79
,,2001 - 2002,0.56
,,2002 - 2003,0.69
,,2003 - 2004,0.65
,,2004 - 2005,0.45
,,2005 - 2006,0.56
,,2006 - 2007,0.56
,,2007 - 2008,0.86
,,2008 - 2009,0.61
,,2009 - 2010,0.58
,,2010 - 2011,0.69
,,2011 - 2012,0.68
,,2012 - 2013,0.44
,,2013 - 2014,0.4
,,2014 - 2015,
,,2015 - 2016,0.0
,,2016 - 2017,1.0
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,0.48
,,2020 - 2021,0.6
,,2022 - 2023,0.46
,Pune,2000 - 2001,0.5
,,2001 - 2002,0.64
,,2002 - 2003,0.44
,,2003 - 2004,0.15
,,2004 - 2005,0.56
,,2005 - 2006,0.48
,,2006 - 2007,0.5
,,2007 - 2008,0.71
,,2008 - 2009,0.61
,,2009 - 2010,0.5
,,2010 - 2011,0.56
,,2011 - 2012,0.43
,,2012 - 2013,0.4
,,2013 - 2014,0.0
,,2014 - 2015,0.67
,,2015 - 2016,0.2
,,2016 - 2017,1.0
,,2017 - 2018,0.53
,,2019 - 2020,0.42
,,2020 - 2021,0.39
,,2021 - 2022,1.32
,,2022 - 2023,1.17
,Ratnagiri,2015 - 2016,0.3
,,2019 - 2020,0.29
,,2020 - 2021,0.39
,Sangli,2000 - 2001,0.5
,,2001 - 2002,0.66
,,2002 - 2003,0.46
,,2003 - 2004,0.14
,,2004 - 2005,0.56
,,2005 - 2006,0.49
,,2006 - 2007,0.49
,,2007 - 2008,0.71
,,2008 - 2009,0.62
,,2009 - 2010,0.51
,,2010 - 2011,0.58
,,2011 - 2012,0.5
,,2012 - 2013,0.46
,,2013 - 2014,0.46
,,2014 - 2015,0.62
,,2015 - 2016,0.3
,,2016 - 2017,0.68
,,2017 - 2018,0.6
,,2018 - 2019,
,,2019 - 2020,0.75
,,2020 - 2021,0.39
,,2021 - 2022,1.32
,,2022 - 2023,1.17
,Satara,2000 - 2001,0.44
,,2001 - 2002,0.63
,,2002 - 2003,0.44
,,2003 - 2004,0.2
,,2004 - 2005,0.57
,,2005 - 2006,0.47
,,2006 - 2007,0.5
,,2007 - 2008,0.8
,,2008 - 2009,0.67
,,2009 - 2010,0.5
,,2010 - 2011,0.67
,,2011 - 2012,0.5
,,2012 - 2013,0.5
,,2013 - 2014,0.5
,,2014 - 2015,0.5
,,2015 - 2016,0.5
,,2016 - 2017,0.66
,,2017 - 2018,0.5
,,2018 - 2019,
,,2019 - 2020,0.47
,,2020 - 2021,0.39
,,2021 - 2022,1.32
,,2022 - 2023,1.17
,Sindhudurg,2015 - 2016,0.2
,,2016 - 2017,0.6
,Solapur,2000 - 2001,0.48
,,2001 - 2002,0.51
,,2002 - 2003,0.47
,,2003 - 2004,0.11
,,2004 - 2005,0.56
,,2005 - 2006,0.5
,,2006 - 2007,0.51
,,2007 - 2008,0.63
,,2008 - 2009,0.61
,,2009 - 2010,0.52
,,2010 - 2011,0.57
,,2011 - 2012,0.5
,,2012 - 2013,0.46
,,2013 - 2014,0.77
,,2014 - 2015,0.62
,,2015 - 2016,0.25
,,2016 - 2017,0.67
,,2017 - 2018,0.51
,,2018 - 2019,
,,2019 - 2020,0.55
,,2020 - 2021,0.39
,,2021 - 2022,1.32
,,2022 - 2023,1.21
,Thane,2015 - 2016,0.25
,,2016 - 2017,0.58
,Wardha,2000 - 2001,0.5
,,2001 - 2002,1.0
,,2004 - 2005,0.5
,,2005 - 2006,0.6
,,2006 - 2007,0.58
,,2007 - 2008,0.8
,,2008 - 2009,0.5
,,2010 - 2011,1.0
,,2016 - 2017,0.7
,Washim,2000 - 2001,0.56
,,2001 - 2002,0.51
,,2002 - 2003,0.5
,,2003 - 2004,0.4
,,2004 - 2005,0.6
,,2005 - 2006,0.57
,,2006 - 2007,0.5
,,2007 - 2008,0.67
,,2008 - 2009,1.0
,,2010 - 2011,
,,2011 - 2012,
,,2016 - 2017,0.86
,,2019 - 2020,
,Yavatmal,2000 - 2001,0.5
,,2001 - 2002,0.5
,,2002 - 2003,0.67
,,2003 - 2004,0.5
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,1.0
,,2007 - 2008,
,,2017 - 2018,0.5
Mizoram,Lawngtlai,2004 - 2005,
,Saiha,2004 - 2005,
Nagaland,Chumoukedima,2022 - 2023,
,Dimapur,2000 - 2001,1.15
,,2001 - 2002,1.33
,,2002 - 2003,2.74
,,2003 - 2004,1.0
,,2004 - 2005,2.0
,,2005 - 2006,1.0
,,2006 - 2007,0.91
,,2007 - 2008,1.04
,,2008 - 2009,
,,2009 - 2010,0.92
,,2010 - 2011,0.53
,,2011 - 2012,0.52
,,2012 - 2013,0.6
,,2013 - 2014,0.61
,,2014 - 2015,0.6
,,2015 - 2016,0.61
,,2016 - 2017,0.62
,,2017 - 2018,0.61
,,2018 - 2019,0.62
,,2019 - 2020,0.62
,,2020 - 2021,0.62
,Kiphire,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kohima,2000 - 2001,1.08
,,2001 - 2002,
,,2002 - 2003,1.14
,,2003 - 2004,1.8
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Longleng,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Mokokchung,2000 - 2001,1.1
,,2001 - 2002,1.25
,,2002 - 2003,1.18
,,2003 - 2004,1.75
,,2004 - 2005,
,,2005 - 2006,1.0
,,2006 - 2007,0.71
,,2007 - 2008,0.7
,,2008 - 2009,
,,2009 - 2010,0.87
,,2010 - 2011,0.52
,,2011 - 2012,0.53
,,2012 - 2013,0.6
,,2013 - 2014,0.76
,,2014 - 2015,0.74
,,2015 - 2016,0.68
,,2016 - 2017,0.64
,,2017 - 2018,0.63
,,2018 - 2019,0.61
,,2019 - 2020,0.61
,,2020 - 2021,0.61
,,2021 - 2022,
,,2022 - 2023,
,Mon,2000 - 2001,1.08
,,2001 - 2002,1.91
,,2002 - 2003,1.11
,,2003 - 2004,0.61
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Nuiland,2022 - 2023,
,Peren,2008 - 2009,
,,2009 - 2010,0.79
,,2010 - 2011,0.53
,,2011 - 2012,0.53
,,2012 - 2013,0.61
,,2013 - 2014,0.6
,,2014 - 2015,0.53
,,2015 - 2016,0.55
,,2016 - 2017,0.56
,,2017 - 2018,0.61
,,2018 - 2019,0.62
,,2019 - 2020,0.62
,,2020 - 2021,0.62
,,2021 - 2022,
,,2022 - 2023,
,Phek,2000 - 2001,1.1
,,2001 - 2002,0.9
,,2002 - 2003,1.22
,,2003 - 2004,0.82
,,2006 - 2007,0.68
,,2007 - 2008,0.56
,,2008 - 2009,
,,2009 - 2010,0.9
,,2010 - 2011,0.5
,,2011 - 2012,0.52
,,2012 - 2013,0.63
,,2013 - 2014,0.64
,,2014 - 2015,0.62
,,2015 - 2016,0.63
,,2016 - 2017,0.65
,,2017 - 2018,0.63
,,2018 - 2019,0.61
,,2019 - 2020,0.61
,,2020 - 2021,0.61
,,2021 - 2022,
,,2022 - 2023,
,Shamator,2022 - 2023,
,Tuensang,2000 - 2001,1.1
,,2001 - 2002,0.8
,,2002 - 2003,1.25
,,2003 - 2004,0.78
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Wokha,2000 - 2001,1.07
,,2001 - 2002,1.2
,,2002 - 2003,1.0
,,2003 - 2004,0.69
,,2004 - 2005,0.8
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,0.9
,,2010 - 2011,0.53
,,2011 - 2012,0.52
,,2012 - 2013,0.62
,,2013 - 2014,0.59
,,2014 - 2015,0.59
,,2015 - 2016,0.6
,,2016 - 2017,0.61
,,2017 - 2018,0.59
,,2018 - 2019,0.61
,,2019 - 2020,0.61
,,2020 - 2021,0.61
,Zunheboto,2000 - 2001,1.1
,,2001 - 2002,0.8
,,2002 - 2003,1.11
,,2003 - 2004,2.0
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Odisha,Anugul,2000 - 2001,1.07
,,2002 - 2003,0.61
,,2003 - 2004,0.58
,,2004 - 2005,0.69
,,2019 - 2020,1.26
,Balangir,2000 - 2001,0.79
,,2001 - 2002,0.97
,,2002 - 2003,0.96
,,2003 - 2004,0.92
,,2004 - 2005,0.79
,,2019 - 2020,1.21
,Baleshwar,2000 - 2001,0.5
,,2001 - 2002,0.5
,,2002 - 2003,0.6
,,2003 - 2004,0.5
,,2004 - 2005,0.62
,,2019 - 2020,1.25
,Bargarh,2000 - 2001,0.43
,,2001 - 2002,0.98
,,2002 - 2003,0.4
,,2003 - 2004,0.47
,,2004 - 2005,0.48
,,2019 - 2020,1.42
,Bhadrak,2000 - 2001,0.5
,,2001 - 2002,0.59
,,2002 - 2003,0.6
,,2003 - 2004,0.75
,,2004 - 2005,0.58
,,2019 - 2020,1.44
,Boudh,2000 - 2001,1.44
,,2001 - 2002,1.48
,,2002 - 2003,0.8
,,2003 - 2004,0.78
,,2004 - 2005,0.16
,,2019 - 2020,1.35
,Cuttack,2000 - 2001,0.67
,,2001 - 2002,0.68
,,2002 - 2003,0.67
,,2003 - 2004,0.6
,,2004 - 2005,0.64
,,2019 - 2020,1.29
,Deogarh,2000 - 2001,0.4
,,2001 - 2002,0.47
,,2002 - 2003,0.4
,,2003 - 2004,0.5
,,2004 - 2005,0.52
,,2019 - 2020,1.23
,Dhenkanal,2000 - 2001,0.89
,,2002 - 2003,0.6
,,2003 - 2004,0.62
,,2004 - 2005,0.61
,,2019 - 2020,1.2
,Gajapati,2000 - 2001,0.56
,,2001 - 2002,0.49
,,2002 - 2003,0.58
,,2003 - 2004,0.8
,,2004 - 2005,0.66
,,2019 - 2020,1.22
,Ganjam,2000 - 2001,0.62
,,2001 - 2002,0.71
,,2002 - 2003,0.69
,,2003 - 2004,0.63
,,2004 - 2005,0.75
,,2019 - 2020,1.24
,Jagatsinghapur,2000 - 2001,0.33
,,2001 - 2002,0.6
,,2002 - 2003,0.6
,,2003 - 2004,0.5
,,2004 - 2005,0.47
,,2019 - 2020,1.23
,Jajapur,2000 - 2001,0.6
,,2001 - 2002,0.5
,,2002 - 2003,0.67
,,2003 - 2004,0.5
,,2004 - 2005,0.91
,,2019 - 2020,1.33
,Jharsuguda,2000 - 2001,0.5
,,2001 - 2002,0.5
,,2002 - 2003,0.43
,,2003 - 2004,0.5
,,2004 - 2005,0.48
,,2019 - 2020,1.22
,Kalahandi,2000 - 2001,1.08
,,2001 - 2002,1.29
,,2002 - 2003,1.31
,,2003 - 2004,1.3
,,2004 - 2005,1.33
,,2019 - 2020,1.34
,Kandhamal,2000 - 2001,0.4
,,2001 - 2002,0.5
,,2002 - 2003,0.33
,,2003 - 2004,0.5
,,2004 - 2005,0.57
,,2019 - 2020,1.18
,Kendrapara,2000 - 2001,0.75
,,2001 - 2002,0.4
,,2002 - 2003,0.78
,,2003 - 2004,0.75
,,2004 - 2005,0.75
,,2019 - 2020,1.5
,Kendujhar,2000 - 2001,1.22
,,2001 - 2002,1.25
,,2002 - 2003,1.27
,,2003 - 2004,1.26
,,2004 - 2005,1.25
,,2019 - 2020,1.28
,Khordha,2001 - 2002,0.29
,,2002 - 2003,0.4
,,2003 - 2004,0.5
,,2004 - 2005,0.47
,,2019 - 2020,1.27
,Koraput,2000 - 2001,0.2
,,2001 - 2002,0.23
,,2002 - 2003,0.25
,,2003 - 2004,0.68
,,2004 - 2005,0.65
,,2019 - 2020,1.23
,Malkangiri,2000 - 2001,0.5
,,2019 - 2020,1.5
,Mayurbhanj,2000 - 2001,0.77
,,2001 - 2002,0.86
,,2002 - 2003,0.88
,,2003 - 2004,0.89
,,2004 - 2005,0.92
,,2019 - 2020,1.45
,Nabarangpur,2000 - 2001,0.47
,,2001 - 2002,0.48
,,2002 - 2003,0.33
,,2003 - 2004,0.5
,,2004 - 2005,0.65
,,2019 - 2020,1.43
,Nayagarh,2000 - 2001,0.62
,,2001 - 2002,0.64
,,2002 - 2003,0.6
,,2003 - 2004,0.62
,,2004 - 2005,0.61
,,2019 - 2020,1.19
,Nuapada,2000 - 2001,0.25
,,2001 - 2002,0.33
