state,district,year,sunflower_rabi_yield_tonne_per_hectare
,,2011 - 2012,1.45
,,2012 - 2013,1.45
,,2013 - 2014,1.45
,,2014 - 2015,1.45
,,2015 - 2016,1.44
,,2016 - 2017,1.53
,,2017 - 2018,1.47
,,2018 - 2019,1.48
,,2019 - 2020,1.5
,,2020 - 2021,1.48
,,2021 - 2022,1.95
,,2022 - 2023,1.82
,Kishanganj,2001 - 2002,
,,2013 - 2014,1.3
,Madhepura,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,1.28
,,2007 - 2008,1.33
,,2008 - 2009,1.33
,,2009 - 2010,1.41
,,2010 - 2011,1.43
,,2011 - 2012,1.41
,,2012 - 2013,1.42
,,2013 - 2014,1.42
,,2014 - 2015,1.43
,,2015 - 2016,1.42
,,2016 - 2017,1.43
,,2017 - 2018,1.43
,,2018 - 2019,1.39
,,2019 - 2020,1.41
,,2020 - 2021,1.43
,,2021 - 2022,1.36
,,2022 - 2023,1.37
,Madhubani,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,1.33
,,2007 - 2008,1.5
,,2008 - 2009,1.5
,,2010 - 2011,1.5
,,2011 - 2012,1.29
,,2012 - 2013,1.25
,,2013 - 2014,1.25
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,Munger,2000 - 2001,
,,2001 - 2002,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,1.42
,,2007 - 2008,1.5
,,2008 - 2009,1.5
,Muzaffarpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,1.45
,,2007 - 2008,1.35
,,2008 - 2009,1.35
,,2009 - 2010,1.0
,,2010 - 2011,1.43
,,2011 - 2012,1.44
