state,district,year,safflower_rabi_yield_tonne_per_hectare
,Dantewada,2005 - 2006,0.0
,Dhamtari,2000 - 2001,0.5
,,2001 - 2002,0.27
,,2002 - 2003,0.21
,,2003 - 2004,0.25
,,2004 - 2005,0.21
,,2005 - 2006,0.25
,,2006 - 2007,0.26
,,2007 - 2008,0.26
,,2008 - 2009,0.26
,,2009 - 2010,0.27
,,2010 - 2011,0.26
,,2011 - 2012,0.26
,,2012 - 2013,0.31
,,2013 - 2014,0.25
,,2014 - 2015,0.3
,,2015 - 2016,0.5
,,2016 - 2017,0.29
,,2017 - 2018,0.31
,,2018 - 2019,0.35
,,2020 - 2021,0.0
,Durg,2000 - 2001,0.19
,,2001 - 2002,0.24
,,2002 - 2003,0.23
,,2003 - 2004,0.24
,,2004 - 2005,0.21
,,2005 - 2006,0.25
,,2006 - 2007,0.23
,,2007 - 2008,0.25
,,2008 - 2009,0.25
,,2009 - 2010,0.2
,,2010 - 2011,0.23
,,2011 - 2012,0.24
,,2012 - 2013,0.28
,,2013 - 2014,0.25
,,2014 - 2015,0.27
,,2015 - 2016,0.23
,,2016 - 2017,0.3
,,2017 - 2018,0.2
,,2018 - 2019,0.17
,,2019 - 2020,0.11
,,2020 - 2021,0.29
,,2021 - 2022,0.23
,,2022 - 2023,0.23
,Gaurella-pendra-marwahi,2019 - 2020,0.33
,Janjgir-champa,2000 - 2001,0.19
,,2002 - 2003,0.19
,,2003 - 2004,0.25
,,2004 - 2005,0.23
,,2005 - 2006,0.24
,,2006 - 2007,0.25
,,2007 - 2008,0.22
,,2008 - 2009,0.22
,,2009 - 2010,0.23
,,2010 - 2011,0.25
,,2011 - 2012,0.25
,,2012 - 2013,0.24
,,2013 - 2014,0.21
,,2014 - 2015,0.22
,,2015 - 2016,0.3
,,2016 - 2017,0.33
,,2017 - 2018,0.29
,,2018 - 2019,0.43
,,2019 - 2020,0.33
,,2021 - 2022,0.25
,Kabirdham,2000 - 2001,0.33
,,2001 - 2002,0.42
,,2002 - 2003,0.41
,,2003 - 2004,0.41
,,2004 - 2005,0.41
,,2005 - 2006,0.31
,,2006 - 2007,0.4
,,2007 - 2008,0.44
,,2008 - 2009,0.44
,,2009 - 2010,0.29
,,2011 - 2012,0.4
,,2012 - 2013,0.4
,,2013 - 2014,0.33
,,2014 - 2015,0.67
,,2015 - 2016,0.33
,Kanker,2000 - 2001,0.0
,,2002 - 2003,0.33
,,2003 - 2004,0.2
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,Khairgarh chhuikhadan gandai,2022 - 2023,0.6
,Korba,2018 - 2019,0.33
,,2019 - 2020,0.0
,,2020 - 2021,0.33
,,2021 - 2022,0.0
,Korea,2003 - 2004,0.0
,Mahasamund,2002 - 2003,0.33
,,2003 - 2004,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.0
,,2018 - 2019,0.33
,Mohla manpur ambagarh chouki,2022 - 2023,0.43
,Mungeli,2011 - 2012,0.38
,,2012 - 2013,0.38
,,2013 - 2014,0.42
,,2014 - 2015,0.4
,,2015 - 2016,0.42
,,2016 - 2017,0.41
,,2017 - 2018,0.3
,,2018 - 2019,0.6
,,2019 - 2020,1.0
,Raigarh,2001 - 2002,0.21
,,2002 - 2003,0.18
,,2003 - 2004,0.18
,,2004 - 2005,0.18
,,2005 - 2006,0.17
,,2006 - 2007,0.19
,,2007 - 2008,0.18
,,2008 - 2009,0.2
,,2009 - 2010,0.2
,,2010 - 2011,0.23
,,2011 - 2012,0.23
,,2012 - 2013,0.19
,,2013 - 2014,0.23
,,2014 - 2015,0.25
,,2015 - 2016,0.29
,,2016 - 2017,0.22
,,2017 - 2018,0.25
,,2018 - 2019,0.14
,,2020 - 2021,0.33
,Raipur,2000 - 2001,0.23
,,2001 - 2002,0.24
,,2002 - 2003,0.21
,,2003 - 2004,0.22
,,2004 - 2005,0.2
,,2005 - 2006,0.21
,,2006 - 2007,0.21
,,2007 - 2008,0.2
,,2008 - 2009,0.4
,,2009 - 2010,0.23
,,2010 - 2011,0.24
,,2011 - 2012,0.25
,,2012 - 2013,0.29
,,2013 - 2014,0.24
,,2014 - 2015,0.29
,,2015 - 2016,0.35
,,2016 - 2017,0.41
,,2017 - 2018,0.38
,,2018 - 2019,0.38
,,2019 - 2020,0.3
,,2020 - 2021,0.33
,,2021 - 2022,0.38
,,2022 - 2023,0.35
,Rajnandgaon,2000 - 2001,0.5
,,2001 - 2002,0.33
,,2002 - 2003,0.5
,,2003 - 2004,0.36
,,2004 - 2005,0.38
,,2005 - 2006,0.3
,,2006 - 2007,0.33
,,2007 - 2008,0.31
,,2008 - 2009,0.41
,,2009 - 2010,0.37
,,2010 - 2011,0.43
,,2011 - 2012,0.5
,,2012 - 2013,0.5
,,2013 - 2014,0.4
