state,district,year,maize_rabi_yield_tonne_per_hectare
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,6.65
,,2012 - 2013,
,,2013 - 2014,5.0
,,2014 - 2015,7.5
,,2015 - 2016,6.84
,,2016 - 2017,1.26
,,2017 - 2018,6.69
,,2018 - 2019,7.0
,,2019 - 2020,6.72
,,2020 - 2021,5.29
,,2021 - 2022,6.08
,,2022 - 2023,6.14
,Ramanathapuram,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,6.65
,,2012 - 2013,
,,2013 - 2014,5.0
,,2014 - 2015,7.5
,,2015 - 2016,6.84
,,2016 - 2017,1.26
,,2017 - 2018,6.69
,,2018 - 2019,7.0
,,2019 - 2020,6.74
,,2020 - 2021,5.29
,,2021 - 2022,6.07
,,2022 - 2023,6.14
,Ranipet,2020 - 2021,7.0
,,2021 - 2022,
,,2022 - 2023,6.0
,Salem,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,6.41
,,2012 - 2013,
,,2013 - 2014,7.54
,,2014 - 2015,9.45
,,2015 - 2016,8.21
,,2016 - 2017,3.37
,,2017 - 2018,9.64
,,2018 - 2019,9.04
,,2019 - 2020,6.65
,,2020 - 2021,8.39
,,2021 - 2022,8.48
,,2022 - 2023,8.43
,Sivaganga,2000 - 2001,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,6.75
,,2012 - 2013,
,,2013 - 2014,5.0
,,2014 - 2015,7.5
,,2015 - 2016,6.84
,,2016 - 2017,1.0
,,2017 - 2018,6.67
,,2018 - 2019,6.75
,,2019 - 2020,6.65
,,2020 - 2021,5.0
,,2021 - 2022,6.04
,,2022 - 2023,6.26
,Thanjavur,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,6.65
,,2012 - 2013,
,,2013 - 2014,5.0
,,2014 - 2015,7.5
,,2015 - 2016,6.84
,,2016 - 2017,1.26
,,2017 - 2018,6.69
,,2018 - 2019,5.31
,,2019 - 2020,6.73
,,2020 - 2021,5.28
,,2021 - 2022,6.07
,,2022 - 2023,6.14
,The nilgiris,2000 - 2001,
,,2019 - 2020,
,,2020 - 2021,6.0
,,2021 - 2022,
,,2022 - 2023,7.5
,Theni,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,6.08
,,2012 - 2013,
,,2013 - 2014,8.63
,,2014 - 2015,8.94
,,2015 - 2016,5.67
,,2016 - 2017,1.26
,,2017 - 2018,8.85
,,2018 - 2019,7.0
,,2019 - 2020,6.72
,,2020 - 2021,5.29
,,2021 - 2022,6.07
,,2022 - 2023,6.14
,Thenkasi,2020 - 2021,4.17
,,2021 - 2022,4.48
,,2022 - 2023,4.7
,Thiruvallur,2006 - 2007,
,,2009 - 2010,
,,2010 - 2011,
,,2012 - 2013,
,,2013 - 2014,5.0
,,2014 - 2015,7.5
,,2015 - 2016,6.83
,,2016 - 2017,1.25
,,2017 - 2018,6.67
,,2018 - 2019,8.0
,,2019 - 2020,7.14
,,2020 - 2021,4.67
,,2021 - 2022,7.0
,,2022 - 2023,5.0
,Thiruvarur,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,
,,2011 - 2012,6.67
,,2013 - 2014,5.0
,,2018 - 2019,7.0
,,2019 - 2020,6.69
,,2020 - 2021,5.29
,,2021 - 2022,6.09
,,2022 - 2023,
,Thoothukudi,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,5.86
,,2012 - 2013,
,,2013 - 2014,2.08
,,2014 - 2015,5.15
,,2015 - 2016,3.81
,,2016 - 2017,0.25
,,2017 - 2018,2.84
,,2018 - 2019,6.99
,,2019 - 2020,3.91
,,2020 - 2021,2.91
,,2021 - 2022,3.49
,,2022 - 2023,3.53
,Tiruchirappalli,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,6.65
,,2012 - 2013,
,,2013 - 2014,5.0
,,2014 - 2015,7.5
,,2015 - 2016,6.84
,,2016 - 2017,1.26
,,2017 - 2018,6.69
,,2018 - 2019,7.0
,,2019 - 2020,6.72
,,2020 - 2021,5.28
,,2021 - 2022,6.07
,,2022 - 2023,6.14
,Tirunelveli,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,7.19
,,2012 - 2013,
,,2013 - 2014,4.5
,,2014 - 2015,10.08
,,2015 - 2016,6.87
,,2016 - 2017,0.44
,,2017 - 2018,5.43
,,2018 - 2019,8.79
,,2019 - 2020,4.55
,,2020 - 2021,5.29
,,2021 - 2022,6.07
,,2022 - 2023,6.14
,Tirupathur,2020 - 2021,5.29
,,2021 - 2022,6.07
,,2022 - 2023,6.14
,Tiruppur,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,8.32
,,2012 - 2013,
,,2013 - 2014,8.68
,,2014 - 2015,5.66
,,2015 - 2016,7.14
,,2016 - 2017,3.13
,,2017 - 2018,9.49
,,2018 - 2019,7.0
,,2019 - 2020,9.82
,,2020 - 2021,9.07
,,2021 - 2022,8.52
,,2022 - 2023,9.05
,Tiruvannamalai,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,6.65
,,2012 - 2013,
,,2013 - 2014,5.0
,,2014 - 2015,7.5
,,2015 - 2016,6.84
,,2016 - 2017,1.26
,,2017 - 2018,6.69
,,2018 - 2019,4.19
,,2019 - 2020,6.74
,,2020 - 2021,5.29
,,2021 - 2022,6.06
,,2022 - 2023,6.14
,Vellore,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,6.65
,,2012 - 2013,
,,2013 - 2014,5.0
,,2014 - 2015,7.5
,,2015 - 2016,6.84
,,2016 - 2017,4.23
,,2017 - 2018,6.69
,,2018 - 2019,7.0
,,2019 - 2020,6.72
,,2020 - 2021,5.28
,,2021 - 2022,6.06
,,2022 - 2023,6.15
,Villupuram,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,6.65
,,2012 - 2013,
,,2013 - 2014,5.0
,,2014 - 2015,7.5
,,2015 - 2016,6.81
,,2016 - 2017,6.42
,,2017 - 2018,8.04
,,2018 - 2019,3.49
,,2019 - 2020,8.25
,,2020 - 2021,5.27
,,2021 - 2022,6.06
,,2022 - 2023,6.15
,Virudhunagar,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,6.29
,,2012 - 2013,
,,2013 - 2014,4.56
,,2014 - 2015,8.29
,,2015 - 2016,6.57
,,2016 - 2017,0.62
,,2017 - 2018,5.59
,,2018 - 2019,7.81
,,2019 - 2020,7.73
,,2020 - 2021,5.24
,,2021 - 2022,6.65
,,2022 - 2023,5.97
Telangana,Adilabad,2000 - 2001,4.59
,,2001 - 2002,4.54
,,2002 - 2003,4.04
,,2003 - 2004,4.4
,,2004 - 2005,2.2
,,2005 - 2006,2.85
,,2006 - 2007,3.39
,,2007 - 2008,2.5
,,2008 - 2009,3.61
,,2009 - 2010,3.86
,,2010 - 2011,3.34
,,2011 - 2012,4.94
,,2012 - 2013,3.33
,,2013 - 2014,4.04
,,2014 - 2015,3.17
,,2015 - 2016,3.76
,,2016 - 2017,6.8
,,2017 - 2018,10.98
,,2018 - 2019,5.58
,,2019 - 2020,6.56
,,2020 - 2021,6.53
,,2021 - 2022,4.43
,,2022 - 2023,5.89
,Bhadradri,2016 - 2017,8.71
,,2017 - 2018,7.45
,,2018 - 2019,6.33
,,2019 - 2020,5.85
,,2020 - 2021,6.5
,,2021 - 2022,6.12
,,2022 - 2023,6.42
,Jagitial,2016 - 2017,6.82
,,2017 - 2018,4.5
,,2018 - 2019,4.54
,,2019 - 2020,5.54
,,2020 - 2021,6.42
,,2021 - 2022,8.37
,,2022 - 2023,7.02
,Jangoan,2016 - 2017,5.92
,,2017 - 2018,5.41
,,2018 - 2019,5.2
,,2019 - 2020,7.91
,,2020 - 2021,8.23
,,2021 - 2022,7.07
,,2022 - 2023,5.89
,Jayashankar,2016 - 2017,5.98
,,2017 - 2018,9.75
,,2018 - 2019,7.29
,,2019 - 2020,6.98
,,2020 - 2021,8.78
,,2021 - 2022,8.31
,,2022 - 2023,7.06
,Jogulamba,2016 - 2017,6.8
,,2017 - 2018,3.99
,,2018 - 2019,3.54
,,2019 - 2020,3.77
,,2020 - 2021,5.92
,,2021 - 2022,3.93
,,2022 - 2023,3.77
,Kamareddy,2016 - 2017,4.46
,,2017 - 2018,5.22
,,2018 - 2019,4.67
,,2019 - 2020,7.04
,,2020 - 2021,8.42
,,2021 - 2022,6.78
,,2022 - 2023,6.31
,Karimnagar,2000 - 2001,5.04
,,2001 - 2002,4.75
,,2002 - 2003,4.41
,,2003 - 2004,4.71
,,2004 - 2005,3.53
,,2005 - 2006,4.97
,,2006 - 2007,4.81
,,2007 - 2008,5.8
,,2008 - 2009,4.87
,,2009 - 2010,4.75
,,2010 - 2011,4.99
,,2011 - 2012,4.46
,,2012 - 2013,5.64
,,2013 - 2014,5.87
,,2014 - 2015,5.45
,,2015 - 2016,4.82
,,2016 - 2017,8.35
,,2017 - 2018,7.37
,,2018 - 2019,6.95
,,2019 - 2020,6.12
,,2020 - 2021,7.64
,,2021 - 2022,6.9
,,2022 - 2023,5.93
,Khammam,2000 - 2001,4.59
,,2001 - 2002,2.29
,,2002 - 2003,3.91
,,2003 - 2004,4.68
,,2004 - 2005,4.54
,,2005 - 2006,5.23
,,2006 - 2007,6.75
,,2007 - 2008,6.15
,,2008 - 2009,7.77
,,2009 - 2010,6.06
,,2010 - 2011,7.71
,,2011 - 2012,5.5
,,2012 - 2013,5.58
,,2013 - 2014,6.12
,,2014 - 2015,6.53
,,2015 - 2016,6.53
,,2016 - 2017,6.21
,,2017 - 2018,6.71
,,2018 - 2019,6.02
,,2019 - 2020,7.51
,,2020 - 2021,9.03
,,2021 - 2022,7.77
,,2022 - 2023,6.31
,Komaram bheem asifabad,2016 - 2017,6.8
,,2017 - 2018,6.9
,,2018 - 2019,6.5
,,2019 - 2020,6.93
,,2020 - 2021,7.88
,,2021 - 2022,3.53
,,2022 - 2023,5.04
,Mahabubabad,2016 - 2017,6.94
,,2017 - 2018,6.67
,,2018 - 2019,6.81
,,2019 - 2020,5.6
,,2020 - 2021,6.59
,,2021 - 2022,5.98
,,2022 - 2023,6.5
,Mahbubnagar,2000 - 2001,4.59
,,2001 - 2002,4.54
,,2002 - 2003,4.04
,,2003 - 2004,4.4
,,2004 - 2005,3.42
,,2005 - 2006,4.74
,,2006 - 2007,4.84
,,2007 - 2008,5.67
,,2008 - 2009,5.35
,,2009 - 2010,4.74
,,2010 - 2011,5.3
,,2011 - 2012,4.81
,,2012 - 2013,5.5
,,2013 - 2014,5.45
,,2014 - 2015,5.19
,,2015 - 2016,3.96
,,2016 - 2017,6.81
,,2017 - 2018,6.9
,,2018 - 2019,6.52
,,2019 - 2020,6.93
,,2020 - 2021,7.85
,,2021 - 2022,5.25
,,2022 - 2023,6.93
,Mancherial,2016 - 2017,7.51
,,2017 - 2018,4.48
,,2018 - 2019,6.16
,,2019 - 2020,5.84
,,2020 - 2021,7.86
,,2021 - 2022,3.89
,,2022 - 2023,5.85
,Medak,2000 - 2001,4.59
,,2001 - 2002,4.54
,,2002 - 2003,4.04
,,2003 - 2004,4.4
,,2004 - 2005,2.21
,,2005 - 2006,3.04
,,2006 - 2007,2.91
,,2007 - 2008,3.67
,,2008 - 2009,3.36
,,2009 - 2010,3.29
,,2010 - 2011,3.58
,,2011 - 2012,4.21
,,2012 - 2013,5.17
,,2013 - 2014,4.14
,,2014 - 2015,3.27
,,2015 - 2016,3.03
,,2016 - 2017,4.27
,,2017 - 2018,4.62
,,2018 - 2019,5.14
,,2019 - 2020,6.1
,,2020 - 2021,5.5
,,2021 - 2022,6.72
,,2022 - 2023,5.54
,Medchal,2016 - 2017,6.8
,,2017 - 2018,6.9
,,2018 - 2019,6.51
,,2019 - 2020,6.9
,,2020 - 2021,8.0
,,2021 - 2022,7.39
,,2022 - 2023,6.51
,Mulugu,2018 - 2019,7.29
,,2019 - 2020,10.96
,,2020 - 2021,8.37
,,2021 - 2022,9.22
,,2022 - 2023,6.32
,Nagarkurnool,2016 - 2017,6.8
,,2017 - 2018,6.9
,,2018 - 2019,6.5
,,2019 - 2020,6.93
,,2020 - 2021,7.84
,,2021 - 2022,4.96
,,2022 - 2023,5.32
,Nalgonda,2000 - 2001,4.59
,,2001 - 2002,4.54
,,2002 - 2003,4.04
,,2003 - 2004,4.4
,,2004 - 2005,3.42
,,2005 - 2006,4.74
,,2006 - 2007,4.84
,,2007 - 2008,3.0
,,2008 - 2009,5.35
,,2009 - 2010,4.74
,,2010 - 2011,5.29
,,2011 - 2012,4.81
,,2012 - 2013,3.5
,,2013 - 2014,5.45
,,2014 - 2015,5.3
,,2015 - 2016,4.98
,,2016 - 2017,6.81
,,2017 - 2018,6.9
,,2018 - 2019,6.5
,,2019 - 2020,6.92
,,2020 - 2021,7.87
,,2021 - 2022,7.39
,,2022 - 2023,6.51
,Narayanapet,2018 - 2019,
,,2019 - 2020,6.94
,,2020 - 2021,7.74
,,2021 - 2022,7.39
,,2022 - 2023,6.5
,Nirmal,2016 - 2017,8.16
,,2017 - 2018,8.67
,,2018 - 2019,8.27
,,2019 - 2020,8.8
,,2020 - 2021,9.18
,,2021 - 2022,9.21
,,2022 - 2023,8.2
,Nizamabad,2000 - 2001,4.3
,,2001 - 2002,5.85
,,2002 - 2003,2.39
,,2003 - 2004,4.1
,,2004 - 2005,2.03
,,2005 - 2006,4.9
,,2006 - 2007,5.07
,,2007 - 2008,5.75
,,2008 - 2009,6.82
,,2009 - 2010,3.89
,,2010 - 2011,3.9
,,2011 - 2012,5.06
,,2012 - 2013,4.13
,,2013 - 2014,5.86
,,2014 - 2015,4.98
,,2015 - 2016,3.65
,,2016 - 2017,5.83
,,2017 - 2018,6.93
,,2018 - 2019,5.77
,,2019 - 2020,5.94
,,2020 - 2021,6.26
,,2021 - 2022,8.21
,,2022 - 2023,8.47
,Peddapalli,2016 - 2017,9.48
,,2017 - 2018,9.71
,,2018 - 2019,6.61
,,2019 - 2020,7.09
,,2020 - 2021,7.16
,,2021 - 2022,6.57
,,2022 - 2023,7.08
,Rajanna,2016 - 2017,7.29
,,2017 - 2018,4.4
,,2018 - 2019,6.72
,,2019 - 2020,6.91
,,2020 - 2021,7.9
,,2021 - 2022,5.24
,,2022 - 2023,7.7
,Rangareddi,2000 - 2001,4.59
,,2001 - 2002,4.54
,,2002 - 2003,4.04
,,2003 - 2004,4.4
,,2004 - 2005,3.42
,,2005 - 2006,4.74
,,2006 - 2007,4.84
,,2007 - 2008,4.0
,,2008 - 2009,5.35
,,2009 - 2010,4.74
,,2010 - 2011,5.3
,,2011 - 2012,4.81
,,2012 - 2013,5.0
,,2013 - 2014,5.45
,,2014 - 2015,4.64
,,2015 - 2016,4.77
,,2016 - 2017,2.72
,,2017 - 2018,4.24
,,2018 - 2019,3.27
,,2019 - 2020,3.67
,,2020 - 2021,6.68
,,2021 - 2022,5.93
,,2022 - 2023,7.33
,Sangareddy,2016 - 2017,4.14
,,2017 - 2018,4.03
,,2018 - 2019,2.79
,,2019 - 2020,3.57
,,2020 - 2021,4.89
,,2021 - 2022,3.21
,,2022 - 2023,3.72
,Siddipet,2016 - 2017,4.51
,,2017 - 2018,6.24
,,2018 - 2019,4.37
,,2019 - 2020,5.48
,,2020 - 2021,7.56
,,2021 - 2022,5.24
,,2022 - 2023,5.07
,Suryapet,2016 - 2017,6.81
,,2017 - 2018,6.9
,,2018 - 2019,6.5
,,2019 - 2020,6.96
,,2020 - 2021,7.67
,,2021 - 2022,3.67
,,2022 - 2023,6.51
,Vikarabad,2016 - 2017,6.8
,,2017 - 2018,6.9
,,2018 - 2019,6.5
,,2019 - 2020,6.93
,,2020 - 2021,7.84
,,2021 - 2022,4.61
,,2022 - 2023,3.89
,Wanaparthy,2016 - 2017,6.81
,,2017 - 2018,6.9
,,2018 - 2019,6.5
,,2019 - 2020,6.95
,,2020 - 2021,7.87
,,2021 - 2022,4.46
,,2022 - 2023,6.51
,Warangal,2000 - 2001,3.61
,,2001 - 2002,4.18
,,2002 - 2003,3.79
,,2003 - 2004,3.71
,,2004 - 2005,3.66
,,2005 - 2006,4.75
,,2006 - 2007,4.7
,,2007 - 2008,4.77
,,2008 - 2009,5.11
,,2009 - 2010,4.5
,,2010 - 2011,5.59
,,2011 - 2012,4.94
,,2012 - 2013,5.56
,,2013 - 2014,5.25
,,2014 - 2015,6.41
,,2015 - 2016,6.43
,,2016 - 2017,10.36
,,2017 - 2018,8.34
,,2018 - 2019,8.79
,,2019 - 2020,6.84
,,2020 - 2021,6.98
,,2021 - 2022,8.13
,,2022 - 2023,6.03
,Warangal urban,2016 - 2017,7.35
,,2017 - 2018,7.57
,,2018 - 2019,6.16
,,2019 - 2020,7.25
,,2020 - 2021,7.72
,,2021 - 2022,8.28
,,2022 - 2023,7.65
,Yadadri,2016 - 2017,6.8
,,2017 - 2018,6.91
,,2018 - 2019,6.52
,,2019 - 2020,6.59
,,2020 - 2021,8.75
,,2021 - 2022,7.39
,,2022 - 2023,6.5
Tripura,Dhalai,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,1.28
,,2016 - 2017,1.38
,,2017 - 2018,1.38
,,2018 - 2019,2.16
,,2019 - 2020,2.45
,,2020 - 2021,2.51
,,2021 - 2022,2.6
,,2022 - 2023,3.66
,Gomati,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,1.57
,,2016 - 2017,1.66
,,2017 - 2018,1.66
,,2018 - 2019,2.1
,,2019 - 2020,2.37
,,2020 - 2021,2.51
,,2021 - 2022,2.77
,,2022 - 2023,3.34
,Khowai,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,1.44
,,2016 - 2017,1.55
,,2017 - 2018,1.55
,,2018 - 2019,2.1
,,2019 - 2020,2.38
,,2020 - 2021,2.46
,,2021 - 2022,2.6
,,2022 - 2023,3.43
,North tripura,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,1.23
,,2016 - 2017,1.28
,,2017 - 2018,1.29
,,2018 - 2019,1.93
,,2019 - 2020,2.21
,,2020 - 2021,2.31
,,2021 - 2022,2.54
,,2022 - 2023,3.41
,Sepahijala,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,1.74
,,2016 - 2017,1.82
,,2017 - 2018,1.76
,,2018 - 2019,2.24
,,2019 - 2020,2.54
,,2020 - 2021,2.68
,,2021 - 2022,2.68
,,2022 - 2023,3.93
,South tripura,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,1.52
,,2016 - 2017,1.72
,,2017 - 2018,1.72
,,2018 - 2019,2.17
,,2019 - 2020,2.47
,,2020 - 2021,2.5
,,2021 - 2022,2.63
,,2022 - 2023,3.38
,Unakoti,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,1.48
,,2016 - 2017,1.57
,,2017 - 2018,1.55
,,2018 - 2019,2.14
,,2019 - 2020,2.47
,,2020 - 2021,2.53
,,2021 - 2022,2.65
,,2022 - 2023,3.71
,West tripura,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,1.44
,,2016 - 2017,1.5
,,2017 - 2018,1.49
,,2018 - 2019,2.15
,,2019 - 2020,2.46
,,2020 - 2021,2.44
,,2021 - 2022,2.51
,,2022 - 2023,3.45
Uttar Pradesh,Agra,2000 - 2001,1.65
,,2001 - 2002,1.67
,,2002 - 2003,1.0
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Aligarh,2000 - 2001,1.63
,,2001 - 2002,1.63
,,2002 - 2003,1.11
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,3.53
,,2014 - 2015,
,,2015 - 2016,2.21
,,2016 - 2017,
,,2017 - 2018,3.0
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,2.65
,,2021 - 2022,
,,2022 - 2023,3.0
,Allahabad,2000 - 2001,1.63
,,2001 - 2002,1.67
,,2002 - 2003,
,,2003 - 2004,1.4
,,2004 - 2005,4.67
,,2005 - 2006,
,,2006 - 2007,3.0
,,2007 - 2008,3.0
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,3.0
,,2011 - 2012,2.4
,,2012 - 2013,3.1
,,2013 - 2014,3.56
,,2014 - 2015,2.39
,,2015 - 2016,2.2
,,2016 - 2017,
,,2017 - 2018,3.0
,,2018 - 2019,2.81
,,2019 - 2020,2.84
,,2020 - 2021,2.66
,,2021 - 2022,2.78
,,2022 - 2023,2.83
,Ambedkar nagar,2000 - 2001,1.62
,,2001 - 2002,1.63
,,2002 - 2003,1.11
,,2003 - 2004,
,,2004 - 2005,4.67
,,2005 - 2006,
,,2006 - 2007,3.14
,,2007 - 2008,2.86
,,2008 - 2009,2.57
,,2009 - 2010,3.0
,,2010 - 2011,3.0
,,2011 - 2012,2.4
,,2012 - 2013,3.15
,,2013 - 2014,3.53
,,2014 - 2015,2.39
,,2015 - 2016,2.18
,,2016 - 2017,2.79
,,2017 - 2018,3.0
,,2018 - 2019,2.83
,,2019 - 2020,2.83
,,2020 - 2021,2.65
,,2021 - 2022,2.8
,,2022 - 2023,2.75
,Amethi,2010 - 2011,
,,2011 - 2012,2.4
,,2012 - 2013,
,,2013 - 2014,3.55
,,2014 - 2015,2.4
,,2015 - 2016,2.18
,,2016 - 2017,2.81
,,2017 - 2018,
,,2018 - 2019,2.81
,,2019 - 2020,
,,2020 - 2021,2.64
,,2021 - 2022,
,,2022 - 2023,
,Amroha,2000 - 2001,1.62
,,2001 - 2002,1.63
,,2002 - 2003,1.11
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,2.36
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,2.43
,,2015 - 2016,2.2
,,2016 - 2017,2.8
,,2017 - 2018,3.0
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,2.67
,,2021 - 2022,
,,2022 - 2023,
,Auraiya,2000 - 2001,1.62
,,2001 - 2002,1.63
,,2002 - 2003,1.11
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,2.4
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,3.0
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,2.66
,,2021 - 2022,
,,2022 - 2023,2.83
,Azamgarh,2000 - 2001,1.62
,,2001 - 2002,1.63
,,2002 - 2003,1.11
,,2003 - 2004,
,,2004 - 2005,4.33
,,2005 - 2006,
,,2006 - 2007,2.86
,,2007 - 2008,
,,2008 - 2009,2.67
,,2009 - 2010,3.0
,,2010 - 2011,3.0
,,2011 - 2012,2.23
,,2012 - 2013,
,,2013 - 2014,3.55
,,2014 - 2015,1.49
,,2015 - 2016,2.0
,,2016 - 2017,1.68
,,2017 - 2018,2.03
,,2018 - 2019,2.0
,,2019 - 2020,2.0
,,2020 - 2021,2.6
,,2021 - 2022,3.0
,,2022 - 2023,2.82
,Baghpat,2000 - 2001,1.65
,,2001 - 2002,1.57
,,2002 - 2003,1.08
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bahraich,2000 - 2001,1.62
,,2001 - 2002,1.63
,,2002 - 2003,1.11
,,2003 - 2004,1.36
,,2004 - 2005,4.64
,,2005 - 2006,
,,2006 - 2007,3.15
