state,district,year,groundnut_rabi_yield_tonne_per_hectare
,,2019 - 2020,3.16
,,2020 - 2021,2.88
,,2021 - 2022,4.79
,,2022 - 2023,3.44
,Virudhunagar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,1.74
,,2012 - 2013,
,,2013 - 2014,2.01
,,2014 - 2015,1.71
,,2015 - 2016,2.2
,,2016 - 2017,1.02
,,2017 - 2018,0.91
,,2018 - 2019,1.83
,,2019 - 2020,1.56
,,2020 - 2021,2.15
,,2021 - 2022,1.47
,,2022 - 2023,1.32
Telangana,Adilabad,2000 - 2001,1.61
,,2001 - 2002,1.38
,,2002 - 2003,1.09
,,2003 - 2004,1.45
,,2004 - 2005,1.18
,,2005 - 2006,1.45
,,2006 - 2007,1.53
,,2007 - 2008,1.2
,,2008 - 2009,1.26
,,2009 - 2010,1.87
,,2010 - 2011,1.93
,,2011 - 2012,1.59
,,2012 - 2013,1.5
,,2013 - 2014,1.71
,,2014 - 2015,1.91
,,2015 - 2016,2.23
,,2016 - 2017,2.07
,,2017 - 2018,2.24
,,2018 - 2019,2.49
,,2019 - 2020,2.35
,,2020 - 2021,2.38
,,2021 - 2022,2.43
,,2022 - 2023,2.31
,Bhadradri,2016 - 2017,2.22
,,2017 - 2018,3.04
,,2018 - 2019,2.33
,,2019 - 2020,2.51
,,2020 - 2021,4.75
,,2021 - 2022,4.57
,,2022 - 2023,4.34
,Jagitial,2016 - 2017,1.79
,,2017 - 2018,1.45
,,2018 - 2019,1.43
,,2019 - 2020,1.75
,,2020 - 2021,1.72
,,2021 - 2022,1.28
,,2022 - 2023,1.87
,Jangoan,2016 - 2017,1.37
,,2017 - 2018,1.66
,,2018 - 2019,1.45
,,2019 - 2020,1.48
,,2020 - 2021,1.36
,,2021 - 2022,1.32
,,2022 - 2023,1.93
,Jayashankar,2016 - 2017,2.07
,,2017 - 2018,1.76
,,2018 - 2019,2.13
,,2019 - 2020,2.35
,,2020 - 2021,2.39
,,2021 - 2022,2.27
,,2022 - 2023,1.43
,Jogulamba,2016 - 2017,2.39
,,2017 - 2018,2.83
,,2018 - 2019,2.66
,,2019 - 2020,2.68
,,2020 - 2021,2.24
,,2021 - 2022,2.17
,,2022 - 2023,2.04
,Kamareddy,2016 - 2017,2.07
,,2017 - 2018,2.23
,,2018 - 2019,2.49
,,2019 - 2020,2.35
,,2020 - 2021,2.38
,,2021 - 2022,2.27
,,2022 - 2023,1.17
,Karimnagar,2000 - 2001,1.92
,,2001 - 2002,1.96
,,2002 - 2003,1.64
,,2003 - 2004,2.1
,,2004 - 2005,1.02
,,2005 - 2006,1.88
,,2006 - 2007,1.89
,,2007 - 2008,1.53
,,2008 - 2009,1.83
,,2009 - 2010,1.53
,,2010 - 2011,1.47
,,2011 - 2012,1.62
,,2012 - 2013,1.56
,,2013 - 2014,1.51
,,2014 - 2015,2.07
,,2015 - 2016,1.46
,,2016 - 2017,2.41
,,2017 - 2018,1.48
,,2018 - 2019,2.7
,,2019 - 2020,1.67
,,2020 - 2021,1.6
,,2021 - 2022,2.34
,,2022 - 2023,1.9
,Khammam,2000 - 2001,1.58
,,2001 - 2002,1.72
,,2002 - 2003,1.27
,,2003 - 2004,1.25
,,2004 - 2005,1.38
,,2005 - 2006,1.42
,,2006 - 2007,1.66
,,2007 - 2008,1.5
,,2008 - 2009,1.61
,,2009 - 2010,1.41
,,2010 - 2011,1.9
,,2011 - 2012,1.76
,,2012 - 2013,1.67
,,2013 - 2014,1.72
,,2014 - 2015,1.9
,,2015 - 2016,2.74
,,2016 - 2017,1.56
,,2017 - 2018,2.12
,,2018 - 2019,2.23
,,2019 - 2020,1.47
,,2020 - 2021,1.65
,,2021 - 2022,2.0
,,2022 - 2023,2.5
,Komaram bheem asifabad,2016 - 2017,2.06
,,2018 - 2019,
,,2019 - 2020,2.33
,,2020 - 2021,2.34
,,2021 - 2022,2.26
,,2022 - 2023,2.45
,Mahabubabad,2016 - 2017,1.3
,,2017 - 2018,1.51
,,2018 - 2019,1.6
,,2019 - 2020,1.75
,,2020 - 2021,2.03
,,2021 - 2022,1.67
,,2022 - 2023,1.99
,Mahbubnagar,2000 - 2001,1.23
,,2001 - 2002,1.4
,,2002 - 2003,0.95
,,2003 - 2004,1.27
,,2004 - 2005,1.21
,,2005 - 2006,1.34
,,2006 - 2007,1.6
,,2007 - 2008,2.19
,,2008 - 2009,2.05
,,2009 - 2010,2.16
,,2010 - 2011,2.23
,,2011 - 2012,1.53
,,2012 - 2013,1.89
,,2013 - 2014,1.79
,,2014 - 2015,2.05
,,2015 - 2016,1.61
,,2016 - 2017,1.85
,,2017 - 2018,2.34
,,2018 - 2019,2.24
,,2019 - 2020,2.1
,,2020 - 2021,2.86
,,2021 - 2022,2.92
,,2022 - 2023,1.89
,Mancherial,2016 - 2017,2.07
,,2017 - 2018,2.24
,,2018 - 2019,2.49
,,2019 - 2020,2.35
,,2020 - 2021,2.38
,,2021 - 2022,3.42
,,2022 - 2023,2.43
,Medak,2000 - 2001,1.61
,,2001 - 2002,1.49
,,2002 - 2003,1.72
,,2003 - 2004,1.48
,,2004 - 2005,1.74
,,2005 - 2006,1.47
,,2006 - 2007,1.92
,,2007 - 2008,2.0
,,2008 - 2009,2.07
,,2009 - 2010,1.81
,,2010 - 2011,1.62
,,2011 - 2012,0.83
,,2012 - 2013,1.0
,,2013 - 2014,1.28
,,2014 - 2015,1.2
,,2015 - 2016,0.9
,,2016 - 2017,2.07
,,2017 - 2018,2.23
,,2018 - 2019,2.49
,,2019 - 2020,2.31
,,2020 - 2021,2.38
,,2021 - 2022,2.27
,,2022 - 2023,2.46
,Medchal,2021 - 2022,2.2
,Mulugu,2018 - 2019,2.12
,,2019 - 2020,1.81
,,2020 - 2021,2.37
,,2021 - 2022,1.2
,,2022 - 2023,2.7
,Nagarkurnool,2016 - 2017,2.28
,,2017 - 2018,2.32
,,2018 - 2019,2.46
,,2019 - 2020,2.15
,,2020 - 2021,2.6
,,2021 - 2022,2.15
,,2022 - 2023,2.54
,Nalgonda,2000 - 2001,1.46
,,2001 - 2002,1.02
,,2002 - 2003,0.77
,,2003 - 2004,1.01
,,2004 - 2005,0.99
,,2005 - 2006,0.99
,,2006 - 2007,1.02
,,2007 - 2008,1.24
,,2008 - 2009,1.11
,,2009 - 2010,1.47
,,2010 - 2011,1.18
,,2011 - 2012,1.31
,,2012 - 2013,1.71
,,2013 - 2014,1.38
,,2014 - 2015,1.29
,,2015 - 2016,1.05
,,2016 - 2017,1.31
,,2017 - 2018,1.99
,,2018 - 2019,1.69
,,2019 - 2020,1.7
,,2020 - 2021,1.55
,,2021 - 2022,2.37
,,2022 - 2023,2.33
,Narayanapet,2018 - 2019,2.23
,,2019 - 2020,2.08
,,2020 - 2021,1.93
,,2021 - 2022,2.03
,,2022 - 2023,2.21
,Nirmal,2016 - 2017,2.07
,,2017 - 2018,2.24
,,2018 - 2019,2.49
,,2019 - 2020,2.34
,,2020 - 2021,2.37
,,2021 - 2022,2.38
,,2022 - 2023,3.28
,Nizamabad,2000 - 2001,2.88
,,2001 - 2002,1.74
,,2002 - 2003,1.02
,,2003 - 2004,2.41
,,2004 - 2005,1.39
,,2005 - 2006,2.07
,,2006 - 2007,1.61
,,2007 - 2008,2.33
,,2008 - 2009,2.26
,,2009 - 2010,1.45
,,2010 - 2011,2.1
,,2011 - 2012,1.68
,,2012 - 2013,3.0
,,2013 - 2014,2.07
,,2014 - 2015,2.87
,,2015 - 2016,2.66
,,2016 - 2017,2.07
,,2017 - 2018,2.24
,,2018 - 2019,2.49
,,2019 - 2020,2.31
,,2020 - 2021,2.53
,,2021 - 2022,2.27
,,2022 - 2023,2.5
,Peddapalli,2016 - 2017,2.07
,,2017 - 2018,2.24
,,2018 - 2019,2.5
,,2019 - 2020,2.33
,,2020 - 2021,2.39
,,2021 - 2022,2.26
,,2022 - 2023,2.44
,Rajanna,2016 - 2017,2.07
,,2017 - 2018,2.23
,,2018 - 2019,2.49
,,2019 - 2020,2.31
,,2020 - 2021,2.4
,,2021 - 2022,2.26
,,2022 - 2023,2.46
,Rangareddi,2000 - 2001,1.61
,,2001 - 2002,1.23
,,2002 - 2003,1.34
,,2003 - 2004,1.29
,,2004 - 2005,1.75
,,2005 - 2006,1.85
,,2006 - 2007,1.73
,,2007 - 2008,2.0
,,2008 - 2009,2.02
,,2009 - 2010,1.54
,,2010 - 2011,1.2
,,2011 - 2012,1.93
,,2012 - 2013,1.67
,,2013 - 2014,1.63
,,2014 - 2015,1.6
,,2015 - 2016,1.21
,,2016 - 2017,2.07
,,2017 - 2018,3.02
,,2018 - 2019,2.71
,,2019 - 2020,4.0
,,2020 - 2021,2.56
,,2021 - 2022,2.0
,,2022 - 2023,2.46
,Sangareddy,2016 - 2017,2.07
,,2017 - 2018,2.24
,,2018 - 2019,2.49
,,2019 - 2020,2.32
,,2020 - 2021,2.4
,,2021 - 2022,2.27
,,2022 - 2023,0.93
,Siddipet,2016 - 2017,2.07
,,2017 - 2018,1.75
,,2018 - 2019,2.26
,,2019 - 2020,1.8
,,2020 - 2021,1.43
,,2021 - 2022,2.29
,,2022 - 2023,2.31
,Suryapet,2016 - 2017,1.32
,,2017 - 2018,2.09
,,2018 - 2019,1.79
,,2019 - 2020,2.83
,,2020 - 2021,2.49
,,2021 - 2022,2.33
,,2022 - 2023,1.94
,Vikarabad,2016 - 2017,1.74
,,2017 - 2018,2.04
,,2018 - 2019,2.46
,,2019 - 2020,2.75
,,2020 - 2021,2.19
,,2021 - 2022,2.37
,,2022 - 2023,2.14
,Wanaparthy,2016 - 2017,2.39
,,2017 - 2018,2.16
,,2018 - 2019,3.1
,,2019 - 2020,3.05
,,2020 - 2021,2.24
,,2021 - 2022,2.49
,,2022 - 2023,2.99
,Warangal,2000 - 2001,1.5
,,2001 - 2002,1.06
,,2002 - 2003,1.02
,,2003 - 2004,1.55
,,2004 - 2005,1.17
,,2005 - 2006,1.61
,,2006 - 2007,1.44
,,2007 - 2008,1.59
,,2008 - 2009,1.59
,,2009 - 2010,1.58
,,2010 - 2011,1.74
,,2011 - 2012,1.9
,,2012 - 2013,1.89
,,2013 - 2014,1.71
,,2014 - 2015,1.76
,,2015 - 2016,1.67
,,2016 - 2017,2.94
,,2017 - 2018,2.67
,,2018 - 2019,2.88
,,2019 - 2020,3.17
,,2020 - 2021,2.58
,,2021 - 2022,2.39
,,2022 - 2023,2.7
,Warangal urban,2016 - 2017,2.07
,,2017 - 2018,2.24
,,2018 - 2019,2.49
,,2019 - 2020,2.35
,,2020 - 2021,2.38
,,2021 - 2022,0.76
,,2022 - 2023,1.46
,Yadadri,2016 - 2017,2.07
,,2017 - 2018,2.23
,,2018 - 2019,2.49
,,2019 - 2020,2.36
,,2020 - 2021,2.46
,,2021 - 2022,2.27
,,2022 - 2023,2.45
Tripura,Dhalai,2004 - 2005,0.88
,,2005 - 2006,0.82
,,2006 - 2007,0.95
,,2007 - 2008,0.95
,,2008 - 2009,1.0
,,2009 - 2010,1.04
,,2010 - 2011,1.03
,,2011 - 2012,1.27
,,2012 - 2013,1.24
,,2013 - 2014,1.29
,,2014 - 2015,1.2
,,2015 - 2016,1.23
,,2016 - 2017,1.54
,,2017 - 2018,1.5
,,2018 - 2019,1.5
,,2019 - 2020,1.51
,,2020 - 2021,1.56
,,2021 - 2022,
,,2022 - 2023,1.54
,Gomati,2012 - 2013,1.38
,,2013 - 2014,1.33
,,2014 - 2015,1.0
,,2015 - 2016,1.18
,,2016 - 2017,1.62
,,2017 - 2018,1.07
,,2018 - 2019,1.31
,,2019 - 2020,1.39
,,2020 - 2021,1.07
,,2021 - 2022,
,,2022 - 2023,1.3
,Khowai,2012 - 2013,1.46
,,2013 - 2014,1.18
,,2014 - 2015,1.04
,,2015 - 2016,1.18
,,2016 - 2017,1.63
,,2017 - 2018,1.15
,,2018 - 2019,1.44
,,2019 - 2020,1.51
,,2020 - 2021,1.55
,,2021 - 2022,
,,2022 - 2023,1.55
,North tripura,2004 - 2005,1.91
,,2005 - 2006,0.96
,,2006 - 2007,1.08
,,2007 - 2008,1.11
,,2008 - 2009,1.11
,,2009 - 2010,1.22
,,2010 - 2011,1.05
,,2011 - 2012,1.41
,,2012 - 2013,1.2
,,2013 - 2014,1.17
,,2014 - 2015,1.06
,,2015 - 2016,1.16
,,2016 - 2017,1.58
,,2017 - 2018,1.3
,,2018 - 2019,1.27
,,2019 - 2020,1.31
,,2020 - 2021,1.43
,,2021 - 2022,
,Sepahijala,2012 - 2013,
,,2013 - 2014,1.0
,,2014 - 2015,0.8
,,2015 - 2016,1.02
,,2016 - 2017,1.62
,,2017 - 2018,1.06
,,2018 - 2019,1.48
,,2019 - 2020,1.55
,,2020 - 2021,1.57
,,2021 - 2022,
,,2022 - 2023,1.56
,South tripura,2004 - 2005,0.88
,,2005 - 2006,0.86
,,2006 - 2007,0.91
,,2007 - 2008,0.95
,,2008 - 2009,1.42
,,2009 - 2010,1.11
,,2010 - 2011,1.02
,,2011 - 2012,1.23
,,2012 - 2013,1.34
,,2013 - 2014,1.31
,,2014 - 2015,1.07
,,2015 - 2016,1.18
,,2016 - 2017,1.57
,,2017 - 2018,1.21
,,2018 - 2019,1.49
,,2019 - 2020,1.56
,,2020 - 2021,1.6
,,2021 - 2022,
,,2022 - 2023,1.58
,Unakoti,2012 - 2013,1.44
,,2013 - 2014,1.19
,,2014 - 2015,0.94
,,2015 - 2016,1.11
,,2016 - 2017,1.57
,,2017 - 2018,1.22
,,2018 - 2019,1.37
,,2019 - 2020,1.45
,,2020 - 2021,1.47
,,2021 - 2022,
,,2022 - 2023,1.39
,West tripura,2004 - 2005,0.96
,,2005 - 2006,1.14
,,2006 - 2007,1.06
,,2007 - 2008,0.93
,,2008 - 2009,1.2
,,2009 - 2010,1.14
,,2010 - 2011,1.04
,,2011 - 2012,1.4
,,2012 - 2013,1.33
,,2013 - 2014,1.22
,,2014 - 2015,0.95
,,2015 - 2016,1.1
,,2016 - 2017,1.6
,,2017 - 2018,1.17
,,2018 - 2019,1.58
,,2019 - 2020,1.63
,,2020 - 2021,1.69
,,2021 - 2022,
,,2022 - 2023,1.62
Uttar Pradesh,Agra,2000 - 2001,
,,2001 - 2002,
,,2003 - 2004,
,,2004 - 2005,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2015 - 2016,
,Aligarh,2000 - 2001,
,,2002 - 2003,
,,2004 - 2005,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Allahabad,2000 - 2001,
,,2001 - 2002,
,,2003 - 2004,
,,2019 - 2020,
,Ambedkar nagar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2009 - 2010,
,Amethi,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Amroha,2001 - 2002,
,,2003 - 2004,
,,2004 - 2005,
,,2009 - 2010,
,,2010 - 2011,
,,2012 - 2013,
,,2014 - 2015,
,,2019 - 2020,
,Auraiya,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Azamgarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Baghpat,2016 - 2017,
,Bahraich,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ballia,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Balrampur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Banda,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Barabanki,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Bareilly,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Basti,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2007 - 2008,
,,2008 - 2009,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Bijnor,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Budaun,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bulandshahr,2001 - 2002,
,,2003 - 2004,
,,2004 - 2005,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Chandauli,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Chitrakoot,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Deoria,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Etah,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Etawah,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Farrukhabad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Fatehpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,,2022 - 2023,
,Firozabad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Gautam buddha nagar,2015 - 2016,
,Ghazipur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Gonda,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Gorakhpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Hamirpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Hardoi,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Hathras,2004 - 2005,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jalaun,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
