state,district,year,wheat_rabi_yield_tonne_per_hectare
,Kamrup,2000 - 2001,0.98
,,2001 - 2002,1.31
,,2002 - 2003,0.91
,,2003 - 2004,0.83
,,2004 - 2005,1.24
,,2005 - 2006,1.14
,,2006 - 2007,1.85
,,2007 - 2008,1.44
,,2008 - 2009,1.25
,,2009 - 2010,1.3
,,2010 - 2011,1.31
,,2011 - 2012,1.02
,,2012 - 2013,1.11
,,2013 - 2014,1.18
,,2014 - 2015,1.04
,,2015 - 2016,0.99
,,2016 - 2017,1.28
,,2017 - 2018,1.31
,,2018 - 2019,1.06
,,2019 - 2020,0.84
,,2020 - 2021,0.98
,,2021 - 2022,1.26
,,2022 - 2023,1.13
,Kamrup metro,2005 - 2006,1.17
,,2006 - 2007,1.94
,,2007 - 2008,1.12
,,2008 - 2009,1.05
,,2009 - 2010,1.08
,,2010 - 2011,1.26
,,2011 - 2012,1.21
,,2012 - 2013,1.3
,,2013 - 2014,1.3
,,2014 - 2015,1.22
,,2015 - 2016,1.17
,,2016 - 2017,1.25
,,2017 - 2018,1.4
,,2018 - 2019,1.4
,,2019 - 2020,1.27
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,1.5
,Karbi anglong,2000 - 2001,1.57
,,2001 - 2002,1.54
,,2002 - 2003,1.39
,,2003 - 2004,1.34
,,2004 - 2005,1.46
,,2005 - 2006,1.28
,,2006 - 2007,1.27
,,2007 - 2008,1.39
,,2008 - 2009,1.36
,,2009 - 2010,1.56
,,2010 - 2011,1.26
,,2011 - 2012,1.47
,,2012 - 2013,1.29
,,2013 - 2014,1.29
,,2014 - 2015,1.22
,,2015 - 2016,1.18
,,2016 - 2017,1.55
,,2017 - 2018,1.39
,,2018 - 2019,1.24
,,2020 - 2021,1.38
,,2021 - 2022,1.44
,,2022 - 2023,1.75
,Karimganj,2001 - 2002,1.18
,,2004 - 2005,1.08
,,2006 - 2007,1.13
,,2007 - 2008,1.26
,,2008 - 2009,1.17
,,2009 - 2010,1.0
,,2010 - 2011,1.2
,,2011 - 2012,1.17
,,2012 - 2013,1.33
,,2013 - 2014,1.33
,,2014 - 2015,1.17
,,2015 - 2016,1.17
,,2016 - 2017,1.33
,,2017 - 2018,1.4
,,2018 - 2019,1.4
,,2020 - 2021,1.33
,,2021 - 2022,1.33
,,2022 - 2023,1.33
,Kokrajhar,2000 - 2001,1.1
,,2001 - 2002,1.15
,,2002 - 2003,1.28
,,2003 - 2004,1.29
,,2004 - 2005,1.17
,,2005 - 2006,1.17
,,2006 - 2007,1.28
,,2007 - 2008,1.29
,,2008 - 2009,1.24
,,2009 - 2010,1.19
,,2010 - 2011,1.57
,,2011 - 2012,1.68
,,2012 - 2013,2.71
,,2013 - 2014,2.19
,,2014 - 2015,2.45
,,2015 - 2016,1.62
,,2016 - 2017,1.65
,,2017 - 2018,1.73
,,2018 - 2019,1.38
,,2019 - 2020,1.3
,,2020 - 2021,1.57
,,2021 - 2022,1.4
,,2022 - 2023,1.9
,Lakhimpur,2000 - 2001,0.61
,,2001 - 2002,0.52
,,2002 - 2003,0.75
,,2003 - 2004,0.72
,,2004 - 2005,0.68
,,2005 - 2006,0.89
,,2006 - 2007,0.73
,,2007 - 2008,0.69
,,2008 - 2009,0.76
,,2009 - 2010,0.28
,,2010 - 2011,0.54
,,2011 - 2012,1.05
,,2012 - 2013,1.33
,,2013 - 2014,0.92
,,2014 - 2015,1.2
,,2015 - 2016,1.22
