state,district,year,wheat_rabi_yield_tonne_per_hectare
,,2003 - 2004,1.24
,,2004 - 2005,1.17
,,2005 - 2006,1.37
,,2006 - 2007,1.67
,,2007 - 2008,1.89
,,2008 - 2009,1.39
,,2009 - 2010,1.97
,,2010 - 2011,1.93
,,2011 - 2012,1.81
,,2012 - 2013,1.98
,,2013 - 2014,1.55
,,2014 - 2015,1.31
,,2015 - 2016,1.02
,,2016 - 2017,1.52
,,2017 - 2018,1.77
,,2018 - 2019,1.49
,,2019 - 2020,1.74
,,2020 - 2021,1.68
,,2021 - 2022,1.63
,,2022 - 2023,1.6
,Beed,2000 - 2001,1.1
,,2001 - 2002,0.97
,,2002 - 2003,0.96
,,2003 - 2004,0.53
,,2004 - 2005,0.88
,,2005 - 2006,1.05
,,2006 - 2007,1.28
,,2007 - 2008,1.45
,,2008 - 2009,1.23
,,2009 - 2010,1.37
,,2010 - 2011,1.3
,,2011 - 2012,1.33
,,2012 - 2013,0.97
,,2013 - 2014,0.99
,,2014 - 2015,0.68
,,2015 - 2016,0.28
,,2016 - 2017,1.68
,,2017 - 2018,1.07
,,2018 - 2019,0.73
,,2019 - 2020,1.29
,,2020 - 2021,2.14
,,2021 - 2022,1.94
,,2022 - 2023,2.14
,Bhandara,2000 - 2001,0.7
,,2001 - 2002,1.02
,,2002 - 2003,0.72
,,2003 - 2004,0.96
,,2004 - 2005,0.74
,,2005 - 2006,0.91
,,2006 - 2007,0.94
,,2007 - 2008,1.12
,,2008 - 2009,0.84
,,2009 - 2010,1.07
,,2010 - 2011,1.09
,,2011 - 2012,1.09
,,2012 - 2013,1.25
,,2013 - 2014,1.14
,,2014 - 2015,1.22
,,2015 - 2016,1.1
,,2016 - 2017,1.27
,,2017 - 2018,1.25
,,2018 - 2019,1.38
,,2019 - 2020,1.21
,,2020 - 2021,1.33
,,2021 - 2022,1.27
,,2022 - 2023,1.36
,Buldhana,2000 - 2001,1.5
,,2001 - 2002,1.78
,,2002 - 2003,1.81
,,2003 - 2004,1.57
,,2004 - 2005,0.69
,,2005 - 2006,1.03
,,2006 - 2007,1.42
,,2007 - 2008,2.0
,,2008 - 2009,1.48
,,2009 - 2010,2.04
,,2010 - 2011,1.72
,,2011 - 2012,1.65
,,2012 - 2013,1.48
,,2013 - 2014,1.25
,,2014 - 2015,1.3
,,2015 - 2016,0.81
,,2016 - 2017,1.56
,,2017 - 2018,1.57
,,2018 - 2019,1.17
,,2019 - 2020,1.86
,,2020 - 2021,2.02
,,2021 - 2022,2.72
,,2022 - 2023,1.88
,Chandrapur,2000 - 2001,0.66
,,2001 - 2002,0.79
,,2002 - 2003,0.59
,,2003 - 2004,0.62
,,2004 - 2005,0.56
,,2005 - 2006,0.75
,,2006 - 2007,0.73
,,2007 - 2008,0.96
,,2008 - 2009,0.92
,,2009 - 2010,0.65
,,2010 - 2011,1.07
,,2011 - 2012,1.23
,,2012 - 2013,1.19
,,2013 - 2014,1.12
,,2014 - 2015,0.74
,,2015 - 2016,0.78
,,2016 - 2017,1.26
,,2017 - 2018,1.12
,,2018 - 2019,1.32
,,2019 - 2020,0.72
,,2020 - 2021,1.11
,,2021 - 2022,1.3
,,2022 - 2023,1.52
,Chhatrapati Sambhajinagar,2000 - 2001,1.23
,,2001 - 2002,1.18
,,2002 - 2003,1.21
,,2003 - 2004,1.29
,,2004 - 2005,1.3
,,2005 - 2006,1.65
,,2006 - 2007,2.01
,,2007 - 2008,2.19
,,2008 - 2009,1.76
,,2009 - 2010,1.9
,,2010 - 2011,2.1
,,2011 - 2012,1.86
,,2012 - 2013,0.88
,,2013 - 2014,1.53
,,2014 - 2015,0.96
,,2015 - 2016,1.03
,,2016 - 2017,2.1
,,2017 - 2018,1.65
,,2018 - 2019,1.29
,,2019 - 2020,2.11
,,2020 - 2021,1.85
,,2021 - 2022,1.89
,,2022 - 2023,1.57
,Dharashiv,2000 - 2001,0.99
,,2001 - 2002,0.94
,,2002 - 2003,1.11
,,2003 - 2004,0.21
,,2004 - 2005,0.77
,,2005 - 2006,1.01
,,2006 - 2007,0.88
,,2007 - 2008,1.18
,,2008 - 2009,1.07
,,2009 - 2010,1.02
,,2010 - 2011,1.04
,,2011 - 2012,1.24
,,2012 - 2013,0.47
,,2013 - 2014,1.54
,,2014 - 2015,0.29
,,2015 - 2016,0.28
,,2016 - 2017,0.76
,,2017 - 2018,0.64
,,2018 - 2019,0.77
,,2019 - 2020,0.56
,,2020 - 2021,1.54
,,2021 - 2022,0.95
,,2022 - 2023,1.55
,Dhule,2000 - 2001,1.01
,,2001 - 2002,1.19
,,2002 - 2003,1.25
,,2003 - 2004,1.6
,,2004 - 2005,1.76
,,2005 - 2006,1.61
,,2006 - 2007,1.58
,,2007 - 2008,2.39
,,2008 - 2009,1.67
,,2009 - 2010,2.05
,,2010 - 2011,2.16
,,2011 - 2012,2.29
,,2012 - 2013,2.2
,,2013 - 2014,1.64
,,2014 - 2015,1.83
,,2015 - 2016,1.6
,,2016 - 2017,2.16
,,2017 - 2018,2.21
,,2018 - 2019,1.73
,,2019 - 2020,2.47
,,2020 - 2021,1.65
,,2021 - 2022,1.62
,,2022 - 2023,1.65
,Gadchiroli,2000 - 2001,0.6
,,2001 - 2002,0.8
,,2002 - 2003,0.8
,,2003 - 2004,0.67
,,2004 - 2005,0.5
,,2005 - 2006,0.8
,,2006 - 2007,1.0
,,2007 - 2008,0.86
,,2008 - 2009,0.89
,,2009 - 2010,0.82
,,2010 - 2011,0.91
,,2011 - 2012,1.14
,,2012 - 2013,1.2
,,2013 - 2014,1.4
,,2014 - 2015,1.0
,,2015 - 2016,0.7
,,2016 - 2017,1.44
,,2017 - 2018,1.13
,,2018 - 2019,1.16
,,2019 - 2020,0.72
,,2020 - 2021,0.62
,,2021 - 2022,1.1
,,2022 - 2023,1.32
,Gondia,2000 - 2001,0.65
,,2001 - 2002,0.7
,,2002 - 2003,0.63
,,2003 - 2004,0.78
,,2004 - 2005,0.7
,,2005 - 2006,0.67
,,2006 - 2007,0.59
,,2007 - 2008,0.71
,,2008 - 2009,0.71
,,2009 - 2010,0.71
,,2010 - 2011,0.74
,,2011 - 2012,0.76
,,2012 - 2013,0.95
,,2013 - 2014,0.65
,,2014 - 2015,0.63
,,2015 - 2016,0.64
,,2016 - 2017,1.05
,,2017 - 2018,0.8
,,2018 - 2019,1.22
,,2019 - 2020,0.56
,,2020 - 2021,0.76
,,2021 - 2022,1.21
,,2022 - 2023,1.12
,Hingoli,2000 - 2001,1.57
,,2001 - 2002,1.59
,,2002 - 2003,1.55
,,2003 - 2004,1.56
,,2004 - 2005,1.37
,,2005 - 2006,1.54
,,2006 - 2007,1.67
,,2007 - 2008,1.92
,,2008 - 2009,1.36
,,2009 - 2010,1.31
,,2010 - 2011,1.66
,,2011 - 2012,1.78
,,2012 - 2013,1.39
,,2013 - 2014,0.96
,,2014 - 2015,0.67
,,2015 - 2016,0.61
,,2016 - 2017,1.57
,,2017 - 2018,1.16
,,2018 - 2019,1.3
,,2019 - 2020,0.79
,,2020 - 2021,1.57
,,2021 - 2022,1.49
,,2022 - 2023,1.71
,Jalgaon,2000 - 2001,1.4
,,2001 - 2002,1.65
,,2002 - 2003,1.92
,,2003 - 2004,1.86
,,2004 - 2005,2.02
,,2005 - 2006,1.85
,,2006 - 2007,2.2
,,2007 - 2008,2.62
,,2008 - 2009,2.04
,,2009 - 2010,2.16
,,2010 - 2011,2.49
,,2011 - 2012,2.32
,,2012 - 2013,2.09
,,2013 - 2014,2.56
,,2014 - 2015,1.64
,,2015 - 2016,1.5
,,2016 - 2017,2.01
,,2017 - 2018,1.91
,,2018 - 2019,1.34
,,2019 - 2020,2.47
,,2020 - 2021,1.79
,,2021 - 2022,1.54
,,2022 - 2023,2.09
,Jalna,2000 - 2001,2.48
,,2001 - 2002,1.46
,,2002 - 2003,1.59
,,2003 - 2004,1.3
,,2004 - 2005,1.41
,,2005 - 2006,1.43
,,2006 - 2007,1.61
,,2007 - 2008,1.9
,,2008 - 2009,1.66
,,2009 - 2010,1.87
,,2010 - 2011,1.67
,,2011 - 2012,1.4
,,2012 - 2013,0.45
,,2013 - 2014,1.4
,,2014 - 2015,0.79
,,2015 - 2016,0.72
,,2016 - 2017,1.61
,,2017 - 2018,1.16
,,2018 - 2019,1.05
,,2019 - 2020,1.6
,,2020 - 2021,1.75
,,2021 - 2022,1.86
,,2022 - 2023,2.04
,Kolhapur,2000 - 2001,1.79
,,2001 - 2002,1.95
,,2002 - 2003,1.79
,,2003 - 2004,2.02
,,2004 - 2005,2.11
,,2005 - 2006,2.03
,,2006 - 2007,2.09
,,2007 - 2008,2.39
,,2008 - 2009,2.48
,,2009 - 2010,2.28
,,2010 - 2011,2.65
,,2011 - 2012,2.48
,,2012 - 2013,2.2
,,2013 - 2014,2.51
,,2014 - 2015,2.22
,,2015 - 2016,2.25
,,2016 - 2017,2.26
,,2017 - 2018,2.32
,,2018 - 2019,2.46
,,2019 - 2020,2.35
,,2020 - 2021,2.32
,,2021 - 2022,2.61
,,2022 - 2023,2.91
,Latur,2000 - 2001,1.02
,,2001 - 2002,0.89
,,2002 - 2003,1.04
,,2003 - 2004,0.69
,,2004 - 2005,1.02
,,2005 - 2006,1.18
,,2006 - 2007,1.05
,,2007 - 2008,1.48
,,2008 - 2009,1.17
,,2009 - 2010,1.08
,,2010 - 2011,1.37
,,2011 - 2012,1.49
,,2012 - 2013,1.53
,,2013 - 2014,1.28
,,2014 - 2015,0.23
,,2015 - 2016,0.31
,,2016 - 2017,1.42
,,2017 - 2018,0.69
,,2018 - 2019,0.38
,,2019 - 2020,0.65
,,2020 - 2021,1.57
,,2021 - 2022,1.22
,,2022 - 2023,1.36
,Nagpur,2000 - 2001,1.03
,,2001 - 2002,1.08
,,2002 - 2003,1.05
,,2003 - 2004,1.23
,,2004 - 2005,1.09
,,2005 - 2006,1.11
,,2006 - 2007,1.16
,,2007 - 2008,1.46
,,2008 - 2009,1.13
,,2009 - 2010,1.35
,,2010 - 2011,1.54
,,2011 - 2012,1.47
,,2012 - 2013,1.56
,,2013 - 2014,0.96
,,2014 - 2015,1.25
,,2015 - 2016,1.01
,,2016 - 2017,1.71
,,2017 - 2018,1.81
,,2018 - 2019,1.69
,,2019 - 2020,1.41
,,2020 - 2021,2.13
,,2021 - 2022,2.48
,,2022 - 2023,1.91
,Nanded,2000 - 2001,1.08
,,2001 - 2002,1.3
,,2002 - 2003,1.34
,,2003 - 2004,1.38
,,2004 - 2005,1.22
,,2005 - 2006,1.02
,,2006 - 2007,1.24
,,2007 - 2008,1.52
,,2008 - 2009,1.36
,,2009 - 2010,1.04
,,2010 - 2011,1.69
,,2011 - 2012,1.74
,,2012 - 2013,1.43
,,2013 - 2014,1.13
,,2014 - 2015,0.74
,,2015 - 2016,0.45
,,2016 - 2017,1.25
,,2017 - 2018,1.0
,,2018 - 2019,1.83
,,2019 - 2020,0.91
,,2020 - 2021,1.5
,,2021 - 2022,1.38
,,2022 - 2023,1.4
,Nandurbar,2000 - 2001,0.9
,,2001 - 2002,1.16
,,2002 - 2003,1.27
,,2003 - 2004,1.65
,,2004 - 2005,1.39
,,2005 - 2006,2.03
,,2006 - 2007,2.23
,,2007 - 2008,2.57
,,2008 - 2009,2.12
,,2009 - 2010,2.36
,,2010 - 2011,2.39
,,2011 - 2012,2.67
,,2012 - 2013,2.12
,,2013 - 2014,2.13
,,2014 - 2015,1.79
,,2015 - 2016,1.67
,,2016 - 2017,2.05
,,2017 - 2018,1.88
,,2018 - 2019,1.72
,,2019 - 2020,2.85
,,2020 - 2021,2.13
,,2021 - 2022,1.62
,,2022 - 2023,2.62
,Nashik,2000 - 2001,1.13
,,2001 - 2002,1.33
,,2002 - 2003,1.41
,,2003 - 2004,1.16
,,2004 - 2005,1.46
,,2005 - 2006,1.65
,,2006 - 2007,1.64
,,2007 - 2008,1.89
,,2008 - 2009,1.61
,,2009 - 2010,1.62
,,2010 - 2011,1.91
,,2011 - 2012,1.96
,,2012 - 2013,1.64
,,2013 - 2014,1.7
,,2014 - 2015,1.54
,,2015 - 2016,1.35
,,2016 - 2017,2.24
,,2017 - 2018,1.99
,,2018 - 2019,1.76
,,2019 - 2020,2.55
,,2020 - 2021,1.94
,,2021 - 2022,1.95
,,2022 - 2023,2.55
,Palghar,2015 - 2016,0.95
,,2016 - 2017,2.86
,,2017 - 2018,1.4
,,2018 - 2019,0.7
,,2019 - 2020,2.9
,,2020 - 2021,1.22
,,2021 - 2022,1.4
,,2022 - 2023,2.01
,Parbhani,2000 - 2001,1.3
,,2001 - 2002,1.5
,,2002 - 2003,1.41
,,2003 - 2004,1.14
,,2004 - 2005,0.82
,,2005 - 2006,1.15
,,2006 - 2007,1.4
,,2007 - 2008,1.93
,,2008 - 2009,1.63
,,2009 - 2010,1.32
,,2010 - 2011,1.71
,,2011 - 2012,1.58
,,2012 - 2013,1.57
,,2013 - 2014,1.11
,,2014 - 2015,0.84
,,2015 - 2016,0.43
,,2016 - 2017,1.59
,,2017 - 2018,0.95
,,2018 - 2019,1.3
,,2019 - 2020,1.03
,,2020 - 2021,1.93
,,2021 - 2022,1.77
,,2022 - 2023,1.84
,Pune,2000 - 2001,1.03
,,2001 - 2002,1.7
,,2002 - 2003,1.27
,,2003 - 2004,1.22
,,2004 - 2005,1.66
,,2005 - 2006,1.84
,,2006 - 2007,1.81
,,2007 - 2008,2.11
,,2008 - 2009,1.84
,,2009 - 2010,1.54
,,2010 - 2011,1.93
,,2011 - 2012,1.91
,,2012 - 2013,1.77
,,2013 - 2014,2.02
,,2014 - 2015,1.51
,,2015 - 2016,2.09
,,2016 - 2017,2.4
,,2017 - 2018,2.45
,,2018 - 2019,2.0
,,2019 - 2020,2.07
,,2020 - 2021,2.09
,,2021 - 2022,2.1
,,2022 - 2023,2.44
,Raigad,2015 - 2016,0.9
,Sangli,2000 - 2001,1.7
,,2001 - 2002,1.73
,,2002 - 2003,1.27
,,2003 - 2004,1.61
,,2004 - 2005,1.71
,,2005 - 2006,1.6
,,2006 - 2007,1.61
,,2007 - 2008,1.96
,,2008 - 2009,1.84
,,2009 - 2010,1.68
,,2010 - 2011,1.85
,,2011 - 2012,1.7
,,2012 - 2013,1.82
,,2013 - 2014,1.97
,,2014 - 2015,2.18
,,2015 - 2016,1.69
,,2016 - 2017,2.48
,,2017 - 2018,1.98
,,2018 - 2019,2.28
,,2019 - 2020,1.71
,,2020 - 2021,2.23
,,2021 - 2022,2.16
,,2022 - 2023,2.26
,Satara,2000 - 2001,1.57
,,2001 - 2002,1.82
,,2002 - 2003,1.38
,,2003 - 2004,1.44
,,2004 - 2005,1.79
,,2005 - 2006,1.88
,,2006 - 2007,1.81
,,2007 - 2008,2.17
,,2008 - 2009,1.72
,,2009 - 2010,1.64
,,2010 - 2011,1.98
,,2011 - 2012,1.85
,,2012 - 2013,1.67
,,2013 - 2014,1.84
,,2014 - 2015,1.6
,,2015 - 2016,1.65
,,2016 - 2017,2.0
,,2017 - 2018,2.02
,,2018 - 2019,2.07
,,2019 - 2020,1.97
,,2020 - 2021,2.17
,,2021 - 2022,2.43
,,2022 - 2023,2.34
,Solapur,2000 - 2001,1.1
,,2001 - 2002,1.17
,,2002 - 2003,1.28
,,2003 - 2004,0.43
,,2004 - 2005,1.12
,,2005 - 2006,1.17
,,2006 - 2007,1.24
,,2007 - 2008,1.47
,,2008 - 2009,1.34
,,2009 - 2010,1.32
,,2010 - 2011,1.4
,,2011 - 2012,1.19
,,2012 - 2013,0.76
,,2013 - 2014,1.0
,,2014 - 2015,1.29
,,2015 - 2016,0.7
,,2016 - 2017,1.34
,,2017 - 2018,1.19
,,2018 - 2019,0.88
,,2019 - 2020,1.13
,,2020 - 2021,1.41
,,2021 - 2022,1.42
,,2022 - 2023,1.56
,Thane,2000 - 2001,1.0
,,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,2.0
,,2011 - 2012,1.0
,,2015 - 2016,1.0
,,2016 - 2017,2.0
,,2017 - 2018,2.0
,Wardha,2000 - 2001,1.17
,,2001 - 2002,1.31
,,2002 - 2003,1.21
,,2003 - 2004,1.21
,,2004 - 2005,1.17
,,2005 - 2006,1.26
,,2006 - 2007,1.48
,,2007 - 2008,1.71
,,2008 - 2009,1.3
,,2009 - 2010,1.38
,,2010 - 2011,1.66
,,2011 - 2012,1.49
,,2012 - 2013,1.52
,,2013 - 2014,1.31
,,2014 - 2015,1.45
,,2015 - 2016,1.18
,,2016 - 2017,1.52
,,2017 - 2018,1.48
,,2018 - 2019,1.7
,,2019 - 2020,1.38
,,2020 - 2021,2.16
,,2021 - 2022,2.3
,,2022 - 2023,1.65
,Washim,2000 - 2001,0.97
,,2001 - 2002,1.41
,,2002 - 2003,1.28
,,2003 - 2004,1.18
,,2004 - 2005,0.73
,,2005 - 2006,1.28
,,2006 - 2007,1.48
,,2007 - 2008,2.04
,,2008 - 2009,1.21
,,2009 - 2010,2.07
,,2010 - 2011,1.61
,,2011 - 2012,1.22
,,2012 - 2013,1.6
,,2013 - 2014,1.62
,,2014 - 2015,1.32
,,2015 - 2016,0.71
,,2016 - 2017,1.61
,,2017 - 2018,1.26
,,2018 - 2019,0.77
,,2019 - 2020,1.31
,,2020 - 2021,2.42
,,2021 - 2022,1.97
,,2022 - 2023,2.35
,Yavatmal,2000 - 2001,1.11
,,2001 - 2002,1.15
,,2002 - 2003,1.06
,,2003 - 2004,1.18
,,2004 - 2005,0.98
,,2005 - 2006,0.99
,,2006 - 2007,1.14
,,2007 - 2008,1.8
,,2008 - 2009,1.08
,,2009 - 2010,1.11
,,2010 - 2011,1.47
,,2011 - 2012,1.72
,,2012 - 2013,1.79
,,2013 - 2014,0.89
,,2014 - 2015,0.92
,,2015 - 2016,1.06
,,2016 - 2017,1.29
,,2017 - 2018,1.02
,,2018 - 2019,0.94
,,2019 - 2020,1.21
,,2020 - 2021,1.43
,,2021 - 2022,1.96
,,2022 - 2023,1.01
Manipur,Bishnupur,2008 - 2009,2.65
,,2009 - 2010,2.28
,,2010 - 2011,2.56
,,2011 - 2012,2.39
,,2012 - 2013,2.48
,,2013 - 2014,2.52
,,2014 - 2015,2.52
,,2015 - 2016,2.6
,,2016 - 2017,2.6
,,2017 - 2018,2.6
,,2018 - 2019,2.6
,,2021 - 2022,2.5
,,2022 - 2023,
,Chandel,2018 - 2019,2.5
,,2021 - 2022,2.5
,,2022 - 2023,
,Churachandpur,2008 - 2009,2.6
,,2009 - 2010,1.84
,,2010 - 2011,2.6
,,2011 - 2012,2.61
,,2012 - 2013,2.49
,,2013 - 2014,2.42
,,2014 - 2015,2.44
,,2015 - 2016,2.46
,,2016 - 2017,2.46
,,2017 - 2018,2.46
,,2018 - 2019,2.48
,,2021 - 2022,2.48
,,2022 - 2023,
,Imphal east,2008 - 2009,2.55
,,2009 - 2010,2.15
,,2010 - 2011,2.33
,,2011 - 2012,2.48
,,2012 - 2013,2.5
,,2013 - 2014,2.42
,,2014 - 2015,2.81
,,2015 - 2016,2.48
,,2016 - 2017,2.48
,,2017 - 2018,2.48
,,2018 - 2019,2.48
,,2021 - 2022,2.48
,,2022 - 2023,
,Imphal west,2008 - 2009,2.27
,,2009 - 2010,2.07
,,2010 - 2011,2.38
,,2011 - 2012,2.38
,,2012 - 2013,2.52
,,2013 - 2014,2.48
,,2014 - 2015,2.84
,,2015 - 2016,2.5
,,2016 - 2017,2.5
,,2017 - 2018,2.5
,,2018 - 2019,2.5
,,2021 - 2022,2.5
,,2022 - 2023,
,Senapati,2008 - 2009,2.44
,,2009 - 2010,1.79
,,2010 - 2011,2.59
,,2011 - 2012,2.62
,,2012 - 2013,2.51
,,2013 - 2014,2.55
,,2014 - 2015,2.57
,,2015 - 2016,2.48
,,2016 - 2017,2.48
,,2017 - 2018,2.48
,,2018 - 2019,2.5
,,2021 - 2022,2.44
,,2022 - 2023,
,Tamenglong,2018 - 2019,2.0
,,2021 - 2022,2.0
,,2022 - 2023,
,Thoubal,2008 - 2009,2.46
,,2009 - 2010,2.31
,,2010 - 2011,2.39
,,2011 - 2012,2.36
,,2012 - 2013,2.5
,,2013 - 2014,2.58
,,2014 - 2015,2.61
,,2015 - 2016,2.5
,,2016 - 2017,2.5
,,2017 - 2018,2.5
,,2018 - 2019,2.5
,,2021 - 2022,2.38
,,2022 - 2023,
,Ukhrul,2018 - 2019,2.0
,,2021 - 2022,2.0
,,2022 - 2023,
Meghalaya,East garo hills,2000 - 2001,1.15
,,2001 - 2002,1.15
,,2002 - 2003,1.15
,,2003 - 2004,1.15
,,2004 - 2005,1.1
,,2005 - 2006,1.05
,,2006 - 2007,1.09
,,2007 - 2008,1.1
,,2008 - 2009,1.1
,,2009 - 2010,1.12
,,2010 - 2011,1.11
,,2011 - 2012,1.13
,,2012 - 2013,1.15
,,2013 - 2014,1.08
,,2014 - 2015,1.13
,,2015 - 2016,1.2
,,2016 - 2017,1.2
,,2017 - 2018,1.2
,,2018 - 2019,1.2
,,2019 - 2020,1.2
,,2020 - 2021,1.2
,North garo hills,2013 - 2014,1.27
,,2014 - 2015,1.28
,,2015 - 2016,1.32
,,2016 - 2017,1.32
,,2017 - 2018,1.33
,,2018 - 2019,1.33
,,2019 - 2020,1.33
,,2020 - 2021,1.33
,,2022 - 2023,0.95
,Ri bhoi,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,South west garo hills,2013 - 2014,1.96
,,2014 - 2015,2.01
,,2015 - 2016,2.05
,,2016 - 2017,2.02
,,2017 - 2018,2.02
,,2018 - 2019,2.03
,,2019 - 2020,2.03
,,2020 - 2021,2.03
,,2022 - 2023,1.87
,West garo hills,2000 - 2001,1.64
,,2001 - 2002,1.76
,,2002 - 2003,1.76
,,2003 - 2004,1.83
,,2004 - 2005,1.87
,,2005 - 2006,1.87
,,2006 - 2007,1.87
,,2007 - 2008,1.87
,,2008 - 2009,1.88
,,2009 - 2010,1.88
,,2010 - 2011,1.88
,,2011 - 2012,1.89
,,2012 - 2013,1.92
,,2013 - 2014,1.97
,,2014 - 2015,2.02
,,2015 - 2016,2.06
,,2016 - 2017,2.02
,,2017 - 2018,2.03
,,2018 - 2019,2.03
,,2019 - 2020,2.03
,,2020 - 2021,2.03
,,2022 - 2023,1.85
,West khasi hills,2004 - 2005,0.5
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,1.25
,,2014 - 2015,1.4
,,2015 - 2016,1.6
,,2016 - 2017,1.6
,,2017 - 2018,1.6
,,2018 - 2019,1.6
,,2019 - 2020,1.6
,,2020 - 2021,1.6
Mizoram,Mamit,2004 - 2005,1.33
Nagaland,Chumoukedima,2022 - 2023,1.96
,Dimapur,2000 - 2001,2.27
,,2001 - 2002,2.57
,,2002 - 2003,2.12
,,2003 - 2004,1.82
,,2004 - 2005,1.74
,,2005 - 2006,1.29
,,2006 - 2007,0.7
,,2007 - 2008,1.8
,,2008 - 2009,1.47
,,2009 - 2010,1.35
,,2010 - 2011,1.7
,,2011 - 2012,1.71
,,2012 - 2013,1.8
,,2013 - 2014,1.85
,,2014 - 2015,1.85
,,2015 - 2016,1.84
,,2016 - 2017,1.85
,,2017 - 2018,1.85
,,2018 - 2019,1.85
,,2019 - 2020,1.85
,,2020 - 2021,1.84
,,2021 - 2022,1.85
,,2022 - 2023,1.98
,Kiphire,2021 - 2022,1.71
,,2022 - 2023,1.85
,Kohima,2000 - 2001,3.18
,,2001 - 2002,2.77
,,2002 - 2003,2.55
,,2003 - 2004,0.67
,,2004 - 2005,1.64
,,2005 - 2006,1.75
,,2006 - 2007,0.88
,,2007 - 2008,1.56
,,2008 - 2009,1.56
,,2009 - 2010,1.13
,,2010 - 2011,1.74
,,2011 - 2012,1.74
,,2012 - 2013,1.81
,,2013 - 2014,1.82
,,2014 - 2015,1.82
,,2015 - 2016,1.83
,,2016 - 2017,1.84
,,2017 - 2018,1.84
,,2018 - 2019,1.84
,,2019 - 2020,1.84
,,2020 - 2021,1.84
,,2021 - 2022,1.46
,,2022 - 2023,1.73
,Longleng,2021 - 2022,1.35
,,2022 - 2023,1.59
,Mokokchung,2000 - 2001,1.79
,,2001 - 2002,1.76
,,2002 - 2003,2.33
,,2003 - 2004,1.31
,,2004 - 2005,1.56
,,2005 - 2006,1.93
,,2006 - 2007,0.81
,,2007 - 2008,1.56
,,2008 - 2009,1.44
,,2009 - 2010,1.12
,,2010 - 2011,1.73
,,2011 - 2012,1.73
,,2012 - 2013,1.82
,,2013 - 2014,1.81
,,2014 - 2015,1.81
,,2015 - 2016,1.81
,,2016 - 2017,1.84
,,2017 - 2018,1.84
,,2018 - 2019,1.82
,,2019 - 2020,1.82
,,2020 - 2021,1.83
,,2021 - 2022,1.91
,,2022 - 2023,1.87
,Mon,2000 - 2001,1.76
,,2001 - 2002,1.76
,,2002 - 2003,2.0
,,2003 - 2004,1.82
,,2004 - 2005,1.08
,,2005 - 2006,1.58
,,2006 - 2007,0.88
,,2007 - 2008,1.54
,,2008 - 2009,1.5
,,2009 - 2010,1.19
,,2010 - 2011,1.63
,,2011 - 2012,1.64
,,2012 - 2013,1.81
,,2013 - 2014,1.83
,,2014 - 2015,1.83
,,2015 - 2016,1.83
,,2016 - 2017,1.84
,,2017 - 2018,1.84
,,2018 - 2019,1.84
,,2019 - 2020,1.84
,,2020 - 2021,1.84
,,2021 - 2022,1.55
,,2022 - 2023,1.7
,Noklak,2021 - 2022,1.51
,,2022 - 2023,1.83
,Nuiland,2022 - 2023,1.96
,Peren,2008 - 2009,1.5
,,2009 - 2010,1.2
,,2010 - 2011,1.78
,,2011 - 2012,1.78
,,2012 - 2013,1.79
,,2013 - 2014,1.83
,,2014 - 2015,1.81
,,2015 - 2016,1.82
,,2016 - 2017,1.78
,,2017 - 2018,1.81
,,2018 - 2019,1.82
,,2019 - 2020,1.82
,,2020 - 2021,1.83
,,2021 - 2022,1.65
,,2022 - 2023,1.81
,Phek,2000 - 2001,1.64
,,2001 - 2002,1.6
,,2002 - 2003,1.82
,,2003 - 2004,2.82
,,2004 - 2005,1.58
,,2005 - 2006,1.82
,,2006 - 2007,0.87
,,2007 - 2008,1.46
,,2008 - 2009,1.58
,,2009 - 2010,1.2
,,2010 - 2011,1.79
,,2011 - 2012,1.76
,,2012 - 2013,1.8
,,2013 - 2014,1.84
,,2014 - 2015,1.84
,,2015 - 2016,1.85
,,2016 - 2017,1.85
,,2017 - 2018,1.83
,,2018 - 2019,1.83
,,2019 - 2020,1.83
,,2020 - 2021,1.83
,,2021 - 2022,1.5
,,2022 - 2023,1.74
,Shamator,2022 - 2023,1.73
,Tseminyu,2022 - 2023,1.68
,Tuensang,2000 - 2001,1.9
,,2001 - 2002,1.87
,,2002 - 2003,2.12
,,2003 - 2004,2.12
,,2004 - 2005,1.15
,,2005 - 2006,1.67
,,2006 - 2007,0.87
,,2007 - 2008,1.43
,,2008 - 2009,1.47
,,2009 - 2010,1.29
,,2010 - 2011,1.7
,,2011 - 2012,1.7
,,2012 - 2013,1.79
,,2013 - 2014,1.81
,,2014 - 2015,1.81
,,2015 - 2016,1.85
,,2016 - 2017,1.82
,,2017 - 2018,1.82
,,2018 - 2019,1.82
,,2019 - 2020,1.83
,,2020 - 2021,1.83
,,2021 - 2022,1.6
,,2022 - 2023,1.74
,Wokha,2000 - 2001,2.08
,,2001 - 2002,2.06
,,2002 - 2003,1.65
