state,district,year,turmeric_whole_year_yield_tonne_per_hectare
,Yamunanagar,2000 - 2001,0.0
,,2008 - 2009,12.0
,,2010 - 2011,0.0
,,2011 - 2012,1.0
,,2012 - 2013,0.95
,,2013 - 2014,12.74
,,2014 - 2015,9.84
,,2015 - 2016,10.87
,,2016 - 2017,12.5
,,2017 - 2018,12.77
,,2018 - 2019,11.31
,,2019 - 2020,11.01
,,2021 - 2022,0.0
Himachal Pradesh,Bilaspur,2001 - 2002,0.5
,,2002 - 2003,0.68
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Hamirpur,2001 - 2002,0.57
,,2002 - 2003,0.7
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Kangra,2001 - 2002,0.72
,,2002 - 2003,0.29
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Kullu,2008 - 2009,
,,2009 - 2010,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Mandi,2001 - 2002,0.38
,,2002 - 2003,0.38
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Shimla,2001 - 2002,0.75
,,2002 - 2003,0.25
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Sirmaur,2001 - 2002,0.68
,,2002 - 2003,0.25
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Solan,2001 - 2002,0.5
,,2009 - 2010,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Una,2001 - 2002,0.67
,,2002 - 2003,0.38
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
Jammu and Kashmir,Jammu,2007 - 2008,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Kathua,2000 - 2001,1.0
,,2005 - 2006,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Poonch,2012 - 2013,
,Rajauri,2000 - 2001,1.0
,Reasi,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,Udhampur,2000 - 2001,1.0
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
Karnataka,Bagalkot,2000 - 2001,4.9
,,2001 - 2002,4.99
,,2002 - 2003,5.59
,,2004 - 2005,6.09
,,2005 - 2006,12.1
,,2006 - 2007,6.84
,,2007 - 2008,13.05
,,2008 - 2009,6.72
,,2009 - 2010,7.65
,,2010 - 2011,6.13
,,2011 - 2012,6.97
,,2012 - 2013,5.1
,,2013 - 2014,5.68
,,2014 - 2015,6.93
,,2015 - 2016,6.16
,,2016 - 2017,8.27
,,2017 - 2018,5.14
,,2018 - 2019,5.89
,,2019 - 2020,7.03
,,2020 - 2021,7.56
,,2021 - 2022,6.73
,,2022 - 2023,6.64
,Bangalore rural,2000 - 2001,4.49
,,2001 - 2002,5.34
,,2002 - 2003,5.38
,,2003 - 2004,5.97
,,2004 - 2005,4.75
,,2005 - 2006,5.33
,,2006 - 2007,5.04
,,2007 - 2008,7.75
,,2008 - 2009,4.83
,,2009 - 2010,5.0
,,2011 - 2012,5.0
,,2012 - 2013,4.5
,,2013 - 2014,5.0
,,2014 - 2015,6.0
,,2015 - 2016,5.2
,,2018 - 2019,5.8
,,2019 - 2020,6.33
,,2020 - 2021,6.33
,,2021 - 2022,5.5
,,2022 - 2023,6.0
,Belgaum,2000 - 2001,3.72
,,2001 - 2002,4.49
,,2002 - 2003,3.48
,,2003 - 2004,3.27
,,2004 - 2005,5.33
,,2005 - 2006,8.0
,,2006 - 2007,5.23
,,2007 - 2008,7.39
,,2008 - 2009,3.97
,,2009 - 2010,2.34
,,2010 - 2011,2.6
,,2011 - 2012,2.06
,,2012 - 2013,1.89
,,2013 - 2014,2.73
,,2014 - 2015,2.52
,,2015 - 2016,2.14
,,2016 - 2017,7.52
,,2017 - 2018,7.08
,,2018 - 2019,6.47
,,2019 - 2020,7.23
,,2020 - 2021,7.6
,,2021 - 2022,7.01
,,2022 - 2023,7.4
,Bellary,2000 - 2001,4.0
,,2001 - 2002,5.18
,,2002 - 2003,4.4
,,2003 - 2004,5.0
,,2004 - 2005,5.0
,,2007 - 2008,7.75
,,2011 - 2012,5.0
,,2019 - 2020,6.0
,,2020 - 2021,6.33
,,2021 - 2022,5.67
,,2022 - 2023,6.0
,Bengaluru urban,2003 - 2004,6.54
,,2016 - 2017,6.0
,,2017 - 2018,6.33
,,2018 - 2019,6.0
,,2019 - 2020,6.33
,,2020 - 2021,6.4
,,2021 - 2022,6.0
,,2022 - 2023,6.0
,Bidar,2000 - 2001,4.16
,,2001 - 2002,4.05
,,2002 - 2003,3.42
,,2003 - 2004,1.8
,,2004 - 2005,3.75
,,2005 - 2006,5.33
,,2006 - 2007,5.05
,,2007 - 2008,7.78
,,2008 - 2009,4.76
,,2009 - 2010,3.77
,,2010 - 2011,4.24
,,2011 - 2012,4.09
,,2012 - 2013,4.69
,,2013 - 2014,2.34
,,2014 - 2015,1.93
,,2015 - 2016,1.94
,,2016 - 2017,5.93
,,2017 - 2018,6.35
,,2018 - 2019,5.79
,,2019 - 2020,6.4
,,2020 - 2021,6.38
,,2021 - 2022,5.66
,,2022 - 2023,6.11
,Bijapur,2000 - 2001,3.57
,,2001 - 2002,3.79
,,2002 - 2003,1.32
,,2003 - 2004,0.0
,,2004 - 2005,0.07
,,2005 - 2006,5.33
,,2006 - 2007,5.0
,,2007 - 2008,7.75
,,2008 - 2009,4.75
,,2009 - 2010,5.03
,,2010 - 2011,5.0
,,2011 - 2012,2.08
,,2012 - 2013,1.82
,,2013 - 2014,4.77
,,2014 - 2015,5.98
,,2015 - 2016,5.09
,,2016 - 2017,5.92
,,2017 - 2018,6.36
,,2018 - 2019,5.78
,,2019 - 2020,6.39
,,2020 - 2021,6.38
,,2021 - 2022,5.65
,,2022 - 2023,6.1
,Chamarajanagar,2000 - 2001,5.4
,,2001 - 2002,6.33
,,2002 - 2003,4.73
,,2003 - 2004,5.14
,,2004 - 2005,4.46
,,2005 - 2006,4.5
,,2006 - 2007,5.06
,,2007 - 2008,7.35
,,2008 - 2009,4.55
,,2009 - 2010,4.83
,,2010 - 2011,4.88
,,2011 - 2012,5.37
,,2012 - 2013,5.25
,,2013 - 2014,4.79
,,2014 - 2015,6.45
,,2015 - 2016,5.33
,,2016 - 2017,4.3
,,2017 - 2018,7.32
,,2018 - 2019,5.85
,,2019 - 2020,6.43
,,2020 - 2021,5.43
,,2021 - 2022,4.84
,,2022 - 2023,6.02
,Chikballapur,2011 - 2012,5.0
,,2012 - 2013,4.67
,,2013 - 2014,4.83
,,2018 - 2019,6.0
,,2019 - 2020,6.0
,,2020 - 2021,6.38
,,2021 - 2022,5.5
,,2022 - 2023,6.0
,Chikmagalur,2000 - 2001,4.45
,,2001 - 2002,5.16
,,2002 - 2003,4.33
,,2003 - 2004,4.86
,,2004 - 2005,4.77
,,2005 - 2006,5.35
,,2006 - 2007,5.05
,,2007 - 2008,7.78
,,2008 - 2009,1.0
,,2010 - 2011,1.33
,,2011 - 2012,5.0
,,2012 - 2013,4.69
,,2013 - 2014,4.67
,,2014 - 2015,6.0
,,2015 - 2016,5.2
,,2016 - 2017,5.89
,,2017 - 2018,6.36
,,2018 - 2019,5.83
,,2019 - 2020,6.33
,,2020 - 2021,6.4
,,2021 - 2022,5.5
,,2022 - 2023,6.0
,Chitradurga,2000 - 2001,4.44
,,2001 - 2002,5.0
,,2002 - 2003,4.5
,,2006 - 2007,5.0
,,2018 - 2019,6.0
,,2019 - 2020,6.33
,,2020 - 2021,6.0
,,2021 - 2022,5.5
,,2022 - 2023,6.0
,Dakshin kannad,2000 - 2001,4.44
,,2001 - 2002,5.16
,,2002 - 2003,4.34
,,2003 - 2004,4.87
,,2004 - 2005,4.76
,,2005 - 2006,5.34
,,2006 - 2007,5.05
,,2007 - 2008,7.78
,,2008 - 2009,4.76
,,2009 - 2010,4.82
,,2010 - 2011,3.26
,,2011 - 2012,0.83
,,2012 - 2013,4.7
,,2013 - 2014,4.77
,,2014 - 2015,5.98
,,2015 - 2016,5.1
,,2016 - 2017,5.92
,,2017 - 2018,6.3
,,2018 - 2019,6.0
,,2020 - 2021,6.5
,,2021 - 2022,6.0
,,2022 - 2023,6.0
,Davangere,2000 - 2001,4.44
,,2001 - 2002,5.15
,,2002 - 2003,4.33
,,2003 - 2004,4.85
,,2004 - 2005,4.67
,,2005 - 2006,5.33
,,2011 - 2012,5.03
,,2012 - 2013,4.67
,,2015 - 2016,5.0
,,2018 - 2019,6.0
,,2019 - 2020,6.5
,,2020 - 2021,6.38
,,2021 - 2022,5.5
,Dharwad,2000 - 2001,4.33
,,2012 - 2013,4.75
,,2017 - 2018,6.0
,,2018 - 2019,6.0
,,2019 - 2020,6.0
,,2020 - 2021,6.4
,,2021 - 2022,5.53
,,2022 - 2023,6.0
,Gadag,2001 - 2002,5.0
,,2003 - 2004,5.0
,,2005 - 2006,5.0
,,2011 - 2012,5.0
,,2012 - 2013,4.5
,,2013 - 2014,5.0
,,2014 - 2015,6.0
,,2018 - 2019,5.82
,,2019 - 2020,6.0
,,2020 - 2021,6.0
,,2021 - 2022,5.5
,,2022 - 2023,6.0
,Gulbarga,2000 - 2001,4.71
,,2001 - 2002,3.8
,,2002 - 2003,2.61
,,2003 - 2004,1.92
,,2004 - 2005,2.02
,,2005 - 2006,2.63
,,2006 - 2007,2.1
,,2007 - 2008,6.43
,,2008 - 2009,3.06
,,2009 - 2010,2.26
,,2010 - 2011,2.21
,,2011 - 2012,5.02
,,2012 - 2013,1.99
,,2013 - 2014,3.09
,,2015 - 2016,2.68
,,2016 - 2017,3.16
,,2017 - 2018,5.53
,,2018 - 2019,0.6
,,2019 - 2020,3.11
,,2020 - 2021,2.44
,,2021 - 2022,4.09
,,2022 - 2023,0.37
,Hassan,2000 - 2001,4.45
,,2001 - 2002,5.17
,,2002 - 2003,4.32
,,2003 - 2004,4.9
,,2004 - 2005,4.75
,,2005 - 2006,5.34
,,2006 - 2007,0.88
,,2007 - 2008,7.77
,,2008 - 2009,0.93
,,2009 - 2010,4.67
,,2010 - 2011,5.0
,,2011 - 2012,5.02
,,2012 - 2013,4.69
,,2013 - 2014,5.99
,,2014 - 2015,4.82
,,2015 - 2016,5.54
,,2016 - 2017,5.93
,,2017 - 2018,6.34
,,2018 - 2019,5.78
,,2019 - 2020,6.38
,,2020 - 2021,6.4
,,2021 - 2022,5.55
,,2022 - 2023,6.19
,Haveri,2000 - 2001,4.5
,,2001 - 2002,5.2
,,2002 - 2003,4.0
,,2003 - 2004,5.0
,,2004 - 2005,4.67
,,2005 - 2006,5.33
,,2006 - 2007,5.0
,,2008 - 2009,5.0
,,2009 - 2010,5.0
,,2010 - 2011,5.0
,,2011 - 2012,5.0
,,2012 - 2013,4.67
,,2014 - 2015,6.0
,,2016 - 2017,5.88
,,2017 - 2018,6.35
,,2018 - 2019,5.8
,,2019 - 2020,6.38
,,2020 - 2021,6.37
,,2021 - 2022,5.65
,,2022 - 2023,6.0
,Kodagu,2004 - 2005,4.75
,,2005 - 2006,5.31
,,2006 - 2007,5.04
,,2011 - 2012,5.0
,,2013 - 2014,5.0
,,2018 - 2019,6.0
,,2019 - 2020,6.33
,,2020 - 2021,6.33
,,2021 - 2022,5.67
,,2022 - 2023,6.0
,Kolar,2018 - 2019,6.0
,,2019 - 2020,6.0
,,2020 - 2021,6.5
,,2021 - 2022,5.67
,,2022 - 2023,6.0
,Koppal,2005 - 2006,5.33
,,2020 - 2021,6.42
,,2021 - 2022,5.54
,,2022 - 2023,6.0
,Mandya,2000 - 2001,4.43
,,2001 - 2002,2.93
,,2002 - 2003,2.53
,,2003 - 2004,1.47
,,2004 - 2005,4.74
,,2005 - 2006,5.33
,,2006 - 2007,5.05
,,2007 - 2008,7.78
,,2008 - 2009,6.43
,,2009 - 2010,5.39
,,2010 - 2011,5.0
,,2011 - 2012,5.02
,,2012 - 2013,4.7
,,2013 - 2014,4.78
,,2014 - 2015,2.26
,,2015 - 2016,3.71
,,2016 - 2017,5.92
,,2017 - 2018,6.36
,,2018 - 2019,5.79
,,2019 - 2020,6.38
,,2020 - 2021,6.39
,,2021 - 2022,5.64
,,2022 - 2023,6.1
,Mysore,2000 - 2001,3.53
,,2001 - 2002,3.75
,,2002 - 2003,4.69
,,2003 - 2004,7.39
,,2004 - 2005,5.62
,,2005 - 2006,4.84
,,2006 - 2007,4.92
,,2007 - 2008,5.77
,,2008 - 2009,4.81
,,2009 - 2010,5.11
,,2010 - 2011,7.17
,,2011 - 2012,5.21
,,2012 - 2013,6.18
,,2013 - 2014,6.55
,,2014 - 2015,6.87
,,2015 - 2016,6.12
,,2016 - 2017,3.74
,,2017 - 2018,4.56
,,2018 - 2019,3.75
,,2019 - 2020,3.16
,,2020 - 2021,3.72
,,2021 - 2022,3.44
,,2022 - 2023,3.08
,Raichur,2001 - 2002,5.17
,,2002 - 2003,4.33
,,2003 - 2004,5.0
,,2004 - 2005,4.67
,,2005 - 2006,5.33
,,2006 - 2007,5.05
,,2008 - 2009,1.0
,,2009 - 2010,5.04
,,2011 - 2012,5.02
,,2012 - 2013,8.31
,,2013 - 2014,4.76
,,2014 - 2015,6.0
,,2018 - 2019,5.79
,,2019 - 2020,6.39
,,2020 - 2021,6.37
,,2021 - 2022,5.65
,,2022 - 2023,6.1
,Ramanagara,2007 - 2008,7.8
,,2008 - 2009,4.75
,,2009 - 2010,5.03
,,2010 - 2011,5.0
,,2011 - 2012,5.0
,,2012 - 2013,4.75
,,2013 - 2014,4.76
,,2014 - 2015,6.0
,,2015 - 2016,5.0
,,2016 - 2017,5.88
,,2017 - 2018,6.5
,,2018 - 2019,5.82
,,2019 - 2020,6.38
,,2020 - 2021,6.4
,,2021 - 2022,5.56
,,2022 - 2023,6.0
,Shimoga,2000 - 2001,4.43
,,2001 - 2002,5.14
,,2002 - 2003,4.3
,,2003 - 2004,5.0
,,2004 - 2005,4.77
,,2005 - 2006,5.35
,,2006 - 2007,5.06
,,2007 - 2008,7.79
,,2008 - 2009,4.8
,,2009 - 2010,5.0
,,2010 - 2011,5.0
,,2011 - 2012,5.02
,,2012 - 2013,9.58
,,2013 - 2014,4.77
,,2014 - 2015,4.38
,,2015 - 2016,5.1
,,2016 - 2017,6.0
,,2017 - 2018,6.38
,,2018 - 2019,5.76
,,2019 - 2020,6.38
,,2020 - 2021,6.4
,,2021 - 2022,5.54
,,2022 - 2023,6.0
,Tumkur,2000 - 2001,4.33
,,2001 - 2002,5.0
,,2002 - 2003,4.33
,,2003 - 2004,5.0
,,2004 - 2005,5.0
,,2005 - 2006,5.5
,,2006 - 2007,5.0
,,2007 - 2008,8.0
,,2008 - 2009,5.0
,,2011 - 2012,5.0
,,2012 - 2013,4.75
,,2014 - 2015,6.0
,,2015 - 2016,5.0
,,2017 - 2018,6.5
,,2018 - 2019,5.67
,,2019 - 2020,6.33
,,2020 - 2021,6.4
,,2021 - 2022,5.5
,,2022 - 2023,6.0
,Udupi,2000 - 2001,3.14
,,2001 - 2002,4.57
,,2002 - 2003,3.81
,,2003 - 2004,3.36
,,2004 - 2005,4.75
,,2005 - 2006,5.34
,,2006 - 2007,5.05
,,2007 - 2008,7.78
,,2008 - 2009,3.84
,,2009 - 2010,5.03
,,2010 - 2011,3.3
,,2011 - 2012,3.15
,,2012 - 2013,3.52
,,2013 - 2014,4.75
,,2014 - 2015,5.98
,,2015 - 2016,5.1
,,2016 - 2017,5.92
,,2017 - 2018,6.34
,,2018 - 2019,5.75
,,2019 - 2020,6.44
,,2020 - 2021,6.37
,,2021 - 2022,5.57
,,2022 - 2023,6.0
,Uttar kannad,2000 - 2001,4.4
,,2001 - 2002,5.17
,,2002 - 2003,4.3
,,2003 - 2004,4.88
,,2004 - 2005,4.75
,,2005 - 2006,5.0
,,2006 - 2007,5.0
,,2007 - 2008,8.0
,,2008 - 2009,4.67
,,2009 - 2010,5.0
,,2010 - 2011,5.0
,,2011 - 2012,5.0
,,2012 - 2013,4.7
,,2013 - 2014,4.71
,,2014 - 2015,6.0
,,2015 - 2016,5.08
,,2016 - 2017,6.0
,,2017 - 2018,6.33
,,2018 - 2019,5.76
,,2019 - 2020,6.4
,,2020 - 2021,6.39
,,2021 - 2022,5.58
,,2022 - 2023,6.0
,Vijayanagar,2022 - 2023,6.0
,Yadgir,2017 - 2018,6.0
,,2018 - 2019,5.78
,,2019 - 2020,6.38
,,2020 - 2021,6.39
,,2021 - 2022,5.64
,,2022 - 2023,6.18
Kerala,Alappuzha,2000 - 2001,1.09
,,2001 - 2002,1.33
,,2002 - 2003,1.22
,,2003 - 2004,0.88
,,2004 - 2005,1.09
,,2005 - 2006,1.18
,,2006 - 2007,1.05
,,2007 - 2008,1.21
,,2008 - 2009,1.41
,,2009 - 2010,1.75
,,2010 - 2011,1.4
,,2011 - 2012,2.02
,,2012 - 2013,1.91
,,2013 - 2014,2.03
,,2014 - 2015,2.17
,,2015 - 2016,2.07
,,2016 - 2017,1.93
,,2017 - 2018,1.92
,,2018 - 2019,1.63
,,2019 - 2020,2.09
,,2020 - 2021,2.05
,,2021 - 2022,3.29
,,2022 - 2023,2.29
,Ernakulam,2000 - 2001,2.06
,,2001 - 2002,2.28
,,2002 - 2003,2.22
,,2003 - 2004,2.22
,,2004 - 2005,1.96
,,2005 - 2006,2.51
,,2006 - 2007,2.98
,,2007 - 2008,2.74
,,2008 - 2009,2.67
,,2009 - 2010,3.23
,,2010 - 2011,3.36
,,2011 - 2012,3.13
,,2012 - 2013,2.69
,,2013 - 2014,2.75
,,2014 - 2015,3.0
,,2015 - 2016,2.73
,,2016 - 2017,2.77
,,2017 - 2018,2.85
,,2018 - 2019,2.68
,,2019 - 2020,2.54
,,2020 - 2021,2.8
,,2021 - 2022,2.7
,,2022 - 2023,2.63
,Idukki,2000 - 2001,2.59
,,2001 - 2002,2.01
,,2002 - 2003,2.42
,,2003 - 2004,2.33
,,2004 - 2005,2.5
,,2005 - 2006,2.38
,,2006 - 2007,2.27
,,2007 - 2008,2.05
,,2008 - 2009,2.03
,,2009 - 2010,2.27
,,2010 - 2011,2.47
,,2011 - 2012,3.08
,,2012 - 2013,4.02
,,2013 - 2014,3.96
,,2014 - 2015,4.39
,,2015 - 2016,4.08
,,2016 - 2017,3.92
,,2017 - 2018,4.17
,,2018 - 2019,3.57
,,2019 - 2020,3.97
,,2020 - 2021,4.08
,,2021 - 2022,3.89
,,2022 - 2023,3.93
,Kannur,2000 - 2001,2.73
,,2001 - 2002,2.56
,,2002 - 2003,2.82
,,2003 - 2004,2.6
,,2004 - 2005,2.66
,,2005 - 2006,2.92
,,2006 - 2007,3.5
,,2007 - 2008,3.27
,,2008 - 2009,3.27
,,2009 - 2010,2.96
,,2010 - 2011,3.71
,,2011 - 2012,3.66
,,2012 - 2013,3.36
,,2013 - 2014,2.92
,,2014 - 2015,3.55
,,2015 - 2016,3.01
,,2016 - 2017,3.35
,,2017 - 2018,5.02
,,2018 - 2019,3.77
,,2019 - 2020,4.41
,,2020 - 2021,4.83
,,2021 - 2022,4.42
,,2022 - 2023,3.9
,Kasaragod,2000 - 2001,2.14
,,2001 - 2002,2.51
,,2002 - 2003,2.38
,,2003 - 2004,2.25
,,2004 - 2005,2.0
,,2005 - 2006,2.36
,,2006 - 2007,1.51
,,2007 - 2008,2.46
,,2008 - 2009,2.29
,,2009 - 2010,2.0
,,2010 - 2011,2.43
,,2011 - 2012,2.42
,,2012 - 2013,2.05
,,2013 - 2014,1.62
,,2014 - 2015,3.03
,,2015 - 2016,2.57
,,2016 - 2017,2.45
,,2017 - 2018,3.68
,,2018 - 2019,3.04
,,2019 - 2020,2.95
,,2020 - 2021,3.4
,,2021 - 2022,3.3
,,2022 - 2023,2.8
,Kollam,2000 - 2001,1.52
,,2001 - 2002,1.4
,,2002 - 2003,1.74
,,2003 - 2004,1.66
,,2004 - 2005,1.56
,,2005 - 2006,1.83
,,2006 - 2007,1.92
,,2007 - 2008,1.85
,,2008 - 2009,1.74
,,2009 - 2010,1.42
,,2010 - 2011,1.42
,,2011 - 2012,1.44
,,2012 - 2013,1.6
,,2013 - 2014,1.57
,,2014 - 2015,1.78
,,2015 - 2016,1.61
,,2016 - 2017,1.41
,,2017 - 2018,1.62
,,2018 - 2019,1.84
,,2019 - 2020,1.95
,,2020 - 2021,2.38
,,2021 - 2022,2.14
,,2022 - 2023,2.03
,Kottayam,2000 - 2001,2.03
,,2001 - 2002,2.64
,,2002 - 2003,2.62
,,2003 - 2004,2.37
,,2004 - 2005,2.45
,,2005 - 2006,2.29
,,2006 - 2007,2.37
,,2007 - 2008,2.31
,,2008 - 2009,2.3
,,2009 - 2010,2.31
,,2010 - 2011,2.78
,,2011 - 2012,2.08
,,2012 - 2013,2.17
,,2013 - 2014,2.51
,,2014 - 2015,2.56
,,2015 - 2016,2.55
,,2016 - 2017,2.39
,,2017 - 2018,2.52
,,2018 - 2019,2.67
,,2019 - 2020,2.69
,,2020 - 2021,3.23
,,2021 - 2022,3.74
,,2022 - 2023,3.46
,Kozhikode,2000 - 2001,2.13
,,2001 - 2002,2.27
,,2002 - 2003,2.37
,,2003 - 2004,2.33
,,2004 - 2005,2.47
,,2005 - 2006,1.99
,,2006 - 2007,2.57
,,2007 - 2008,2.65
,,2008 - 2009,2.32
,,2009 - 2010,2.44
,,2010 - 2011,2.6
,,2011 - 2012,2.42
,,2012 - 2013,2.64
,,2013 - 2014,2.42
,,2014 - 2015,3.11
,,2015 - 2016,3.0
,,2016 - 2017,2.5
,,2017 - 2018,3.22
,,2018 - 2019,2.77
,,2019 - 2020,3.06
,,2020 - 2021,3.92
,,2021 - 2022,4.04
,,2022 - 2023,3.2
,Malappuram,2000 - 2001,1.97
,,2001 - 2002,1.44
,,2002 - 2003,1.7
,,2003 - 2004,1.77
,,2004 - 2005,1.56
,,2005 - 2006,1.62
,,2006 - 2007,1.43
,,2007 - 2008,1.77
,,2008 - 2009,1.87
,,2009 - 2010,1.95
,,2010 - 2011,1.82
,,2011 - 2012,1.89
,,2012 - 2013,1.87
,,2013 - 2014,1.98
,,2014 - 2015,2.19
,,2015 - 2016,2.39
,,2016 - 2017,2.07
,,2017 - 2018,3.04
,,2018 - 2019,2.22
,,2019 - 2020,2.74
,,2020 - 2021,2.92
,,2021 - 2022,4.12
,,2022 - 2023,2.52
,Palakkad,2000 - 2001,2.55
,,2001 - 2002,2.69
,,2002 - 2003,2.5
,,2003 - 2004,1.7
,,2004 - 2005,2.42
,,2005 - 2006,3.13
,,2006 - 2007,3.09
,,2007 - 2008,2.77
,,2008 - 2009,2.64
,,2009 - 2010,2.94
,,2010 - 2011,3.14
,,2011 - 2012,3.01
,,2012 - 2013,2.9
,,2013 - 2014,2.89
,,2014 - 2015,2.76
,,2015 - 2016,2.93
,,2016 - 2017,2.63
,,2017 - 2018,3.61
,,2018 - 2019,3.01
,,2019 - 2020,3.13
,,2020 - 2021,3.76
,,2021 - 2022,3.58
,,2022 - 2023,3.23
,Pathanamthitta,2000 - 2001,1.51
,,2001 - 2002,1.7
,,2002 - 2003,1.41
,,2003 - 2004,1.67
,,2004 - 2005,1.86
,,2005 - 2006,1.92
,,2006 - 2007,1.69
,,2007 - 2008,1.82
,,2008 - 2009,1.93
,,2009 - 2010,1.62
,,2010 - 2011,1.88
,,2011 - 2012,2.08
,,2012 - 2013,1.85
,,2013 - 2014,1.78
,,2014 - 2015,2.24
,,2015 - 2016,2.22
,,2016 - 2017,2.02
,,2017 - 2018,3.8
,,2018 - 2019,2.86
,,2019 - 2020,3.6
,,2020 - 2021,3.97
,,2021 - 2022,3.49
,,2022 - 2023,3.43
,Thiruvananthapuram,2000 - 2001,1.25
,,2001 - 2002,2.0
,,2002 - 2003,1.6
,,2003 - 2004,2.16
,,2004 - 2005,1.44
,,2005 - 2006,2.06
,,2006 - 2007,1.82
,,2007 - 2008,1.83
,,2008 - 2009,2.14
,,2009 - 2010,1.83
,,2010 - 2011,1.69
,,2011 - 2012,1.73
,,2012 - 2013,1.65
,,2013 - 2014,1.59
,,2014 - 2015,1.88
,,2015 - 2016,2.52
,,2016 - 2017,2.17
,,2017 - 2018,2.14
,,2018 - 2019,1.98
,,2019 - 2020,2.11
,,2020 - 2021,2.53
,,2021 - 2022,2.33
,,2022 - 2023,2.75
,Thrissur,2000 - 2001,1.23
,,2001 - 2002,2.32
,,2002 - 2003,1.75
,,2003 - 2004,1.33
,,2004 - 2005,1.74
,,2005 - 2006,2.3
,,2006 - 2007,1.46
,,2007 - 2008,1.54
,,2008 - 2009,1.57
,,2009 - 2010,1.59
,,2010 - 2011,1.9
,,2011 - 2012,2.11
,,2012 - 2013,2.26
,,2013 - 2014,2.07
,,2014 - 2015,2.03
,,2015 - 2016,2.12
,,2016 - 2017,2.09
,,2017 - 2018,2.37
,,2018 - 2019,2.28
,,2019 - 2020,2.26
,,2020 - 2021,2.5
,,2021 - 2022,2.33
,,2022 - 2023,2.19
,Wayanad,2000 - 2001,1.88
,,2001 - 2002,1.78
,,2002 - 2003,2.13
,,2003 - 2004,2.28
,,2004 - 2005,2.64
,,2005 - 2006,2.47
,,2006 - 2007,2.7
,,2007 - 2008,2.08
,,2008 - 2009,2.19
,,2009 - 2010,3.56
,,2010 - 2011,3.21
