state,district,year,turmeric_whole_year_yield_tonne_per_hectare
,,2022 - 2023,1.25
,Dhubri,2000 - 2001,0.75
,,2001 - 2002,0.75
,,2002 - 2003,0.75
,,2003 - 2004,0.75
,,2004 - 2005,0.75
,,2005 - 2006,0.75
,,2006 - 2007,0.75
,,2007 - 2008,0.75
,,2008 - 2009,0.75
,,2009 - 2010,0.75
,,2010 - 2011,0.75
,,2011 - 2012,0.77
,,2012 - 2013,0.79
,,2013 - 2014,0.79
,,2014 - 2015,0.79
,,2015 - 2016,0.8
,,2016 - 2017,0.81
,,2017 - 2018,0.82
,,2018 - 2019,0.99
,,2019 - 2020,1.08
,,2020 - 2021,1.08
,,2021 - 2022,1.08
,,2022 - 2023,1.21
,Dibrugarh,2000 - 2001,0.57
,,2001 - 2002,0.57
,,2002 - 2003,0.57
,,2003 - 2004,0.57
,,2004 - 2005,0.57
,,2005 - 2006,0.57
,,2006 - 2007,0.57
,,2007 - 2008,0.56
,,2008 - 2009,0.57
,,2009 - 2010,0.57
,,2010 - 2011,0.57
,,2011 - 2012,0.68
,,2012 - 2013,0.7
,,2013 - 2014,0.69
,,2014 - 2015,0.81
,,2015 - 2016,0.82
,,2016 - 2017,0.83
,,2017 - 2018,0.84
,,2018 - 2019,1.06
,,2019 - 2020,1.17
,,2020 - 2021,1.16
,,2021 - 2022,1.17
,,2022 - 2023,1.46
,Dima hasao,2000 - 2001,0.51
,,2001 - 2002,0.57
,,2002 - 2003,0.53
,,2003 - 2004,0.54
,,2004 - 2005,0.55
,,2005 - 2006,0.54
,,2006 - 2007,0.54
,,2007 - 2008,0.54
,,2008 - 2009,0.54
,,2009 - 2010,0.54
,,2010 - 2011,0.54
,,2011 - 2012,0.54
,,2012 - 2013,0.67
,,2013 - 2014,1.32
,,2014 - 2015,1.34
,,2015 - 2016,1.35
,,2016 - 2017,1.34
,,2017 - 2018,2.73
,,2018 - 2019,1.57
,,2019 - 2020,1.62
,,2020 - 2021,2.24
,,2021 - 2022,2.31
,,2022 - 2023,2.0
,Goalpara,2000 - 2001,0.51
,,2001 - 2002,0.51
,,2002 - 2003,0.51
,,2003 - 2004,0.51
,,2004 - 2005,0.51
,,2005 - 2006,0.51
,,2006 - 2007,0.5
,,2007 - 2008,0.51
,,2008 - 2009,0.91
,,2009 - 2010,0.64
,,2010 - 2011,0.69
,,2011 - 2012,0.93
,,2012 - 2013,0.94
,,2013 - 2014,0.94
,,2014 - 2015,0.95
,,2015 - 2016,0.95
,,2016 - 2017,0.96
,,2017 - 2018,0.97
,,2018 - 2019,1.3
,,2019 - 2020,1.08
,,2020 - 2021,1.37
,,2021 - 2022,1.37
,,2022 - 2023,1.52
,Golaghat,2000 - 2001,0.3
,,2001 - 2002,0.3
,,2002 - 2003,0.3
,,2003 - 2004,0.3
,,2004 - 2005,0.3
,,2005 - 2006,0.3
,,2006 - 2007,0.3
,,2007 - 2008,0.3
,,2008 - 2009,0.3
,,2009 - 2010,0.3
,,2010 - 2011,0.3
,,2011 - 2012,1.0
,,2012 - 2013,1.53
,,2013 - 2014,1.53
,,2014 - 2015,1.54
,,2015 - 2016,1.55
,,2016 - 2017,1.55
,,2017 - 2018,1.57
,,2018 - 2019,0.64
,,2019 - 2020,0.69
,,2020 - 2021,0.69
,,2021 - 2022,0.69
,,2022 - 2023,0.75
,Hailakandi,2000 - 2001,0.51
,,2001 - 2002,0.51
,,2002 - 2003,0.51
,,2003 - 2004,0.5
,,2004 - 2005,0.51
,,2005 - 2006,0.51
,,2006 - 2007,0.51
,,2007 - 2008,0.5
,,2008 - 2009,0.5
,,2009 - 2010,0.5
,,2010 - 2011,0.5
,,2011 - 2012,0.61
,,2012 - 2013,0.71
,,2013 - 2014,0.71
,,2014 - 2015,0.71
,,2015 - 2016,0.72
,,2016 - 2017,0.75
,,2017 - 2018,0.76
,,2018 - 2019,1.14
,,2019 - 2020,1.03
,,2020 - 2021,1.32
,,2021 - 2022,1.33
,,2022 - 2023,1.59
,Hojai,2020 - 2021,1.03
,,2021 - 2022,1.03
,,2022 - 2023,1.65
,Jorhat,2000 - 2001,0.63
,,2001 - 2002,0.63
,,2002 - 2003,0.63
,,2003 - 2004,0.63
,,2004 - 2005,0.63
,,2005 - 2006,0.63
,,2006 - 2007,0.63
,,2007 - 2008,0.63
,,2008 - 2009,0.63
,,2009 - 2010,0.63
,,2010 - 2011,0.63
,,2011 - 2012,0.29
,,2012 - 2013,0.47
,,2013 - 2014,0.47
,,2014 - 2015,0.57
,,2015 - 2016,0.57
,,2016 - 2017,0.59
,,2017 - 2018,0.7
,,2018 - 2019,0.92
,,2019 - 2020,1.03
,,2020 - 2021,1.03
,,2021 - 2022,1.03
,,2022 - 2023,1.27
,Kamrup,2000 - 2001,0.87
,,2001 - 2002,0.87
,,2002 - 2003,0.86
,,2003 - 2004,0.87
,,2004 - 2005,0.86
,,2005 - 2006,0.87
,,2006 - 2007,0.86
,,2007 - 2008,0.86
,,2008 - 2009,0.87
,,2009 - 2010,0.87
,,2010 - 2011,0.87
,,2011 - 2012,0.97
,,2012 - 2013,0.99
,,2013 - 2014,0.99
,,2014 - 2015,1.14
,,2015 - 2016,1.14
,,2016 - 2017,1.15
,,2017 - 2018,1.16
,,2018 - 2019,1.15
,,2019 - 2020,1.2
,,2020 - 2021,1.2
,,2021 - 2022,1.2
,,2022 - 2023,1.27
,Kamrup metro,2005 - 2006,0.87
,,2006 - 2007,0.87
,,2007 - 2008,0.87
,,2008 - 2009,1.21
,,2009 - 2010,0.98
,,2010 - 2011,1.02
,,2011 - 2012,1.74
,,2012 - 2013,1.75
,,2013 - 2014,1.76
,,2014 - 2015,1.76
,,2015 - 2016,1.76
,,2016 - 2017,1.76
,,2017 - 2018,1.77
,,2018 - 2019,2.01
,,2019 - 2020,2.14
,,2020 - 2021,2.14
,,2021 - 2022,2.13
,,2022 - 2023,2.48
,Karbi anglong,2000 - 2001,0.75
,,2001 - 2002,0.75
,,2002 - 2003,0.77
,,2003 - 2004,0.77
,,2004 - 2005,0.8
,,2005 - 2006,0.79
,,2006 - 2007,0.8
,,2007 - 2008,0.81
,,2008 - 2009,0.81
,,2009 - 2010,0.81
,,2010 - 2011,0.8
,,2011 - 2012,1.02
,,2012 - 2013,1.06
,,2013 - 2014,1.0
,,2014 - 2015,1.01
,,2015 - 2016,1.02
,,2016 - 2017,1.02
,,2017 - 2018,2.04
,,2018 - 2019,2.1
,,2019 - 2020,2.14
,,2020 - 2021,2.14
,,2021 - 2022,2.14
,,2022 - 2023,1.2
,Karimganj,2000 - 2001,0.46
,,2001 - 2002,0.46
,,2002 - 2003,0.46
,,2003 - 2004,0.46
,,2004 - 2005,0.46
,,2005 - 2006,0.64
,,2006 - 2007,0.52
,,2007 - 2008,0.54
,,2008 - 2009,0.57
,,2009 - 2010,0.54
,,2010 - 2011,0.55
,,2011 - 2012,0.59
,,2012 - 2013,0.63
,,2013 - 2014,0.63
,,2014 - 2015,0.63
,,2015 - 2016,0.64
,,2016 - 2017,0.65
,,2017 - 2018,0.67
,,2018 - 2019,0.91
,,2019 - 2020,1.03
,,2020 - 2021,1.03
,,2021 - 2022,1.03
,,2022 - 2023,1.25
,Kokrajhar,2000 - 2001,0.78
,,2001 - 2002,0.78
,,2002 - 2003,0.78
,,2003 - 2004,0.78
,,2004 - 2005,0.78
,,2005 - 2006,0.78
,,2006 - 2007,0.78
,,2007 - 2008,0.78
,,2008 - 2009,0.79
,,2009 - 2010,0.79
,,2010 - 2011,0.79
,,2011 - 2012,0.8
,,2012 - 2013,0.9
,,2013 - 2014,0.9
,,2014 - 2015,0.89
,,2015 - 2016,0.9
,,2016 - 2017,0.91
,,2017 - 2018,0.93
,,2018 - 2019,1.04
,,2019 - 2020,1.1
,,2020 - 2021,1.1
,,2021 - 2022,1.1
,,2022 - 2023,1.18
,Lakhimpur,2000 - 2001,0.65
,,2001 - 2002,0.65
,,2002 - 2003,0.65
,,2003 - 2004,0.65
,,2004 - 2005,0.65
,,2005 - 2006,0.65
,,2006 - 2007,0.65
,,2007 - 2008,0.65
,,2008 - 2009,0.65
,,2009 - 2010,0.65
,,2010 - 2011,0.65
,,2011 - 2012,0.69
,,2012 - 2013,0.76
,,2013 - 2014,0.76
,,2014 - 2015,0.77
,,2015 - 2016,0.77
,,2016 - 2017,0.78
,,2017 - 2018,0.78
,,2018 - 2019,0.86
,,2019 - 2020,0.9
,,2020 - 2021,0.9
,,2021 - 2022,0.95
,,2022 - 2023,0.96
,Majuli,2020 - 2021,1.03
,,2021 - 2022,1.03
,,2022 - 2023,1.09
,Marigaon,2000 - 2001,0.8
,,2001 - 2002,0.8
,,2002 - 2003,0.8
,,2003 - 2004,0.8
,,2004 - 2005,0.8
,,2005 - 2006,0.8
,,2006 - 2007,0.8
,,2007 - 2008,0.8
,,2008 - 2009,1.7
,,2009 - 2010,1.1
,,2010 - 2011,1.2
,,2011 - 2012,1.15
,,2012 - 2013,1.16
,,2013 - 2014,1.17
,,2014 - 2015,1.17
,,2015 - 2016,1.18
,,2016 - 2017,1.18
,,2017 - 2018,1.2
,,2018 - 2019,1.42
,,2019 - 2020,1.53
,,2020 - 2021,1.53
,,2021 - 2022,1.53
,,2022 - 2023,1.62
,Nagaon,2000 - 2001,0.64
,,2001 - 2002,0.64
,,2002 - 2003,0.64
,,2003 - 2004,0.64
,,2004 - 2005,0.64
,,2005 - 2006,0.64
,,2006 - 2007,0.64
,,2007 - 2008,0.64
,,2008 - 2009,0.65
,,2009 - 2010,0.64
,,2010 - 2011,0.64
,,2011 - 2012,0.86
,,2012 - 2013,0.87
,,2013 - 2014,0.87
,,2014 - 2015,0.87
,,2015 - 2016,0.88
,,2016 - 2017,0.88
