state,district,year,horse_gram_rabi_yield_tonne_per_hectare
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.63
,,2014 - 2015,0.72
,,2015 - 2016,0.58
,,2016 - 2017,0.32
,,2017 - 2018,0.79
,,2018 - 2019,0.69
,,2019 - 2020,0.78
,,2020 - 2021,0.75
,,2021 - 2022,0.69
,,2022 - 2023,0.77
,Kallakurichi,2020 - 2021,0.79
,,2021 - 2022,0.68
,Kanchipuram,2002 - 2003,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.64
,,2014 - 2015,0.75
,,2016 - 2017,0.0
,,2019 - 2020,1.0
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kanniyakumari,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,Karur,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.64
,,2014 - 2015,0.74
,,2015 - 2016,0.59
,,2016 - 2017,0.32
,,2017 - 2018,0.79
,,2018 - 2019,0.69
,,2019 - 2020,0.35
,,2020 - 2021,0.4
,,2021 - 2022,0.5
,,2022 - 2023,0.69
,Krishnagiri,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.58
,,2014 - 2015,0.66
,,2015 - 2016,0.53
,,2016 - 2017,0.34
,,2017 - 2018,0.76
,,2018 - 2019,0.73
,,2019 - 2020,0.89
,,2020 - 2021,0.99
,,2021 - 2022,0.85
,,2022 - 2023,0.98
,Madurai,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.64
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,0.33
,,2017 - 2018,
,,2018 - 2019,0.68
,,2019 - 2020,0.79
,,2020 - 2021,0.83
,,2021 - 2022,0.65
,,2022 - 2023,0.77
,Namakkal,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.64
,,2014 - 2015,0.74
,,2015 - 2016,0.59
,,2016 - 2017,0.32
,,2017 - 2018,0.79
,,2018 - 2019,0.69
,,2019 - 2020,0.78
,,2020 - 2021,0.75
,,2021 - 2022,0.68
,,2022 - 2023,0.77
,Perambalur,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,1.0
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,0.0
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Pudukkottai,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,1.0
,,2014 - 2015,0.75
,,2015 - 2016,
,,2016 - 2017,0.36
,,2017 - 2018,0.77
,,2018 - 2019,0.6
,,2019 - 2020,0.77
,,2020 - 2021,0.74
,,2021 - 2022,1.0
,,2022 - 2023,0.78
,Ramanathapuram,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.71
,,2014 - 2015,0.44
,,2015 - 2016,0.6
,,2016 - 2017,0.5
,,2017 - 2018,1.0
,,2018 - 2019,0.67
,,2021 - 2022,1.0
,Ranipet,2020 - 2021,0.71
,,2021 - 2022,0.69
,,2022 - 2023,1.0
,Salem,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.6
,,2014 - 2015,0.82
,,2015 - 2016,0.83
,,2016 - 2017,0.31
,,2017 - 2018,0.66
,,2018 - 2019,0.79
,,2019 - 2020,0.69
,,2020 - 2021,0.79
,,2021 - 2022,0.69
,,2022 - 2023,0.61
,Sivaganga,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.6
,,2014 - 2015,0.73
,,2015 - 2016,0.59
,,2016 - 2017,0.32
,,2017 - 2018,0.79
,,2018 - 2019,0.69
,,2019 - 2020,0.78
,,2020 - 2021,0.74
,,2021 - 2022,0.69
,,2022 - 2023,0.78
,Thanjavur,2010 - 2011,
,The nilgiris,2014 - 2015,0.71
,Theni,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.64
,,2014 - 2015,0.75
,,2015 - 2016,0.59
,,2016 - 2017,0.32
,,2017 - 2018,0.79
,,2018 - 2019,0.69
,,2019 - 2020,0.78
,,2020 - 2021,0.75
,,2021 - 2022,0.68
,,2022 - 2023,0.77
,Thenkasi,2021 - 2022,
,,2022 - 2023,1.0
,Thiruvallur,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.63
,,2014 - 2015,0.77
,,2015 - 2016,0.67
,,2016 - 2017,
,,2017 - 2018,0.75
,,2018 - 2019,0.7
,,2019 - 2020,0.75
,,2020 - 2021,0.73
,,2021 - 2022,0.67
,,2022 - 2023,1.0
,Thoothukudi,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.75
,,2014 - 2015,0.74
,,2015 - 2016,0.5
,,2016 - 2017,0.38
,,2017 - 2018,0.78
,,2018 - 2019,0.71
,,2019 - 2020,0.88
,,2020 - 2021,0.72
,,2022 - 2023,1.0
,Tiruchirappalli,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.64
,,2014 - 2015,0.74
,,2015 - 2016,0.58
,,2016 - 2017,0.32
,,2017 - 2018,0.79
,,2018 - 2019,0.69
,,2019 - 2020,0.78
,,2020 - 2021,0.75
,,2021 - 2022,0.68
,,2022 - 2023,0.77
,Tirunelveli,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,1.0
,,2014 - 2015,0.67
,,2015 - 2016,0.56
,,2016 - 2017,0.0
,,2017 - 2018,0.75
,,2019 - 2020,0.75
,,2020 - 2021,0.8
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Tirupathur,2020 - 2021,0.68
,,2021 - 2022,0.53
,,2022 - 2023,0.63
,Tiruppur,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.16
,,2014 - 2015,0.32
,,2015 - 2016,0.2
,,2016 - 2017,0.01
,,2017 - 2018,0.55
,,2018 - 2019,0.24
,,2019 - 2020,0.37
,,2020 - 2021,0.31
,,2021 - 2022,0.39
,,2022 - 2023,0.33
,Tiruvannamalai,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.76
,,2014 - 2015,0.85
,,2015 - 2016,0.64
,,2016 - 2017,1.0
,,2017 - 2018,0.93
,,2018 - 2019,0.62
,,2019 - 2020,0.98
,,2020 - 2021,0.6
,,2021 - 2022,0.89
,,2022 - 2023,0.85
,Vellore,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.85
,,2014 - 2015,1.01
,,2015 - 2016,0.71
,,2016 - 2017,0.43
,,2017 - 2018,0.86
,,2018 - 2019,0.84
,,2019 - 2020,0.85
,,2020 - 2021,0.94
,,2021 - 2022,0.79
,,2022 - 2023,0.79
,Villupuram,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.64
,,2014 - 2015,0.74
,,2015 - 2016,0.57
,,2016 - 2017,0.25
,,2017 - 2018,0.79
,,2018 - 2019,1.0
,,2020 - 2021,1.0
,Virudhunagar,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.64
,,2014 - 2015,0.75
,,2015 - 2016,0.59
,,2016 - 2017,0.31
,,2017 - 2018,0.79
,,2018 - 2019,0.69
,,2019 - 2020,0.77
,,2020 - 2021,0.73
,,2021 - 2022,0.65
,,2022 - 2023,0.73
Telangana,Adilabad,2000 - 2001,0.2
,,2001 - 2002,0.33
,,2002 - 2003,0.13
,,2003 - 2004,0.33
,,2004 - 2005,0.32
,,2005 - 2006,0.26
,,2006 - 2007,0.29
,,2007 - 2008,1.0
,,2008 - 2009,0.42
,,2009 - 2010,0.3
,,2010 - 2011,0.4
,,2011 - 2012,0.14
,,2013 - 2014,0.48
,,2014 - 2015,0.38
,,2015 - 2016,0.46
,Bhadradri,2019 - 2020,0.75
,,2020 - 2021,3.0
,,2021 - 2022,0.82
,Jagitial,2021 - 2022,0.75
,,2022 - 2023,0.67
,Jangoan,2016 - 2017,0.38
,,2017 - 2018,0.0
,,2018 - 2019,0.63
,,2019 - 2020,0.91
,,2020 - 2021,1.78
,,2021 - 2022,0.81
,,2022 - 2023,0.63
,Jayashankar,2016 - 2017,0.5
,,2017 - 2018,0.0
,,2018 - 2019,0.67
,,2020 - 2021,1.0
,Jogulamba,2016 - 2017,0.33
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,0.89
,,2020 - 2021,1.67
,,2021 - 2022,0.83
,,2022 - 2023,
,Kamareddy,2019 - 2020,0.87
,,2020 - 2021,1.63
,,2021 - 2022,0.82
,,2022 - 2023,0.67
,Karimnagar,2000 - 2001,0.2
,,2001 - 2002,0.33
,,2002 - 2003,0.13
,,2003 - 2004,0.33
,,2004 - 2005,0.32
,,2005 - 2006,0.26
,,2006 - 2007,0.29
,,2008 - 2009,0.42
,,2009 - 2010,0.29
,,2010 - 2011,0.4
,,2011 - 2012,0.0
,,2014 - 2015,0.5
,,2015 - 2016,0.4
,,2020 - 2021,2.0
,,2021 - 2022,0.86
,,2022 - 2023,1.0
,Khammam,2000 - 2001,0.2
,,2001 - 2002,0.33
,,2002 - 2003,0.13
,,2003 - 2004,0.33
,,2004 - 2005,0.33
,,2005 - 2006,0.26
,,2006 - 2007,0.28
,,2008 - 2009,0.42
,,2009 - 2010,0.3
,,2010 - 2011,0.4
,,2011 - 2012,0.25
,,2013 - 2014,0.49
,,2014 - 2015,0.38
,,2015 - 2016,0.33
,,2016 - 2017,0.0
,,2017 - 2018,0.0
,,2020 - 2021,2.5
,,2021 - 2022,0.75
,Komaram bheem asifabad,2016 - 2017,0.36
,,2017 - 2018,0.0
,,2018 - 2019,0.67
,,2020 - 2021,
,,2021 - 2022,0.83
,,2022 - 2023,0.58
,Mahabubabad,2019 - 2020,1.0
,,2020 - 2021,1.71
,,2021 - 2022,0.83
,,2022 - 2023,0.6
,Mahbubnagar,2000 - 2001,0.2
,,2001 - 2002,0.33
,,2002 - 2003,0.13
,,2003 - 2004,0.33
,,2004 - 2005,0.32
,,2005 - 2006,0.26
,,2006 - 2007,0.29
,,2007 - 2008,
,,2008 - 2009,0.42
,,2009 - 2010,0.3
,,2010 - 2011,0.4
,,2011 - 2012,0.15
,,2012 - 2013,
,,2013 - 2014,0.48
,,2014 - 2015,0.38
,,2015 - 2016,0.45
,,2016 - 2017,0.39
,,2017 - 2018,0.0
,,2018 - 2019,0.75
,,2019 - 2020,0.8
,,2020 - 2021,1.71
,,2021 - 2022,0.8
,,2022 - 2023,0.63
,Mancherial,2016 - 2017,0.33
,,2017 - 2018,
,,2018 - 2019,1.0
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Medak,2000 - 2001,0.2
,,2001 - 2002,0.33
,,2002 - 2003,0.13
,,2003 - 2004,0.33
,,2004 - 2005,0.32
,,2005 - 2006,0.26
,,2006 - 2007,0.29
,,2008 - 2009,0.42
,,2009 - 2010,0.3
,,2010 - 2011,0.41
,,2011 - 2012,0.15
,,2013 - 2014,0.48
,,2014 - 2015,0.38
,,2015 - 2016,0.45
,,2016 - 2017,0.4
,,2017 - 2018,0.0
,,2018 - 2019,0.57
,,2019 - 2020,0.8
,,2020 - 2021,1.6
,,2021 - 2022,0.8
,,2022 - 2023,1.0
,Medchal,2019 - 2020,0.89
,,2020 - 2021,1.5
,,2021 - 2022,0.67
,,2022 - 2023,0.5
,Mulugu,2021 - 2022,0.85
,Nagarkurnool,2016 - 2017,0.37
,,2017 - 2018,0.0
,,2018 - 2019,0.64
,,2019 - 2020,0.87
,,2020 - 2021,1.61
,,2021 - 2022,0.81
,,2022 - 2023,0.48
,Nalgonda,2000 - 2001,0.2
,,2001 - 2002,0.33
,,2002 - 2003,0.13
,,2003 - 2004,0.33
,,2004 - 2005,0.32
,,2005 - 2006,0.26
,,2006 - 2007,0.29
,,2007 - 2008,0.33
,,2008 - 2009,0.42
,,2009 - 2010,0.3
,,2010 - 2011,0.4
,,2011 - 2012,0.15
,,2012 - 2013,0.5
,,2013 - 2014,0.48
,,2014 - 2015,0.38
,,2015 - 2016,0.45
,,2016 - 2017,0.38
,,2017 - 2018,0.0
,,2018 - 2019,0.63
,,2019 - 2020,0.88
,,2020 - 2021,1.63
,,2021 - 2022,0.96
,,2022 - 2023,0.69
,Narayanapet,2018 - 2019,0.64
,,2019 - 2020,0.87
,,2020 - 2021,1.67
,,2021 - 2022,0.82
,,2022 - 2023,0.7
,Nirmal,2019 - 2020,1.0
,,2020 - 2021,1.5
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Nizamabad,2000 - 2001,0.22
,,2001 - 2002,0.32
,,2002 - 2003,0.25
,,2003 - 2004,0.32
,,2004 - 2005,0.32
,,2005 - 2006,0.26
,,2008 - 2009,0.41
,,2009 - 2010,
,,2010 - 2011,0.39
,,2013 - 2014,
,,2015 - 2016,0.33
,,2020 - 2021,1.6
,,2021 - 2022,0.83
,,2022 - 2023,0.5
,Peddapalli,2020 - 2021,1.0
,,2021 - 2022,
,Rajanna,2019 - 2020,0.8
,,2020 - 2021,1.4
,,2021 - 2022,0.8
,,2022 - 2023,0.5
,Rangareddi,2000 - 2001,0.2
,,2001 - 2002,0.33
,,2002 - 2003,0.13
,,2003 - 2004,0.33
,,2004 - 2005,0.32
,,2005 - 2006,0.26
,,2006 - 2007,0.29
,,2008 - 2009,0.42
,,2009 - 2010,0.29
,,2010 - 2011,0.4
,,2011 - 2012,0.15
,,2013 - 2014,0.48
,,2014 - 2015,0.37
,,2015 - 2016,0.45
,,2016 - 2017,0.38
,,2017 - 2018,0.0
,,2018 - 2019,0.63
,,2019 - 2020,0.86
,,2020 - 2021,1.57
,,2021 - 2022,0.8
,,2022 - 2023,0.6
,Sangareddy,2016 - 2017,0.43
,,2017 - 2018,0.0
,,2019 - 2020,0.87
,,2020 - 2021,1.65
,,2021 - 2022,0.81
,,2022 - 2023,1.0
,Siddipet,2016 - 2017,0.38
,,2017 - 2018,0.0
,,2018 - 2019,0.64
,,2019 - 2020,0.86
,,2020 - 2021,1.7
,,2021 - 2022,0.83
,,2022 - 2023,0.6
,Suryapet,2016 - 2017,0.38
,,2017 - 2018,0.0
,,2018 - 2019,0.63
,,2019 - 2020,0.87
,,2020 - 2021,2.0
,,2021 - 2022,0.54
,,2022 - 2023,0.6
,Vikarabad,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,1.58
,,2021 - 2022,0.8
,,2022 - 2023,0.6
,Wanaparthy,2016 - 2017,0.38
,,2017 - 2018,0.0
,,2018 - 2019,0.63
,,2019 - 2020,0.88
,,2020 - 2021,1.72
,,2021 - 2022,0.81
,,2022 - 2023,0.6
,Warangal,2000 - 2001,0.2
,,2001 - 2002,0.33
,,2002 - 2003,0.13
,,2003 - 2004,0.33
,,2004 - 2005,0.32
,,2005 - 2006,0.26
,,2006 - 2007,0.29
,,2007 - 2008,0.0
,,2008 - 2009,0.42
,,2009 - 2010,0.3
,,2010 - 2011,0.4
,,2011 - 2012,0.15
,,2012 - 2013,0.0
,,2013 - 2014,0.48
,,2014 - 2015,0.38
,,2015 - 2016,0.45
,,2020 - 2021,
,,2021 - 2022,1.0
,Warangal urban,2020 - 2021,1.6
,,2021 - 2022,0.67
,,2022 - 2023,0.5
,Yadadri,2016 - 2017,0.38
,,2017 - 2018,0.0
,,2018 - 2019,0.63
,,2019 - 2020,0.87
,,2020 - 2021,1.67
,,2021 - 2022,0.82
,,2022 - 2023,0.6
Uttarakhand,Almora,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bageshwar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Chamoli,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Champawat,2000 - 2001,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Dehradun,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nainital,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Pauri garhwal,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Pithoragarh,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Rudra prayag,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tehri garhwal,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Uttar kashi,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
West Bengal,Alipurduar,2016 - 2017,1.3
,,2017 - 2018,0.31
,,2018 - 2019,0.46
,,2019 - 2020,0.4
,,2020 - 2021,0.42
,,2021 - 2022,0.4
,,2022 - 2023,0.4
,Bankura,2000 - 2001,0.38
,,2001 - 2002,0.19
,,2002 - 2003,0.29
,,2003 - 2004,0.19
,,2004 - 2005,0.21
,,2005 - 2006,0.32
,,2006 - 2007,0.34
,,2007 - 2008,0.46
,,2008 - 2009,0.48
,,2009 - 2010,0.46
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,0.46
,,2015 - 2016,0.48
,,2016 - 2017,0.5
,,2017 - 2018,0.47
,,2018 - 2019,0.44
,,2019 - 2020,0.42
,,2020 - 2021,0.4
,Birbhum,2000 - 2001,0.51
,,2001 - 2002,0.51
,,2002 - 2003,0.51
,,2003 - 2004,0.31
,,2004 - 2005,0.23
,,2005 - 2006,0.31
,,2006 - 2007,0.41
,,2007 - 2008,0.4
,,2008 - 2009,0.41
,,2009 - 2010,0.4
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,0.4
,,2015 - 2016,0.4
,,2016 - 2017,0.4
,,2017 - 2018,0.45
,,2018 - 2019,0.71
,,2019 - 2020,0.69
,,2020 - 2021,0.68
,,2021 - 2022,0.59
,,2022 - 2023,0.6
,Coochbehar,2000 - 2001,0.4
,,2003 - 2004,0.6
,,2004 - 2005,0.62
,,2005 - 2006,0.66
,,2006 - 2007,0.62
,,2007 - 2008,0.64
,,2008 - 2009,0.64
,,2009 - 2010,0.65
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,0.66
,,2015 - 2016,0.66
,,2016 - 2017,0.67
,,2017 - 2018,0.6
,,2018 - 2019,0.56
,,2019 - 2020,0.55
,,2020 - 2021,0.53
,,2021 - 2022,0.55
,,2022 - 2023,0.6
,Darjeeling,2002 - 2003,0.67
,,2003 - 2004,0.67
,,2005 - 2006,0.5
,,2006 - 2007,0.5
,,2007 - 2008,0.5
,,2008 - 2009,0.5
,,2009 - 2010,0.5
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2015 - 2016,1.0
,,2016 - 2017,0.5
,,2017 - 2018,0.5
,Dinajpur dakshin,2000 - 2001,0.74
,,2001 - 2002,0.48
,,2002 - 2003,0.48
,,2003 - 2004,0.47
,Dinajpur uttar,2000 - 2001,0.42
,,2001 - 2002,2.12
