state,district,year,gram_rabi_yield_tonne_per_hectare
,,2017 - 2018,1.77
,,2018 - 2019,2.0
,,2019 - 2020,1.3
,,2020 - 2021,1.49
,,2021 - 2022,1.65
,,2022 - 2023,1.61
,Gurgaon,2000 - 2001,1.14
,,2001 - 2002,0.63
,,2002 - 2003,1.41
,,2003 - 2004,1.05
,,2004 - 2005,0.99
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2020 - 2021,1.0
,,2021 - 2022,1.08
,,2022 - 2023,1.0
,Hisar,2000 - 2001,0.59
,,2001 - 2002,0.91
,,2002 - 2003,0.78
,,2003 - 2004,0.79
,,2004 - 2005,0.79
,,2005 - 2006,0.56
,,2006 - 2007,0.81
,,2007 - 2008,0.6
,,2008 - 2009,0.84
,,2009 - 2010,0.66
,,2010 - 2011,0.89
,,2011 - 2012,0.85
,,2012 - 2013,0.87
,,2013 - 2014,0.71
,,2014 - 2015,0.58
,,2015 - 2016,0.62
,,2016 - 2017,1.27
,,2017 - 2018,1.42
,,2018 - 2019,1.66
,,2019 - 2020,1.13
,,2020 - 2021,0.98
,,2021 - 2022,1.38
,,2022 - 2023,1.15
,Jhajjar,2000 - 2001,0.85
,,2001 - 2002,1.12
,,2002 - 2003,1.09
,,2003 - 2004,1.0
,,2004 - 2005,1.32
,,2005 - 2006,0.76
,,2006 - 2007,0.77
,,2007 - 2008,1.49
,,2008 - 2009,1.5
,,2009 - 2010,1.78
,,2010 - 2011,1.9
,,2011 - 2012,0.0
,,2012 - 2013,1.62
,,2013 - 2014,1.0
,,2016 - 2017,1.5
,,2017 - 2018,1.33
,,2018 - 2019,1.0
,,2019 - 2020,1.56
,,2020 - 2021,1.91
,,2021 - 2022,1.03
,,2022 - 2023,0.89
,Jind,2000 - 2001,1.21
,,2001 - 2002,1.36
,,2002 - 2003,1.56
,,2003 - 2004,1.69
,,2004 - 2005,0.0
,,2005 - 2006,1.45
,,2006 - 2007,1.94
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.0
,,2016 - 2017,1.0
,,2017 - 2018,2.0
,,2018 - 2019,2.0
,,2019 - 2020,1.5
,,2020 - 2021,2.0
,,2021 - 2022,1.19
,,2022 - 2023,1.0
,Kaithal,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,1.17
,,2022 - 2023,1.0
,Karnal,2000 - 2001,2.08
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,2.08
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.0
,,2016 - 2017,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,1.23
,,2022 - 2023,1.0
,Kurukshetra,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.0
,,2017 - 2018,1.0
,,2020 - 2021,1.0
,,2021 - 2022,1.19
,Mahendragarh,2000 - 2001,1.06
,,2001 - 2002,0.79
,,2002 - 2003,0.8
,,2003 - 2004,0.93
,,2004 - 2005,0.74
,,2005 - 2006,0.49
,,2006 - 2007,1.19
,,2007 - 2008,0.5
,,2008 - 2009,1.09
,,2009 - 2010,0.61
,,2010 - 2011,1.08
,,2011 - 2012,1.06
,,2012 - 2013,1.32
,,2013 - 2014,0.93
,,2014 - 2015,0.57
,,2015 - 2016,0.67
,,2016 - 2017,1.28
,,2017 - 2018,0.93
,,2018 - 2019,1.49
,,2019 - 2020,1.25
,,2020 - 2021,0.93
,,2021 - 2022,1.24
,,2022 - 2023,1.2
,Mewat,2005 - 2006,1.14
,,2006 - 2007,1.12
,,2007 - 2008,1.14
,,2008 - 2009,1.32
,,2009 - 2010,1.43
,,2010 - 2011,2.44
,,2011 - 2012,2.36
,,2012 - 2013,0.0
,,2013 - 2014,1.0
,,2016 - 2017,1.33
,,2017 - 2018,1.5
,,2018 - 2019,1.75
,,2019 - 2020,1.71
,,2020 - 2021,1.67
,,2021 - 2022,1.67
,,2022 - 2023,1.0
,Palwal,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2012 - 2013,0.0
,Panchkula,2000 - 2001,0.87
,,2001 - 2002,1.81
,,2002 - 2003,1.71
,,2003 - 2004,1.99
,,2004 - 2005,1.51
,,2005 - 2006,1.9
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,1.36
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,0.5
,,2021 - 2022,0.84
,,2022 - 2023,1.0
,Panipat,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.0
,,2017 - 2018,1.0
,,2018 - 2019,2.0
,,2019 - 2020,0.67
,,2020 - 2021,2.0
,,2021 - 2022,0.86
,,2022 - 2023,2.0
,Rewari,2000 - 2001,1.12
,,2001 - 2002,0.95
,,2002 - 2003,0.0
,,2003 - 2004,0.72
,,2004 - 2005,4.81
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,0.75
,,2022 - 2023,1.0
,Rohtak,2000 - 2001,0.84
,,2001 - 2002,0.76
,,2002 - 2003,0.89
,,2003 - 2004,1.03
,,2004 - 2005,0.74
,,2005 - 2006,1.29
,,2006 - 2007,1.02
,,2007 - 2008,1.57
,,2008 - 2009,1.12
,,2009 - 2010,1.07
,,2010 - 2011,0.97
,,2011 - 2012,1.16
,,2012 - 2013,1.74
,,2013 - 2014,1.0
,,2016 - 2017,1.33
,,2017 - 2018,1.33
,,2018 - 2019,1.33
,,2019 - 2020,1.36
,,2020 - 2021,1.0
,,2021 - 2022,1.47
,,2022 - 2023,1.0
,Sirsa,2000 - 2001,0.82
,,2001 - 2002,0.88
,,2002 - 2003,0.9
,,2003 - 2004,0.76
,,2004 - 2005,1.02
,,2005 - 2006,0.53
,,2006 - 2007,0.87
,,2007 - 2008,0.66
,,2008 - 2009,1.03
,,2009 - 2010,0.88
,,2010 - 2011,1.13
,,2011 - 2012,1.07
,,2012 - 2013,1.13
,,2013 - 2014,1.2
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.38
,,2017 - 2018,1.5
,,2018 - 2019,1.71
,,2019 - 2020,1.44
,,2020 - 2021,1.29
,,2021 - 2022,1.35
,,2022 - 2023,1.45
,Sonipat,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2019 - 2020,1.0
,,2020 - 2021,2.0
,,2021 - 2022,2.5
,Yamunanagar,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.0
,,2016 - 2017,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,1.19
,,2022 - 2023,1.0
Himachal Pradesh,Bilaspur,2000 - 2001,0.47
,,2001 - 2002,0.75
,,2002 - 2003,0.5
,,2005 - 2006,0.08
,,2006 - 2007,0.24
,,2007 - 2008,0.83
,,2008 - 2009,0.1
,,2009 - 2010,0.1
,,2010 - 2011,0.63
,,2011 - 2012,1.33
,,2012 - 2013,0.94
,,2013 - 2014,0.95
,,2014 - 2015,0.9
,,2015 - 2016,1.03
,,2016 - 2017,0.08
,,2017 - 2018,1.03
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.33
,,2021 - 2022,1.4
,,2022 - 2023,1.33
,Chamba,2001 - 2002,0.5
,Hamirpur,2000 - 2001,0.17
,,2001 - 2002,0.25
,,2002 - 2003,0.38
,,2005 - 2006,0.17
,,2006 - 2007,0.33
,,2007 - 2008,0.2
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.5
,,2011 - 2012,0.0
,,2012 - 2013,1.33
,,2013 - 2014,0.0
,,2014 - 2015,0.5
,,2015 - 2016,0.0
,,2016 - 2017,0.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.14
,Kangra,2000 - 2001,0.52
,,2001 - 2002,0.87
,,2002 - 2003,0.87
,,2005 - 2006,0.58
,,2006 - 2007,0.7
,,2007 - 2008,0.73
,,2008 - 2009,0.59
,,2009 - 2010,0.81
,,2010 - 2011,1.35
,,2011 - 2012,1.13
,,2012 - 2013,0.96
,,2013 - 2014,0.93
,,2014 - 2015,0.88
,,2015 - 2016,1.02
,,2016 - 2017,0.69
,,2017 - 2018,1.08
,,2018 - 2019,1.07
,,2019 - 2020,1.08
,,2020 - 2021,1.05
,,2021 - 2022,1.05
,,2022 - 2023,1.05
,Kullu,2000 - 2001,0.21
,,2001 - 2002,0.28
,,2002 - 2003,0.2
,,2005 - 2006,0.23
,,2006 - 2007,0.64
,,2007 - 2008,0.82
,,2008 - 2009,0.35
,,2009 - 2010,0.58
,,2010 - 2011,0.77
,,2011 - 2012,0.77
,,2012 - 2013,0.85
,,2013 - 2014,0.92
,,2014 - 2015,0.89
,,2015 - 2016,0.92
,,2016 - 2017,0.51
,,2017 - 2018,0.97
,,2018 - 2019,1.03
,,2019 - 2020,1.09
,,2021 - 2022,1.29
,,2022 - 2023,0.0
,Mandi,2000 - 2001,0.59
,,2001 - 2002,0.61
,,2002 - 2003,1.0
,,2005 - 2006,0.55
,,2006 - 2007,1.0
,,2007 - 2008,1.02
,,2008 - 2009,0.19
,,2009 - 2010,0.2
,,2010 - 2011,0.46
,,2011 - 2012,0.78
,,2012 - 2013,0.83
,,2013 - 2014,0.96
,,2014 - 2015,0.79
,,2015 - 2016,0.92
,,2016 - 2017,0.17
,,2017 - 2018,1.04
,,2018 - 2019,1.0
,,2019 - 2020,1.06
,,2020 - 2021,0.6
,,2021 - 2022,0.58
,,2022 - 2023,0.59
,Shimla,2000 - 2001,0.73
,,2001 - 2002,1.2
,,2002 - 2003,1.23
,,2005 - 2006,0.69
,,2006 - 2007,1.27
,,2007 - 2008,1.25
,,2008 - 2009,0.38
,,2009 - 2010,0.2
,,2010 - 2011,0.5
,,2011 - 2012,0.25
,,2012 - 2013,0.5
,,2013 - 2014,0.75
,,2014 - 2015,0.5
,,2015 - 2016,0.75
,,2016 - 2017,0.25
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Sirmaur,2000 - 2001,0.72
,,2001 - 2002,1.02
,,2002 - 2003,0.82
,,2005 - 2006,0.06
,,2006 - 2007,1.05
,,2007 - 2008,0.64
,,2008 - 2009,0.38
,,2009 - 2010,0.38
,,2010 - 2011,0.85
,,2011 - 2012,0.73
,,2012 - 2013,0.85
,,2013 - 2014,0.97
,,2014 - 2015,0.94
,,2015 - 2016,1.02
,,2016 - 2017,0.32
,,2017 - 2018,1.05
,,2018 - 2019,1.03
,,2019 - 2020,1.06
,,2020 - 2021,1.4
,,2021 - 2022,1.44
,,2022 - 2023,1.49
,Solan,2000 - 2001,0.78
,,2001 - 2002,0.96
,,2002 - 2003,0.91
,,2005 - 2006,1.16
,,2006 - 2007,0.9
,,2007 - 2008,0.87
,,2008 - 2009,0.12
,,2009 - 2010,0.1
,,2010 - 2011,0.5
,,2011 - 2012,0.07
,,2012 - 2013,0.88
,,2013 - 2014,0.88
,,2014 - 2015,0.88
,,2015 - 2016,0.96
,,2016 - 2017,0.09
,,2017 - 2018,1.04
,,2018 - 2019,1.0
,,2019 - 2020,1.04
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Una,2000 - 2001,0.79
,,2001 - 2002,1.19
,,2002 - 2003,0.64
,,2005 - 2006,0.31
,,2006 - 2007,0.72
,,2007 - 2008,0.98
,,2008 - 2009,0.81
,,2009 - 2010,1.21
,,2010 - 2011,1.05
,,2011 - 2012,0.92
,,2012 - 2013,1.41
,,2013 - 2014,1.04
,,2014 - 2015,1.04
,,2015 - 2016,0.96
,,2016 - 2017,1.04
,,2017 - 2018,1.04
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,2.0
,,2021 - 2022,2.0
,,2022 - 2023,2.0
Jammu and Kashmir,Baramulla,2000 - 2001,0.55
,,2005 - 2006,0.6
,Doda,2000 - 2001,0.12
,,2005 - 2006,0.5
,Jammu,2001 - 2002,0.59
,,2002 - 2003,0.6
,,2003 - 2004,0.6
,,2004 - 2005,0.6
,,2008 - 2009,0.55
,Kargil,2000 - 2001,0.5
,Kathua,2001 - 2002,0.56
,,2002 - 2003,0.57
,,2010 - 2011,0.55
,,2012 - 2013,0.55
,,2013 - 2014,0.55
,,2019 - 2020,
,,2022 - 2023,0.2
,Leh ladakh,2000 - 2001,0.57
,Rajauri,2001 - 2002,0.56
,,2002 - 2003,0.64
,,2003 - 2004,0.8
,,2004 - 2005,0.63
,,2005 - 2006,0.5
,Samba,2008 - 2009,0.54
,,2010 - 2011,0.55
,,2011 - 2012,0.55
,,2012 - 2013,0.55
,,2013 - 2014,0.55
,,2017 - 2018,
Jharkhand,Bokaro,2004 - 2005,0.86
,,2005 - 2006,0.71
,,2006 - 2007,0.76
,,2007 - 2008,0.81
,,2008 - 2009,0.84
,,2009 - 2010,0.82
,,2010 - 2011,0.45
,,2011 - 2012,0.84
,,2012 - 2013,1.38
,,2013 - 2014,1.23
,,2014 - 2015,1.51
,,2015 - 2016,1.27
,,2016 - 2017,1.23
,,2017 - 2018,1.37
,,2018 - 2019,0.98
,,2019 - 2020,1.6
,,2020 - 2021,1.6
,,2021 - 2022,1.1
,,2022 - 2023,1.6
,Chatra,2002 - 2003,0.87
,,2003 - 2004,0.94
,,2004 - 2005,0.74
,,2005 - 2006,0.69
,,2006 - 2007,0.93
,,2007 - 2008,1.23
,,2008 - 2009,1.06
,,2009 - 2010,1.01
,,2010 - 2011,0.41
,,2011 - 2012,1.02
,,2012 - 2013,1.42
,,2013 - 2014,1.66
,,2014 - 2015,1.02
,,2015 - 2016,0.87
,,2016 - 2017,1.38
,,2017 - 2018,1.16
,,2018 - 2019,1.14
,,2019 - 2020,1.01
,,2020 - 2021,1.17
,,2021 - 2022,1.17
,,2022 - 2023,1.1
,Deoghar,2004 - 2005,1.5
,,2005 - 2006,1.1
,,2006 - 2007,0.7
,,2007 - 2008,0.88
,,2008 - 2009,0.61
,,2009 - 2010,0.82
,,2010 - 2011,0.89
,,2011 - 2012,0.84
,,2012 - 2013,1.27
,,2013 - 2014,0.88
,,2014 - 2015,0.83
,,2015 - 2016,0.94
,,2016 - 2017,1.11
,,2017 - 2018,1.45
,,2018 - 2019,1.5
,,2019 - 2020,1.46
,,2020 - 2021,1.45
,,2021 - 2022,1.5
,,2022 - 2023,1.45
,Dhanbad,2004 - 2005,0.86
,,2006 - 2007,1.06
,,2009 - 2010,0.5
,,2010 - 2011,0.04
,,2011 - 2012,1.0
,,2012 - 2013,1.17
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.5
,,2018 - 2019,1.2
,,2019 - 2020,1.5
,,2020 - 2021,1.5
,,2021 - 2022,1.5
,,2022 - 2023,1.5
,Dumka,2004 - 2005,1.44
,,2005 - 2006,0.92
,,2006 - 2007,0.61
,,2007 - 2008,0.76
,,2008 - 2009,0.49
,,2009 - 2010,0.72
,,2010 - 2011,0.64
,,2011 - 2012,0.7
,,2012 - 2013,0.51
,,2013 - 2014,0.99
,,2014 - 2015,1.29
,,2015 - 2016,0.94
,,2016 - 2017,1.39
,,2017 - 2018,1.38
,,2018 - 2019,1.28
,,2019 - 2020,1.27
,,2020 - 2021,1.28
,,2021 - 2022,1.29
,,2022 - 2023,1.0
,East singhbum,2004 - 2005,1.22
,,2005 - 2006,1.05
,,2006 - 2007,0.73
,,2007 - 2008,1.44
,,2008 - 2009,1.02
,,2009 - 2010,0.94
,,2010 - 2011,0.61
,,2011 - 2012,0.68
,,2012 - 2013,0.74
,,2013 - 2014,0.84
,,2014 - 2015,0.74
,,2015 - 2016,0.82
,,2016 - 2017,1.69
,,2017 - 2018,0.87
,,2018 - 2019,0.9
,,2019 - 2020,0.9
,,2020 - 2021,0.95
,,2021 - 2022,0.96
,,2022 - 2023,0.98
,Garhwa,2003 - 2004,0.78
,,2004 - 2005,0.64
,,2005 - 2006,0.52
,,2006 - 2007,0.61
,,2007 - 2008,0.56
,,2008 - 2009,0.65
,,2009 - 2010,0.44
,,2010 - 2011,0.58
,,2011 - 2012,0.82
,,2012 - 2013,1.06
,,2013 - 2014,1.07
,,2014 - 2015,0.77
,,2015 - 2016,0.87
,,2016 - 2017,1.81
,,2017 - 2018,0.82
,,2018 - 2019,1.05
,,2019 - 2020,0.88
,,2020 - 2021,0.98
,,2021 - 2022,1.48
,,2022 - 2023,1.49
,Giridih,2004 - 2005,0.86
,,2005 - 2006,0.64
,,2006 - 2007,0.93
,,2007 - 2008,1.54
,,2008 - 2009,1.8
,,2009 - 2010,0.91
,,2010 - 2011,0.47
,,2011 - 2012,4.09
,,2012 - 2013,0.95
,,2013 - 2014,0.97
,,2014 - 2015,0.61
,,2015 - 2016,0.74
,,2016 - 2017,0.68
,,2017 - 2018,1.52
,,2018 - 2019,1.47
,,2019 - 2020,1.27
,,2020 - 2021,1.58
,,2021 - 2022,1.59
,,2022 - 2023,1.62
,Godda,2002 - 2003,0.89
,,2003 - 2004,0.94
,,2004 - 2005,0.9
,,2005 - 2006,0.81
,,2006 - 2007,0.89
,,2007 - 2008,0.84
,,2008 - 2009,0.61
,,2009 - 2010,0.61
,,2010 - 2011,0.85
,,2011 - 2012,0.82
,,2012 - 2013,0.98
,,2013 - 2014,0.97
,,2014 - 2015,0.5
,,2015 - 2016,0.85
,,2016 - 2017,0.55
,,2017 - 2018,1.26
,,2018 - 2019,1.44
,,2019 - 2020,1.45
,,2020 - 2021,1.5
,,2021 - 2022,1.43
,,2022 - 2023,1.05
,Gumla,2002 - 2003,0.54
,,2003 - 2004,1.54
,,2004 - 2005,0.62
,,2005 - 2006,0.57
,,2006 - 2007,0.52
,,2007 - 2008,0.46
,,2008 - 2009,0.65
,,2009 - 2010,0.72
,,2010 - 2011,0.51
,,2011 - 2012,0.72
,,2012 - 2013,0.98
,,2013 - 2014,1.15
,,2014 - 2015,1.03
,,2015 - 2016,0.75
,,2016 - 2017,1.41
,,2017 - 2018,1.51
,,2018 - 2019,1.52
,,2019 - 2020,1.52
,,2020 - 2021,1.52
,,2021 - 2022,1.02
,,2022 - 2023,0.93
,Hazaribagh,2002 - 2003,0.81
,,2003 - 2004,0.96
,,2004 - 2005,0.83
,,2005 - 2006,0.77
,,2006 - 2007,0.9
,,2007 - 2008,1.02
,,2008 - 2009,0.91
,,2009 - 2010,0.71
,,2010 - 2011,0.82
,,2011 - 2012,1.1
,,2012 - 2013,1.11
,,2013 - 2014,1.33
,,2014 - 2015,1.06
,,2015 - 2016,1.15
,,2016 - 2017,0.8
,,2017 - 2018,1.5
,,2018 - 2019,1.5
,,2019 - 2020,1.5
,,2020 - 2021,1.39
,,2021 - 2022,1.22
,,2022 - 2023,1.23
,Jamtara,2004 - 2005,0.78
,,2005 - 2006,1.23
,,2006 - 2007,0.76
,,2007 - 2008,0.63
,,2008 - 2009,0.9
,,2009 - 2010,0.8
,,2010 - 2011,0.76
,,2011 - 2012,0.5
,,2012 - 2013,0.62
,,2013 - 2014,0.48
,,2014 - 2015,0.48
,,2015 - 2016,0.67
,,2016 - 2017,0.21
,,2017 - 2018,0.8
,,2018 - 2019,0.8
,,2019 - 2020,1.15
,,2020 - 2021,1.3
,,2021 - 2022,1.35
,,2022 - 2023,1.18
,Khunti,2008 - 2009,0.27
,,2009 - 2010,0.71
,,2010 - 2011,0.74
,,2011 - 2012,0.62
,,2012 - 2013,1.02
,,2013 - 2014,0.83
,,2014 - 2015,0.71
,,2015 - 2016,0.78
,,2016 - 2017,1.22
,,2017 - 2018,1.5
,,2018 - 2019,1.45
,,2019 - 2020,1.45
,,2020 - 2021,1.2
,,2021 - 2022,1.2
,,2022 - 2023,1.3
,Koderma,2004 - 2005,0.85
,,2005 - 2006,1.02
,,2006 - 2007,1.03
,,2007 - 2008,0.97
,,2008 - 2009,0.92
,,2009 - 2010,0.97
,,2010 - 2011,0.53
,,2011 - 2012,1.28
,,2012 - 2013,1.0
,,2013 - 2014,1.13
,,2014 - 2015,1.09
,,2015 - 2016,1.11
,,2016 - 2017,1.38
,,2017 - 2018,1.5
,,2018 - 2019,1.5
,,2019 - 2020,1.5
,,2020 - 2021,1.5
,,2021 - 2022,1.2
,,2022 - 2023,1.2
,Latehar,2003 - 2004,0.63
,,2004 - 2005,0.98
,,2005 - 2006,0.67
,,2006 - 2007,0.45
,,2007 - 2008,0.65
,,2008 - 2009,0.45
,,2009 - 2010,1.94
,,2010 - 2011,0.52
,,2011 - 2012,0.96
,,2012 - 2013,0.83
,,2013 - 2014,0.67
,,2014 - 2015,0.68
,,2015 - 2016,0.75
,,2016 - 2017,0.95
,,2017 - 2018,0.63
,,2018 - 2019,0.65
,,2019 - 2020,0.64
,,2020 - 2021,0.64
,,2021 - 2022,0.64
,,2022 - 2023,0.64
,Lohardaga,2004 - 2005,0.63
,,2005 - 2006,0.71
,,2006 - 2007,0.53
,,2007 - 2008,0.45
,,2008 - 2009,1.1
,,2009 - 2010,1.03
,,2010 - 2011,0.75
,,2011 - 2012,1.02
,,2012 - 2013,0.83
,,2013 - 2014,0.95
,,2014 - 2015,0.71
,,2015 - 2016,0.86
,,2016 - 2017,0.82
,,2017 - 2018,0.99
,,2018 - 2019,1.02
,,2019 - 2020,1.02
,,2020 - 2021,0.9
,,2021 - 2022,0.82
,,2022 - 2023,1.02
,Pakur,2002 - 2003,1.27
,,2003 - 2004,1.27
,,2004 - 2005,1.13
,,2005 - 2006,0.73
,,2006 - 2007,1.21
,,2007 - 2008,0.75
,,2008 - 2009,0.89
,,2009 - 2010,0.82
,,2010 - 2011,0.82
,,2011 - 2012,0.83
,,2012 - 2013,0.84
,,2013 - 2014,0.83
,,2014 - 2015,0.61
,,2015 - 2016,0.93
,,2016 - 2017,0.97
,,2017 - 2018,0.96
,,2018 - 2019,0.96
,,2019 - 2020,0.96
,,2020 - 2021,0.96
,,2021 - 2022,0.85
,,2022 - 2023,0.5
,Palamu,2002 - 2003,0.8
,,2003 - 2004,0.75
,,2004 - 2005,0.68
,,2005 - 2006,0.62
,,2006 - 2007,0.83
,,2007 - 2008,0.76
,,2008 - 2009,0.79
,,2009 - 2010,0.7
,,2010 - 2011,0.73
,,2011 - 2012,1.01
,,2012 - 2013,1.08
,,2013 - 2014,1.06
,,2014 - 2015,0.84
,,2015 - 2016,0.84
,,2016 - 2017,1.06
,,2017 - 2018,0.8
,,2018 - 2019,0.72
,,2019 - 2020,0.81
,,2020 - 2021,0.8
,,2021 - 2022,0.81
,,2022 - 2023,0.79
,Ramgarh,2008 - 2009,1.03
,,2009 - 2010,0.75
,,2010 - 2011,0.86
,,2011 - 2012,0.82
,,2012 - 2013,2.4
,,2013 - 2014,0.85
,,2014 - 2015,1.27
,,2015 - 2016,0.92
,,2016 - 2017,0.86
,,2017 - 2018,1.5
,,2018 - 2019,1.5
,,2019 - 2020,1.5
,,2020 - 2021,1.35
,,2021 - 2022,1.33
,,2022 - 2023,1.33
,Ranchi,2002 - 2003,0.73
,,2003 - 2004,0.87
,,2004 - 2005,0.78
,,2005 - 2006,0.7
,,2006 - 2007,0.43
,,2007 - 2008,1.27
,,2008 - 2009,0.49
,,2009 - 2010,0.86
,,2010 - 2011,0.98
,,2011 - 2012,1.06
,,2012 - 2013,1.05
,,2013 - 2014,1.38
,,2014 - 2015,1.06
,,2015 - 2016,0.94
,,2016 - 2017,1.16
,,2017 - 2018,1.1
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Sahebganj,2002 - 2003,1.11
,,2003 - 2004,0.96
,,2004 - 2005,0.94
,,2005 - 2006,0.76
,,2006 - 2007,0.58
,,2007 - 2008,0.87
,,2008 - 2009,0.61
,,2009 - 2010,0.73
,,2010 - 2011,0.94
,,2011 - 2012,0.91
,,2012 - 2013,0.93
,,2013 - 2014,0.85
,,2014 - 2015,0.96
,,2015 - 2016,0.92
,,2016 - 2017,0.93
,,2017 - 2018,1.01
,,2018 - 2019,0.81
,,2019 - 2020,0.84
,,2020 - 2021,1.94
,,2021 - 2022,1.05
,,2022 - 2023,0.97
,Saraikela kharsawan,2004 - 2005,0.96
,,2005 - 2006,0.56
,,2006 - 2007,0.74
,,2007 - 2008,0.98
,,2008 - 2009,0.74
,,2009 - 2010,0.79
,,2010 - 2011,0.57
,,2011 - 2012,0.71
,,2012 - 2013,0.8
,,2013 - 2014,0.73
,,2014 - 2015,0.6
,,2015 - 2016,0.85
,,2016 - 2017,1.47
,,2017 - 2018,1.7
,,2018 - 2019,1.35
,,2019 - 2020,1.75
,,2020 - 2021,1.75
,,2021 - 2022,1.75
,,2022 - 2023,1.75
,Simdega,2003 - 2004,0.55
,,2004 - 2005,0.16
,,2005 - 2006,0.57
,,2006 - 2007,0.76
,,2007 - 2008,0.49
,,2008 - 2009,0.63
,,2009 - 2010,0.82
,,2010 - 2011,0.33
,,2011 - 2012,0.8
,,2012 - 2013,0.73
,,2013 - 2014,0.85
,,2014 - 2015,0.76
,,2015 - 2016,0.83
,,2016 - 2017,1.23
,,2017 - 2018,1.63
,,2018 - 2019,1.63
,,2019 - 2020,1.3
,,2020 - 2021,1.35
,,2021 - 2022,1.3
,,2022 - 2023,1.2
,West singhbhum,2002 - 2003,0.82
,,2003 - 2004,0.7
,,2004 - 2005,0.54
,,2005 - 2006,0.48
,,2006 - 2007,0.73
